DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,BIRLACABLE, EQ,137.5,138.85,165.0,137.5, 165.00,161.1,155.38,1195410,1857.4,20599, 357007, 29.86
2023-01-03,BIRLACABLE, EQ,161.1,168.0,168.0,156.65, 158.40,158.95,161.25,1186200,1912.74,18337, 292260, 24.64
2023-01-04,BIRLACABLE, EQ,158.95,157.0,159.9,150.65, 151.50,152.35,155.24,428825,665.72,8092, 133503, 31.13
2023-01-05,BIRLACABLE, EQ,152.35,153.0,154.8,147.2,149.2,148.85,150.85,283303,427.35,5039, 102458, 36.17
2023-01-06,BIRLACABLE, EQ,148.85,149.25,157.35,145.7,149.6,149.95,152.85,756032,1155.56,12539, 144929, 19.17
2023-01-09,BIRLACABLE, EQ,149.95,151.65,160.45,149.1,152.6,151.9,155.43,517839,804.88,8530, 144405, 27.89
2023-01-10,BIRLACABLE, EQ,151.9,152.2,153.65,146.5,147.0,147.8,148.81,170092,253.11,3887, 73281, 43.08
2023-01-11,BIRLACABLE, EQ,147.8,148.8,151.75,147.4, 150.25,150.15,149.44,158630,237.05,3106, 37068, 23.37
2023-01-12,BIRLACABLE, EQ,150.15,150.25,151.5,147.2, 149.25,149.05,149.0,132980,198.14,2874, 37329, 28.07
2023-01-13,BIRLACABLE, EQ,149.05,149.1,150.75,148.75,150.0,149.5,149.7,105407,157.8,2565, 29367, 27.86
2023-01-16,BIRLACABLE, EQ,149.5,150.1,151.0,146.45, 147.90,147.45,148.4,75028,111.34,1867, 35372, 47.15
2023-01-17,BIRLACABLE, EQ,147.45,148.05,152.5,147.05,147.6,147.55,149.21,139385,207.97,3053, 39088, 28.04
2023-01-18,BIRLACABLE, EQ,147.55,148.3,149.75,147.35,148.3,148.05,148.53,105541,156.76,2642, 34125, 32.33
2023-01-19,BIRLACABLE, EQ,148.05,148.75,149.5,146.5, 146.95,147.15,148.06,44414,65.76,1054, 20749, 46.72
2023-01-20,BIRLACABLE, EQ,147.15,147.8,149.9,147.0,148.0,148.0,148.26,77502,114.9,2460, 22245, 28.70
2023-01-23,BIRLACABLE, EQ,148.0,148.9,151.55,146.0,148.5,147.0,148.75,119117,177.18,3176, 38620, 32.42
2023-01-24,BIRLACABLE, EQ,147.0,147.8,148.0,143.3,144.7,144.5,145.39,71828,104.43,2228, 36993, 51.50
2023-01-25,BIRLACABLE, EQ,144.5,144.7,144.7,139.15, 142.50,141.85,141.56,84265,119.29,3057, 34180, 40.56
2023-01-27,BIRLACABLE, EQ,141.85,142.5,143.2,134.35, 136.25,136.55,137.86,120463,166.07,4444, 47511, 39.44
2023-01-30,BIRLACABLE, EQ,136.55,136.0,140.25,134.55, 138.45,138.0,138.05,92798,128.1,3381, 27753, 29.91
2023-01-31,BIRLACABLE, EQ,138.0,139.95,147.8,138.15,145.75,145.9,144.28,163896,236.47,4691, 63639, 38.83
2023-02-01,BIRLACABLE, EQ,145.9,147.05,148.0,137.9, 140.00,140.35,143.17,138473,198.25,4505, 41905, 30.26
2023-02-02,BIRLACABLE, EQ,140.35,141.2,143.0,138.95, 140.15,141.05,141.04,76901,108.46,2840, 19636, 25.53
2023-02-03,BIRLACABLE, EQ,141.05,141.55,141.55,136.0, 141.00,140.4,138.65,107845,149.53,3496, 34477, 31.97
2023-02-06,BIRLACABLE, EQ,140.4,140.15,141.95,137.5, 138.35,138.5,139.88,46855,65.54,1726, 21520, 45.93
2023-02-07,BIRLACABLE, EQ,138.5,139.1,140.15,137.2, 137.80,137.95,138.42,65742,91.0,1976, 35082, 53.36
2023-02-08,BIRLACABLE, EQ,137.95,137.3,143.9,137.3, 142.45,141.85,140.07,64932,90.95,2310, 32335, 49.80
2023-02-09,BIRLACABLE, EQ,141.85,142.45,146.25,139.0, 145.80,144.4,142.7,85162,121.53,2266, 41714, 48.98
2023-02-10,BIRLACABLE, EQ,144.4,146.0,148.9,141.0, 141.30,141.9,144.07,107417,154.75,2357, 50429, 46.95
2023-02-13,BIRLACABLE, EQ,141.9,142.15,142.15,136.5,136.7,137.3,138.4,77467,107.21,2029, 34100, 44.02
2023-02-14,BIRLACABLE, EQ,137.3,137.95,138.45,131.5,131.5,132.35,133.9,86206,115.43,2834, 46015, 53.38
2023-02-15,BIRLACABLE, EQ,132.35,132.35,141.8,131.45, 140.50,139.65,137.78,271904,374.62,7225, 65626, 24.14
2023-02-16,BIRLACABLE, EQ,139.65,141.15,141.3,135.0, 137.00,136.4,137.41,123663,169.92,3925, 47794, 38.65
2023-02-17,BIRLACABLE, EQ,136.4,135.05,147.0,135.05, 140.90,140.55,142.18,317671,451.66,7593, 72620, 22.86
2023-02-20,BIRLACABLE, EQ,140.55,140.0,141.2,135.85, 136.50,137.3,138.34,70061,96.92,2449, 34121, 48.70
2023-02-21,BIRLACABLE, EQ,137.3,138.0,141.35,137.5, 138.00,138.1,139.24,71832,100.02,2323, 26457, 36.83
2023-02-22,BIRLACABLE, EQ,138.1,137.0,137.5,133.25, 133.50,133.95,134.79,78579,105.92,2182, 49362, 62.82
2023-02-23,BIRLACABLE, EQ,133.95,134.15,135.95,131.1,131.1,132.05,132.94,90533,120.35,3777, 40807, 45.07
2023-02-24,BIRLACABLE, EQ,132.05,132.7,134.1,130.1, 131.60,131.4,132.13,57010,75.33,2597, 21545, 37.79
2023-02-27,BIRLACABLE, EQ,131.4,131.35,131.35,126.4, 127.90,127.15,127.97,61776,79.06,2366, 31312, 50.69
2023-02-28,BIRLACABLE, EQ,127.15,127.85,129.9,126.25, 126.75,127.1,127.93,43328,55.43,1782, 20577, 47.49
2023-03-01,BIRLACABLE, EQ,127.1,127.1,132.45,126.8, 131.20,131.4,130.18,63669,82.89,2105, 25425, 39.93
2023-03-02,BIRLACABLE, EQ,131.4,131.9,133.45,129.5, 129.50,130.65,131.84,48789,64.32,1658, 26101, 53.50
2023-03-03,BIRLACABLE, EQ,130.65,131.35,138.0,130.7, 133.40,133.3,134.68,175270,236.06,3923, 53109, 30.30
2023-03-06,BIRLACABLE, EQ,133.3,134.55,137.75,133.6, 135.00,134.75,135.52,71179,96.46,1992, 24499, 34.42
2023-03-08,BIRLACABLE, EQ,134.75,135.3,135.3,132.6, 134.40,133.75,133.51,43128,57.58,1497, 21926, 50.84
2023-03-09,BIRLACABLE, EQ,133.75,134.35,135.8,131.35, 132.05,133.35,133.58,58697,78.41,1462, 29312, 49.94
2023-03-10,BIRLACABLE, EQ,133.35,132.05,132.7,130.3, 131.35,131.2,131.45,61559,80.92,1290, 26616, 43.24
2023-03-13,BIRLACABLE, EQ,131.2,130.0,131.7,125.7, 127.35,126.75,127.78,105028,134.21,2325, 56102, 53.42
2023-03-14,BIRLACABLE, EQ,126.75,127.4,127.4,123.8, 125.70,125.0,125.01,42549,53.19,1397, 22859, 53.72
2023-03-15,BIRLACABLE, EQ,125.0,126.8,127.55,125.35, 126.00,126.4,126.55,27265,34.5,702, 14495, 53.16
2023-03-16,BIRLACABLE, EQ,126.4,126.9,126.9,120.8, 125.55,125.5,124.27,71215,88.5,1333, 33880, 47.57
2023-03-17,BIRLACABLE, EQ,125.5,126.4,127.5,125.0, 125.95,125.7,126.16,27471,34.66,819, 10414, 37.91
2023-03-20,BIRLACABLE, EQ,125.7,129.6,129.6,120.8,121.95,121.9,122.45,60251,73.78,1810, 31318, 51.98
2023-03-21,BIRLACABLE, EQ,121.9,122.8,123.45,120.0, 122.00,122.2,122.27,29730,36.35,963, 16311, 54.86
2023-03-22,BIRLACABLE, EQ,122.2,122.8,124.9,122.4, 123.50,123.3,123.72,49172,60.84,1034, 18070, 36.75
2023-03-23,BIRLACABLE, EQ,123.3,123.45,128.2,123.45, 126.00,126.35,126.42,98760,124.85,1633, 34914, 35.35
2023-03-24,BIRLACABLE, EQ,126.35,126.0,126.3,123.2, 126.00,124.2,124.99,65412,81.76,1093, 42052, 64.29
2023-03-27,BIRLACABLE, EQ,124.2,124.2,125.5,123.0, 123.80,124.7,124.44,47824,59.51,953, 29192, 61.04
2023-03-28,BIRLACABLE, EQ,124.7,125.0,125.0,120.2, 122.30,121.5,122.7,36129,44.33,853, 21883, 60.57
2023-03-29,BIRLACABLE, EQ,121.5,123.0,124.0,119.25, 121.00,120.8,121.27,69951,84.83,1279, 43855, 62.69
2023-03-31,BIRLACABLE, EQ,120.8,119.2,127.35,119.2, 124.95,124.6,124.42,106635,132.68,2384, 51023, 47.85
2023-04-03,BIRLACABLE, EQ,124.6,126.35,127.0,125.3, 126.95,126.35,126.24,33434,42.21,976, 13391, 40.05
2023-04-05,BIRLACABLE, EQ,126.35,129.0,131.8,127.1, 130.70,130.15,130.15,117369,152.75,2205, 49273, 41.98
2023-04-06,BIRLACABLE, EQ,130.15,130.2,133.8,130.05, 132.30,132.65,131.75,65196,85.89,1623, 33153, 50.85
2023-04-10,BIRLACABLE, EQ,132.65,133.5,135.95,130.95, 134.00,133.25,133.69,54178,72.43,1463, 26721, 49.32
2023-04-11,BIRLACABLE, EQ,133.25,134.5,134.5,131.05, 132.00,132.0,132.57,40387,53.54,1003, 20902, 51.75
2023-04-12,BIRLACABLE, EQ,132.0,132.0,133.6,130.1, 131.85,131.4,132.6,49355,65.44,1070, 22794, 46.18
2023-04-13,BIRLACABLE, EQ,131.4,132.0,133.95,128.8, 131.10,131.45,131.92,50290,66.34,1137, 25333, 50.37
2023-04-17,BIRLACABLE, EQ,131.45,132.0,132.7,129.95, 130.50,130.5,130.75,32975,43.11,984, 18975, 57.54
2023-04-18,BIRLACABLE, EQ,130.5,131.05,133.95,129.8, 130.60,130.45,131.35,54576,71.69,974, 30596, 56.06
2023-04-19,BIRLACABLE, EQ,130.45,131.0,131.55,129.15, 129.25,129.55,130.43,25928,33.82,733, 17730, 68.38
2023-04-20,BIRLACABLE, EQ,129.55,129.2,131.8,129.2, 130.45,130.2,130.45,24335,31.75,654, 16461, 67.64
2023-04-21,BIRLACABLE, EQ,130.2,130.2,131.35,128.2, 129.00,128.85,129.47,22199,28.74,595, 13261, 59.74
2023-04-24,BIRLACABLE, EQ,128.85,128.25,130.35,128.1, 128.60,129.2,129.16,27906,36.04,705, 18696, 67.00
2023-04-25,BIRLACABLE, EQ,129.2,128.1,134.95,128.1,129.0,129.2,131.48,176802,232.45,2811, 77176, 43.65
2023-04-26,BIRLACABLE, EQ,129.2,129.7,135.9,128.0, 132.15,131.9,133.13,335258,446.34,5759, 98154, 29.28
2023-04-27,BIRLACABLE, EQ,131.9,132.65,134.5,131.55, 132.90,132.55,132.88,70089,93.14,1566, 37861, 54.02
2023-04-28,BIRLACABLE, EQ,132.55,133.5,134.0,131.55, 132.50,132.8,133.16,64146,85.42,1482, 36647, 57.13
2023-05-02,BIRLACABLE, EQ,132.8,133.75,147.45,132.8, 142.00,142.75,141.42,593006,838.65,7849, 239009, 40.30
2023-05-03,BIRLACABLE, EQ,142.75,149.4,153.15,147.15,148.25,148.9,149.68,799071,1196.06,10983, 285048, 35.67
2023-05-04,BIRLACABLE, EQ,148.9,148.95,150.0,146.1, 148.25,148.45,148.04,210878,312.18,4307, 109161, 51.77
2023-05-05,BIRLACABLE, EQ,148.45,149.2,159.95,147.3, 156.90,157.25,155.43,749581,1165.06,10539, 273309, 36.46
2023-05-08,BIRLACABLE, EQ,157.25,158.7,160.35,153.8, 155.50,154.9,156.88,244894,384.19,4662, 115571, 47.19
2023-05-09,BIRLACABLE, EQ,154.9,155.5,155.8,148.8,149.25,149.55,152.08,154099,234.35,3506, 90889, 58.98
2023-05-10,BIRLACABLE, EQ,149.55,150.15,156.25,150.1,155.5,154.4,154.36,247956,382.74,3767, 115112, 46.42
2023-05-11,BIRLACABLE, EQ,154.4,155.7,157.5,151.05, 152.00,151.9,153.73,112826,173.44,2573, 56227, 49.84
2023-05-12,BIRLACABLE, EQ,151.9,152.0,155.55,148.85, 150.90,150.0,151.64,135334,205.22,3334, 64249, 47.47
2023-05-15,BIRLACABLE, EQ,150.0,150.7,153.5,148.3, 151.95,150.1,151.0,148456,224.17,2889, 82841, 55.80
2023-05-16,BIRLACABLE, EQ,150.1,151.45,157.0,150.95,151.5,151.5,153.87,173517,266.99,3869, 73854, 42.56
2023-05-17,BIRLACABLE, EQ,151.5,152.35,153.35,151.3, 153.35,152.8,152.52,91106,138.95,2313, 48879, 53.65
2023-05-18,BIRLACABLE, EQ,152.8,157.0,169.45,155.55, 162.75,162.85,164.79,1592894,2624.87,22605, 489892, 30.75
2023-05-19,BIRLACABLE, EQ,162.85,162.75,171.0,159.5,166.65,167.5,167.1,1239578,2071.34,19277, 306197, 24.70
2023-05-22,BIRLACABLE, EQ,167.5,168.0,181.4,167.1,179.25,178.85,175.91,2234357,3930.52,24741, 659118, 29.50
2023-05-23,BIRLACABLE, EQ,178.85,182.45,183.85,172.5, 173.45,173.85,179.25,809660,1451.31,12303, 324695, 40.10
