DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-02-15,BTML, EQ,147.8,154.0,162.55,136.1, 162.50,162.5,151.74,312355,473.97,2695, 151679, 48.56
2023-02-16,BTML, EQ,162.5,168.7,178.0,157.95, 175.00,173.95,171.18,304323,520.94,2063, 167737, 55.12
2023-02-17,BTML, EQ,173.95,177.7,189.9,174.05, 189.70,188.35,183.93,310712,571.49,2819, 230143, 74.07
2023-02-20,BTML, EQ,188.35,188.0,192.25,169.55, 175.70,174.5,176.48,406696,717.74,13579, 127761, 31.41
2023-02-21,BTML, EQ,174.5,181.0,181.0,164.75, 165.10,168.7,171.75,87461,150.21,4282, 41141, 47.04
2023-02-22,BTML, EQ,168.7,168.0,180.5,157.1, 178.00,175.6,169.96,219614,373.25,5813, 115231, 52.47
2023-02-23,BTML, EQ,175.6,182.0,183.2,173.15,173.65,175.7,178.59,78962,141.02,4733, 36508, 46.23
2023-02-24,BTML, EQ,175.7,176.0,179.6,166.25, 171.80,170.3,170.77,76625,130.85,3319, 45153, 58.93
2023-02-27,BTML, EQ,170.3,165.2,176.05,156.3, 161.00,160.75,163.54,48090,78.65,3598, 13370, 27.80
2023-02-28,BTML, EQ,160.75,159.65,172.2,157.85, 167.00,166.65,162.77,226115,368.06,3691, 54442, 24.08
2023-03-01,BTML, EQ,166.65,165.15,175.05,162.1, 171.00,170.25,167.02,315971,527.74,5498, 109443, 34.64
2023-03-02,BTML, EQ,170.25,174.0,175.4,162.25, 170.50,168.15,171.61,243573,418.0,7070, 27888, 11.45
2023-03-03,BTML, EQ,168.15,170.15,182.65,165.8, 177.10,179.0,172.6,308748,532.91,5220, 110278, 35.72
2023-03-06,BTML, EQ,179.0,186.0,188.0,169.0, 169.55,170.95,179.55,226695,407.02,7174, 39247, 17.31
2023-03-08,BTML, EQ,170.95,175.0,182.8,166.65, 180.00,177.7,172.63,158585,273.76,1368, 50242, 31.68
2023-03-09,BTML, EQ,177.7,178.55,183.7,174.25, 182.20,180.05,178.17,182826,325.74,4340, 18368, 10.05
2023-03-10,BTML, EQ,180.05,173.05,179.65,169.85, 172.60,171.45,172.9,358818,620.4,4767, 177646, 49.51
2023-03-13,BTML, EQ,171.45,177.65,188.55,163.4, 182.05,182.8,177.64,281613,500.26,4781, 159030, 56.47
2023-03-14,BTML, EQ,182.8,184.0,184.05,175.05, 177.00,179.4,177.46,158451,281.19,7155, 37512, 23.67
2023-03-15,BTML, EQ,179.4,179.0,179.0,171.3, 171.65,174.05,176.38,67883,119.73,4014, 5417, 7.98
2023-03-16,BTML, EQ,174.05,176.8,176.8,167.4, 170.00,172.15,171.19,90896,155.61,3922, 18377, 20.22
2023-03-17,BTML, EQ,172.15,174.95,181.05,170.6, 171.20,172.9,174.16,117185,204.09,3541, 14928, 12.74
2023-03-20,BTML, EQ,172.9,173.05,180.0,169.55,175.0,177.15,174.78,35221,61.56,410, 13330, 37.85
2023-03-21,BTML, EQ,177.15,175.55,175.55,170.1, 171.90,172.4,173.44,57592,99.89,226, 37905, 65.82
2023-03-22,BTML, EQ,172.4,173.05,177.7,168.25, 169.00,169.65,170.8,35398,60.46,458, 19412, 54.84
2023-03-23,BTML, EQ,169.65,174.95,174.95,165.2, 166.15,168.85,170.26,142554,242.72,328, 127802, 89.65
2023-03-24,BTML, EQ,168.85,169.95,174.0,164.55, 171.00,170.25,167.25,122029,204.1,558, 103076, 84.47
2023-03-27,BTML, EQ,170.25,171.05,172.3,159.5, 166.50,162.75,164.2,165558,271.85,380, 146597, 88.55
2023-03-28,BTML, EQ,162.75,165.3,165.3,156.0, 156.20,158.0,160.98,47741,76.86,261, 34969, 73.25
