DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,BUTTERFLY, EQ,1566.85,1555.0,1577.05,1550.05, 1560.00,1553.7,1560.86,1436,22.41,393, 805, 56.06
2023-01-03,BUTTERFLY, EQ,1553.7,1553.7,1592.0,1545.95, 1569.00,1568.65,1568.3,2650,41.56,495, 1335, 50.38
2023-01-04,BUTTERFLY, EQ,1568.65,1572.4,1590.0,1547.0, 1567.50,1560.6,1559.66,2629,41.0,477, 1514, 57.59
2023-01-05,BUTTERFLY, EQ,1560.6,1551.0,1567.6,1542.55,1552.0,1552.85,1550.53,3903,60.52,396, 2591, 66.38
2023-01-06,BUTTERFLY, EQ,1552.85,1552.9,1557.0,1527.0,1538.3,1536.85,1545.66,5958,92.09,805, 4706, 78.99
2023-01-09,BUTTERFLY, EQ,1536.85,1548.45,1583.45,1533.1,1544.0,1554.85,1561.58,4600,71.83,792, 2652, 57.65
2023-01-10,BUTTERFLY, EQ,1554.85,1554.8,1555.95,1538.0,1540.5,1543.8,1548.43,1711,26.49,213, 1129, 65.98
2023-01-11,BUTTERFLY, EQ,1543.8,1548.85,1557.95,1541.3, 1550.50,1553.15,1550.2,1720,26.66,445, 1373, 79.83
2023-01-12,BUTTERFLY, EQ,1553.15,1555.1,1559.95,1516.1, 1524.00,1524.7,1534.52,2869,44.03,460, 1753, 61.10
2023-01-13,BUTTERFLY, EQ,1524.7,1529.0,1553.0,1516.55,1551.3,1550.2,1547.25,3154,48.8,1179, 2379, 75.43
2023-01-16,BUTTERFLY, EQ,1550.2,1560.0,1560.0,1520.0, 1520.00,1524.65,1530.42,1054,16.13,267, 662, 62.81
2023-01-17,BUTTERFLY, EQ,1524.65,1551.0,1551.0,1512.0,1515.9,1518.05,1522.09,820,12.48,180, 378, 46.10
2023-01-18,BUTTERFLY, EQ,1518.05,1526.6,1533.75,1463.0,1505.05,1503.0,1497.66,8397,125.76,935, 4988, 59.40
2023-01-19,BUTTERFLY, EQ,1503.0,1503.45,1525.95,1501.0, 1516.00,1507.6,1509.55,862,13.01,193, 434, 50.35
2023-01-20,BUTTERFLY, EQ,1507.6,1505.1,1507.95,1488.15,1488.25,1491.0,1496.92,1058,15.84,277, 545, 51.51
2023-01-23,BUTTERFLY, EQ,1491.0,1491.65,1562.9,1479.9,1510.0,1507.0,1520.41,10559,160.54,754, 6884, 65.20
2023-01-24,BUTTERFLY, EQ,1507.0,1505.0,1540.2,1473.0,1495.0,1504.55,1504.28,9097,136.84,1109, 4161, 45.74
2023-01-25,BUTTERFLY, EQ,1504.55,1494.9,1506.9,1491.05, 1495.00,1497.0,1496.57,1829,27.37,240, 1480, 80.92
2023-01-27,BUTTERFLY, EQ,1497.0,1490.0,1499.9,1440.1, 1470.00,1462.0,1458.56,3352,48.89,642, 1789, 53.37
2023-01-30,BUTTERFLY, EQ,1462.0,1474.95,1487.2,1399.0, 1432.00,1429.1,1427.03,9243,131.9,1413, 4566, 49.40
