DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,CAMLINFINE, EQ,160.1,160.1,162.75,158.75, 162.10,161.55,160.56,310086,497.88,7373, 161234, 52.00
2023-01-03,CAMLINFINE, EQ,161.55,160.5,161.75,158.4, 161.00,161.0,160.33,314946,504.96,5130, 203654, 64.66
2023-01-04,CAMLINFINE, EQ,161.0,160.2,163.95,160.2, 163.00,162.95,162.28,319811,518.98,5766, 183576, 57.40
2023-01-05,CAMLINFINE, EQ,162.95,163.4,164.85,157.0,159.5,160.0,161.96,444919,720.58,5657, 270967, 60.90
2023-01-06,CAMLINFINE, EQ,160.0,159.5,161.1,155.55,161.0,159.1,158.4,231138,366.12,4004, 136063, 58.87
2023-01-09,CAMLINFINE, EQ,159.1,160.6,160.6,153.0,153.5,154.4,157.43,187180,294.67,5597, 98154, 52.44
2023-01-10,CAMLINFINE, EQ,154.4,154.4,168.7,153.0,157.0,157.35,161.78,1133047,1833.01,19606, 346041, 30.54
2023-01-11,CAMLINFINE, EQ,157.35,157.95,160.2,155.25, 157.10,156.2,157.39,125241,197.12,2899, 50239, 40.11
2023-01-12,CAMLINFINE, EQ,156.2,156.25,168.0,156.25, 166.90,166.1,163.77,1295081,2120.94,19924, 590944, 45.63
2023-01-13,CAMLINFINE, EQ,166.1,166.9,174.7,162.0,162.85,163.35,169.72,2439914,4141.08,29668, 788330, 32.31
2023-01-16,CAMLINFINE, EQ,163.35,163.0,164.35,157.05, 157.85,157.7,159.68,542224,865.82,8314, 247825, 45.71
2023-01-17,CAMLINFINE, EQ,157.7,157.85,158.95,155.35,156.0,156.35,156.87,304364,477.44,5230, 96806, 31.81
2023-01-18,CAMLINFINE, EQ,156.35,156.4,161.0,155.9,157.0,157.75,158.3,433359,686.0,6751, 121690, 28.08
2023-01-19,CAMLINFINE, EQ,157.75,157.65,163.6,157.55, 159.00,158.95,160.91,553456,890.56,13046, 197732, 35.73
2023-01-20,CAMLINFINE, EQ,158.95,160.0,160.05,155.1,155.1,156.35,157.13,261635,411.1,4091, 112362, 42.95
2023-01-23,CAMLINFINE, EQ,156.35,160.35,165.5,158.2,165.05,164.55,163.01,1446610,2358.12,18308, 667290, 46.13
2023-01-24,CAMLINFINE, EQ,164.55,165.05,168.8,162.25,164.5,163.7,166.48,882255,1468.81,12218, 363447, 41.20
2023-01-25,CAMLINFINE, EQ,163.7,163.7,164.5,158.5, 159.00,159.4,160.72,303129,487.2,5122, 125752, 41.48
2023-01-27,CAMLINFINE, EQ,159.4,158.4,160.75,155.3, 157.10,159.35,157.56,270164,425.68,4658, 114526, 42.39
2023-01-30,CAMLINFINE, EQ,159.35,157.0,163.45,155.3, 156.90,157.0,157.73,261272,412.11,4891, 82339, 31.51
2023-01-31,CAMLINFINE, EQ,157.0,157.1,160.2,155.3,157.05,156.6,157.98,169919,268.44,4137, 68821, 40.50
2023-02-01,CAMLINFINE, EQ,156.6,158.95,163.45,150.0, 151.00,151.05,155.97,368204,574.29,6678, 147431, 40.04
2023-02-02,CAMLINFINE, EQ,151.05,150.9,153.5,147.15, 148.40,148.1,150.2,189325,284.37,3844, 90847, 47.98
2023-02-03,CAMLINFINE, EQ,148.1,148.65,150.75,144.45, 147.60,147.6,147.42,305517,450.4,6365, 106142, 34.74
2023-02-06,CAMLINFINE, EQ,147.6,148.4,151.0,147.45, 148.95,148.6,149.36,157197,234.79,2877, 71278, 45.34
2023-02-07,CAMLINFINE, EQ,148.6,148.6,149.65,146.1, 147.20,147.15,147.36,145200,213.96,2965, 94268, 64.92
2023-02-08,CAMLINFINE, EQ,147.15,147.2,149.7,147.15, 148.95,149.1,148.43,173393,257.37,2956, 115169, 66.42
2023-02-09,CAMLINFINE, EQ,149.1,149.6,149.95,147.9, 148.50,148.6,148.5,133511,198.27,3008, 90971, 68.14
2023-02-10,CAMLINFINE, EQ,148.6,148.0,152.25,147.55, 149.35,150.25,150.94,167971,253.54,4077, 92648, 55.16
2023-02-13,CAMLINFINE, EQ,150.25,150.25,150.9,147.0,147.5,147.55,147.83,89687,132.59,1675, 52381, 58.40
2023-02-14,CAMLINFINE, EQ,147.55,149.75,150.35,144.2,147.1,146.75,147.37,230804,340.13,5590, 128437, 55.65
2023-02-15,CAMLINFINE, EQ,146.75,146.75,148.35,145.1, 145.95,145.75,146.46,103160,151.09,2658, 55652, 53.95
2023-02-16,CAMLINFINE, EQ,145.75,147.2,147.2,140.0, 140.70,140.7,142.98,321208,459.25,6122, 180248, 56.12
2023-02-17,CAMLINFINE, EQ,140.7,141.4,144.55,139.0, 140.95,139.95,141.43,199843,282.64,4554, 71901, 35.98
2023-02-20,CAMLINFINE, EQ,139.95,142.05,142.5,135.1, 138.10,137.65,139.44,159616,222.57,3492, 65647, 41.13
2023-02-21,CAMLINFINE, EQ,137.65,138.9,141.45,136.95, 137.60,138.0,138.9,120158,166.9,3391, 51858, 43.16
2023-02-22,CAMLINFINE, EQ,138.0,137.9,138.1,135.0, 136.30,135.9,136.34,96639,131.76,2732, 49243, 50.96
2023-02-23,CAMLINFINE, EQ,135.9,135.9,143.8,134.35,140.2,140.55,139.8,295461,413.05,7310, 139188, 47.11
2023-02-24,CAMLINFINE, EQ,140.55,140.55,141.5,137.4, 137.80,138.2,139.25,73044,101.71,2399, 35810, 49.03
2023-02-27,CAMLINFINE, EQ,138.2,138.2,139.45,134.0, 134.20,135.05,136.5,142502,194.51,3436, 77623, 54.47
2023-02-28,CAMLINFINE, EQ,135.05,135.05,139.6,135.05, 139.35,139.25,138.35,171348,237.05,3085, 96670, 56.42
2023-03-01,CAMLINFINE, EQ,139.25,139.9,142.0,138.0, 140.40,140.55,140.69,106547,149.91,5367, 60686, 56.96
2023-03-02,CAMLINFINE, EQ,140.55,140.6,143.6,140.0, 143.60,142.8,141.96,141582,200.99,2821, 87880, 62.07
2023-03-03,CAMLINFINE, EQ,142.8,143.1,144.9,139.4, 144.90,143.55,142.17,362983,516.05,6657, 149482, 41.18
2023-03-06,CAMLINFINE, EQ,143.55,145.0,149.3,143.2, 148.30,148.5,146.45,437223,640.3,9056, 176336, 40.33
2023-03-08,CAMLINFINE, EQ,148.5,147.95,147.95,141.0, 147.50,145.2,144.36,262618,379.12,4689, 119802, 45.62
2023-03-09,CAMLINFINE, EQ,145.2,145.4,149.5,144.3, 147.45,146.8,147.11,142084,209.01,3077, 67239, 47.32
2023-03-10,CAMLINFINE, EQ,146.8,145.4,147.25,143.65, 147.25,145.75,144.95,106016,153.67,3491, 49314, 46.52
2023-03-13,CAMLINFINE, EQ,145.75,146.0,146.65,143.0, 144.35,143.9,144.06,181241,261.1,2055, 135527, 74.78
2023-03-14,CAMLINFINE, EQ,143.9,144.7,144.7,139.65, 142.15,142.45,142.05,120521,171.2,3297, 70162, 58.22
2023-03-15,CAMLINFINE, EQ,142.45,144.05,148.1,141.5, 142.00,143.3,144.65,228451,330.45,6204, 101533, 44.44
2023-03-16,CAMLINFINE, EQ,143.3,142.1,142.7,136.5, 137.00,136.9,138.39,257025,355.69,8454, 144971, 56.40
2023-03-17,CAMLINFINE, EQ,136.9,137.05,138.85,136.55, 137.30,137.35,137.49,123946,170.42,2087, 71760, 57.90
2023-03-20,CAMLINFINE, EQ,137.35,137.55,137.55,133.1,134.7,133.85,134.58,74297,99.99,2646, 34931, 47.02
2023-03-21,CAMLINFINE, EQ,133.85,135.2,135.65,132.4, 133.00,133.25,133.8,117452,157.15,2650, 65612, 55.86
2023-03-22,CAMLINFINE, EQ,133.25,133.25,136.8,133.25, 135.00,134.45,134.92,104733,141.31,2571, 60006, 57.29
2023-03-23,CAMLINFINE, EQ,134.45,134.4,136.4,131.8, 132.00,132.8,134.03,105835,141.85,2080, 61289, 57.91
2023-03-24,CAMLINFINE, EQ,132.8,132.95,134.4,129.3, 130.10,130.25,132.12,247619,327.16,6356, 79544, 32.12
2023-03-27,CAMLINFINE, EQ,130.25,130.2,131.15,125.35, 126.50,126.5,127.78,251577,321.46,6587, 124749, 49.59
2023-03-28,CAMLINFINE, EQ,126.5,127.2,129.95,124.05, 128.10,128.0,126.81,297082,376.74,6126, 153423, 51.64
2023-03-29,CAMLINFINE, EQ,128.0,126.85,130.75,126.85, 129.55,129.5,128.61,143357,184.38,2684, 88373, 61.65
2023-03-31,CAMLINFINE, EQ,129.5,129.45,132.5,127.05, 127.50,127.45,128.94,172223,222.07,3051, 100601, 58.41
2023-04-03,CAMLINFINE, EQ,127.45,127.95,137.4,126.8, 137.00,135.75,132.65,281912,373.96,6666, 126596, 44.91
2023-04-05,CAMLINFINE, EQ,135.75,135.75,146.75,134.45, 145.10,145.5,142.73,311947,445.23,7314, 167771, 53.78
2023-04-06,CAMLINFINE, EQ,145.5,145.0,145.0,141.55, 142.10,142.65,142.83,147409,210.54,3331, 79492, 53.93
2023-04-10,CAMLINFINE, EQ,142.65,140.35,156.4,140.35, 153.90,154.55,152.12,939823,1429.65,19498, 352910, 37.55
2023-04-11,CAMLINFINE, EQ,154.55,154.6,159.25,152.2, 156.40,156.45,156.35,977199,1527.81,13363, 296116, 30.30
2023-04-12,CAMLINFINE, EQ,156.45,156.0,157.65,154.25, 155.15,155.25,155.73,196861,306.56,4608, 104339, 53.00
2023-04-13,CAMLINFINE, EQ,155.25,154.75,156.45,150.65, 152.40,152.15,152.54,159364,243.1,3781, 88029, 55.24
2023-04-17,CAMLINFINE, EQ,152.15,156.1,173.8,154.85, 165.00,164.85,166.08,2999104,4980.93,37465, 1005511, 33.53
2023-04-18,CAMLINFINE, EQ,164.85,165.85,180.0,165.85, 176.70,175.9,175.55,3576539,6278.7,36800, 972924, 27.20
2023-04-19,CAMLINFINE, EQ,175.9,175.8,176.9,172.0, 173.35,174.0,173.75,829298,1440.87,9157, 321394, 38.75
2023-04-20,CAMLINFINE, EQ,174.0,172.35,175.9,169.2, 170.30,170.55,173.01,666271,1152.72,10659, 353356, 53.03
2023-04-21,CAMLINFINE, EQ,170.55,171.8,174.0,168.4, 170.80,170.95,171.27,658462,1127.74,10676, 260887, 39.62
2023-04-24,CAMLINFINE, EQ,170.95,173.9,176.45,171.9, 175.20,175.45,175.33,905742,1588.07,11968, 525594, 58.03
2023-04-25,CAMLINFINE, EQ,175.45,175.0,176.25,172.55,172.6,173.15,174.48,533977,931.68,8155, 321207, 60.15
2023-04-26,CAMLINFINE, EQ,173.15,173.15,177.2,171.55, 175.50,175.6,174.98,733736,1283.92,9538, 461976, 62.96
2023-04-27,CAMLINFINE, EQ,175.6,175.75,176.7,167.05, 170.05,170.0,172.16,659805,1135.89,9523, 286933, 43.49
2023-04-28,CAMLINFINE, EQ,170.0,171.3,174.9,167.7, 172.45,172.4,171.65,346176,594.21,5959, 157693, 45.55
2023-05-02,CAMLINFINE, EQ,172.4,173.9,178.65,169.05, 173.80,174.35,175.11,760228,1331.24,9501, 373601, 49.14
2023-05-03,CAMLINFINE, EQ,174.35,173.9,176.6,167.8,170.0,169.1,172.92,452193,781.95,12133, 211840, 46.85
2023-05-04,CAMLINFINE, EQ,169.1,171.05,171.95,169.1, 170.00,170.7,170.65,195755,334.06,4399, 101657, 51.93
2023-05-05,CAMLINFINE, EQ,170.7,170.15,172.35,165.9, 167.50,168.05,168.37,701906,1181.79,7728, 437799, 62.37
2023-05-08,CAMLINFINE, EQ,168.05,169.9,171.25,165.65, 165.65,165.95,167.78,276794,464.39,3375, 150417, 54.34
2023-05-09,CAMLINFINE, EQ,165.95,166.75,168.65,164.2,165.55,165.9,165.93,322400,534.96,4283, 185370, 57.50
2023-05-10,CAMLINFINE, EQ,165.9,166.8,169.0,164.5,167.7,166.9,166.2,255848,425.23,3299, 141502, 55.31
2023-05-11,CAMLINFINE, EQ,166.9,166.1,172.6,166.1, 172.60,171.7,170.56,440325,751.02,5535, 233088, 52.94
2023-05-12,CAMLINFINE, EQ,171.7,171.9,175.8,170.15, 173.15,173.5,174.34,677137,1180.5,7201, 337121, 49.79
2023-05-15,CAMLINFINE, EQ,173.5,174.35,174.35,166.2, 169.00,169.15,169.04,311577,526.69,4078, 140583, 45.12
2023-05-16,CAMLINFINE, EQ,169.15,170.2,171.95,166.75,169.8,168.35,169.52,249913,423.65,2703, 157549, 63.04
2023-05-17,CAMLINFINE, EQ,168.35,167.05,174.0,167.05, 172.20,172.75,170.9,320788,548.24,5914, 171571, 53.48
2023-05-18,CAMLINFINE, EQ,172.75,173.85,173.9,168.25, 169.85,169.8,170.97,285291,487.77,2889, 176182, 61.76
2023-05-19,CAMLINFINE, EQ,169.8,169.85,174.85,169.85,173.3,172.7,172.34,291227,501.9,4007, 165213, 56.73
2023-05-22,CAMLINFINE, EQ,172.7,171.1,176.4,171.1,175.4,174.85,174.33,601209,1048.1,5883, 382788, 63.67
2023-05-23,CAMLINFINE, EQ,174.85,169.0,178.95,165.4, 171.45,171.95,172.01,1752871,3015.14,18246, 641949, 36.62
2023-05-24,CAMLINFINE, EQ,171.95,170.5,175.3,170.5, 172.00,173.05,173.21,458535,794.25,6199, 248779, 54.26
2023-05-25,CAMLINFINE, EQ,173.05,172.9,173.1,168.15, 170.00,170.3,170.77,429693,733.78,6355, 275799, 64.19
2023-05-26,CAMLINFINE, EQ,170.3,172.0,172.0,169.25,170.5,170.3,170.25,154335,262.75,3199, 94424, 61.18
2023-05-29,CAMLINFINE, EQ,170.3,170.5,171.35,168.6, 168.60,169.6,169.55,176012,298.43,3179, 104962, 59.63
2023-05-30,CAMLINFINE, EQ,169.6,169.5,170.55,166.4, 167.25,167.2,168.43,230278,387.85,4218, 132996, 57.75
2023-05-31,CAMLINFINE, EQ,167.2,166.1,169.8,163.0, 167.30,168.6,166.82,365086,609.02,5587, 186006, 50.95
2023-06-01,CAMLINFINE, EQ,168.6,169.6,172.5,168.15, 170.95,171.45,170.54,347930,593.35,5084, 206743, 59.42
2023-06-02,CAMLINFINE, EQ,171.45,171.9,171.95,167.15, 167.15,168.3,169.48,398710,675.73,4763, 266662, 66.88
2023-06-05,CAMLINFINE, EQ,168.3,169.4,171.8,168.2, 171.00,170.9,170.21,370668,630.91,4860, 227876, 61.48
2023-06-06,CAMLINFINE, EQ,170.9,171.7,175.9,168.1,169.7,169.45,171.63,721904,1238.97,8679, 290207, 40.20
2023-06-07,CAMLINFINE, EQ,169.45,171.35,171.55,168.0, 169.50,168.95,169.8,217599,369.49,4652, 119808, 55.06
2023-06-08,CAMLINFINE, EQ,168.95,169.85,169.85,165.0, 167.00,166.6,167.09,340104,568.28,5744, 197772, 58.15
2023-06-09,CAMLINFINE, EQ,166.6,167.7,167.7,165.2, 165.95,165.7,166.41,176165,293.16,3398, 98432, 55.87
2023-06-12,CAMLINFINE, EQ,165.7,165.95,171.1,165.3, 169.15,169.9,168.67,345909,583.43,6493, 176758, 51.10
2023-06-13,CAMLINFINE, EQ,169.9,170.9,170.9,167.5, 168.50,169.55,168.82,295759,499.3,5150, 177707, 60.09
2023-06-14,CAMLINFINE, EQ,169.55,171.0,171.25,165.35, 166.50,166.15,167.4,273387,457.64,5756, 184831, 67.61
2023-06-15,CAMLINFINE, EQ,166.15,166.5,169.9,165.7, 166.85,167.35,167.79,299077,501.81,5121, 150052, 50.17
2023-06-16,CAMLINFINE, EQ,167.35,168.0,170.0,166.45, 169.90,169.05,168.74,216499,365.31,3731, 129574, 59.85
2023-06-19,CAMLINFINE, EQ,169.05,171.0,172.05,165.0, 168.00,167.1,168.23,591098,994.41,7046, 330605, 55.93
2023-06-20,CAMLINFINE, EQ,167.1,167.9,170.0,165.0, 166.50,166.95,167.2,360403,602.6,4722, 214939, 59.64
2023-06-21,CAMLINFINE, EQ,166.95,167.0,169.8,165.0, 165.50,165.4,166.58,289456,482.18,4577, 177556, 61.34
2023-06-22,CAMLINFINE, EQ,165.4,166.7,167.0,163.8,163.8,165.1,165.28,290952,480.89,5013, 161996, 55.68
2023-06-23,CAMLINFINE, EQ,165.1,165.1,165.1,157.7, 159.90,158.8,160.86,309632,498.07,6463, 173513, 56.04
2023-06-26,CAMLINFINE, EQ,158.8,159.9,167.9,158.85, 166.30,166.7,164.87,342171,564.14,6057, 181786, 53.13
2023-06-27,CAMLINFINE, EQ,166.7,166.7,169.75,165.0, 167.00,167.35,167.44,320229,536.19,7929, 161532, 50.44
2023-06-28,CAMLINFINE, EQ,167.35,165.7,168.3,163.85, 164.30,164.6,165.24,313056,517.29,6684, 215412, 68.81
2023-06-30,CAMLINFINE, EQ,164.6,164.95,166.25,162.0, 163.10,162.9,163.63,163545,267.61,3827, 89053, 54.45
2023-07-03,CAMLINFINE, EQ,162.9,165.9,166.9,160.8, 163.50,163.6,163.71,417469,683.46,8253, 209881, 50.27
2023-07-04,CAMLINFINE, EQ,163.6,164.85,164.85,158.55, 160.00,159.6,160.97,584871,941.48,6279, 387534, 66.26
2023-07-05,CAMLINFINE, EQ,159.6,159.0,164.25,159.0,160.05,160.1,161.92,701132,1135.31,13972, 353806, 50.46
2023-07-06,CAMLINFINE, EQ,160.1,160.4,163.1,159.0,160.3,160.2,161.05,252297,406.32,3813, 153158, 60.71
2023-07-07,CAMLINFINE, EQ,160.2,160.0,163.3,158.0, 161.00,161.85,161.17,362894,584.89,5413, 163568, 45.07
2023-07-10,CAMLINFINE, EQ,161.85,162.0,162.7,158.2,159.0,158.85,159.77,273537,437.02,4746, 162913, 59.56
2023-07-11,CAMLINFINE, EQ,158.85,159.2,160.9,158.2, 158.75,158.65,159.11,172460,274.4,3295, 104855, 60.80
2023-07-12,CAMLINFINE, EQ,158.65,158.0,159.9,155.9, 156.45,156.2,157.95,1316110,2078.77,8502, 808188, 61.41
2023-07-13,CAMLINFINE, EQ,156.2,158.7,161.95,156.05, 158.00,156.95,158.86,444184,705.61,7659, 207553, 46.73
2023-07-14,CAMLINFINE, EQ,156.95,157.0,160.5,155.85,157.7,158.05,158.35,441096,698.48,5443, 262103, 59.42
2023-07-17,CAMLINFINE, EQ,158.05,158.2,160.25,157.55,158.5,158.15,158.96,276119,438.93,4667, 118259, 42.83
2023-07-18,CAMLINFINE, EQ,158.15,159.7,159.7,156.0, 156.30,156.65,157.17,228106,358.5,4012, 96569, 42.34
