DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,CAPLIPOINT, EQ,713.3,717.1,727.9,712.5, 725.10,723.7,721.84,32121,231.86,3893, 17209, 53.58
2023-01-03,CAPLIPOINT, EQ,723.7,725.1,727.3,722.7, 724.25,724.55,725.57,10757,78.05,1293, 7054, 65.58
2023-01-04,CAPLIPOINT, EQ,724.55,728.2,755.75,724.55, 743.50,745.75,743.99,152468,1134.35,6756, 45750, 30.01
2023-01-05,CAPLIPOINT, EQ,745.75,749.7,749.75,732.95,737.0,737.95,738.99,22042,162.89,2879, 9211, 41.79
2023-01-06,CAPLIPOINT, EQ,737.95,733.95,742.9,721.5,727.95,726.4,729.46,24054,175.46,3059, 13681, 56.88
2023-01-09,CAPLIPOINT, EQ,726.4,730.2,732.6,722.55,731.7,728.7,727.52,23446,170.58,2404, 13176, 56.20
2023-01-10,CAPLIPOINT, EQ,728.7,732.5,732.5,722.0,730.0,729.65,727.03,17023,123.76,1890, 8258, 48.51
2023-01-11,CAPLIPOINT, EQ,729.65,733.5,733.8,726.0, 726.70,727.65,729.15,15877,115.77,1349, 7322, 46.12
2023-01-12,CAPLIPOINT, EQ,727.65,731.25,731.25,715.15, 716.05,719.15,722.19,24139,174.33,1921, 15509, 64.25
2023-01-13,CAPLIPOINT, EQ,719.15,718.0,720.95,710.1,715.0,712.6,713.99,23584,168.39,2111, 15664, 66.42
2023-01-16,CAPLIPOINT, EQ,712.6,716.15,719.4,711.0, 712.75,712.75,714.3,11632,83.09,1111, 6786, 58.34
2023-01-17,CAPLIPOINT, EQ,712.75,716.35,716.5,707.05,712.0,709.5,710.65,17165,121.98,2119, 10053, 58.57
2023-01-18,CAPLIPOINT, EQ,709.5,713.05,713.05,703.45,704.05,704.05,706.89,25294,178.8,3037, 15640, 61.83
2023-01-19,CAPLIPOINT, EQ,704.05,706.15,715.0,701.15, 707.80,705.6,708.14,29524,209.07,3055, 16832, 57.01
2023-01-20,CAPLIPOINT, EQ,705.6,706.0,715.05,691.25,699.25,696.9,701.86,39898,280.03,3551, 22618, 56.69
2023-01-23,CAPLIPOINT, EQ,696.9,699.2,703.1,682.1,684.55,685.25,690.23,46138,318.46,4079, 24524, 53.15
2023-01-24,CAPLIPOINT, EQ,685.25,684.1,695.4,684.1,691.05,693.1,691.9,12248,84.74,1441, 5915, 48.29
2023-01-25,CAPLIPOINT, EQ,693.1,688.05,695.0,684.0, 689.00,687.05,688.98,28357,195.37,3772, 10797, 38.08
2023-01-27,CAPLIPOINT, EQ,687.05,685.0,696.25,671.0, 686.30,685.5,680.03,37656,256.07,4372, 18923, 50.25
2023-01-30,CAPLIPOINT, EQ,685.5,689.1,690.85,679.3, 680.05,682.8,685.5,18523,126.98,2205, 10980, 59.28
2023-01-31,CAPLIPOINT, EQ,682.8,686.15,698.0,682.5,696.05,692.95,689.41,32325,222.85,4867, 17643, 54.58
2023-02-01,CAPLIPOINT, EQ,692.95,696.15,711.9,690.05, 693.95,693.05,701.27,23645,165.81,3380, 10391, 43.95
2023-02-02,CAPLIPOINT, EQ,693.05,694.0,709.85,693.05, 696.25,699.15,702.89,22654,159.23,3719, 10272, 45.34
2023-02-03,CAPLIPOINT, EQ,699.15,693.0,701.7,684.0, 690.70,693.4,694.66,26454,183.77,3773, 13401, 50.66
2023-02-06,CAPLIPOINT, EQ,693.4,692.8,716.25,692.05, 692.50,695.15,703.86,31599,222.41,3421, 11851, 37.50
2023-02-07,CAPLIPOINT, EQ,695.15,695.0,707.7,692.9, 705.00,705.9,702.54,33825,237.63,3102, 16420, 48.54
2023-02-08,CAPLIPOINT, EQ,705.9,706.0,707.85,699.5, 706.00,705.4,703.08,24173,169.96,2160, 12719, 52.62
2023-02-09,CAPLIPOINT, EQ,705.4,707.85,707.85,700.55, 704.80,703.25,703.41,9733,68.46,1710, 5230, 53.73
2023-02-10,CAPLIPOINT, EQ,703.25,700.5,717.0,700.5, 714.00,712.7,712.1,27491,195.76,1940, 14796, 53.82
2023-02-13,CAPLIPOINT, EQ,712.7,723.4,726.95,687.05,706.2,704.5,705.21,74415,524.78,7720, 31770, 42.69
2023-02-14,CAPLIPOINT, EQ,704.5,708.05,709.95,690.0,693.0,696.55,699.84,86669,606.55,7339, 34705, 40.04
2023-02-15,CAPLIPOINT, EQ,696.55,686.1,699.0,680.55, 684.00,683.75,686.98,198356,1362.66,5288, 162203, 81.77
2023-02-16,CAPLIPOINT, EQ,683.75,687.15,698.0,685.05, 694.00,692.3,690.39,40142,277.14,3155, 18704, 46.59
2023-02-17,CAPLIPOINT, EQ,692.3,691.55,692.35,685.0, 687.00,686.9,687.38,17228,118.42,1897, 8762, 50.86
2023-02-20,CAPLIPOINT, EQ,686.9,686.2,689.05,680.55, 681.00,681.7,683.5,24753,169.19,2079, 13020, 52.60
2023-02-21,CAPLIPOINT, EQ,681.7,681.0,682.6,672.0, 674.00,673.2,674.29,43827,295.52,2872, 24752, 56.48
2023-02-22,CAPLIPOINT, EQ,673.2,674.95,688.0,669.0, 669.00,670.75,678.62,61132,414.85,5702, 28596, 46.78
2023-02-23,CAPLIPOINT, EQ,670.75,670.75,674.0,665.0,668.0,666.15,666.99,34372,229.26,3959, 18412, 53.57
2023-02-24,CAPLIPOINT, EQ,666.15,668.05,674.8,665.0, 670.00,668.5,667.97,50416,336.77,7648, 20479, 40.62
2023-02-27,CAPLIPOINT, EQ,668.5,663.1,679.0,657.85, 665.00,663.3,664.84,71703,476.71,9889, 22203, 30.97
2023-02-28,CAPLIPOINT, EQ,663.3,657.3,664.95,650.95, 652.55,653.25,656.08,64582,423.71,6104, 23198, 35.92
2023-03-01,CAPLIPOINT, EQ,653.25,656.0,663.4,654.95, 662.40,659.9,658.83,27030,178.08,4177, 13612, 50.36
2023-03-02,CAPLIPOINT, EQ,659.9,660.0,664.85,655.0, 660.00,655.85,658.47,32954,216.99,2464, 18722, 56.81
2023-03-03,CAPLIPOINT, EQ,655.85,658.45,674.0,656.05, 659.05,663.85,664.1,73851,490.44,5696, 15702, 21.26
2023-03-06,CAPLIPOINT, EQ,663.85,667.3,678.25,660.0, 662.00,666.15,669.06,67751,453.3,5260, 29557, 43.63
