DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,CDSL, EQ,1115.3,1120.9,1163.85,1116.15, 1162.55,1155.75,1146.76,457390,5245.19,29988, 175403, 38.35
2023-01-03,CDSL, EQ,1155.75,1162.55,1164.5,1146.1, 1153.10,1153.2,1153.43,197929,2282.98,14440, 71727, 36.24
2023-01-04,CDSL, EQ,1153.2,1154.1,1157.1,1130.65, 1136.00,1134.6,1139.23,164361,1872.45,14289, 78599, 47.82
2023-01-05,CDSL, EQ,1134.6,1140.1,1149.0,1124.2,1130.0,1127.75,1133.92,146371,1659.72,14497, 64828, 44.29
2023-01-06,CDSL, EQ,1127.75,1132.8,1132.8,1115.0,1118.2,1117.3,1120.15,138798,1554.74,13114, 68059, 49.03
2023-01-09,CDSL, EQ,1117.3,1123.0,1127.9,1101.0,1108.0,1106.3,1113.98,227670,2536.19,19431, 116078, 50.99
2023-01-10,CDSL, EQ,1106.3,1109.8,1112.4,1100.0,1103.0,1102.35,1103.26,181316,2000.38,17655, 101756, 56.12
2023-01-11,CDSL, EQ,1102.35,1103.0,1108.2,1095.0, 1096.10,1096.2,1099.24,173542,1907.65,18149, 96388, 55.54
2023-01-12,CDSL, EQ,1096.2,1099.8,1100.85,1076.1, 1078.00,1078.65,1082.04,363504,3933.27,42484, 239388, 65.86
2023-01-13,CDSL, EQ,1078.65,1083.7,1086.4,1073.35,1077.9,1077.65,1078.34,250751,2703.95,21583, 148237, 59.12
2023-01-16,CDSL, EQ,1077.65,1080.65,1087.8,1066.7, 1070.30,1070.45,1075.01,280315,3013.41,25405, 152359, 54.35
2023-01-17,CDSL, EQ,1070.45,1072.0,1073.55,1054.75,1061.1,1060.75,1060.81,315220,3343.87,27664, 190773, 60.52
2023-01-18,CDSL, EQ,1060.75,1061.2,1065.05,1054.0,1059.0,1056.8,1059.05,218790,2317.11,18456, 121889, 55.71
2023-01-19,CDSL, EQ,1056.8,1056.8,1059.65,1050.2, 1054.00,1053.95,1053.26,220284,2320.17,19428, 119602, 54.29
2023-01-20,CDSL, EQ,1053.95,1050.1,1058.25,1050.1,1053.0,1052.3,1054.15,195506,2060.92,15995, 101514, 51.92
2023-01-23,CDSL, EQ,1052.3,1056.8,1071.6,1053.75,1057.0,1057.95,1062.53,262066,2784.52,19941, 108846, 41.53
2023-01-24,CDSL, EQ,1057.95,1063.0,1063.0,1043.45,1047.25,1046.7,1050.2,302121,3172.87,30730, 176729, 58.50
2023-01-25,CDSL, EQ,1046.7,1048.8,1051.95,1026.0, 1033.00,1028.0,1031.3,349637,3605.82,39769, 211527, 60.50
2023-01-27,CDSL, EQ,1028.0,1035.0,1035.75,1005.1, 1020.00,1014.9,1013.54,417675,4233.29,48666, 220156, 52.71
2023-01-30,CDSL, EQ,1014.9,1014.0,1030.0,1002.75, 1012.00,1015.9,1018.36,229676,2338.94,23241, 115044, 50.09
2023-01-31,CDSL, EQ,1015.9,1017.0,1044.0,1013.05,1044.0,1041.65,1034.3,225236,2329.61,21389, 109470, 48.60
2023-02-01,CDSL, EQ,1041.65,1049.0,1064.95,1013.05, 1021.95,1021.7,1045.18,374505,3914.24,30133, 144874, 38.68
2023-02-02,CDSL, EQ,1021.7,999.9,1039.0,999.0, 1010.00,1008.5,1017.79,425041,4326.01,38516, 180685, 42.51
2023-02-03,CDSL, EQ,1008.5,1010.0,1020.0,1005.0, 1009.00,1009.9,1009.65,277860,2805.42,23831, 136669, 49.19
2023-02-06,CDSL, EQ,1009.9,1010.0,1014.85,1006.0, 1011.50,1009.85,1010.36,182949,1848.44,18031, 96536, 52.77
2023-02-07,CDSL, EQ,1009.85,1014.8,1015.2,999.15, 1002.50,1001.15,1003.98,282784,2839.11,28925, 165302, 58.46
2023-02-08,CDSL, EQ,1001.15,990.0,1004.0,981.1, 988.00,989.7,991.3,530546,5259.28,45787, 243090, 45.82
2023-02-09,CDSL, EQ,989.7,994.65,1004.0,980.0, 1002.20,1000.65,988.61,613917,6069.24,43454, 244380, 39.81
2023-02-10,CDSL, EQ,1000.65,1002.05,1024.0,998.0, 1001.30,1001.15,1009.47,412052,4159.52,28112, 157650, 38.26
2023-02-13,CDSL, EQ,1001.15,1001.15,1004.35,987.0,989.85,990.2,991.37,254899,2527.0,25476, 139190, 54.61
2023-02-14,CDSL, EQ,990.2,992.8,997.75,982.0,986.6,984.15,985.79,220770,2176.34,20755, 116581, 52.81
2023-02-15,CDSL, EQ,984.15,982.0,994.4,982.0, 987.40,988.1,987.13,224981,2220.86,16931, 94459, 41.99
2023-02-16,CDSL, EQ,988.1,990.0,1017.95,990.0, 998.00,998.5,1003.48,401387,4027.82,26422, 158505, 39.49
2023-02-17,CDSL, EQ,998.5,999.0,1012.4,998.5, 1007.65,1007.3,1007.81,242077,2439.68,17508, 101236, 41.82
2023-02-20,CDSL, EQ,1007.3,1012.3,1012.3,992.05, 994.20,995.0,999.78,210272,2102.26,18066, 103935, 49.43
2023-02-21,CDSL, EQ,995.0,1000.0,1004.9,995.0, 996.00,997.05,999.73,170797,1707.51,14183, 94820, 55.52
2023-02-22,CDSL, EQ,997.05,997.8,1001.7,988.0, 999.00,997.55,994.14,240964,2395.52,21458, 128122, 53.17
2023-02-23,CDSL, EQ,997.55,999.0,1001.1,985.7,997.0,994.35,992.99,211834,2103.5,19758, 108411, 51.18
2023-02-24,CDSL, EQ,994.35,998.9,1000.85,990.0, 991.30,991.2,993.96,171058,1700.24,18027, 89382, 52.25
2023-02-27,CDSL, EQ,991.2,992.0,992.0,972.1, 981.00,979.8,979.7,376442,3688.02,26603, 251328, 66.76
2023-02-28,CDSL, EQ,979.8,975.0,999.9,972.4, 995.00,989.4,981.47,238335,2339.18,21166, 129625, 54.39
2023-03-01,CDSL, EQ,989.4,995.0,996.0,989.05, 992.10,992.85,992.72,158874,1577.18,14104, 83049, 52.27
2023-03-02,CDSL, EQ,992.85,996.0,1009.0,985.0, 987.70,988.0,999.11,311124,3108.46,18696, 117115, 37.64
2023-03-03,CDSL, EQ,988.0,993.2,1006.0,993.0, 999.40,999.6,1001.33,215562,2158.48,13928, 94446, 43.81
2023-03-06,CDSL, EQ,999.6,1004.0,1037.65,1001.3, 1017.40,1014.95,1023.45,709960,7266.09,36923, 223399, 31.47
2023-03-08,CDSL, EQ,1014.95,1013.95,1021.7,1005.3, 1016.00,1013.25,1014.11,214385,2174.1,14617, 84249, 39.30
2023-03-09,CDSL, EQ,1013.25,1017.5,1019.0,988.2, 996.00,994.9,1004.58,287161,2884.75,19103, 160752, 55.98
2023-03-10,CDSL, EQ,994.9,980.0,1007.3,980.0, 1007.00,1002.8,993.68,260506,2588.59,19604, 128593, 49.36
2023-03-13,CDSL, EQ,1002.8,1001.85,1008.05,975.0, 979.70,978.15,986.24,380998,3757.57,32297, 200436, 52.61
2023-03-14,CDSL, EQ,978.15,980.1,985.4,971.0, 978.00,975.6,976.86,231784,2264.19,20348, 118782, 51.25
2023-03-15,CDSL, EQ,975.6,980.1,994.8,969.0, 972.55,970.7,981.8,371327,3645.68,23154, 141010, 37.97
2023-03-16,CDSL, EQ,970.7,970.0,973.8,950.2, 954.60,952.2,955.33,380628,3636.24,31963, 186240, 48.93
2023-03-17,CDSL, EQ,952.2,957.9,968.95,947.9, 950.50,950.05,953.48,264443,2521.41,22821, 131931, 49.89
2023-03-20,CDSL, EQ,950.05,950.0,955.0,930.0,951.15,951.3,941.16,446048,4198.02,30211, 221439, 49.64
2023-03-21,CDSL, EQ,951.3,955.9,971.7,952.7, 964.00,964.7,964.18,284834,2746.3,16581, 134381, 47.18
2023-03-22,CDSL, EQ,964.7,969.5,978.7,966.0, 968.20,968.65,971.63,234233,2275.89,18661, 107646, 45.96
2023-03-23,CDSL, EQ,968.65,968.0,968.0,950.05, 954.00,952.25,958.17,185547,1777.85,15834, 92189, 49.68
2023-03-24,CDSL, EQ,952.25,950.2,956.5,938.0, 940.80,940.25,945.89,213653,2020.92,18959, 108175, 50.63
2023-03-27,CDSL, EQ,940.25,930.0,935.0,905.0, 908.25,911.25,919.85,434057,3992.66,35027, 245032, 56.45
2023-03-28,CDSL, EQ,911.25,911.3,917.95,880.9, 884.00,885.7,898.0,470848,4228.22,37616, 262461, 55.74
2023-03-29,CDSL, EQ,885.7,887.1,909.95,887.0, 893.00,891.1,894.43,483883,4327.99,25732, 230447, 47.62
2023-03-31,CDSL, EQ,891.1,896.45,927.8,896.45, 907.00,908.75,911.74,707266,6448.41,37357, 307531, 43.48
2023-04-03,CDSL, EQ,908.75,913.0,932.0,910.75, 931.95,927.45,925.31,297588,2753.6,17290, 104501, 35.12
2023-04-05,CDSL, EQ,927.45,934.8,953.25,930.1, 952.50,951.45,942.38,249491,2351.16,15944, 113169, 45.36
2023-04-06,CDSL, EQ,951.45,956.0,977.95,952.25, 973.80,973.8,966.93,323039,3123.56,18533, 129291, 40.02
2023-04-10,CDSL, EQ,973.8,981.0,994.0,971.2, 990.00,992.15,984.71,284143,2797.99,17180, 121634, 42.81
2023-04-11,CDSL, EQ,992.15,997.9,1005.0,987.0, 997.10,999.0,999.17,350844,3505.51,22004, 149271, 42.55
2023-04-12,CDSL, EQ,999.0,1002.75,1004.0,993.6, 999.95,997.05,998.63,223318,2230.11,13969, 119685, 53.59
2023-04-13,CDSL, EQ,997.05,998.9,1002.95,988.75, 1000.00,999.6,997.27,178980,1784.91,11068, 75896, 42.40
2023-04-17,CDSL, EQ,999.6,999.55,1016.0,987.0, 1002.70,1003.25,1002.47,325647,3264.51,16092, 160639, 49.33
2023-04-18,CDSL, EQ,1003.25,1008.8,1015.25,999.4, 1012.00,1011.35,1010.91,231702,2342.3,14135, 119204, 51.45
