DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,CENTRUM, EQ,25.35,25.75,25.75,24.6, 24.80,24.75,25.1,258153,64.81,901, 164935, 63.89
2023-01-03,CENTRUM, EQ,24.75,24.75,25.55,24.3, 24.65,24.65,24.91,366848,91.39,1032, 166096, 45.28
2023-01-04,CENTRUM, EQ,24.65,25.0,25.35,24.25, 24.60,24.4,24.72,222143,54.91,1075, 110727, 49.84
2023-01-05,CENTRUM, EQ,24.4,24.55,24.8,24.1,24.4,24.3,24.37,80988,19.74,551, 59363, 73.30
2023-01-06,CENTRUM, EQ,24.3,24.65,24.65,23.85,24.15,24.25,24.21,109688,26.56,646, 77083, 70.27
2023-01-09,CENTRUM, EQ,24.25,24.45,24.45,23.85,24.05,24.0,24.13,65372,15.78,403, 43411, 66.41
2023-01-10,CENTRUM, EQ,24.0,24.25,24.3,23.8,24.0,23.9,24.03,105218,25.29,467, 91061, 86.55
2023-01-11,CENTRUM, EQ,23.9,23.75,24.2,23.75, 23.90,23.8,23.95,86507,20.72,594, 60560, 70.01
2023-01-12,CENTRUM, EQ,23.8,23.9,24.4,23.75, 24.10,24.15,24.09,123591,29.77,552, 79358, 64.21
2023-01-13,CENTRUM, EQ,24.15,24.4,24.5,23.9,24.15,24.25,24.13,99345,23.97,386, 69829, 70.29
2023-01-16,CENTRUM, EQ,24.25,24.7,24.7,23.75, 23.85,23.9,24.07,95298,22.94,538, 64021, 67.18
2023-01-17,CENTRUM, EQ,23.9,24.3,24.3,23.95,24.15,24.15,24.08,88687,21.36,249, 75621, 85.27
2023-01-18,CENTRUM, EQ,24.15,24.45,24.45,23.75,23.95,23.9,23.95,52138,12.49,297, 42323, 81.17
2023-01-19,CENTRUM, EQ,23.9,23.9,24.05,23.55, 23.75,23.65,23.76,63833,15.16,488, 45816, 71.77
2023-01-20,CENTRUM, EQ,23.65,23.8,26.2,23.6,24.7,24.6,25.35,1155126,292.83,2996, 736374, 63.75
2023-01-23,CENTRUM, EQ,24.6,25.1,25.25,24.35,24.75,24.65,24.73,100475,24.85,617, 44797, 44.59
2023-01-24,CENTRUM, EQ,24.65,24.95,25.0,24.1,24.75,24.5,24.59,68211,16.77,462, 41700, 61.13
