DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,CENTUM, EQ,716.5,718.5,729.5,701.05, 706.40,707.2,716.99,27300,195.74,3118, 10170, 37.25
2023-01-03,CENTUM, EQ,707.2,707.2,723.95,683.65, 690.00,689.3,694.7,36273,251.99,2622, 20992, 57.87
2023-01-04,CENTUM, EQ,689.3,690.0,734.85,682.05, 730.00,724.55,718.11,177394,1273.89,11446, 52804, 29.77
2023-01-05,CENTUM, EQ,724.55,738.85,743.95,728.15,732.0,732.8,734.17,50727,372.42,3883, 15869, 31.28
2023-01-06,CENTUM, EQ,732.8,738.65,747.45,712.0,713.2,722.25,737.22,48831,359.99,3719, 18988, 38.89
2023-01-09,CENTUM, EQ,722.25,724.0,724.85,702.05,708.5,708.9,716.38,15962,114.35,1756, 5374, 33.67
2023-01-10,CENTUM, EQ,708.9,707.0,725.0,701.6,709.0,708.3,713.51,29534,210.73,2819, 15451, 52.32
2023-01-11,CENTUM, EQ,708.3,708.0,713.45,686.55, 696.95,692.45,700.93,21365,149.75,3270, 10650, 49.85
2023-01-12,CENTUM, EQ,692.45,699.35,723.65,685.1, 685.15,691.15,707.26,35410,250.44,3935, 16702, 47.17
2023-01-13,CENTUM, EQ,691.15,685.0,688.75,648.0,673.8,673.55,668.68,49033,327.88,6248, 18036, 36.78
2023-01-16,CENTUM, EQ,673.55,673.85,703.3,659.2, 686.35,690.65,681.79,26761,182.46,4319, 7179, 26.83
2023-01-17,CENTUM, EQ,690.65,680.3,696.35,673.15,674.0,679.65,683.99,10540,72.09,1546, 3873, 36.75
2023-01-18,CENTUM, EQ,679.65,679.45,684.95,666.9,671.95,670.7,675.94,6750,45.63,1094, 3319, 49.17
2023-01-19,CENTUM, EQ,670.7,666.05,681.45,661.0, 665.00,666.35,668.67,10496,70.18,1659, 4252, 40.51
2023-01-20,CENTUM, EQ,666.35,660.2,678.3,651.0,654.9,656.15,663.98,6559,43.55,1054, 2844, 43.36
2023-01-23,CENTUM, EQ,656.15,661.4,667.35,656.0,657.0,658.35,661.28,9249,61.16,1612, 3251, 35.15
