DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,CHEMCON, EQ,298.9,301.9,301.9,296.6, 300.00,299.55,298.58,64422,192.35,2884, 38786, 60.21
2023-01-03,CHEMCON, EQ,299.55,301.9,303.0,296.9, 298.60,298.4,299.98,77711,233.12,3840, 38156, 49.10
2023-01-04,CHEMCON, EQ,298.4,299.0,299.0,290.4, 291.60,291.05,292.89,111057,325.28,5021, 70606, 63.58
2023-01-05,CHEMCON, EQ,291.05,292.55,293.65,287.0,290.2,288.85,289.07,91672,265.0,4923, 46573, 50.80
2023-01-06,CHEMCON, EQ,288.85,290.05,291.2,280.7,284.3,283.85,285.13,101063,288.16,4810, 51232, 50.69
2023-01-09,CHEMCON, EQ,283.85,287.0,289.55,283.0,285.4,284.6,286.67,43298,124.12,2164, 22723, 52.48
2023-01-10,CHEMCON, EQ,284.6,287.0,288.9,284.55,287.6,287.3,286.77,32199,92.34,2099, 18379, 57.08
2023-01-11,CHEMCON, EQ,287.3,287.35,291.95,287.35, 289.25,289.5,289.99,30630,88.82,1826, 15336, 50.07
2023-01-12,CHEMCON, EQ,289.5,291.0,291.85,288.0, 290.30,290.1,290.09,25340,73.51,1352, 12667, 49.99
2023-01-13,CHEMCON, EQ,290.1,292.95,292.95,287.35,288.1,290.3,290.35,25398,73.74,1433, 9255, 36.44
2023-01-16,CHEMCON, EQ,290.3,290.3,291.7,283.05, 286.50,286.25,287.59,33569,96.54,2258, 18903, 56.31
2023-01-17,CHEMCON, EQ,286.25,286.0,289.65,285.55,286.35,286.85,287.32,22779,65.45,1263, 10076, 44.23
2023-01-18,CHEMCON, EQ,286.85,286.0,293.0,286.0,288.95,289.35,290.19,31996,92.85,1783, 14578, 45.56
2023-01-19,CHEMCON, EQ,289.35,290.95,290.95,286.45, 287.65,287.0,288.16,24875,71.68,1475, 10369, 41.68
2023-01-20,CHEMCON, EQ,287.0,287.65,290.1,286.65,286.7,287.35,287.93,29927,86.17,1139, 16281, 54.40
2023-01-23,CHEMCON, EQ,287.35,288.0,289.9,285.2,285.55,286.15,286.23,22829,65.34,1381, 10852, 47.54
2023-01-24,CHEMCON, EQ,286.15,285.0,287.5,283.65,286.75,285.9,285.79,22587,64.55,1541, 9871, 43.70
2023-01-25,CHEMCON, EQ,285.9,286.8,286.8,278.0, 280.80,280.3,280.77,53460,150.1,2364, 34431, 64.41
2023-01-27,CHEMCON, EQ,280.3,283.95,283.95,272.0, 276.00,274.85,275.14,47223,129.93,3326, 26570, 56.26
2023-01-30,CHEMCON, EQ,274.85,275.95,279.9,271.0, 272.00,273.1,274.48,42457,116.53,2150, 25277, 59.54
2023-01-31,CHEMCON, EQ,273.1,275.6,283.95,273.05,283.0,280.65,278.32,44241,123.13,2637, 17196, 38.87
2023-02-01,CHEMCON, EQ,280.65,281.0,288.8,274.15, 277.90,277.1,282.51,50929,143.88,3239, 21387, 41.99
2023-02-02,CHEMCON, EQ,277.1,279.0,282.4,276.0, 277.40,276.95,278.62,31395,87.47,2242, 16533, 52.66
2023-02-03,CHEMCON, EQ,276.95,278.0,280.0,274.0, 275.05,275.6,275.45,37516,103.34,1958, 19878, 52.99
2023-02-06,CHEMCON, EQ,275.6,277.95,287.2,276.1, 287.00,285.75,281.66,140636,396.12,5408, 69043, 49.09
2023-02-07,CHEMCON, EQ,285.75,287.0,287.85,277.5, 281.80,279.55,283.07,92274,261.2,3995, 48263, 52.30
2023-02-08,CHEMCON, EQ,279.55,281.8,285.95,276.4, 277.40,277.05,279.57,78845,220.42,3960, 29425, 37.32
2023-02-09,CHEMCON, EQ,277.05,279.0,279.0,275.5, 276.65,276.25,276.64,59312,164.08,2109, 27043, 45.59
2023-02-10,CHEMCON, EQ,276.25,276.25,279.35,275.8, 279.35,277.85,277.69,60690,168.53,2629, 30135, 49.65
2023-02-13,CHEMCON, EQ,277.85,278.0,280.8,276.2,277.65,276.7,278.06,38615,107.37,2311, 17294, 44.79
2023-02-14,CHEMCON, EQ,276.7,280.85,280.85,268.0,269.0,269.55,272.48,68953,187.88,3209, 40451, 58.66
2023-02-15,CHEMCON, EQ,269.55,270.0,271.7,267.35, 268.50,268.45,268.44,60527,162.48,3097, 29555, 48.83
2023-02-16,CHEMCON, EQ,268.45,270.0,275.0,268.3, 271.05,270.95,272.05,70818,192.66,3499, 28999, 40.95
2023-02-17,CHEMCON, EQ,270.95,271.0,273.4,270.45, 271.60,271.55,271.77,35400,96.21,2289, 16885, 47.70
2023-02-20,CHEMCON, EQ,271.55,271.55,273.1,268.5, 270.50,270.15,270.61,40687,110.11,2637, 22340, 54.91
2023-02-21,CHEMCON, EQ,270.15,274.2,274.2,268.5, 269.55,269.3,270.18,23710,64.06,1538, 10783, 45.48
2023-02-22,CHEMCON, EQ,269.3,269.25,269.9,265.7, 266.55,266.0,266.88,44036,117.52,2182, 25151, 57.11
2023-02-23,CHEMCON, EQ,266.0,267.0,268.5,263.3,266.2,265.5,265.87,29027,77.17,2087, 11191, 38.55
2023-02-24,CHEMCON, EQ,265.5,268.15,268.15,263.6, 264.80,264.35,265.44,32101,85.21,1820, 15327, 47.75
