DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,CHEMPLASTS, EQ,459.65,430.35,455.0,430.35, 448.00,446.05,447.86,117194,524.86,5165, 35399, 30.21
2023-01-03,CHEMPLASTS, EQ,446.05,448.75,478.95,448.75, 462.85,463.8,469.72,910475,4276.68,21677, 116174, 12.76
2023-01-04,CHEMPLASTS, EQ,463.8,461.55,470.0,451.85, 466.30,463.7,460.74,190776,878.98,7729, 37704, 19.76
2023-01-05,CHEMPLASTS, EQ,463.7,467.8,474.9,435.1,465.5,466.5,468.94,386327,1811.63,13167, 97310, 25.19
2023-01-06,CHEMPLASTS, EQ,466.5,466.5,467.8,447.6,450.0,449.8,455.3,130419,593.8,6229, 56416, 43.26
2023-01-09,CHEMPLASTS, EQ,449.8,452.3,453.45,425.1,430.85,431.65,433.8,583254,2530.18,13853, 364996, 62.58
2023-01-10,CHEMPLASTS, EQ,431.65,434.7,446.4,423.0,428.95,429.85,435.99,227718,992.83,9006, 57975, 25.46
2023-01-11,CHEMPLASTS, EQ,429.85,435.9,435.9,428.05, 430.00,430.3,430.49,160175,689.54,4620, 82015, 51.20
2023-01-12,CHEMPLASTS, EQ,430.3,434.2,434.2,421.2, 422.20,425.2,427.5,84721,362.18,3443, 39332, 46.43
2023-01-13,CHEMPLASTS, EQ,425.2,422.75,443.35,420.0,440.0,439.3,434.37,207601,901.77,7657, 85739, 41.30
2023-01-16,CHEMPLASTS, EQ,439.3,442.3,454.0,438.4, 452.00,450.65,448.89,221801,995.65,8262, 91215, 41.12
2023-01-17,CHEMPLASTS, EQ,450.65,448.1,459.4,448.1,457.0,456.2,453.48,655087,2970.69,6186, 561002, 85.64
2023-01-18,CHEMPLASTS, EQ,456.2,458.0,458.85,443.0,454.0,447.25,450.49,70305,316.72,3917, 26733, 38.02
2023-01-19,CHEMPLASTS, EQ,447.25,445.05,456.0,442.1, 443.20,444.8,449.54,201146,904.23,5574, 133790, 66.51
2023-01-20,CHEMPLASTS, EQ,444.8,446.95,464.7,444.0,455.0,451.1,456.45,310128,1415.57,9380, 129947, 41.90
2023-01-23,CHEMPLASTS, EQ,451.1,455.6,455.6,446.45,451.4,450.45,450.42,57710,259.94,3102, 22516, 39.02
2023-01-24,CHEMPLASTS, EQ,450.45,453.2,454.25,445.35,446.6,448.0,448.61,106512,477.82,3980, 61716, 57.94
2023-01-25,CHEMPLASTS, EQ,448.0,449.0,451.9,443.0, 447.45,446.3,447.62,63332,283.49,4917, 27073, 42.75
2023-01-27,CHEMPLASTS, EQ,446.3,449.85,452.85,427.4, 433.50,432.0,439.35,113241,497.53,7953, 53595, 47.33
2023-01-30,CHEMPLASTS, EQ,432.0,433.0,449.9,426.35, 440.50,440.5,444.38,142725,634.24,8589, 52510, 36.79
2023-01-31,CHEMPLASTS, EQ,440.5,441.65,446.5,439.55,443.0,441.95,442.98,63037,279.24,5395, 33581, 53.27
2023-02-01,CHEMPLASTS, EQ,441.95,440.15,454.1,426.55, 436.00,432.05,438.7,132270,580.28,8687, 70788, 53.52
2023-02-02,CHEMPLASTS, EQ,432.05,415.0,453.3,415.0, 438.00,433.8,442.32,190941,844.57,15555, 62200, 32.58
2023-02-03,CHEMPLASTS, EQ,433.8,436.2,448.0,425.1, 435.00,434.3,434.1,88912,385.97,5553, 29037, 32.66
2023-02-06,CHEMPLASTS, EQ,434.3,437.2,438.7,423.8, 429.40,427.3,432.03,42138,182.05,2360, 15440, 36.64
2023-02-07,CHEMPLASTS, EQ,427.3,432.7,442.95,426.0, 440.90,439.6,434.08,86324,374.72,3919, 30112, 34.88
2023-02-08,CHEMPLASTS, EQ,439.6,435.05,445.7,430.0, 433.10,434.2,437.28,93179,407.45,3994, 41116, 44.13
2023-02-09,CHEMPLASTS, EQ,434.2,437.2,437.9,432.0, 434.35,433.8,434.79,64837,281.9,5352, 12592, 19.42
2023-02-10,CHEMPLASTS, EQ,433.8,436.2,441.9,430.0, 432.25,430.7,436.7,183494,801.33,9118, 49627, 27.05
2023-02-13,CHEMPLASTS, EQ,430.7,425.0,433.0,415.4,417.8,416.9,420.5,333957,1404.3,13200, 201994, 60.49
2023-02-14,CHEMPLASTS, EQ,416.9,420.0,421.1,413.8,416.0,414.85,416.04,247567,1029.99,3804, 213132, 86.09
2023-02-15,CHEMPLASTS, EQ,414.85,420.4,423.35,412.85, 416.40,419.35,415.63,1209451,5026.87,11912, 1129326, 93.38
2023-02-16,CHEMPLASTS, EQ,419.35,423.0,423.9,415.2, 417.00,418.15,418.22,108139,452.26,5695, 49387, 45.67
2023-02-17,CHEMPLASTS, EQ,418.15,418.0,423.55,413.0, 415.05,415.95,417.66,83891,350.38,3711, 50112, 59.73
2023-02-20,CHEMPLASTS, EQ,415.95,420.0,421.2,404.0, 407.00,406.15,410.73,92715,380.81,6041, 47860, 51.62
2023-02-21,CHEMPLASTS, EQ,406.15,411.5,411.5,392.0, 402.00,401.05,404.49,99495,402.45,3573, 55239, 55.52
2023-02-22,CHEMPLASTS, EQ,401.05,402.05,403.55,393.35, 394.70,395.85,398.5,291423,1161.31,6366, 223812, 76.80
2023-02-23,CHEMPLASTS, EQ,395.85,401.0,403.5,389.0,393.2,394.95,395.69,229393,907.67,10620, 102261, 44.58
2023-02-24,CHEMPLASTS, EQ,394.95,397.6,402.15,381.05, 381.30,382.9,389.25,217741,847.55,9735, 84991, 39.03
2023-02-27,CHEMPLASTS, EQ,382.9,382.0,423.2,373.3, 406.20,408.35,382.68,1042642,3989.96,19098, 728555, 69.88
2023-02-28,CHEMPLASTS, EQ,408.35,412.3,412.8,383.4, 387.50,387.6,394.93,255451,1008.85,11223, 94536, 37.01
