DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,CHEVIOT, EQ,1164.9,1212.0,1224.9,1180.0, 1195.00,1193.35,1199.75,4960,59.51,957, 2111, 42.56
2023-01-03,CHEVIOT, EQ,1193.35,1201.85,1210.0,1189.95, 1193.00,1193.5,1200.21,1472,17.67,370, 1003, 68.14
2023-01-04,CHEVIOT, EQ,1193.5,1200.05,1201.4,1177.0, 1184.00,1189.2,1188.24,1020,12.12,228, 687, 67.35
2023-01-05,CHEVIOT, EQ,1189.2,1189.0,1189.0,1170.0,1171.45,1174.45,1177.84,875,10.31,155, 685, 78.29
2023-01-06,CHEVIOT, EQ,1174.45,1173.5,1174.95,1156.6,1167.95,1163.3,1164.96,1024,11.93,229, 734, 71.68
2023-01-09,CHEVIOT, EQ,1163.3,1174.9,1183.4,1158.0,1169.9,1163.0,1169.59,1019,11.92,204, 645, 63.30
2023-01-10,CHEVIOT, EQ,1163.0,1181.45,1184.95,1153.55,1160.0,1157.85,1165.44,505,5.89,211, 285, 56.44
2023-01-11,CHEVIOT, EQ,1157.85,1170.0,1177.45,1155.05, 1159.00,1159.6,1165.65,651,7.59,259, 366, 56.22
2023-01-12,CHEVIOT, EQ,1159.6,1164.9,1172.9,1151.2, 1157.95,1156.9,1159.93,1184,13.73,250, 873, 73.73
2023-01-13,CHEVIOT, EQ,1156.9,1167.95,1167.95,1150.05,1155.0,1156.3,1158.19,703,8.14,169, 415, 59.03
2023-01-16,CHEVIOT, EQ,1156.3,1161.75,1162.0,1132.6, 1135.00,1139.2,1146.58,1878,21.53,425, 1247, 66.40
2023-01-17,CHEVIOT, EQ,1139.2,1140.05,1157.3,1129.0,1145.9,1141.45,1146.03,1936,22.19,530, 1172, 60.54
2023-01-18,CHEVIOT, EQ,1141.45,1143.45,1152.1,1136.25,1141.2,1145.5,1143.32,707,8.08,262, 396, 56.01
2023-01-19,CHEVIOT, EQ,1145.5,1145.25,1155.0,1133.05, 1140.05,1143.8,1143.68,809,9.25,301, 485, 59.95
2023-01-20,CHEVIOT, EQ,1143.8,1141.5,1147.4,1111.0,1133.0,1134.55,1133.03,1610,18.24,400, 1065, 66.15
2023-01-23,CHEVIOT, EQ,1134.55,1132.1,1168.7,1130.0,1140.0,1139.15,1143.9,1184,13.54,436, 622, 52.53
2023-01-24,CHEVIOT, EQ,1139.15,1138.3,1152.5,1119.9,1148.0,1142.95,1141.53,1734,19.79,461, 1117, 64.42
2023-01-25,CHEVIOT, EQ,1142.95,1147.95,1147.95,1130.45, 1135.85,1138.05,1137.43,737,8.38,243, 500, 67.84
2023-01-27,CHEVIOT, EQ,1138.05,1130.2,1146.5,1110.0, 1124.70,1122.3,1122.57,1584,17.78,459, 899, 56.76
2023-01-30,CHEVIOT, EQ,1122.3,1112.05,1143.3,1112.05, 1118.05,1121.65,1124.36,733,8.24,362, 305, 41.61
2023-01-31,CHEVIOT, EQ,1121.65,1128.55,1135.3,1117.45,1131.5,1128.7,1127.2,779,8.78,254, 438, 56.23
2023-02-01,CHEVIOT, EQ,1128.7,1129.45,1139.5,1080.0, 1093.00,1095.9,1108.75,1921,21.3,427, 1151, 59.92
2023-02-02,CHEVIOT, EQ,1095.9,1113.05,1125.0,1104.4, 1118.00,1118.35,1114.43,1062,11.84,236, 703, 66.20
2023-02-03,CHEVIOT, EQ,1118.35,1121.05,1121.05,1088.05, 1117.00,1103.05,1102.97,2038,22.48,433, 1195, 58.64
2023-02-06,CHEVIOT, EQ,1103.05,1114.35,1119.95,1094.25, 1103.60,1106.9,1109.03,1936,21.47,424, 1148, 59.30
2023-02-07,CHEVIOT, EQ,1106.9,1108.7,1122.8,1106.0, 1106.10,1108.2,1111.72,727,8.08,212, 399, 54.88
2023-02-08,CHEVIOT, EQ,1108.2,1113.5,1121.0,1108.2, 1108.25,1113.1,1113.43,1005,11.19,183, 758, 75.42
2023-02-09,CHEVIOT, EQ,1113.1,1119.7,1125.0,1112.1, 1123.00,1123.25,1121.01,795,8.91,180, 414, 52.08
2023-02-10,CHEVIOT, EQ,1123.25,1125.0,1128.6,1110.05, 1110.10,1118.15,1120.69,957,10.72,233, 565, 59.04
2023-02-13,CHEVIOT, EQ,1118.15,1100.0,1100.0,1074.0,1076.0,1080.15,1082.63,3297,35.69,846, 2171, 65.85
2023-02-14,CHEVIOT, EQ,1080.15,1080.3,1096.95,1075.0,1083.95,1089.3,1083.72,1097,11.89,206, 762, 69.46
2023-02-15,CHEVIOT, EQ,1089.3,1089.9,1097.35,1083.0, 1090.35,1091.55,1090.41,742,8.09,161, 421, 56.74
2023-02-16,CHEVIOT, EQ,1091.55,1070.0,1115.0,1070.0, 1081.10,1090.6,1085.34,1501,16.29,430, 976, 65.02
2023-02-17,CHEVIOT, EQ,1090.6,1090.95,1105.8,1072.1, 1082.00,1085.8,1084.8,760,8.24,222, 405, 53.29
2023-02-20,CHEVIOT, EQ,1085.8,1085.1,1090.5,1040.2, 1067.90,1064.55,1060.22,3284,34.82,637, 2008, 61.14
2023-02-21,CHEVIOT, EQ,1064.55,1073.4,1082.4,1060.0, 1082.40,1075.95,1072.2,795,8.52,185, 490, 61.64
2023-02-22,CHEVIOT, EQ,1075.95,1067.45,1180.0,1055.0, 1132.90,1136.8,1142.59,23419,267.58,4130, 5511, 23.53
2023-02-23,CHEVIOT, EQ,1136.8,1155.0,1178.95,1116.0,1150.0,1143.85,1146.03,4660,53.41,942, 1770, 37.98
2023-02-24,CHEVIOT, EQ,1143.85,1143.0,1158.95,1116.0, 1120.00,1122.45,1128.99,1494,16.87,413, 817, 54.69
2023-02-27,CHEVIOT, EQ,1122.45,1120.0,1125.65,1090.0, 1090.50,1093.8,1105.66,1053,11.64,316, 711, 67.52
2023-02-28,CHEVIOT, EQ,1093.8,1099.1,1099.1,1077.9, 1083.00,1083.15,1083.21,1270,13.76,266, 993, 78.19
2023-03-01,CHEVIOT, EQ,1083.15,1092.1,1105.7,1087.35, 1105.00,1102.25,1100.39,699,7.69,152, 462, 66.09
2023-03-02,CHEVIOT, EQ,1102.25,1109.45,1117.5,1080.0, 1100.00,1090.45,1100.39,1055,11.61,196, 772, 73.18
2023-03-03,CHEVIOT, EQ,1090.45,1082.15,1098.95,1068.05, 1082.25,1085.6,1085.63,1342,14.57,317, 773, 57.60
2023-03-06,CHEVIOT, EQ,1085.6,1098.0,1105.7,1081.55, 1091.25,1096.5,1095.39,987,10.81,294, 614, 62.21
2023-03-08,CHEVIOT, EQ,1096.5,1096.5,1098.35,1074.1, 1088.40,1086.05,1090.0,911,9.93,178, 666, 73.11
2023-03-09,CHEVIOT, EQ,1086.05,1087.25,1099.15,1081.5, 1097.90,1094.0,1095.35,542,5.94,139, 369, 68.08
2023-03-10,CHEVIOT, EQ,1094.0,1089.05,1089.55,1075.0, 1084.10,1082.35,1082.51,966,10.46,195, 720, 74.53
2023-03-13,CHEVIOT, EQ,1082.35,1097.0,1097.0,1075.05, 1081.00,1080.55,1082.66,933,10.1,176, 584, 62.59
2023-03-14,CHEVIOT, EQ,1080.55,1082.05,1082.05,1030.05, 1056.00,1051.8,1053.88,3137,33.06,500, 1992, 63.50
2023-03-15,CHEVIOT, EQ,1051.8,1052.1,1060.7,1045.5, 1049.95,1049.7,1052.56,784,8.25,154, 681, 86.86
2023-03-16,CHEVIOT, EQ,1049.7,1052.85,1056.7,1035.05, 1040.00,1041.25,1042.23,1937,20.19,295, 1443, 74.50
2023-03-17,CHEVIOT, EQ,1041.25,1048.05,1056.05,1030.0, 1040.30,1043.4,1043.63,1266,13.21,330, 795, 62.80
2023-03-20,CHEVIOT, EQ,1043.4,1043.4,1055.5,1002.65,1033.45,1031.0,1025.6,2935,30.1,988, 1374, 46.81
2023-03-21,CHEVIOT, EQ,1031.0,1033.45,1045.45,1025.15, 1034.95,1030.55,1032.79,753,7.78,187, 469, 62.28
2023-03-22,CHEVIOT, EQ,1030.55,1030.85,1043.1,1023.25, 1034.00,1033.75,1030.98,1235,12.73,176, 957, 77.49
2023-03-23,CHEVIOT, EQ,1033.75,1033.0,1040.5,1003.95, 1010.00,1021.7,1031.35,4266,44.0,419, 3728, 87.39
2023-03-24,CHEVIOT, EQ,1021.7,1021.7,1023.3,1011.15, 1014.80,1013.95,1015.41,1118,11.35,198, 831, 74.33
2023-03-27,CHEVIOT, EQ,1013.95,1033.0,1061.95,1010.0, 1012.00,1014.4,1030.24,6219,64.07,625, 4863, 78.20
2023-03-28,CHEVIOT, EQ,1014.4,1014.85,1025.95,991.0, 1000.00,997.25,1003.13,2060,20.66,395, 1351, 65.58
2023-03-29,CHEVIOT, EQ,997.25,999.95,1013.55,960.3, 988.00,978.35,979.95,8713,85.38,1213, 4817, 55.29
2023-03-31,CHEVIOT, EQ,978.35,988.0,1000.7,983.0, 992.00,986.8,993.35,4547,45.17,697, 2738, 60.22
2023-04-03,CHEVIOT, EQ,986.8,999.9,1011.0,979.0, 1005.00,996.65,998.71,2717,27.13,569, 1716, 63.16
2023-04-05,CHEVIOT, EQ,996.65,999.25,1013.5,994.05, 1010.00,1009.1,1005.64,1177,11.84,255, 925, 78.59
2023-04-06,CHEVIOT, EQ,1009.1,1019.7,1024.9,1006.0, 1006.00,1014.15,1016.04,1201,12.2,317, 794, 66.11
2023-04-10,CHEVIOT, EQ,1014.15,1020.35,1025.0,994.7, 1024.00,1018.75,1013.91,2243,22.74,420, 1476, 65.80
2023-04-11,CHEVIOT, EQ,1018.75,1026.95,1080.05,1013.75, 1060.10,1055.4,1051.59,3209,33.75,573, 1980, 61.70
2023-04-12,CHEVIOT, EQ,1055.4,1068.0,1075.0,1054.5, 1074.00,1073.9,1071.76,1756,18.82,225, 1442, 82.12
2023-04-13,CHEVIOT, EQ,1073.9,1067.0,1076.5,1051.65, 1073.00,1073.2,1066.73,931,9.93,256, 607, 65.20
2023-04-17,CHEVIOT, EQ,1073.2,1072.95,1073.0,1001.3, 1018.00,1026.15,1032.92,3756,38.8,419, 2187, 58.23
2023-04-18,CHEVIOT, EQ,1026.15,1020.1,1097.0,1014.95, 1065.40,1064.5,1043.55,1793,18.71,382, 859, 47.91
2023-04-19,CHEVIOT, EQ,1064.5,1064.5,1064.5,1052.0, 1057.20,1056.3,1056.19,1110,11.72,135, 808, 72.79
2023-04-20,CHEVIOT, EQ,1056.3,1049.7,1069.8,1049.5, 1069.70,1063.9,1056.59,856,9.04,226, 489, 57.13
2023-04-21,CHEVIOT, EQ,1063.9,1067.65,1089.55,1061.55, 1085.00,1086.65,1080.27,2937,31.73,435, 2354, 80.15
2023-04-24,CHEVIOT, EQ,1086.65,1086.65,1122.0,1065.7, 1100.00,1098.25,1104.48,2733,30.19,560, 1828, 66.89
2023-04-25,CHEVIOT, EQ,1098.25,1091.15,1111.0,1091.15,1111.0,1107.45,1099.51,761,8.37,229, 454, 59.66
2023-04-26,CHEVIOT, EQ,1107.45,1117.45,1129.95,1107.25, 1125.00,1125.55,1121.34,2284,25.61,348, 1671, 73.16
2023-04-27,CHEVIOT, EQ,1125.55,1133.3,1163.9,1117.7, 1125.00,1130.75,1136.75,2648,30.1,549, 1151, 43.47
2023-04-28,CHEVIOT, EQ,1130.75,1119.3,1151.05,1116.85, 1135.00,1137.1,1138.19,1932,21.99,501, 965, 49.95
2023-05-02,CHEVIOT, EQ,1137.1,1155.0,1165.0,1121.3, 1145.00,1146.75,1146.22,3072,35.21,552, 1752, 57.03
2023-05-03,CHEVIOT, EQ,1146.75,1149.8,1159.0,1138.0,1155.0,1152.85,1151.77,1293,14.89,228, 781, 60.40
2023-05-04,CHEVIOT, EQ,1152.85,1155.8,1155.8,1124.2, 1149.00,1133.75,1138.59,1786,20.34,304, 1131, 63.33
2023-05-05,CHEVIOT, EQ,1133.75,1133.7,1150.05,1128.25, 1128.25,1130.55,1137.91,1192,13.56,226, 764, 64.09
2023-05-08,CHEVIOT, EQ,1130.55,1140.3,1140.3,1121.05, 1121.45,1124.35,1127.66,1134,12.79,196, 822, 72.49
2023-05-09,CHEVIOT, EQ,1124.35,1134.45,1140.0,1123.8,1132.0,1128.9,1129.02,1129,12.75,209, 764, 67.67
2023-05-10,CHEVIOT, EQ,1128.9,1143.25,1143.25,1110.05,1125.0,1121.5,1120.51,990,11.09,260, 622, 62.83
2023-05-11,CHEVIOT, EQ,1121.5,1124.75,1135.0,1121.15, 1126.80,1128.85,1129.73,999,11.29,149, 729, 72.97
2023-05-12,CHEVIOT, EQ,1128.85,1137.05,1137.05,1112.0, 1115.00,1117.8,1121.09,1644,18.43,228, 1109, 67.46
2023-05-15,CHEVIOT, EQ,1117.8,1095.2,1129.05,1095.2, 1124.00,1126.25,1119.99,642,7.19,133, 371, 57.79
2023-05-16,CHEVIOT, EQ,1126.25,1134.45,1138.45,1104.1,1116.0,1113.1,1118.33,1590,17.78,273, 1011, 63.58
2023-05-17,CHEVIOT, EQ,1113.1,1122.35,1130.0,1110.0, 1130.00,1126.6,1121.66,1727,19.37,333, 952, 55.12
2023-05-18,CHEVIOT, EQ,1126.6,1131.85,1185.55,1131.85, 1175.20,1171.85,1166.22,4843,56.48,652, 3110, 64.22
2023-05-19,CHEVIOT, EQ,1171.85,1165.0,1169.0,1155.0,1156.0,1161.65,1163.47,1789,20.81,259, 1113, 62.21
2023-05-22,CHEVIOT, EQ,1161.65,1141.05,1162.0,1141.05,1150.35,1154.7,1153.36,3004,34.65,247, 2368, 78.83
2023-05-23,CHEVIOT, EQ,1154.7,1142.0,1175.95,1142.0, 1160.00,1161.65,1164.12,1118,13.01,230, 697, 62.34
2023-05-24,CHEVIOT, EQ,1161.65,1106.6,1175.0,1106.6, 1168.00,1165.65,1156.72,1453,16.81,239, 767, 52.79
2023-05-25,CHEVIOT, EQ,1165.65,1186.65,1189.0,1112.4, 1135.00,1138.1,1150.83,6137,70.63,795, 2937, 47.86
2023-05-26,CHEVIOT, EQ,1138.1,1130.05,1132.5,1109.95,1125.0,1124.35,1123.9,2557,28.74,343, 1671, 65.35
2023-05-29,CHEVIOT, EQ,1124.35,1112.0,1138.75,1112.0, 1129.65,1125.45,1126.87,1352,15.24,222, 991, 73.30
2023-05-30,CHEVIOT, EQ,1125.45,1138.7,1143.0,1109.95, 1120.00,1118.1,1119.3,1415,15.84,270, 938, 66.29
2023-05-31,CHEVIOT, EQ,1118.1,1136.0,1136.0,1101.15, 1121.80,1113.95,1117.49,1494,16.7,238, 968, 64.79
2023-06-01,CHEVIOT, EQ,1113.95,1120.2,1131.8,1112.2, 1119.90,1120.35,1120.88,1293,14.49,267, 866, 66.98
2023-06-02,CHEVIOT, EQ,1120.35,1128.55,1136.2,1115.0, 1117.05,1120.3,1128.99,2073,23.4,247, 1471, 70.96
2023-06-05,CHEVIOT, EQ,1120.3,1121.65,1131.95,1117.65, 1120.00,1119.65,1122.03,2729,30.62,275, 1879, 68.85
2023-06-06,CHEVIOT, EQ,1119.65,1121.35,1135.05,1119.95,1134.6,1130.95,1127.99,1791,20.2,182, 1319, 73.65
2023-06-07,CHEVIOT, EQ,1130.95,1140.0,1154.6,1125.05, 1153.00,1150.2,1145.65,2844,32.58,329, 2233, 78.52
2023-06-08,CHEVIOT, EQ,1150.2,1158.45,1166.7,1144.05, 1152.10,1150.5,1153.22,712,8.21,182, 399, 56.04
2023-06-09,CHEVIOT, EQ,1150.5,1156.05,1160.0,1141.05, 1153.80,1150.2,1153.29,716,8.26,182, 494, 68.99
