DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,CINELINE, EQ,108.05,108.05,111.25,106.0, 107.20,107.25,108.95,59797,65.15,723, 22338, 37.36
2023-01-03,CINELINE, EQ,107.25,108.1,110.0,108.0, 108.80,108.15,108.6,19244,20.9,353, 9761, 50.72
2023-01-04,CINELINE, EQ,108.15,111.3,111.9,108.05, 108.50,108.65,109.55,49129,53.82,509, 25752, 52.42
2023-01-05,CINELINE, EQ,108.65,110.9,110.9,107.15,107.55,108.7,108.33,13610,14.74,416, 7152, 52.55
2023-01-06,CINELINE, EQ,108.7,108.7,109.0,107.25,107.8,107.95,108.08,8600,9.29,181, 4933, 57.36
2023-01-09,CINELINE, EQ,107.95,108.45,109.5,104.2,105.25,106.8,107.31,59631,63.99,856, 28070, 47.07
2023-01-10,CINELINE, EQ,106.8,107.0,110.0,106.0,107.8,107.35,108.3,44492,48.19,540, 18576, 41.75
2023-01-11,CINELINE, EQ,107.35,107.1,108.9,106.5, 108.50,108.4,107.72,16167,17.42,332, 11604, 71.78
2023-01-12,CINELINE, EQ,108.4,108.0,113.0,107.5, 112.00,110.6,109.73,35675,39.15,509, 25873, 72.52
2023-01-13,CINELINE, EQ,110.6,111.0,114.0,108.25,109.0,108.9,110.16,18597,20.49,491, 11032, 59.32
2023-01-16,CINELINE, EQ,108.9,109.15,111.75,108.25, 109.70,108.95,110.27,14490,15.98,276, 8611, 59.43
2023-01-17,CINELINE, EQ,108.95,108.9,108.95,107.3,107.8,107.9,108.01,8665,9.36,171, 5424, 62.60
2023-01-18,CINELINE, EQ,107.9,107.9,110.35,107.2,108.05,108.35,109.19,18808,20.54,267, 11467, 60.97
2023-01-19,CINELINE, EQ,108.35,109.0,109.35,107.7, 109.00,108.8,108.5,14208,15.42,168, 10544, 74.21
2023-01-20,CINELINE, EQ,108.8,110.9,117.5,108.8,114.25,114.55,115.26,208707,240.55,2368, 127238, 60.96
2023-01-23,CINELINE, EQ,114.55,116.2,116.2,111.8,112.05,112.15,113.44,85174,96.63,543, 72950, 85.65
2023-01-24,CINELINE, EQ,112.15,114.6,114.9,113.0,113.0,113.3,113.75,26464,30.1,268, 21094, 79.71
2023-01-25,CINELINE, EQ,113.3,113.5,113.85,109.05, 109.30,109.65,110.79,31654,35.07,432, 23896, 75.49
2023-01-27,CINELINE, EQ,109.65,114.4,114.4,104.65, 111.20,110.7,108.82,57199,62.25,1004, 36928, 64.56
