DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,CLNINDIA, EQ,361.7,360.85,367.1,360.85, 363.35,362.65,364.33,18471,67.3,2828, 9176, 49.68
2023-01-03,CLNINDIA, EQ,362.65,360.45,372.2,360.45, 369.10,369.35,367.91,30025,110.47,3368, 14389, 47.92
2023-01-04,CLNINDIA, EQ,369.35,371.5,372.55,360.6, 363.50,362.6,364.57,21132,77.04,2432, 10729, 50.77
2023-01-05,CLNINDIA, EQ,362.6,364.45,365.6,360.0,360.9,360.75,360.9,16890,60.96,2025, 10180, 60.27
2023-01-06,CLNINDIA, EQ,360.75,362.5,362.5,356.4,358.5,358.1,359.12,17773,63.83,4216, 8876, 49.94
2023-01-09,CLNINDIA, EQ,358.1,359.9,361.0,355.0,355.0,356.2,357.83,18251,65.31,2830, 8651, 47.40
2023-01-10,CLNINDIA, EQ,356.2,357.2,358.95,353.0,357.2,357.95,355.42,17172,61.03,1722, 9343, 54.41
2023-01-11,CLNINDIA, EQ,357.95,358.95,359.35,354.5, 357.70,357.0,356.65,17029,60.73,2244, 9357, 54.95
2023-01-12,CLNINDIA, EQ,357.0,358.7,358.7,353.0, 357.00,355.0,354.21,15102,53.49,3606, 8130, 53.83
2023-01-13,CLNINDIA, EQ,355.0,355.5,357.5,351.9,355.8,354.85,353.48,16379,57.9,4405, 7816, 47.72
2023-01-16,CLNINDIA, EQ,354.85,356.2,356.2,350.1, 350.50,350.85,351.4,16084,56.52,2882, 9626, 59.85
2023-01-17,CLNINDIA, EQ,350.85,351.15,351.25,342.7,343.1,343.7,345.68,27305,94.39,4336, 17848, 65.37
2023-01-18,CLNINDIA, EQ,343.7,345.0,346.4,341.55,345.0,344.35,344.53,21712,74.8,5161, 13635, 62.80
2023-01-19,CLNINDIA, EQ,344.35,344.1,346.1,342.5, 346.00,344.35,343.72,19814,68.11,5181, 11824, 59.67
2023-01-20,CLNINDIA, EQ,344.35,345.0,345.4,342.1,342.5,343.5,343.23,15102,51.83,4790, 8918, 59.05
2023-01-23,CLNINDIA, EQ,343.5,342.55,345.0,341.0,342.4,342.75,342.82,14048,48.16,952, 7953, 56.61
2023-01-24,CLNINDIA, EQ,342.75,342.15,345.0,341.6,343.3,343.3,343.56,7447,25.59,623, 4234, 56.86
2023-01-25,CLNINDIA, EQ,343.3,343.3,343.8,338.5, 339.35,339.15,340.03,15654,53.23,1044, 10263, 65.56
2023-01-27,CLNINDIA, EQ,339.15,340.05,340.05,330.05, 332.00,332.05,333.26,20292,67.63,1630, 12515, 61.67
2023-01-30,CLNINDIA, EQ,332.05,333.75,334.15,328.0, 332.00,331.25,331.67,13806,45.79,1162, 6823, 49.42
2023-01-31,CLNINDIA, EQ,331.25,331.6,337.0,329.7,333.1,335.2,334.06,10809,36.11,957, 5521, 51.08
2023-02-01,CLNINDIA, EQ,335.2,335.25,336.75,330.0, 333.00,331.25,333.13,17823,59.37,3012, 10815, 60.68
2023-02-02,CLNINDIA, EQ,331.25,332.95,336.4,321.9, 330.00,328.1,326.73,23900,78.09,3017, 15069, 63.05
2023-02-03,CLNINDIA, EQ,328.1,330.3,336.0,329.0, 331.35,331.95,332.31,16917,56.22,1420, 9646, 57.02
2023-02-06,CLNINDIA, EQ,331.95,335.95,335.95,319.4, 321.70,321.15,323.26,36897,119.27,3679, 25143, 68.14
2023-02-07,CLNINDIA, EQ,321.15,321.15,322.75,315.0, 319.95,317.95,318.04,22289,70.89,1852, 12865, 57.72
2023-02-08,CLNINDIA, EQ,317.95,316.0,319.6,313.1, 319.30,318.55,315.99,27125,85.71,3533, 15260, 56.26
2023-02-09,CLNINDIA, EQ,318.55,318.5,323.0,316.05, 323.00,320.3,318.54,17417,55.48,2432, 8999, 51.67
2023-02-10,CLNINDIA, EQ,320.3,321.85,326.0,320.2, 324.00,321.95,322.15,18632,60.02,984, 13391, 71.87
2023-02-13,CLNINDIA, EQ,321.95,323.6,323.6,315.1,317.0,318.05,317.38,17213,54.63,2740, 10374, 60.27
2023-02-14,CLNINDIA, EQ,318.05,315.2,319.45,309.55,310.4,310.35,311.85,26390,82.3,2755, 17125, 64.89
2023-02-15,CLNINDIA, EQ,310.35,311.95,312.75,307.5, 311.00,309.95,309.41,20955,64.84,2979, 12081, 57.65
2023-02-16,CLNINDIA, EQ,309.95,311.5,316.0,307.95, 315.30,314.45,311.83,19349,60.34,1649, 10826, 55.95
2023-02-17,CLNINDIA, EQ,314.45,314.3,324.25,313.1, 317.65,318.15,319.83,26557,84.94,1575, 11347, 42.73
2023-02-20,CLNINDIA, EQ,318.15,318.2,318.45,311.85, 313.35,313.0,314.48,12439,39.12,1074, 7086, 56.97
2023-02-21,CLNINDIA, EQ,313.0,314.0,314.0,311.0, 313.05,312.4,312.62,8542,26.7,712, 4880, 57.13
2023-02-22,CLNINDIA, EQ,312.4,312.45,313.05,309.55, 311.00,310.85,310.77,8894,27.64,751, 5135, 57.74
2023-02-23,CLNINDIA, EQ,310.85,311.7,314.0,310.0,312.3,312.7,311.79,9190,28.65,791, 5363, 58.36
2023-02-24,CLNINDIA, EQ,312.7,312.45,313.9,310.0, 313.15,312.8,311.56,13775,42.92,884, 8894, 64.57
2023-02-27,CLNINDIA, EQ,312.8,313.9,313.9,305.0, 305.65,305.3,306.87,12887,39.55,889, 8511, 66.04
2023-02-28,CLNINDIA, EQ,305.3,305.1,306.95,302.65, 303.00,303.35,304.78,16924,51.58,1093, 10782, 63.71
2023-03-01,CLNINDIA, EQ,303.35,303.0,309.65,303.0, 307.65,307.95,306.18,12003,36.75,1058, 7481, 62.33
2023-03-02,CLNINDIA, EQ,307.95,308.0,308.9,305.5, 306.55,307.05,307.39,10081,30.99,772, 5920, 58.72
2023-03-03,CLNINDIA, EQ,307.05,309.95,317.9,307.55, 314.55,315.55,314.55,20258,63.72,1430, 11519, 56.86
2023-03-06,CLNINDIA, EQ,315.55,317.15,322.25,314.95, 320.05,320.45,319.82,34588,110.62,1840, 19988, 57.79
2023-03-08,CLNINDIA, EQ,320.45,319.8,320.15,317.1, 319.65,319.5,319.21,12696,40.53,715, 9176, 72.27
2023-03-09,CLNINDIA, EQ,319.5,320.05,323.75,316.9, 319.25,319.55,319.47,8470,27.06,1113, 5333, 62.96
