DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,COFFEEDAY, EQ,47.7,47.9,49.2,47.85, 48.60,48.5,48.54,1583649,768.65,5259, 513227, 32.41
2023-01-03,COFFEEDAY, EQ,48.5,48.6,49.8,48.6, 49.25,49.25,49.28,1574894,776.12,6081, 667712, 42.40
2023-01-04,COFFEEDAY, EQ,49.25,49.4,49.5,48.0, 48.20,48.15,48.46,1000619,484.95,4013, 408791, 40.85
2023-01-05,COFFEEDAY, EQ,48.15,48.45,48.6,47.55,48.1,48.0,48.02,773894,371.63,3365, 356033, 46.01
2023-01-06,COFFEEDAY, EQ,48.0,48.25,48.25,46.8,47.2,47.15,47.41,1001136,474.68,5080, 544704, 54.41
2023-01-09,COFFEEDAY, EQ,47.15,47.55,47.95,47.1,47.3,47.3,47.55,605737,288.05,2697, 307045, 50.69
2023-01-10,COFFEEDAY, EQ,47.3,47.5,48.35,47.1,47.4,47.4,47.64,882650,420.53,3681, 333923, 37.83
2023-01-11,COFFEEDAY, EQ,47.4,47.6,47.75,47.05, 47.20,47.15,47.38,705417,334.25,2909, 330514, 46.85
2023-01-12,COFFEEDAY, EQ,47.15,47.45,48.3,47.05, 47.30,47.25,47.53,813690,386.74,3671, 345213, 42.43
2023-01-13,COFFEEDAY, EQ,47.25,47.35,47.45,46.7,47.2,47.15,47.1,699232,329.37,2754, 366282, 52.38
2023-01-16,COFFEEDAY, EQ,47.15,47.4,47.5,46.4, 46.75,46.65,46.88,951689,446.17,4316, 463197, 48.67
2023-01-17,COFFEEDAY, EQ,46.65,46.75,46.9,45.95,46.1,46.1,46.35,925653,429.05,3772, 529133, 57.16
2023-01-18,COFFEEDAY, EQ,46.1,46.35,46.45,45.95,46.1,46.1,46.23,697106,322.28,2887, 401577, 57.61
2023-01-19,COFFEEDAY, EQ,46.1,45.95,46.4,45.9, 46.20,46.1,46.16,717874,331.35,2767, 388707, 54.15
2023-01-20,COFFEEDAY, EQ,46.1,46.25,46.6,45.65,45.95,45.8,46.13,578327,266.76,4010, 315882, 54.62
2023-01-23,COFFEEDAY, EQ,45.8,46.1,46.3,45.15,45.35,45.35,45.68,592868,270.82,3337, 329968, 55.66
2023-01-24,COFFEEDAY, EQ,45.35,45.3,45.9,45.05,45.5,45.5,45.38,719680,326.59,3955, 352525, 48.98
2023-01-25,COFFEEDAY, EQ,45.5,44.55,45.3,42.75, 43.10,43.0,43.65,2702813,1179.82,12340, 1208940, 44.73
2023-01-27,COFFEEDAY, EQ,43.0,42.0,42.85,40.7, 41.85,41.85,41.71,2078719,867.07,10336, 871466, 41.92
2023-01-30,COFFEEDAY, EQ,41.85,41.85,42.9,40.6, 41.30,41.0,41.56,1193267,495.86,6424, 572295, 47.96
2023-01-31,COFFEEDAY, EQ,41.0,41.55,42.3,40.55,42.25,42.05,41.52,942337,391.26,5247, 451282, 47.89
2023-02-01,COFFEEDAY, EQ,42.05,42.75,43.55,40.65, 41.00,41.0,42.28,1107818,468.41,6070, 489598, 44.19
2023-02-02,COFFEEDAY, EQ,41.0,41.0,41.75,40.05, 40.90,40.7,40.87,950018,388.29,4262, 467151, 49.17
2023-02-03,COFFEEDAY, EQ,40.7,41.0,41.35,39.45, 39.95,39.9,40.16,1410587,566.44,6670, 762097, 54.03
2023-02-06,COFFEEDAY, EQ,39.9,40.0,41.2,40.0, 40.80,40.7,40.69,831471,338.35,4411, 392742, 47.23
2023-02-07,COFFEEDAY, EQ,40.7,41.0,41.1,39.85, 40.30,40.2,40.41,622921,251.75,3935, 303344, 48.70
2023-02-08,COFFEEDAY, EQ,40.2,40.2,40.55,40.1, 40.50,40.45,40.36,675158,272.51,3224, 372715, 55.20
2023-02-09,COFFEEDAY, EQ,40.45,40.15,41.0,40.05, 40.40,40.35,40.46,789838,319.57,3644, 363358, 46.00
2023-02-10,COFFEEDAY, EQ,40.35,39.95,40.6,39.75, 40.35,40.25,40.22,545765,219.53,2787, 329840, 60.44
2023-02-13,COFFEEDAY, EQ,40.25,39.15,39.6,38.25,39.2,39.2,38.99,1655815,645.58,6472, 935420, 56.49
2023-02-14,COFFEEDAY, EQ,39.2,39.5,39.75,38.45,38.7,38.55,38.79,1103814,428.21,4576, 704204, 63.80
2023-02-15,COFFEEDAY, EQ,38.55,38.25,39.65,38.25, 39.10,39.05,38.85,1383504,537.45,4960, 721213, 52.13
2023-02-16,COFFEEDAY, EQ,39.05,39.4,39.65,38.55, 38.70,38.7,39.08,480048,187.62,3032, 266885, 55.60
