DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,COMPINFO, EQ,20.15,20.35,20.35,19.7, 19.90,19.95,19.96,780060,155.69,1903, 419609, 53.79
2023-01-03,COMPINFO, EQ,19.95,20.1,20.65,20.05, 20.45,20.45,20.31,567541,115.28,1804, 296210, 52.19
2023-01-04,COMPINFO, EQ,20.45,20.5,20.7,20.25, 20.30,20.35,20.51,567538,116.38,1685, 300572, 52.96
2023-01-05,COMPINFO, EQ,20.35,20.5,20.95,20.25,20.6,20.65,20.57,401232,82.51,1622, 204839, 51.05
2023-01-06,COMPINFO, EQ,20.65,20.65,20.95,19.85,20.35,20.2,20.26,776459,157.28,2246, 409918, 52.79
2023-01-09,COMPINFO, EQ,20.2,20.5,20.9,19.2,20.05,20.1,20.25,564090,114.2,1837, 249143, 44.17
2023-01-10,COMPINFO, EQ,20.1,20.2,20.45,19.9,20.05,20.05,20.05,271189,54.38,1003, 178174, 65.70
2023-01-11,COMPINFO, EQ,20.05,20.25,20.3,20.0, 20.05,20.1,20.17,260905,52.62,955, 164267, 62.96
2023-01-12,COMPINFO, EQ,20.1,20.25,20.25,20.0, 20.15,20.1,20.11,164930,33.17,673, 97815, 59.31
2023-01-13,COMPINFO, EQ,20.1,20.2,20.3,20.0,20.05,20.1,20.11,190041,38.21,693, 84341, 44.38
2023-01-16,COMPINFO, EQ,20.1,20.2,20.3,19.9, 20.00,19.95,20.07,203142,40.77,854, 117140, 57.66
2023-01-17,COMPINFO, EQ,19.95,20.1,20.15,19.75,19.85,19.85,19.89,184266,36.65,769, 122467, 66.46
2023-01-18,COMPINFO, EQ,19.85,19.95,20.65,19.2,19.4,19.4,19.95,1260924,251.57,2503, 427083, 33.87
2023-01-19,COMPINFO, EQ,19.4,19.25,19.6,19.25, 19.50,19.4,19.39,234466,45.46,896, 150245, 64.08
2023-01-20,COMPINFO, EQ,19.4,19.3,21.25,19.3,20.5,20.45,20.55,2506512,515.1,7002, 732760, 29.23
2023-01-23,COMPINFO, EQ,20.45,20.5,20.6,19.9,20.2,20.2,20.24,446469,90.36,1682, 251496, 56.33
