DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,CONFIPET, EQ,78.1,78.5,79.85,77.5, 79.50,79.15,78.76,941163,741.26,4424, 384317, 40.83
2023-01-03,CONFIPET, EQ,79.15,79.8,83.25,79.55, 81.20,81.2,81.86,2908343,2380.77,12824, 1175922, 40.43
2023-01-04,CONFIPET, EQ,81.2,81.5,82.5,79.05, 80.20,80.2,80.73,1099338,887.49,5272, 471210, 42.86
2023-01-05,CONFIPET, EQ,80.2,80.7,81.5,77.0,78.5,78.35,78.83,1325550,1044.88,7374, 584195, 44.07
2023-01-06,CONFIPET, EQ,78.35,78.35,79.0,76.2,77.6,77.4,77.56,1051990,815.9,5358, 536953, 51.04
2023-01-09,CONFIPET, EQ,77.4,78.3,79.6,77.85,79.0,79.2,78.9,857730,676.72,4196, 504188, 58.78
2023-01-10,CONFIPET, EQ,79.2,79.15,79.95,78.0,78.05,78.65,78.9,526803,415.66,5666, 254936, 48.39
2023-01-11,CONFIPET, EQ,78.65,78.65,80.7,77.85, 79.75,79.55,79.53,1164594,926.18,7512, 481282, 41.33
2023-01-12,CONFIPET, EQ,79.55,79.3,80.4,78.6, 78.90,78.95,79.54,584410,464.86,5253, 241712, 41.36
2023-01-13,CONFIPET, EQ,78.95,79.25,79.95,77.8,78.45,78.3,78.76,671042,528.49,6004, 298096, 44.42
2023-01-16,CONFIPET, EQ,78.3,78.8,79.15,77.75, 78.15,78.05,78.36,375413,294.18,4669, 162676, 43.33
2023-01-17,CONFIPET, EQ,78.05,78.25,78.65,77.25,77.4,77.45,77.84,338460,263.47,3708, 164070, 48.48
2023-01-18,CONFIPET, EQ,77.45,78.0,78.45,77.1,77.45,77.6,77.83,388668,302.49,3603, 205238, 52.81
2023-01-19,CONFIPET, EQ,77.6,77.25,78.2,77.05, 77.10,77.55,77.66,243178,188.85,4021, 105117, 43.23
2023-01-20,CONFIPET, EQ,77.55,77.8,77.8,75.05,75.05,75.8,76.56,687262,526.15,5156, 407149, 59.24
2023-01-23,CONFIPET, EQ,75.8,75.95,76.35,75.05,75.8,75.8,75.59,297310,224.74,2718, 195730, 65.83
2023-01-24,CONFIPET, EQ,75.8,75.95,76.05,74.5,74.65,74.95,75.25,353886,266.28,4077, 207409, 58.61
2023-01-25,CONFIPET, EQ,74.95,74.7,75.25,73.05, 74.25,74.25,73.9,356172,263.21,4147, 174238, 48.92
2023-01-27,CONFIPET, EQ,74.25,73.2,75.15,69.25, 71.05,70.9,71.37,896714,639.94,7230, 479114, 53.43
2023-01-30,CONFIPET, EQ,70.9,70.9,71.95,69.85, 71.00,71.0,70.75,516650,365.55,3594, 218236, 42.24
2023-01-31,CONFIPET, EQ,71.0,71.5,74.8,70.5,74.0,73.55,72.21,530526,383.07,4007, 264018, 49.77
2023-02-01,CONFIPET, EQ,73.55,74.45,74.9,70.0, 71.20,70.95,72.51,780604,566.01,4591, 424425, 54.37
2023-02-02,CONFIPET, EQ,70.95,70.75,71.9,69.95, 70.00,70.35,70.79,594426,420.77,4118, 260689, 43.86
2023-02-03,CONFIPET, EQ,70.35,70.4,71.5,67.45, 69.70,70.75,69.3,884092,612.68,4833, 411251, 46.52
2023-02-06,CONFIPET, EQ,70.75,71.0,72.0,69.3, 70.00,69.65,70.53,489042,344.9,4478, 216878, 44.35
2023-02-07,CONFIPET, EQ,69.65,70.85,70.85,66.7, 68.00,67.85,68.41,828094,566.47,4441, 532418, 64.29
2023-02-08,CONFIPET, EQ,67.85,68.35,69.25,67.0, 68.00,67.8,68.37,546987,374.0,2990, 344029, 62.90
2023-02-09,CONFIPET, EQ,67.8,68.2,68.95,67.25, 68.00,67.45,67.88,391882,266.02,2938, 225786, 57.62
2023-02-10,CONFIPET, EQ,67.45,67.75,68.1,66.6, 66.85,66.9,67.15,607586,407.97,2552, 408498, 67.23
2023-02-13,CONFIPET, EQ,66.9,66.0,66.8,64.3,66.0,66.1,65.66,507243,333.04,3306, 283160, 55.82
2023-02-14,CONFIPET, EQ,66.1,66.3,66.3,64.0,64.4,64.5,64.95,580607,377.1,3379, 376868, 64.91
2023-02-15,CONFIPET, EQ,64.5,64.35,66.0,63.8, 64.80,64.75,64.92,383711,249.1,2575, 159626, 41.60
2023-02-16,CONFIPET, EQ,64.75,65.1,65.9,64.55, 65.00,64.7,65.12,403258,262.61,4164, 234655, 58.19
2023-02-17,CONFIPET, EQ,64.7,64.65,65.95,63.75, 64.60,64.9,64.67,265567,171.75,1832, 167756, 63.17
2023-02-20,CONFIPET, EQ,64.9,65.5,66.25,64.7, 65.20,65.3,65.38,241214,157.7,1830, 148406, 61.52
2023-02-21,CONFIPET, EQ,65.3,65.9,65.9,63.9, 64.40,64.45,64.65,231385,149.59,4343, 114948, 49.68
2023-02-22,CONFIPET, EQ,64.45,64.5,64.75,62.7, 62.90,62.85,63.21,254996,161.18,3541, 156409, 61.34
2023-02-23,CONFIPET, EQ,62.85,62.9,63.3,60.75,62.3,62.25,61.96,315851,195.71,4825, 175868, 55.68
2023-02-24,CONFIPET, EQ,62.25,62.2,62.5,59.6, 59.90,59.95,60.37,786319,474.69,6147, 506955, 64.47
2023-02-27,CONFIPET, EQ,59.95,59.95,59.95,57.5, 58.50,58.5,58.33,408970,238.53,4575, 270255, 66.08
2023-02-28,CONFIPET, EQ,58.5,58.75,61.25,58.0, 60.50,60.65,59.88,999207,598.33,6517, 555898, 55.63
2023-03-01,CONFIPET, EQ,60.65,60.65,61.95,60.4, 60.60,60.9,61.26,634606,388.79,4724, 425358, 67.03
2023-03-02,CONFIPET, EQ,60.9,61.0,61.5,59.1, 59.75,59.6,60.19,250729,150.91,3703, 156871, 62.57
2023-03-03,CONFIPET, EQ,59.6,59.6,60.85,59.5, 59.65,59.7,60.01,472558,283.57,4421, 242123, 51.24
2023-03-06,CONFIPET, EQ,59.7,59.85,60.9,59.85, 60.55,60.35,60.55,316412,191.59,1606, 185758, 58.71
