DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,CORALFINAC, EQ,33.55,34.1,34.1,33.3, 33.75,34.05,33.9,5834,1.98,124, 4492, 77.00
2023-01-03,CORALFINAC, EQ,34.05,33.55,34.5,33.55, 33.95,34.05,34.07,11898,4.05,139, 7999, 67.23
2023-01-04,CORALFINAC, EQ,34.05,34.25,34.3,33.45, 34.00,33.7,33.78,9386,3.17,147, 5332, 56.81
2023-01-05,CORALFINAC, EQ,33.7,33.7,34.15,33.4,33.5,33.55,33.64,11506,3.87,186, 3913, 34.01
2023-01-06,CORALFINAC, EQ,33.55,33.7,34.4,33.2,34.4,33.9,33.65,16178,5.44,255, 2811, 17.38
2023-01-09,CORALFINAC, EQ,33.9,34.5,39.7,33.35,37.5,37.4,37.72,489533,184.65,2590, 201604, 41.18
2023-01-10,CORALFINAC, EQ,37.4,37.0,37.5,35.9,36.5,36.55,36.52,73106,26.7,805, 43923, 60.08
2023-01-11,CORALFINAC, EQ,36.55,37.0,37.0,35.9, 36.30,36.3,36.24,36340,13.17,337, 22913, 63.05
2023-01-12,CORALFINAC, EQ,36.3,36.75,36.8,34.95, 35.00,35.2,35.88,36086,12.95,480, 20158, 55.86
2023-01-13,CORALFINAC, EQ,35.2,35.1,38.3,35.1,36.65,36.6,36.66,49852,18.27,479, 27338, 54.84
2023-01-16,CORALFINAC, EQ,36.6,36.05,36.6,35.6, 36.35,36.05,36.23,17269,6.26,246, 8095, 46.88
2023-01-17,CORALFINAC, EQ,36.05,36.75,36.75,35.25,35.7,35.4,35.67,24493,8.74,321, 10118, 41.31
2023-01-18,CORALFINAC, EQ,35.4,35.3,35.65,34.7,34.8,34.9,35.17,28478,10.02,460, 13263, 46.57
2023-01-19,CORALFINAC, EQ,34.9,35.4,35.6,35.0, 35.15,35.1,35.34,19664,6.95,285, 8771, 44.60
