DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,CORDSCABLE, EQ,63.85,63.85,76.6,63.8, 76.60,76.45,74.03,852140,630.83,7679, 308050, 36.15
2023-01-03,CORDSCABLE, EQ,76.45,78.0,87.9,76.65, 82.85,83.45,83.08,3300741,2742.13,35416, 643859, 19.51
2023-01-04,CORDSCABLE, EQ,83.45,83.0,83.0,77.2, 80.00,79.1,79.56,600442,477.73,5503, 229627, 38.24
2023-01-05,CORDSCABLE, EQ,79.1,79.0,79.5,76.5,78.15,77.55,77.89,263484,205.23,2032, 115581, 43.87
2023-01-06,CORDSCABLE, EQ,77.55,78.0,86.8,78.0,83.1,83.45,83.54,934607,780.8,8248, 319718, 34.21
2023-01-09,CORDSCABLE, EQ,83.45,83.7,86.7,80.35,81.0,80.95,83.16,264423,219.9,2508, 139118, 52.61
2023-01-10,CORDSCABLE, EQ,80.95,81.35,81.4,78.0,80.1,79.1,79.19,118442,93.79,1383, 58528, 49.41
2023-01-11,CORDSCABLE, EQ,79.1,79.7,82.8,79.2, 80.50,80.95,81.27,159409,129.56,1583, 77291, 48.49
2023-01-12,CORDSCABLE, EQ,80.95,81.55,81.9,77.3, 78.90,78.45,78.56,190199,149.41,1807, 93260, 49.03
2023-01-13,CORDSCABLE, EQ,78.45,79.0,79.0,77.1,78.2,78.5,78.12,87459,68.32,1193, 42491, 48.58
2023-01-16,CORDSCABLE, EQ,78.5,78.9,79.9,77.2, 78.10,77.75,78.28,80520,63.03,1291, 34351, 42.66
2023-01-17,CORDSCABLE, EQ,77.75,77.75,79.8,77.0,77.95,78.15,78.11,65435,51.11,1117, 26558, 40.59
2023-01-18,CORDSCABLE, EQ,78.15,78.2,79.2,77.25,77.3,77.5,77.89,62519,48.7,908, 27224, 43.55
2023-01-19,CORDSCABLE, EQ,77.5,78.1,78.9,75.4, 76.00,75.95,76.73,124396,95.45,1576, 71088, 57.15
2023-01-20,CORDSCABLE, EQ,75.95,75.2,77.55,74.75,75.5,75.1,76.25,71716,54.69,1010, 40428, 56.37
2023-01-23,CORDSCABLE, EQ,75.1,74.95,74.95,70.7,71.3,71.85,72.95,151721,110.68,2507, 94814, 62.49
2023-01-24,CORDSCABLE, EQ,71.85,72.65,72.65,69.0,69.5,69.2,70.02,78360,54.87,1201, 47062, 60.06
2023-01-25,CORDSCABLE, EQ,69.2,69.9,73.7,69.45, 70.95,70.55,71.64,157223,112.64,1976, 59111, 37.60
2023-01-27,CORDSCABLE, EQ,70.55,71.75,71.8,66.85, 69.00,68.6,68.41,98495,67.38,1502, 40113, 40.73
2023-01-30,CORDSCABLE, EQ,68.6,69.95,70.6,68.0, 68.40,68.3,69.04,59448,41.04,767, 29128, 49.00
2023-01-31,CORDSCABLE, EQ,68.3,70.55,72.8,68.25,71.5,71.35,71.08,91437,64.99,1187, 38371, 41.96
2023-02-01,CORDSCABLE, EQ,71.35,70.0,72.0,68.0, 69.30,69.4,70.09,61167,42.87,1143, 32056, 52.41
2023-02-02,CORDSCABLE, EQ,69.4,68.35,70.2,67.35, 68.45,68.25,68.85,52824,36.37,1017, 20800, 39.38
2023-02-03,CORDSCABLE, EQ,68.25,66.9,69.75,66.35, 67.60,68.15,67.45,64074,43.22,1016, 32298, 50.41
2023-02-06,CORDSCABLE, EQ,68.15,69.9,69.9,67.55, 67.75,67.75,68.1,16972,11.56,389, 10352, 60.99
2023-02-07,CORDSCABLE, EQ,67.75,70.85,70.85,66.85, 66.90,67.1,67.94,29069,19.75,614, 18144, 62.42
2023-02-08,CORDSCABLE, EQ,67.1,67.95,68.55,67.15, 67.55,67.85,67.95,35974,24.45,589, 20477, 56.92
2023-02-09,CORDSCABLE, EQ,67.85,68.8,68.8,66.7, 67.50,67.15,67.52,26163,17.66,480, 13466, 51.47
2023-02-10,CORDSCABLE, EQ,67.15,68.8,68.8,66.55, 67.30,67.25,67.39,55924,37.69,665, 26280, 46.99
2023-02-13,CORDSCABLE, EQ,67.25,67.5,67.7,65.25,66.4,65.95,66.42,30539,20.28,557, 18001, 58.94
2023-02-14,CORDSCABLE, EQ,65.95,66.6,66.6,64.05,64.55,64.5,64.7,33115,21.42,558, 20149, 60.85
2023-02-15,CORDSCABLE, EQ,64.5,64.55,69.65,64.4, 68.20,68.0,67.15,91583,61.49,1433, 41100, 44.88
2023-02-16,CORDSCABLE, EQ,68.0,69.0,69.75,67.0, 67.30,67.35,68.33,44608,30.48,826, 25243, 56.59
2023-02-17,CORDSCABLE, EQ,67.35,66.8,73.1,65.15, 72.00,71.45,71.09,363325,258.27,4764, 110220, 30.34
2023-02-20,CORDSCABLE, EQ,71.45,71.45,72.85,69.1, 70.00,69.75,70.99,68296,48.48,1469, 41883, 61.33
2023-02-21,CORDSCABLE, EQ,69.75,71.0,73.45,69.15, 69.15,69.65,71.36,79814,56.95,1400, 35497, 44.47
2023-02-22,CORDSCABLE, EQ,69.65,69.25,69.55,65.75, 66.40,66.55,66.89,103060,68.94,1149, 56656, 54.97
2023-02-23,CORDSCABLE, EQ,66.55,67.3,68.4,65.65,66.8,66.85,67.11,54227,36.39,1129, 16300, 30.06
2023-02-24,CORDSCABLE, EQ,66.85,67.05,67.65,65.35, 65.80,65.8,66.19,33069,21.89,863, 18548, 56.09
2023-02-27,CORDSCABLE, EQ,65.8,65.8,65.9,63.15, 63.80,63.55,63.99,50196,32.12,839, 30567, 60.90
