DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,CREATIVE, EQ,559.95,551.55,584.0,545.5, 584.00,577.9,559.08,17190,96.11,1152, 8464, 49.24
2023-01-03,CREATIVE, EQ,577.9,590.0,595.0,575.0, 575.70,575.6,587.41,45910,269.68,865, 22806, 49.68
2023-01-04,CREATIVE, EQ,575.6,578.7,578.7,532.0, 536.50,538.15,549.71,25315,139.16,1503, 15048, 59.44
2023-01-05,CREATIVE, EQ,538.15,549.9,551.15,522.0,527.05,529.0,535.23,13736,73.52,1105, 6758, 49.20
2023-01-06,CREATIVE, EQ,529.0,535.9,535.95,508.45,520.0,516.15,519.41,19199,99.72,1075, 10679, 55.62
2023-01-09,CREATIVE, EQ,516.15,523.9,538.85,520.05,521.1,524.95,530.29,11569,61.35,570, 6342, 54.82
2023-01-10,CREATIVE, EQ,524.95,525.15,532.75,512.9,520.7,519.25,520.44,9093,47.32,376, 6628, 72.89
2023-01-11,CREATIVE, EQ,519.25,537.95,537.95,513.35, 525.40,522.4,519.49,6111,31.75,551, 2987, 48.88
2023-01-12,CREATIVE, EQ,522.4,515.1,535.15,506.65, 516.20,517.05,517.72,16681,86.36,948, 9278, 55.62
2023-01-13,CREATIVE, EQ,517.05,524.0,532.9,512.85,522.05,521.7,518.91,23888,123.96,858, 17997, 75.34
2023-01-16,CREATIVE, EQ,521.7,529.55,532.0,516.0, 516.50,517.8,523.37,9415,49.28,632, 3464, 36.79
2023-01-17,CREATIVE, EQ,517.8,522.3,533.0,520.1,533.0,530.15,526.66,6549,34.49,415, 4071, 62.16
2023-01-18,CREATIVE, EQ,530.15,534.0,557.05,531.9,548.75,543.35,545.16,11206,61.09,755, 6318, 56.38
2023-01-19,CREATIVE, EQ,543.35,548.5,556.0,535.25, 550.05,551.05,547.69,4702,25.75,445, 2909, 61.87
2023-01-20,CREATIVE, EQ,551.05,543.9,548.65,532.1,541.2,536.25,541.39,3631,19.66,262, 2363, 65.08
2023-01-23,CREATIVE, EQ,536.25,539.3,539.3,521.1,527.95,524.3,531.06,4515,23.98,309, 3016, 66.80
2023-01-24,CREATIVE, EQ,524.3,539.95,539.95,525.05,526.0,526.9,528.54,3158,16.69,238, 1974, 62.51
2023-01-25,CREATIVE, EQ,526.9,525.5,528.2,490.55, 511.00,507.0,506.16,24754,125.3,900, 15550, 62.82
2023-01-27,CREATIVE, EQ,507.0,506.9,510.35,481.55, 490.80,484.2,493.68,11793,58.22,922, 5705, 48.38
2023-01-30,CREATIVE, EQ,484.2,493.8,496.4,466.05, 480.00,478.8,489.34,13583,66.47,718, 7249, 53.37
2023-01-31,CREATIVE, EQ,478.8,486.2,533.6,478.2,521.0,522.85,509.34,23968,122.08,2270, 10505, 43.83
2023-02-01,CREATIVE, EQ,522.85,523.0,536.95,454.0, 495.00,482.1,495.72,18571,92.06,1269, 8334, 44.88
2023-02-02,CREATIVE, EQ,482.1,496.9,499.0,482.05, 494.00,491.35,489.83,7383,36.16,660, 3559, 48.21
2023-02-03,CREATIVE, EQ,491.35,497.35,497.35,462.5, 480.00,479.1,477.91,17159,82.0,1175, 8784, 51.19
2023-02-06,CREATIVE, EQ,479.1,487.4,495.0,476.0, 481.10,484.6,486.5,9167,44.6,1240, 3705, 40.42
2023-02-07,CREATIVE, EQ,484.6,484.95,499.65,483.0, 494.00,492.2,490.75,8409,41.27,475, 5658, 67.29
2023-02-08,CREATIVE, EQ,492.2,491.1,499.0,489.05, 497.00,496.4,494.05,3687,18.22,246, 2794, 75.78
2023-02-09,CREATIVE, EQ,496.4,499.6,507.0,490.0, 506.15,503.85,496.67,4919,24.43,602, 2074, 42.16
2023-02-10,CREATIVE, EQ,503.85,505.7,515.0,496.4, 509.90,500.9,502.63,5861,29.46,399, 2684, 45.79
2023-02-13,CREATIVE, EQ,500.9,500.0,504.0,480.0,482.25,485.45,493.09,7261,35.8,434, 4519, 62.24
2023-02-14,CREATIVE, EQ,485.45,479.75,488.9,475.5,479.5,479.6,481.67,7574,36.48,277, 5699, 75.24
2023-02-15,CREATIVE, EQ,479.6,487.75,487.75,473.85, 481.40,478.75,478.97,3941,18.88,247, 1657, 42.05
2023-02-16,CREATIVE, EQ,478.75,483.5,490.05,474.15, 480.00,478.75,481.69,5250,25.29,301, 2628, 50.06
2023-02-17,CREATIVE, EQ,478.75,479.8,480.05,471.0, 475.00,471.5,474.1,7272,34.48,189, 6605, 90.83
2023-02-20,CREATIVE, EQ,471.5,478.6,480.65,454.05, 465.00,462.4,464.14,7691,35.7,443, 4622, 60.10
2023-02-21,CREATIVE, EQ,462.4,467.9,473.0,463.05, 470.00,468.3,467.11,4213,19.68,221, 3038, 72.11
2023-02-22,CREATIVE, EQ,468.3,465.85,467.9,445.0, 445.00,448.85,453.38,13089,59.34,627, 9509, 72.65
