DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,CTE, EQ,57.7,57.5,57.7,55.7, 56.30,56.3,56.24,26579,14.95,413, 18123, 68.19
2023-01-03,CTE, EQ,56.3,56.55,57.7,56.2, 56.50,56.8,56.9,16966,9.65,307, 9238, 54.45
2023-01-04,CTE, EQ,56.8,56.85,56.85,55.1, 55.70,55.4,55.72,13323,7.42,264, 6638, 49.82
2023-01-05,CTE, EQ,55.4,56.25,57.5,55.3,57.3,57.2,56.39,32131,18.12,453, 17811, 55.43
2023-01-06,CTE, EQ,57.2,57.5,57.5,55.8,55.95,55.9,56.37,11511,6.49,223, 5996, 52.09
2023-01-09,CTE, EQ,55.9,56.35,57.3,55.05,55.3,55.5,55.87,17146,9.58,366, 8947, 52.18
2023-01-10,CTE, EQ,55.5,56.8,56.8,54.65,54.75,55.1,55.13,8085,4.46,202, 4777, 59.08
2023-01-11,CTE, EQ,55.1,54.65,55.85,54.65, 55.50,55.5,55.45,10638,5.9,152, 5356, 50.35
2023-01-12,CTE, EQ,55.5,55.7,56.85,55.15, 56.50,56.5,56.11,13787,7.74,198, 9587, 69.54
2023-01-13,CTE, EQ,56.5,57.35,57.35,55.7,56.0,56.55,56.42,15478,8.73,318, 7315, 47.26
2023-01-16,CTE, EQ,56.55,57.0,65.5,55.95, 60.10,60.4,62.8,265390,166.67,3880, 66177, 24.94
2023-01-17,CTE, EQ,60.4,61.9,63.05,59.1,62.0,62.0,62.01,36104,22.39,596, 20257, 56.11
2023-01-18,CTE, EQ,62.0,62.9,65.35,62.1,63.05,62.95,63.75,78192,49.85,1383, 39618, 50.67
2023-01-19,CTE, EQ,62.95,62.95,64.15,62.05, 62.60,63.0,63.08,34949,22.04,526, 23223, 66.45
2023-01-20,CTE, EQ,63.0,62.45,63.65,60.2,60.4,60.7,61.53,16239,9.99,365, 10193, 62.77
2023-01-23,CTE, EQ,60.7,62.7,67.65,61.0,63.8,64.1,65.23,206020,134.38,3047, 71114, 34.52
2023-01-24,CTE, EQ,64.1,64.1,65.6,63.1,65.0,64.1,64.56,38132,24.62,602, 23052, 60.45
2023-01-25,CTE, EQ,64.1,64.95,64.95,61.8, 61.95,62.15,62.45,23316,14.56,399, 15293, 65.59
2023-01-27,CTE, EQ,62.15,61.0,61.8,57.0, 58.45,58.25,59.01,46512,27.45,902, 24868, 53.47
2023-01-30,CTE, EQ,58.25,57.7,60.9,57.7, 59.60,59.4,59.51,24909,14.82,519, 11130, 44.68
2023-01-31,CTE, EQ,59.4,59.4,60.5,57.05,59.0,59.2,59.0,26863,15.85,634, 13712, 51.04
2023-02-01,CTE, EQ,59.2,60.2,60.85,57.1, 57.15,57.45,58.87,23465,13.81,485, 13386, 57.05
2023-02-02,CTE, EQ,57.45,57.6,59.55,56.9, 57.60,57.9,58.41,19292,11.27,515, 7356, 38.13
2023-02-03,CTE, EQ,57.9,60.0,60.0,57.0, 57.10,57.35,58.15,15280,8.89,337, 9744, 63.77
2023-02-06,CTE, EQ,57.35,57.15,58.75,57.0, 57.80,57.65,57.65,24902,14.36,304, 16336, 65.60
2023-02-07,CTE, EQ,57.65,57.15,58.0,55.2, 56.30,56.1,56.77,23272,13.21,522, 11241, 48.30
2023-02-08,CTE, EQ,56.1,56.7,57.9,55.55, 57.05,57.05,56.74,15225,8.64,397, 7702, 50.59
2023-02-09,CTE, EQ,57.05,57.0,57.8,56.05, 56.55,56.6,56.8,16012,9.09,543, 9897, 61.81
2023-02-10,CTE, EQ,56.6,58.8,58.8,56.4, 58.60,58.2,57.95,14665,8.5,308, 10020, 68.33
2023-02-13,CTE, EQ,58.2,60.0,60.0,55.0,55.05,55.55,57.42,76046,43.67,675, 52140, 68.56
2023-02-14,CTE, EQ,55.55,55.6,55.8,53.5,53.8,53.7,54.65,19899,10.88,337, 12131, 60.96
2023-02-15,CTE, EQ,53.7,52.6,53.65,50.65, 51.60,51.75,52.12,36589,19.07,658, 28223, 77.14
2023-02-16,CTE, EQ,51.75,52.9,52.9,52.05, 52.50,52.35,52.42,10939,5.73,241, 7079, 64.71
2023-02-17,CTE, EQ,52.35,52.95,55.35,52.6, 54.70,54.25,54.04,29728,16.06,650, 18980, 63.85
