DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,CUPID, EQ,275.25,276.8,277.95,266.2, 271.00,268.5,273.22,54851,149.86,2805, 29592, 53.95
2023-01-03,CUPID, EQ,268.5,269.65,279.75,268.0, 269.20,269.65,273.78,109775,300.54,4154, 44454, 40.50
2023-01-04,CUPID, EQ,269.65,270.6,297.0,268.85, 281.60,282.95,286.68,537650,1541.36,16127, 132183, 24.59
2023-01-05,CUPID, EQ,282.95,283.1,284.4,274.0,279.9,280.65,279.68,101159,282.93,4700, 47169, 46.63
2023-01-06,CUPID, EQ,280.65,276.45,285.0,276.45,282.05,282.7,281.57,80382,226.34,3196, 33106, 41.19
2023-01-09,CUPID, EQ,282.7,284.9,286.95,272.0,273.0,273.4,278.06,101088,281.09,4744, 55337, 54.74
2023-01-10,CUPID, EQ,273.4,273.8,277.4,270.15,273.25,272.95,272.1,33020,89.85,1823, 19046, 57.68
2023-01-11,CUPID, EQ,272.95,277.0,284.0,272.55, 272.55,274.4,277.89,112053,311.38,6229, 40528, 36.17
2023-01-12,CUPID, EQ,274.4,274.45,276.6,270.5, 271.15,271.65,272.65,32212,87.83,2759, 17402, 54.02
2023-01-13,CUPID, EQ,271.65,271.65,277.0,269.1,269.1,270.55,273.06,47291,129.13,2760, 27674, 58.52
2023-01-16,CUPID, EQ,270.55,271.0,279.7,271.0, 279.50,279.0,275.98,65259,180.1,3138, 40242, 61.67
2023-01-17,CUPID, EQ,279.0,278.2,281.3,271.0,271.75,271.65,274.61,43473,119.38,2251, 23300, 53.60
2023-01-18,CUPID, EQ,271.65,272.85,274.0,266.6,267.3,267.3,270.5,42258,114.31,1882, 28796, 68.14
2023-01-19,CUPID, EQ,267.3,267.2,269.95,266.9, 268.00,268.3,268.69,25166,67.62,1381, 13839, 54.99
2023-01-20,CUPID, EQ,268.3,269.3,278.9,266.8,277.3,277.25,275.97,87527,241.55,4985, 44299, 50.61
2023-01-23,CUPID, EQ,277.25,275.3,278.9,265.1,266.5,267.0,270.12,44395,119.92,2413, 22755, 51.26
2023-01-24,CUPID, EQ,267.0,267.0,268.2,260.5,262.4,262.3,263.84,46745,123.33,2268, 27952, 59.80
2023-01-25,CUPID, EQ,262.3,262.9,262.9,255.2, 255.20,255.95,257.77,30921,79.7,2013, 19729, 63.80
2023-01-27,CUPID, EQ,255.95,252.9,256.5,249.3, 250.55,251.8,252.11,47651,120.13,3528, 23709, 49.76
2023-01-30,CUPID, EQ,251.8,252.8,269.05,252.2, 268.90,266.2,263.51,86957,229.14,5097, 51832, 59.61
2023-01-31,CUPID, EQ,266.2,278.0,279.0,271.4,274.1,275.6,276.53,212736,588.29,7614, 72357, 34.01
2023-02-01,CUPID, EQ,275.6,275.6,285.0,265.9, 271.00,268.6,277.34,94028,260.78,6586, 44059, 46.86
2023-02-02,CUPID, EQ,268.6,270.85,274.6,264.45, 266.00,265.9,269.79,54590,147.28,2699, 37638, 68.95
2023-02-03,CUPID, EQ,265.9,266.8,266.8,257.8, 260.55,261.4,262.09,54498,142.84,3662, 25094, 46.05
2023-02-06,CUPID, EQ,261.4,262.2,277.0,260.95, 272.85,271.6,272.35,88394,240.75,4757, 47804, 54.08
2023-02-07,CUPID, EQ,271.6,273.05,277.0,267.35, 276.00,274.15,273.28,53091,145.08,3319, 32486, 61.19
2023-02-08,CUPID, EQ,274.15,274.25,275.8,271.15, 273.00,272.85,273.06,25271,69.01,1898, 11208, 44.35
2023-02-09,CUPID, EQ,272.85,272.0,279.4,270.8, 275.05,276.3,275.52,88759,244.55,4284, 47391, 53.39
2023-02-10,CUPID, EQ,276.3,276.0,280.0,270.8, 273.25,273.35,275.29,49711,136.85,3549, 24324, 48.93
2023-02-13,CUPID, EQ,273.35,273.35,274.45,267.35,268.4,270.2,271.35,38832,105.37,2190, 21365, 55.02
2023-02-14,CUPID, EQ,270.2,271.3,271.3,262.0,264.55,265.0,265.22,34824,92.36,2550, 16059, 46.11
2023-02-15,CUPID, EQ,265.0,262.55,269.15,262.0, 265.00,265.55,266.31,41330,110.07,2383, 23482, 56.82
2023-02-16,CUPID, EQ,265.55,266.0,267.95,261.95, 263.60,263.35,265.04,33373,88.45,2547, 16908, 50.66
2023-02-17,CUPID, EQ,263.35,262.85,269.0,262.85, 267.50,267.25,266.52,19250,51.31,1486, 9684, 50.31
2023-02-20,CUPID, EQ,267.25,267.0,267.0,257.15, 257.50,258.85,260.71,41379,107.88,2283, 26408, 63.82
2023-02-21,CUPID, EQ,258.85,258.8,258.8,252.05, 252.30,252.95,254.86,35126,89.52,1616, 23382, 66.57
2023-02-22,CUPID, EQ,252.95,252.0,252.7,243.7, 245.00,245.75,247.39,58614,145.01,2652, 37746, 64.40
2023-02-23,CUPID, EQ,245.75,245.7,256.45,244.3,256.0,253.95,251.21,42955,107.91,2823, 17802, 41.44
2023-02-24,CUPID, EQ,253.95,257.0,261.4,246.05, 247.50,247.5,252.97,44424,112.38,3444, 13355, 30.06
2023-02-27,CUPID, EQ,247.5,246.0,247.5,242.7, 242.70,243.55,244.93,20435,50.05,1402, 12542, 61.38
2023-02-28,CUPID, EQ,243.55,243.6,253.6,243.6, 250.60,250.5,248.84,27225,67.75,1821, 13184, 48.43
2023-03-01,CUPID, EQ,250.5,249.15,256.0,248.7, 254.25,255.1,252.8,17826,45.06,1634, 9648, 54.12
2023-03-02,CUPID, EQ,255.1,253.9,255.0,249.2, 249.20,251.0,252.02,24204,61.0,1662, 14271, 58.96
2023-03-03,CUPID, EQ,251.0,251.05,259.95,251.05, 259.00,257.15,256.0,24295,62.2,1641, 14321, 58.95
2023-03-06,CUPID, EQ,257.15,257.5,265.0,257.5, 262.00,261.15,260.8,38748,101.06,2048, 17100, 44.13
2023-03-08,CUPID, EQ,261.15,258.0,261.2,255.05, 259.25,255.95,257.69,28922,74.53,1886, 18496, 63.95
2023-03-09,CUPID, EQ,255.95,253.3,259.05,253.05, 253.05,253.7,256.42,20015,51.32,939, 12109, 60.50
2023-03-10,CUPID, EQ,253.7,256.0,256.0,250.0, 251.80,252.25,252.62,23034,58.19,1496, 10061, 43.68
2023-03-13,CUPID, EQ,252.25,250.0,253.75,242.0, 247.00,244.15,246.83,35992,88.84,1940, 20307, 56.42
2023-03-14,CUPID, EQ,244.15,242.1,249.0,239.25, 241.00,241.3,242.35,49620,120.25,1622, 33345, 67.20
2023-03-15,CUPID, EQ,241.3,242.8,248.2,242.45, 244.50,244.75,245.26,28926,70.94,1429, 19630, 67.86
2023-03-16,CUPID, EQ,244.75,244.9,244.9,239.75, 241.90,242.1,241.98,24979,60.44,980, 16928, 67.77
2023-03-17,CUPID, EQ,242.1,244.0,244.75,242.0, 242.00,242.6,243.07,6629,16.11,418, 3173, 47.87
2023-03-20,CUPID, EQ,242.6,242.65,244.65,240.0,244.65,243.45,241.63,9228,22.3,542, 5450, 59.06
2023-03-21,CUPID, EQ,243.45,244.2,245.85,242.05, 243.90,243.7,243.61,14795,36.04,1497, 8220, 55.56
2023-03-22,CUPID, EQ,243.7,244.8,248.05,243.15, 248.00,245.95,244.94,18539,45.41,685, 13506, 72.85
2023-03-23,CUPID, EQ,245.95,247.0,249.5,244.5, 245.70,245.7,246.5,14494,35.73,706, 9606, 66.28
2023-03-24,CUPID, EQ,245.7,246.8,246.8,244.0, 244.00,244.9,244.93,36442,89.26,680, 28106, 77.13
2023-03-27,CUPID, EQ,244.9,244.9,245.15,240.7, 242.10,243.0,242.79,16603,40.31,713, 11702, 70.48
2023-03-28,CUPID, EQ,243.0,242.15,245.0,240.0, 240.00,240.1,241.1,24671,59.48,961, 16447, 66.67
2023-03-29,CUPID, EQ,240.1,240.0,243.95,240.0, 241.00,241.85,241.47,38862,93.84,809, 30542, 78.59
2023-03-31,CUPID, EQ,241.85,241.85,255.0,241.75, 254.90,253.05,250.24,39797,99.59,1939, 25673, 64.51
2023-04-03,CUPID, EQ,253.05,251.1,256.45,250.55, 254.90,254.5,253.21,18483,46.8,1014, 9921, 53.68
2023-04-05,CUPID, EQ,254.5,255.8,259.7,253.25, 258.70,257.1,256.97,19626,50.43,1036, 11013, 56.11
2023-04-06,CUPID, EQ,257.1,258.4,265.0,254.5, 264.10,264.55,261.97,39666,103.91,1661, 26425, 66.62
2023-04-10,CUPID, EQ,264.55,264.55,264.55,260.7, 262.50,262.75,262.6,14856,39.01,653, 11811, 79.50
2023-04-11,CUPID, EQ,262.75,262.75,270.0,259.85, 265.35,267.1,265.57,33736,89.59,1041, 20946, 62.09
2023-04-12,CUPID, EQ,267.1,267.5,270.0,264.8, 266.00,266.2,266.85,17783,47.45,835, 9887, 55.60
2023-04-13,CUPID, EQ,266.2,266.2,268.8,264.1, 266.00,266.4,265.98,10702,28.46,710, 6540, 61.11
2023-04-17,CUPID, EQ,266.4,265.9,272.8,262.0, 270.50,270.5,268.37,35122,94.26,1287, 26422, 75.23
2023-04-18,CUPID, EQ,270.5,270.5,273.15,262.2, 264.85,262.95,266.34,31680,84.38,1006, 22468, 70.92
2023-04-19,CUPID, EQ,262.95,263.8,272.0,261.8, 268.00,266.65,267.77,24344,65.19,1620, 10756, 44.18
2023-04-20,CUPID, EQ,266.65,267.05,272.0,266.4, 270.35,269.4,269.96,24783,66.91,1109, 15998, 64.55
2023-04-21,CUPID, EQ,269.4,269.35,297.2,265.85, 286.55,287.1,285.29,276270,788.17,8288, 111728, 40.44
2023-04-24,CUPID, EQ,287.1,286.05,289.0,278.3, 284.80,285.9,284.24,43654,124.08,2487, 25489, 58.39
2023-04-25,CUPID, EQ,285.9,281.6,294.2,281.6,291.5,291.05,289.63,82774,239.73,3142, 46227, 55.85
2023-04-26,CUPID, EQ,291.05,288.15,294.8,283.0, 290.50,286.7,289.5,72799,210.76,3393, 37006, 50.83
2023-04-27,CUPID, EQ,286.7,287.75,290.3,272.3, 275.10,277.0,281.63,63122,177.77,3377, 39753, 62.98
2023-04-28,CUPID, EQ,277.0,278.35,283.45,275.05, 281.50,281.05,280.41,44074,123.59,2720, 25024, 56.78
2023-05-02,CUPID, EQ,281.05,281.25,286.0,281.25, 286.00,285.4,284.37,43461,123.59,1446, 32251, 74.21
2023-05-03,CUPID, EQ,285.4,282.0,288.0,275.0,277.9,276.4,281.96,38418,108.33,1937, 24958, 64.96
2023-05-04,CUPID, EQ,276.4,274.0,284.4,272.6, 273.40,274.35,278.95,44054,122.89,2212, 25218, 57.24
2023-05-05,CUPID, EQ,274.35,274.2,274.2,263.95, 267.40,266.25,268.78,45658,122.72,2647, 29873, 65.43
2023-05-08,CUPID, EQ,266.25,267.0,274.95,266.0, 273.00,272.05,270.19,34886,94.26,1963, 20129, 57.70
2023-05-09,CUPID, EQ,272.05,272.85,277.2,270.95,274.0,272.75,274.62,34620,95.07,1640, 19883, 57.43
2023-05-10,CUPID, EQ,272.75,273.3,273.3,266.0,266.25,266.65,268.16,23891,64.07,1479, 16155, 67.62
2023-05-11,CUPID, EQ,266.65,266.65,269.9,265.45, 267.20,266.65,267.22,14730,39.36,747, 8862, 60.16
