DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,DALMIASUG, EQ,381.35,383.3,394.65,378.8, 393.00,391.0,388.12,196220,761.58,8503, 51346, 26.17
2023-01-03,DALMIASUG, EQ,391.0,393.7,398.45,386.55, 387.00,388.35,391.88,98941,387.73,4662, 25966, 26.24
2023-01-04,DALMIASUG, EQ,388.35,389.0,391.0,374.0, 376.00,376.15,380.39,94488,359.43,5685, 34317, 36.32
2023-01-05,DALMIASUG, EQ,376.15,374.0,380.9,371.1,379.0,377.75,376.07,84076,316.18,4685, 26135, 31.08
2023-01-06,DALMIASUG, EQ,377.75,379.65,380.0,369.05,370.6,371.0,374.12,50377,188.47,2852, 21057, 41.80
2023-01-09,DALMIASUG, EQ,371.0,372.9,380.55,371.0,371.25,372.6,375.14,80665,302.61,4182, 18773, 23.27
2023-01-10,DALMIASUG, EQ,372.6,372.65,374.0,364.5,364.6,365.8,368.97,54018,199.31,3240, 22578, 41.80
2023-01-11,DALMIASUG, EQ,365.8,367.6,385.0,367.0, 372.90,373.3,377.87,264096,997.95,13033, 55121, 20.87
2023-01-12,DALMIASUG, EQ,373.3,372.9,374.8,367.1, 372.95,370.15,370.21,61148,226.38,3464, 21857, 35.74
2023-01-13,DALMIASUG, EQ,370.15,373.0,374.0,367.6,371.5,372.1,370.95,53055,196.81,4098, 14865, 28.02
2023-01-16,DALMIASUG, EQ,372.1,372.0,373.9,367.5, 368.00,369.6,369.99,39577,146.43,3204, 16379, 41.39
2023-01-17,DALMIASUG, EQ,369.6,371.2,379.5,366.15,375.6,376.1,372.41,85546,318.58,5211, 32318, 37.78
2023-01-18,DALMIASUG, EQ,376.1,376.8,387.0,373.55,378.6,379.75,382.6,121864,466.26,6623, 42347, 34.75
2023-01-19,DALMIASUG, EQ,379.75,377.9,379.35,369.0, 369.90,370.35,374.03,45359,169.66,3716, 16007, 35.29
2023-01-20,DALMIASUG, EQ,370.35,370.9,375.4,365.0,367.4,365.9,369.01,44628,164.68,3888, 19874, 44.53
2023-01-23,DALMIASUG, EQ,365.9,368.25,368.25,360.25,361.5,362.1,363.96,42168,153.47,3422, 18386, 43.60
2023-01-24,DALMIASUG, EQ,362.1,360.6,365.9,357.35,359.3,358.95,362.01,48828,176.76,3404, 20828, 42.66
2023-01-25,DALMIASUG, EQ,358.95,359.4,360.0,349.1, 351.60,350.25,353.36,33533,118.49,2551, 15114, 45.07
2023-01-27,DALMIASUG, EQ,350.25,352.0,359.9,341.05, 356.90,354.15,348.3,51291,178.65,4849, 20881, 40.71
2023-01-30,DALMIASUG, EQ,354.15,354.15,360.65,342.0, 344.00,345.25,348.31,79051,275.34,8203, 24494, 30.99
2023-01-31,DALMIASUG, EQ,345.25,344.3,359.25,344.3,356.9,354.65,352.11,66823,235.29,5783, 27501, 41.15
2023-02-01,DALMIASUG, EQ,354.65,356.45,361.65,342.1, 342.60,344.35,353.98,62263,220.4,4179, 25863, 41.54
2023-02-02,DALMIASUG, EQ,344.35,345.65,352.15,332.0, 333.50,333.4,338.77,81732,276.88,6813, 42724, 52.27
2023-02-03,DALMIASUG, EQ,333.4,338.8,338.8,326.5, 331.00,332.25,332.3,64651,214.84,5934, 23480, 36.32
2023-02-06,DALMIASUG, EQ,332.25,333.0,343.2,333.0, 340.00,341.05,337.23,65110,219.57,4943, 22029, 33.83
2023-02-07,DALMIASUG, EQ,341.05,343.5,346.0,338.6, 343.50,343.5,343.12,44667,153.26,2896, 23994, 53.72
2023-02-08,DALMIASUG, EQ,343.5,346.3,346.3,338.0, 342.30,340.25,340.74,53474,182.21,3737, 20441, 38.23
2023-02-09,DALMIASUG, EQ,340.25,342.0,342.0,335.25, 336.50,336.35,337.26,34029,114.76,1844, 19148, 56.27
2023-02-10,DALMIASUG, EQ,336.35,338.05,351.95,335.45, 347.15,347.2,346.08,89313,309.09,4145, 32416, 36.29
2023-02-13,DALMIASUG, EQ,347.2,349.3,352.95,343.0,343.05,343.8,347.23,40646,141.14,3709, 22605, 55.61
2023-02-14,DALMIASUG, EQ,343.8,350.95,354.2,340.5,341.15,341.85,345.79,91693,317.07,4476, 15932, 17.38
2023-02-15,DALMIASUG, EQ,341.85,340.9,347.8,338.5, 345.10,345.9,342.31,64442,220.59,4570, 17254, 26.77
2023-02-16,DALMIASUG, EQ,345.9,342.45,354.2,342.45, 351.00,352.75,350.66,59240,207.73,3465, 27725, 46.80
2023-02-17,DALMIASUG, EQ,352.75,353.7,354.4,345.0, 345.00,346.1,349.09,44989,157.05,2735, 20003, 44.46
2023-02-20,DALMIASUG, EQ,346.1,346.45,348.8,340.55, 346.50,346.35,344.45,51129,176.12,3340, 16468, 32.21
2023-02-21,DALMIASUG, EQ,346.35,347.0,347.0,342.15, 345.50,344.05,345.01,17583,60.66,1909, 8246, 46.90
