DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,DBOL, EQ,202.5,203.3,209.6,201.8, 207.40,208.0,206.84,189157,391.26,6212, 56017, 29.61
2023-01-03,DBOL, EQ,208.0,208.8,209.7,200.55, 202.50,202.85,204.86,114338,234.23,3996, 48842, 42.72
2023-01-04,DBOL, EQ,202.85,203.0,205.4,198.0, 199.00,199.55,200.76,96860,194.46,2999, 43771, 45.19
2023-01-05,DBOL, EQ,199.55,199.85,202.0,191.2,194.9,193.85,195.85,173127,339.07,4378, 99987, 57.75
2023-01-06,DBOL, EQ,193.85,194.3,196.55,187.1,190.0,188.55,189.38,215698,408.48,6537, 117379, 54.42
2023-01-09,DBOL, EQ,188.55,190.0,193.7,188.6,192.65,191.05,191.01,131991,252.11,4747, 69666, 52.78
2023-01-10,DBOL, EQ,191.05,191.5,193.3,185.0,186.75,186.8,187.81,130411,244.93,5367, 67336, 51.63
2023-01-11,DBOL, EQ,186.8,187.5,193.0,186.25, 191.00,189.7,189.19,162300,307.06,5050, 68005, 41.90
2023-01-12,DBOL, EQ,189.7,190.3,190.75,183.1, 186.95,187.25,186.04,175344,326.21,12740, 79749, 45.48
2023-01-13,DBOL, EQ,187.25,188.7,188.7,184.1,185.0,185.9,185.99,95394,177.43,3967, 40448, 42.40
2023-01-16,DBOL, EQ,185.9,186.0,186.45,183.0, 183.15,184.3,184.9,80968,149.71,2121, 47639, 58.84
2023-01-17,DBOL, EQ,184.3,184.35,186.0,181.1,182.55,183.6,183.17,109150,199.93,3182, 45543, 41.73
2023-01-18,DBOL, EQ,183.6,183.9,189.9,182.0,183.0,183.4,185.78,156068,289.94,4471, 71014, 45.50
2023-01-19,DBOL, EQ,183.4,182.95,184.4,180.65, 181.30,181.5,182.26,88611,161.51,2593, 44249, 49.94
2023-01-20,DBOL, EQ,181.5,182.45,184.2,181.1,182.3,182.5,182.61,94643,172.83,3532, 37897, 40.04
2023-01-23,DBOL, EQ,182.5,183.6,192.1,182.2,183.5,183.75,186.77,212767,397.39,5598, 110305, 51.84
2023-01-24,DBOL, EQ,183.75,187.9,187.9,180.3,180.8,181.25,183.1,241635,442.43,4984, 100315, 41.52
2023-01-25,DBOL, EQ,181.25,181.05,182.6,164.1, 166.75,166.05,170.21,418865,712.95,8304, 255670, 61.04
2023-01-27,DBOL, EQ,166.05,170.9,170.9,153.6, 162.95,162.4,160.25,311401,499.02,9470, 132227, 42.46
2023-01-30,DBOL, EQ,162.4,158.1,166.05,158.1, 162.90,162.3,161.42,212448,342.94,6531, 120726, 56.83
2023-01-31,DBOL, EQ,162.3,162.3,166.0,159.55,162.55,163.15,161.92,206974,335.14,6418, 123186, 59.52
2023-02-01,DBOL, EQ,163.15,164.65,168.2,155.2, 160.60,157.65,162.82,206475,336.19,7439, 110751, 53.64
2023-02-02,DBOL, EQ,157.65,155.0,161.75,151.5, 156.00,152.95,154.06,287745,443.31,6710, 168527, 58.57
2023-02-03,DBOL, EQ,152.95,154.0,157.5,147.1, 155.00,154.8,152.64,134339,205.05,5433, 56932, 42.38
2023-02-06,DBOL, EQ,154.8,156.0,163.8,155.95, 160.90,161.6,159.72,143902,229.83,4451, 70876, 49.25
2023-02-07,DBOL, EQ,161.6,161.6,162.25,156.2, 157.30,158.25,158.04,100238,158.41,3090, 47778, 47.66
2023-02-08,DBOL, EQ,158.25,156.1,159.55,156.05, 158.50,157.75,158.21,82016,129.76,4128, 42591, 51.93
2023-02-09,DBOL, EQ,157.75,156.9,158.4,153.1, 154.00,154.0,155.07,103717,160.84,1961, 63031, 60.77
2023-02-10,DBOL, EQ,154.0,153.9,160.2,153.85, 156.70,156.7,156.97,125529,197.04,3313, 56605, 45.09
2023-02-13,DBOL, EQ,156.7,155.5,157.9,151.0,153.1,154.25,154.66,77162,119.34,2852, 38902, 50.42
2023-02-14,DBOL, EQ,154.25,151.0,154.0,150.5,151.45,151.3,151.64,64044,97.11,1974, 37171, 58.04
2023-02-15,DBOL, EQ,151.3,151.0,157.3,150.35, 156.50,156.0,154.12,122913,189.43,3938, 62111, 50.53
2023-02-16,DBOL, EQ,156.0,162.7,162.7,155.45, 158.70,158.9,157.89,66150,104.45,2825, 34751, 52.53
2023-02-17,DBOL, EQ,158.9,158.0,159.2,155.0, 155.85,156.2,156.62,72417,113.42,2442, 42503, 58.69
2023-02-20,DBOL, EQ,156.2,153.7,157.15,151.4, 155.55,155.8,154.82,108207,167.52,2546, 63454, 58.64
2023-02-21,DBOL, EQ,155.8,155.8,156.15,153.2, 155.75,155.75,155.17,46629,72.36,1603, 28612, 61.36
2023-02-22,DBOL, EQ,155.75,155.75,156.05,151.5, 154.40,154.45,153.31,62580,95.94,1999, 38615, 61.71
2023-02-23,DBOL, EQ,154.45,155.5,155.5,151.1,152.35,152.85,152.77,61335,93.7,2527, 38101, 62.12
2023-02-24,DBOL, EQ,152.85,154.0,155.55,151.0, 152.75,152.1,152.29,97683,148.76,3124, 61357, 62.81
2023-02-27,DBOL, EQ,152.1,151.7,151.7,147.7, 148.15,148.9,149.1,111162,165.75,2023, 77518, 69.73
2023-02-28,DBOL, EQ,148.9,148.5,149.9,147.0, 147.20,147.6,148.3,82729,122.68,3271, 45799, 55.36
2023-03-01,DBOL, EQ,147.6,145.6,148.45,145.6, 146.30,146.4,146.96,148058,217.59,2966, 111555, 75.35
2023-03-02,DBOL, EQ,146.4,146.55,147.7,141.0, 143.20,143.5,143.93,228567,328.97,4829, 134682, 58.92
2023-03-03,DBOL, EQ,143.5,146.9,146.9,141.8, 143.05,143.1,144.14,138629,199.82,3823, 75666, 54.58
2023-03-06,DBOL, EQ,143.1,144.5,149.35,144.05, 146.00,145.9,146.52,130597,191.35,2812, 71528, 54.77
2023-03-08,DBOL, EQ,145.9,146.85,163.8,144.35, 157.90,157.7,156.8,679984,1066.21,13536, 312338, 45.93
2023-03-09,DBOL, EQ,157.7,158.0,159.75,152.15, 153.00,152.85,154.81,118805,183.92,5742, 65424, 55.07
2023-03-10,DBOL, EQ,152.85,151.1,158.8,150.0, 154.15,153.9,154.29,249234,384.55,5869, 106106, 42.57
2023-03-13,DBOL, EQ,153.9,154.0,154.0,145.8, 146.75,146.95,148.33,197156,292.44,4629, 99693, 50.57
2023-03-14,DBOL, EQ,146.95,146.95,146.95,143.15, 144.30,143.9,144.6,114858,166.09,2325, 62315, 54.25
2023-03-15,DBOL, EQ,143.9,145.25,147.4,143.1, 143.75,143.6,144.16,77293,111.42,2531, 43705, 56.54
2023-03-16,DBOL, EQ,143.6,144.0,144.2,138.5, 141.20,141.45,140.98,106375,149.97,3329, 60030, 56.43
2023-03-17,DBOL, EQ,141.45,144.0,144.3,138.9, 139.00,139.4,140.42,85784,120.46,2900, 46645, 54.37
2023-03-20,DBOL, EQ,139.4,144.0,144.0,132.75,133.3,133.9,135.25,123816,167.46,4329, 77161, 62.32
2023-03-21,DBOL, EQ,133.9,134.0,136.8,133.4, 134.00,134.5,135.22,162751,220.08,3008, 128676, 79.06
2023-03-22,DBOL, EQ,134.5,135.5,136.65,127.5, 128.00,129.2,132.48,457423,606.01,6378, 355373, 77.69
2023-03-23,DBOL, EQ,129.2,130.1,134.9,129.0, 130.20,130.45,131.79,318046,419.16,5514, 159026, 50.00
2023-03-24,DBOL, EQ,130.45,131.0,131.7,125.85, 126.60,126.2,128.09,116810,149.62,2888, 72624, 62.17
2023-03-27,DBOL, EQ,126.2,127.9,127.9,120.1, 121.90,121.7,123.25,104640,128.97,2600, 59390, 56.76
2023-03-28,DBOL, EQ,121.7,120.7,123.6,116.1, 118.30,118.2,118.89,310792,369.49,5418, 165330, 53.20
2023-03-29,DBOL, EQ,118.2,119.0,128.6,119.0, 125.00,124.35,122.58,242020,296.68,5681, 126494, 52.27
2023-03-31,DBOL, EQ,124.35,128.0,147.3,128.0, 141.10,143.15,138.14,665423,919.22,12208, 323330, 48.59
2023-04-03,DBOL, EQ,143.15,145.0,145.0,140.05, 144.80,142.65,142.22,207390,294.95,6835, 103590, 49.95
2023-04-05,DBOL, EQ,142.65,143.8,152.0,142.9, 149.70,150.7,148.57,251364,373.44,6319, 113433, 45.13
2023-04-06,DBOL, EQ,150.7,152.1,155.0,149.8, 151.85,152.0,152.88,200299,306.21,5789, 66820, 33.36
2023-04-10,DBOL, EQ,152.0,156.0,156.95,149.35, 151.00,150.25,152.35,84843,129.26,2815, 43972, 51.83
2023-04-11,DBOL, EQ,150.25,151.95,153.9,148.1, 153.60,153.6,151.65,89023,135.0,1357, 48461, 54.44
2023-04-12,DBOL, EQ,153.6,156.0,157.7,150.15, 152.60,153.6,154.61,69777,107.88,1009, 40708, 58.34
2023-04-13,DBOL, EQ,153.6,154.0,154.95,150.3, 150.80,151.35,151.85,38828,58.96,615, 19460, 50.12
2023-04-17,DBOL, EQ,151.35,150.1,154.9,148.45, 153.50,153.2,152.06,76191,115.86,1062, 41788, 54.85
2023-04-18,DBOL, EQ,153.2,151.75,154.05,149.1, 150.25,150.05,151.48,53276,80.7,930, 38356, 71.99
