DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,DCAL, EQ,94.9,95.5,97.25,94.5, 96.65,96.4,95.94,928481,890.78,18613, 520256, 56.03
2023-01-03,DCAL, EQ,96.4,96.65,97.9,94.15, 94.55,94.55,95.23,725795,691.17,15863, 482298, 66.45
2023-01-04,DCAL, EQ,94.55,95.6,95.6,92.3, 92.85,92.7,93.39,257612,240.58,3183, 116608, 45.26
2023-01-05,DCAL, EQ,92.7,93.45,93.55,92.1,92.6,92.6,92.64,179695,166.47,2434, 72949, 40.60
2023-01-06,DCAL, EQ,92.6,92.6,93.4,90.95,91.75,91.95,92.07,146429,134.82,1880, 70513, 48.16
2023-01-09,DCAL, EQ,91.95,92.05,93.15,91.25,91.3,91.65,92.27,99388,91.7,1525, 53516, 53.85
2023-01-10,DCAL, EQ,91.65,91.45,92.2,90.1,90.8,90.5,90.86,204550,185.85,2752, 86809, 42.44
2023-01-11,DCAL, EQ,90.5,91.85,91.85,90.0, 90.40,90.5,90.71,97021,88.01,1266, 45264, 46.65
2023-01-12,DCAL, EQ,90.5,90.85,91.8,90.1, 90.65,90.5,90.68,185379,168.1,2103, 91226, 49.21
2023-01-13,DCAL, EQ,90.5,90.9,91.35,90.05,90.55,90.25,90.48,138931,125.71,1429, 67832, 48.82
2023-01-16,DCAL, EQ,90.25,90.8,91.5,90.25, 90.45,90.85,90.81,221031,200.71,1995, 128476, 58.13
2023-01-17,DCAL, EQ,90.85,90.9,91.5,88.95,89.25,89.65,90.27,140711,127.02,1931, 74129, 52.68
2023-01-18,DCAL, EQ,89.65,90.7,91.0,89.3,89.65,90.1,90.26,176275,159.11,2095, 82399, 46.74
2023-01-19,DCAL, EQ,90.1,89.9,90.3,88.1, 88.90,88.6,89.15,158201,141.03,1688, 75733, 47.87
2023-01-20,DCAL, EQ,88.6,88.6,88.9,86.55,87.05,86.9,87.46,166442,145.57,2584, 96145, 57.76
2023-01-23,DCAL, EQ,86.9,87.1,87.9,85.3,86.15,85.75,86.55,147464,127.64,2351, 78075, 52.95
2023-01-24,DCAL, EQ,85.75,85.8,87.2,85.8,86.5,86.45,86.39,139258,120.3,2171, 56336, 40.45
2023-01-25,DCAL, EQ,86.45,86.55,86.55,85.15, 85.45,85.35,85.64,173097,148.24,1721, 122580, 70.82
2023-01-27,DCAL, EQ,85.35,85.8,85.95,82.35, 83.85,84.25,83.71,366152,306.5,3617, 234349, 64.00
2023-01-30,DCAL, EQ,84.25,84.25,85.75,82.5, 82.55,82.75,83.92,186525,156.54,3112, 75892, 40.69
2023-01-31,DCAL, EQ,82.75,83.2,85.6,82.75,84.9,84.8,84.58,253717,214.61,2354, 156598, 61.72
2023-02-01,DCAL, EQ,84.8,85.0,88.45,82.7, 83.90,84.85,86.33,306578,264.66,3656, 93499, 30.50
2023-02-02,DCAL, EQ,84.85,84.95,85.1,82.2, 82.70,82.5,83.33,214397,178.66,2910, 128473, 59.92
2023-02-03,DCAL, EQ,82.5,82.95,83.4,80.0, 83.30,83.05,81.71,258924,211.57,2907, 145342, 56.13
2023-02-06,DCAL, EQ,83.05,83.35,85.1,81.35, 82.00,82.1,82.73,371955,307.73,4332, 234301, 62.99
