DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,DCBBANK, EQ,126.7,127.0,129.7,126.45, 128.50,128.4,128.49,957821,1230.69,7856, 432038, 45.11
2023-01-03,DCBBANK, EQ,128.4,128.7,133.6,128.35, 130.75,130.8,131.8,2261709,2980.89,25994, 817871, 36.16
2023-01-04,DCBBANK, EQ,130.8,130.05,131.4,125.25, 126.15,126.05,127.47,1991408,2538.53,17243, 1152014, 57.85
2023-01-05,DCBBANK, EQ,126.05,126.95,131.25,126.05,129.8,129.75,128.82,1562649,2013.07,13619, 460165, 29.45
2023-01-06,DCBBANK, EQ,129.75,129.05,129.45,126.15,126.75,126.75,127.4,762968,972.0,5951, 270180, 35.41
2023-01-09,DCBBANK, EQ,126.75,128.05,128.75,125.05,125.9,125.95,126.72,840666,1065.28,5864, 319688, 38.03
2023-01-10,DCBBANK, EQ,125.95,125.95,126.75,122.45,125.9,125.75,123.95,1234545,1530.26,8724, 391194, 31.69
2023-01-11,DCBBANK, EQ,125.75,125.45,128.35,125.0, 127.60,127.2,127.06,635940,808.03,7870, 204218, 32.11
2023-01-12,DCBBANK, EQ,127.2,127.15,129.3,126.05, 129.00,128.35,127.31,644556,820.56,6443, 283573, 44.00
2023-01-13,DCBBANK, EQ,128.35,128.05,130.1,126.2,126.25,126.85,128.25,1154043,1480.03,10735, 581336, 50.37
2023-01-16,DCBBANK, EQ,126.85,126.9,130.0,126.85, 129.10,129.6,128.9,703523,906.86,8069, 309890, 44.05
2023-01-17,DCBBANK, EQ,129.6,129.9,129.9,126.75,127.45,127.55,127.65,495860,632.98,5695, 203473, 41.03
2023-01-18,DCBBANK, EQ,127.55,126.9,128.0,125.05,127.8,127.0,126.07,833302,1050.56,6474, 285302, 34.24
2023-01-19,DCBBANK, EQ,127.0,126.9,128.2,123.3, 124.05,123.7,125.37,949120,1189.91,7800, 428930, 45.19
2023-01-20,DCBBANK, EQ,123.7,124.9,125.8,123.3,124.15,124.0,124.75,417748,521.14,4525, 149014, 35.67
