DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,DEEPAKFERT, EQ,715.45,719.0,721.8,704.0, 709.00,708.1,709.53,310916,2206.05,10614, 103386, 33.25
2023-01-03,DEEPAKFERT, EQ,708.1,711.65,712.25,691.2, 693.05,693.75,698.57,338466,2364.41,12015, 152622, 45.09
2023-01-04,DEEPAKFERT, EQ,693.75,696.9,715.8,686.4, 698.70,701.1,703.66,924306,6503.97,24244, 166432, 18.01
2023-01-05,DEEPAKFERT, EQ,701.1,705.2,711.45,692.5,706.95,707.0,704.66,421331,2968.96,12426, 138863, 32.96
2023-01-06,DEEPAKFERT, EQ,707.0,702.0,706.8,695.0,696.95,698.0,699.92,190898,1336.14,8619, 66597, 34.89
2023-01-09,DEEPAKFERT, EQ,698.0,700.0,704.5,690.0,690.0,692.75,696.64,174778,1217.58,8390, 66375, 37.98
2023-01-10,DEEPAKFERT, EQ,692.75,690.0,693.0,677.25,678.25,679.4,683.48,205158,1402.22,13694, 97148, 47.35
2023-01-11,DEEPAKFERT, EQ,679.4,682.0,694.0,675.05, 681.90,685.55,687.04,259331,1781.71,22859, 87825, 33.87
2023-01-12,DEEPAKFERT, EQ,685.55,682.4,708.25,681.4, 707.00,705.9,700.74,622691,4363.44,30201, 208181, 33.43
2023-01-13,DEEPAKFERT, EQ,705.9,708.0,712.9,700.3,704.5,704.6,705.73,231391,1632.99,9564, 84136, 36.36
2023-01-16,DEEPAKFERT, EQ,704.6,707.2,709.2,695.0, 697.10,697.25,700.99,117157,821.26,4949, 54786, 46.76
2023-01-17,DEEPAKFERT, EQ,697.25,697.1,712.0,691.65,707.0,708.9,702.12,231550,1625.76,9271, 95499, 41.24
2023-01-18,DEEPAKFERT, EQ,708.9,712.0,716.0,691.1,693.9,694.4,701.87,243557,1709.46,9795, 118740, 48.75
