DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,DEVYANI, EQ,180.75,181.0,182.0,179.0, 180.25,180.2,180.4,879024,1585.75,10816, 367039, 41.76
2023-01-03,DEVYANI, EQ,180.2,180.25,181.0,177.0, 177.85,177.75,178.69,808019,1443.86,9692, 419256, 51.89
2023-01-04,DEVYANI, EQ,177.75,178.9,179.5,176.35, 177.55,177.5,177.33,921266,1633.66,12902, 531821, 57.73
2023-01-05,DEVYANI, EQ,177.5,178.25,178.6,172.85,173.2,173.6,174.21,2986531,5202.74,24754, 2364234, 79.16
2023-01-06,DEVYANI, EQ,173.6,174.0,174.4,169.7,171.4,171.4,171.24,928905,1590.69,14094, 559087, 60.19
2023-01-09,DEVYANI, EQ,171.4,172.3,173.35,167.25,167.65,167.7,169.57,1467685,2488.7,23001, 925567, 63.06
2023-01-10,DEVYANI, EQ,167.7,168.0,172.5,168.0,171.8,171.15,169.71,1171214,1987.66,13547, 507835, 43.36
2023-01-11,DEVYANI, EQ,171.15,172.05,172.8,169.0, 169.70,169.5,170.05,909888,1547.24,12821, 441094, 48.48
2023-01-12,DEVYANI, EQ,169.5,169.7,170.3,167.45, 168.20,167.9,168.16,730766,1228.87,9879, 363934, 49.80
2023-01-13,DEVYANI, EQ,167.9,168.8,168.95,161.6,163.05,162.4,163.32,2906287,4746.68,33620, 1733681, 59.65
2023-01-16,DEVYANI, EQ,162.4,164.1,166.5,156.1, 158.35,158.0,160.46,2637288,4231.89,23288, 1500597, 56.90
2023-01-17,DEVYANI, EQ,158.0,160.0,161.75,158.0,158.45,158.4,159.49,2064021,3292.0,16347, 1083135, 52.48
2023-01-18,DEVYANI, EQ,158.4,158.45,160.0,157.5,158.5,158.95,158.73,1311222,2081.31,12728, 812625, 61.97
2023-01-19,DEVYANI, EQ,158.95,158.45,164.95,158.1, 161.80,161.55,162.21,2419186,3924.28,22818, 1060516, 43.84
2023-01-20,DEVYANI, EQ,161.55,162.8,165.9,161.0,161.3,161.65,162.85,1213268,1975.85,12482, 550625, 45.38
2023-01-23,DEVYANI, EQ,161.65,162.5,162.65,159.6,160.05,160.15,160.27,775719,1243.28,13862, 550483, 70.96
2023-01-24,DEVYANI, EQ,160.15,160.5,160.9,159.45,159.7,159.8,159.87,338648,541.39,5887, 183276, 54.12
2023-01-25,DEVYANI, EQ,159.8,160.25,160.25,157.65, 158.65,158.6,158.64,500091,793.33,7085, 299440, 59.88
2023-01-27,DEVYANI, EQ,158.6,158.6,159.65,152.3, 153.40,152.85,154.29,1237020,1908.54,21901, 693861, 56.09
2023-01-30,DEVYANI, EQ,152.85,152.85,155.45,150.1, 154.25,153.5,152.38,1690523,2576.08,35205, 1007010, 59.57
2023-01-31,DEVYANI, EQ,153.5,153.5,158.55,153.5,155.45,154.45,155.36,1433877,2227.63,19665, 715807, 49.92
2023-02-01,DEVYANI, EQ,154.45,157.7,159.9,148.9, 150.00,150.0,154.31,2221921,3428.54,33093, 1255249, 56.49
2023-02-02,DEVYANI, EQ,150.0,150.0,156.3,149.45, 150.90,150.3,152.48,1500847,2288.43,22980, 567457, 37.81
2023-02-03,DEVYANI, EQ,150.3,151.9,152.7,148.05, 151.00,151.6,150.42,1147149,1725.53,16370, 526027, 45.86
2023-02-06,DEVYANI, EQ,151.6,151.65,154.5,151.6, 153.80,153.5,153.23,527386,808.12,6750, 229464, 43.51
2023-02-07,DEVYANI, EQ,153.5,154.3,154.75,152.0, 153.55,153.05,153.13,549801,841.88,10326, 300935, 54.74
2023-02-08,DEVYANI, EQ,153.05,154.35,161.65,153.5, 159.50,158.95,158.06,1621036,2562.27,20577, 678320, 41.84
2023-02-09,DEVYANI, EQ,158.95,160.0,163.9,155.85, 159.75,159.45,160.78,3487999,5608.04,27925, 850459, 24.38
2023-02-10,DEVYANI, EQ,159.45,160.1,162.35,152.8, 158.25,157.9,156.31,3124553,4884.12,25158, 1369933, 43.84
2023-02-13,DEVYANI, EQ,157.9,158.8,159.0,154.4,154.6,154.85,155.87,700929,1092.52,8467, 362665, 51.74
2023-02-14,DEVYANI, EQ,154.85,154.8,155.6,151.2,153.1,152.45,152.72,782701,1195.37,14333, 372763, 47.63
2023-02-15,DEVYANI, EQ,152.45,153.0,153.85,152.0, 153.10,153.05,152.67,1045567,1596.23,13019, 465935, 44.56
2023-02-16,DEVYANI, EQ,153.05,154.0,155.5,152.5, 154.85,154.1,153.9,1271562,1956.95,17118, 704399, 55.40
2023-02-17,DEVYANI, EQ,154.1,152.95,156.2,152.95, 153.85,153.45,153.97,951328,1464.8,18072, 522651, 54.94
2023-02-20,DEVYANI, EQ,153.45,155.0,155.4,152.7, 154.80,154.7,154.45,540542,834.85,6751, 266462, 49.30
2023-02-21,DEVYANI, EQ,154.7,155.5,156.9,152.5, 152.90,152.95,154.36,734900,1134.42,11354, 435083, 59.20
2023-02-22,DEVYANI, EQ,152.95,151.3,154.0,151.3, 152.45,152.3,152.39,607340,925.54,9416, 289358, 47.64
2023-02-23,DEVYANI, EQ,152.3,153.1,153.8,148.75,148.85,149.2,150.71,790685,1191.61,12314, 462954, 58.55
2023-02-24,DEVYANI, EQ,149.2,150.45,151.95,148.0, 148.95,148.85,149.4,962395,1437.82,16330, 425368, 44.20
2023-02-27,DEVYANI, EQ,148.85,148.95,151.5,146.65, 148.75,148.3,148.14,731460,1083.61,10599, 414903, 56.72
2023-02-28,DEVYANI, EQ,148.3,148.7,153.65,148.35, 153.60,152.4,150.5,2394620,3603.87,11652, 2017920, 84.27
2023-03-01,DEVYANI, EQ,152.4,153.0,155.0,150.3, 151.60,151.05,151.94,1232093,1872.1,24619, 525881, 42.68
2023-03-02,DEVYANI, EQ,151.05,151.85,153.5,151.05, 151.75,151.9,152.26,477364,726.85,14140, 187075, 39.19
2023-03-03,DEVYANI, EQ,151.9,152.7,153.75,151.4, 152.00,152.05,152.48,430256,656.05,6450, 194596, 45.23
2023-03-06,DEVYANI, EQ,152.05,153.0,153.55,151.3, 152.60,152.3,152.16,688251,1047.22,8948, 316543, 45.99
2023-03-08,DEVYANI, EQ,152.3,152.8,152.8,150.35, 151.60,151.85,151.41,1497689,2267.6,10086, 870910, 58.15
2023-03-09,DEVYANI, EQ,151.85,152.1,154.8,150.6, 151.75,151.4,153.06,1453902,2225.4,22758, 669973, 46.08
2023-03-10,DEVYANI, EQ,151.4,151.5,152.25,148.35, 148.50,149.25,150.17,1046313,1571.29,12102, 554597, 53.00
2023-03-13,DEVYANI, EQ,149.25,149.25,149.85,145.85, 148.25,147.75,147.83,841537,1244.0,17422, 452583, 53.78
2023-03-14,DEVYANI, EQ,147.75,149.4,149.4,144.0, 146.00,146.0,146.57,1255103,1839.66,15040, 487995, 38.88
2023-03-15,DEVYANI, EQ,146.0,147.0,147.65,145.4, 145.95,145.75,146.31,489345,715.97,6477, 272494, 55.69
2023-03-16,DEVYANI, EQ,145.75,145.75,146.95,142.3, 146.00,145.3,143.72,1206474,1733.94,23448, 566610, 46.96
2023-03-17,DEVYANI, EQ,145.3,146.75,147.0,143.05, 144.95,144.45,144.84,700948,1015.25,10574, 330597, 47.16
2023-03-20,DEVYANI, EQ,144.45,146.0,146.0,141.25,144.0,143.4,142.94,739180,1056.59,10244, 397117, 53.72
2023-03-21,DEVYANI, EQ,143.4,144.0,148.25,138.75, 140.70,141.85,144.48,46201709,66751.13,39592, 35014956, 75.79
2023-03-22,DEVYANI, EQ,141.85,141.45,144.3,141.05, 142.35,142.05,142.74,2617877,3736.64,19899, 764290, 29.20
2023-03-23,DEVYANI, EQ,142.05,142.05,142.75,139.25, 141.75,141.65,141.24,1971213,2784.14,18414, 1345904, 68.28
2023-03-24,DEVYANI, EQ,141.65,142.0,142.55,136.2, 138.80,138.05,138.1,2785713,3847.06,40774, 1583699, 56.85
2023-03-27,DEVYANI, EQ,138.05,138.05,138.8,133.95, 138.20,137.95,136.67,2747276,3754.66,42384, 1710603, 62.27
2023-03-28,DEVYANI, EQ,137.95,137.3,140.4,136.7, 139.70,139.9,139.29,2498252,3479.78,35952, 1603319, 64.18
2023-03-29,DEVYANI, EQ,139.9,138.25,144.9,138.25, 144.00,143.35,141.54,3033045,4293.0,30588, 2255747, 74.37
2023-03-31,DEVYANI, EQ,143.35,144.8,146.45,143.8, 144.00,144.65,145.06,1365551,1980.92,18689, 870142, 63.72
2023-04-03,DEVYANI, EQ,144.65,144.8,147.7,144.8, 146.55,146.3,146.47,909667,1332.4,15990, 512311, 56.32
2023-04-05,DEVYANI, EQ,146.3,146.75,148.3,146.25, 146.95,146.55,147.01,1523779,2240.04,13887, 1194612, 78.40
2023-04-06,DEVYANI, EQ,146.55,147.2,147.2,144.1, 145.25,145.2,145.26,1288363,1871.48,22321, 861662, 66.88
2023-04-10,DEVYANI, EQ,145.2,145.55,147.9,144.65, 145.60,145.5,145.99,1932832,2821.67,13735, 1443085, 74.66
2023-04-11,DEVYANI, EQ,145.5,146.0,150.7,146.0, 150.55,150.4,149.06,3143529,4685.86,23794, 1697808, 54.01
2023-04-12,DEVYANI, EQ,150.4,150.45,153.7,149.0, 153.50,152.95,152.24,2268288,3453.14,29873, 1547735, 68.23
2023-04-13,DEVYANI, EQ,152.95,153.0,157.0,153.0, 156.90,156.2,155.38,1836740,2854.01,19818, 1086740, 59.17
2023-04-17,DEVYANI, EQ,156.2,156.5,160.7,155.8, 159.75,159.65,157.95,6029490,9523.71,21381, 5076460, 84.19
2023-04-18,DEVYANI, EQ,159.65,160.0,162.15,158.6, 161.20,161.05,160.9,2124826,3418.82,23416, 1259028, 59.25
2023-04-19,DEVYANI, EQ,161.05,161.1,163.7,158.7, 161.35,160.9,161.03,1853745,2985.09,13168, 1127857, 60.84
2023-04-20,DEVYANI, EQ,160.9,161.4,163.0,160.0, 161.10,161.1,161.19,844347,1361.0,8666, 377383, 44.70
2023-04-21,DEVYANI, EQ,161.1,160.75,161.35,158.0, 160.00,160.05,159.68,719385,1148.72,7612, 400934, 55.73
2023-04-24,DEVYANI, EQ,160.05,160.2,160.5,158.3, 159.70,159.5,159.33,1213428,1933.41,16028, 790643, 65.16
2023-04-25,DEVYANI, EQ,159.5,157.8,162.8,157.0,161.1,161.65,160.86,901881,1450.76,9175, 360679, 39.99
2023-04-26,DEVYANI, EQ,161.65,161.65,162.45,159.2, 159.80,160.1,160.99,765136,1231.79,7774, 440928, 57.63
2023-04-27,DEVYANI, EQ,160.1,159.45,161.45,159.35, 160.55,160.5,160.68,371190,596.42,5132, 252116, 67.92
2023-04-28,DEVYANI, EQ,160.5,160.8,162.7,160.6, 161.00,161.4,161.59,733282,1184.88,9045, 418177, 57.03
2023-05-02,DEVYANI, EQ,161.4,163.45,171.25,163.0, 171.15,170.6,167.88,4981741,8363.48,24817, 2768276, 55.57
2023-05-03,DEVYANI, EQ,170.6,170.6,176.0,170.2,174.5,174.4,173.62,5345390,9280.81,32493, 3096555, 57.93
2023-05-04,DEVYANI, EQ,174.4,175.2,176.75,173.0, 175.00,175.4,174.91,2285823,3998.24,11762, 1608129, 70.35
2023-05-05,DEVYANI, EQ,175.4,175.0,177.9,172.85, 177.05,177.3,175.91,1924118,3384.81,14163, 1100741, 57.21
2023-05-08,DEVYANI, EQ,177.3,177.8,177.8,175.0, 176.00,176.2,176.13,1037116,1826.67,11055, 705249, 68.00
2023-05-09,DEVYANI, EQ,176.2,177.0,179.8,175.9,178.0,178.15,177.97,2152778,3831.2,14297, 1657974, 77.02
2023-05-10,DEVYANI, EQ,178.15,179.0,179.55,174.1,175.0,175.85,177.09,1755808,3109.41,9601, 1363174, 77.64
2023-05-11,DEVYANI, EQ,175.85,175.5,177.4,174.55, 175.25,175.45,176.16,633017,1115.15,11905, 284850, 45.00
2023-05-12,DEVYANI, EQ,175.45,175.1,177.45,173.75, 176.60,176.45,175.25,692486,1213.55,8984, 348307, 50.30
2023-05-15,DEVYANI, EQ,176.45,177.1,184.85,176.0, 183.10,183.35,181.59,3750229,6810.05,38443, 2261514, 60.30
2023-05-16,DEVYANI, EQ,183.35,185.0,187.6,179.45,181.95,181.85,184.21,2352817,4334.21,16075, 1411117, 59.98
2023-05-17,DEVYANI, EQ,181.85,180.0,184.1,166.2, 174.00,174.3,177.07,7064148,12508.28,46425, 3428920, 48.54
2023-05-18,DEVYANI, EQ,174.3,174.3,185.0,173.9, 183.80,184.15,182.39,6474442,11808.95,56236, 3509589, 54.21
2023-05-19,DEVYANI, EQ,184.15,184.0,184.25,178.75,180.6,182.95,180.83,2276050,4115.86,17136, 1388751, 61.02
2023-05-22,DEVYANI, EQ,182.95,181.0,182.1,176.45,177.45,177.1,178.94,1616832,2893.11,13662, 1067911, 66.05
2023-05-23,DEVYANI, EQ,177.1,177.0,179.95,175.2, 176.00,176.7,177.75,1396197,2481.77,12662, 825252, 59.11
2023-05-24,DEVYANI, EQ,176.7,176.5,183.4,176.0, 181.20,180.6,181.12,1490314,2699.21,15710, 671452, 45.05
2023-05-25,DEVYANI, EQ,180.6,180.65,184.0,179.8, 183.00,183.1,182.42,734469,1339.84,9580, 366649, 49.92
2023-05-26,DEVYANI, EQ,183.1,183.1,190.9,182.95,188.45,187.1,187.36,2415409,4525.4,47481, 1243700, 51.49
2023-05-29,DEVYANI, EQ,187.1,190.1,190.9,183.25, 184.10,185.8,189.6,4747824,9001.82,26859, 3839724, 80.87
2023-05-30,DEVYANI, EQ,185.8,185.0,186.6,181.0, 181.70,182.15,183.39,1137136,2085.44,15411, 586917, 51.61
2023-05-31,DEVYANI, EQ,182.15,179.4,186.9,177.7, 185.50,184.5,182.34,2937898,5356.92,23522, 1715440, 58.39
2023-06-01,DEVYANI, EQ,184.5,184.0,187.9,183.15, 184.60,185.1,185.47,1599637,2966.92,17239, 1085647, 67.87
2023-06-02,DEVYANI, EQ,185.1,186.3,187.35,182.55, 185.00,185.6,185.38,688702,1276.69,11166, 365050, 53.01
2023-06-05,DEVYANI, EQ,185.6,186.5,186.5,182.0, 182.50,182.45,183.67,478900,879.59,7191, 256471, 53.55
2023-06-06,DEVYANI, EQ,182.45,182.85,183.9,178.25,178.9,178.85,180.85,844096,1526.57,6900, 600940, 71.19
2023-06-07,DEVYANI, EQ,178.85,179.05,184.0,179.05, 181.00,180.9,182.28,1362476,2483.47,13016, 832999, 61.14
2023-06-08,DEVYANI, EQ,180.9,185.0,185.7,180.2, 183.00,181.85,183.24,2488036,4559.17,17203, 1385393, 55.68
2023-06-09,DEVYANI, EQ,181.85,182.3,183.2,180.15, 180.80,180.75,182.16,1588658,2893.92,7211, 1273395, 80.16
2023-06-12,DEVYANI, EQ,180.75,181.55,181.55,175.9, 178.55,178.3,178.28,1241941,2214.11,20768, 660272, 53.16
2023-06-13,DEVYANI, EQ,178.3,179.0,199.3,179.0, 192.80,192.85,192.21,7003355,13461.03,54352, 2269779, 32.41
2023-06-14,DEVYANI, EQ,192.85,192.85,193.6,187.1, 188.30,188.3,188.92,2175026,4109.11,23830, 736673, 33.87
2023-06-15,DEVYANI, EQ,188.3,189.1,194.3,187.2, 189.00,189.9,191.33,2461221,4709.05,29452, 890799, 36.19
2023-06-16,DEVYANI, EQ,189.9,191.2,194.5,190.05, 192.00,192.2,192.63,1472231,2835.91,22475, 723487, 49.14
2023-06-19,DEVYANI, EQ,192.2,193.0,197.0,191.75, 195.00,194.9,195.26,3176760,6202.91,28198, 1127924, 35.51
2023-06-20,DEVYANI, EQ,194.9,195.7,197.0,192.3, 193.00,192.95,193.96,1029565,1996.91,13431, 595223, 57.81
2023-06-21,DEVYANI, EQ,192.95,193.0,193.9,189.0, 190.00,191.05,191.28,925201,1769.76,11944, 579306, 62.61
2023-06-22,DEVYANI, EQ,191.05,191.05,193.75,190.0,190.25,190.7,191.49,749195,1434.62,8903, 335249, 44.75
2023-06-23,DEVYANI, EQ,190.7,189.65,190.8,186.0, 189.60,188.75,188.45,982606,1851.68,11256, 651802, 66.33
2023-06-26,DEVYANI, EQ,188.75,188.5,195.0,188.1, 194.75,194.3,192.95,1683249,3247.87,21586, 632843, 37.60
2023-06-27,DEVYANI, EQ,194.3,195.65,195.8,188.0, 190.05,189.85,190.85,2293421,4376.97,29578, 1511401, 65.90
2023-06-28,DEVYANI, EQ,189.85,191.05,193.4,184.4, 188.60,188.5,190.65,1099147,2095.49,12918, 554729, 50.47
2023-06-30,DEVYANI, EQ,188.5,188.8,192.75,187.5, 188.10,188.35,189.99,1172071,2226.87,14246, 534591, 45.61
2023-07-03,DEVYANI, EQ,188.35,189.0,191.0,186.1, 188.30,188.2,189.01,984843,1861.44,13806, 463679, 47.08
2023-07-04,DEVYANI, EQ,188.2,188.8,191.0,187.2, 188.00,188.0,188.86,801455,1513.64,13400, 334232, 41.70
2023-07-05,DEVYANI, EQ,188.0,188.7,190.9,188.05,190.6,189.7,189.84,868461,1648.64,20306, 475629, 54.77
2023-07-06,DEVYANI, EQ,189.7,190.55,197.0,190.5,192.0,192.0,194.4,3163311,6149.39,27341, 1309778, 41.41
2023-07-07,DEVYANI, EQ,192.0,192.7,192.7,189.4, 191.00,191.45,190.86,621813,1186.81,7692, 248323, 39.94
2023-07-10,DEVYANI, EQ,191.45,191.45,195.2,187.7,190.05,190.05,191.87,1232319,2364.49,13642, 539317, 43.76
2023-07-11,DEVYANI, EQ,190.05,190.9,191.5,188.9, 189.85,189.85,189.98,844235,1603.84,10197, 522888, 61.94
2023-07-12,DEVYANI, EQ,189.85,189.9,194.8,188.0, 191.75,192.0,192.4,3655312,7032.89,18567, 2530096, 69.22
2023-07-13,DEVYANI, EQ,192.0,192.9,198.0,191.25, 194.80,194.1,195.02,3066172,5979.78,24433, 1396289, 45.54
2023-07-14,DEVYANI, EQ,194.1,194.9,196.75,192.5,194.7,193.75,194.7,1234662,2403.91,12533, 630532, 51.07
2023-07-17,DEVYANI, EQ,193.75,194.0,195.8,192.2,194.1,194.05,193.82,913132,1769.82,9628, 440651, 48.26
2023-07-18,DEVYANI, EQ,194.05,194.05,197.3,191.2, 197.25,196.0,194.17,1819074,3532.15,18110, 1033348, 56.81
2023-07-19,DEVYANI, EQ,196.0,197.95,201.75,196.45, 198.80,199.9,199.71,6835685,13651.27,34841, 3248001, 47.52
