DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,DFMFOODS, EQ,457.85,459.45,459.9,456.6, 459.00,459.05,458.34,97500,446.88,1829, 72915, 74.78
2023-01-03,DFMFOODS, EQ,459.05,458.15,460.9,457.5, 460.35,460.25,459.53,128406,590.07,2400, 82692, 64.40
2023-01-04,DFMFOODS, EQ,460.25,458.2,463.0,458.2, 461.15,461.15,461.1,188094,867.3,2061, 159641, 84.87
2023-01-05,DFMFOODS, EQ,461.15,465.75,466.5,450.3,451.25,452.6,457.15,101047,461.94,9109, 60721, 60.09
2023-01-06,DFMFOODS, EQ,452.6,456.5,461.9,454.0,454.85,455.7,458.28,93567,428.8,4733, 41765, 44.64
2023-01-09,DFMFOODS, EQ,455.7,455.95,459.9,454.5,454.5,456.05,458.04,43059,197.23,4678, 25298, 58.75
2023-01-10,DFMFOODS, EQ,456.05,456.05,461.0,456.05,459.0,458.95,458.82,37131,170.36,3267, 19502, 52.52
2023-01-11,DFMFOODS, EQ,458.95,458.9,461.35,457.05, 457.05,458.35,459.83,24852,114.28,3131, 12646, 50.89
2023-01-12,DFMFOODS, EQ,458.35,459.0,460.75,457.6, 459.75,460.05,460.03,24638,113.34,3671, 17896, 72.64
2023-01-13,DFMFOODS, EQ,460.05,461.05,461.65,455.55,456.95,457.2,458.99,10433,47.89,785, 5517, 52.88
2023-01-16,DFMFOODS, EQ,457.2,455.0,460.9,450.0, 452.65,453.4,455.87,38498,175.5,1263, 26684, 69.31
2023-01-17,DFMFOODS, EQ,453.4,454.5,460.75,454.5,459.0,460.1,459.13,23484,107.82,1169, 16874, 71.85
2023-01-18,DFMFOODS, EQ,460.1,460.1,461.9,456.35,459.95,458.15,459.65,25988,119.45,1413, 18468, 71.06
2023-01-19,DFMFOODS, EQ,458.15,458.0,460.5,457.1, 457.10,457.85,459.0,44658,204.98,2498, 33089, 74.09
2023-01-20,DFMFOODS, EQ,457.85,456.25,460.25,455.9,458.6,458.4,458.69,28848,132.32,1904, 16465, 57.08
2023-01-23,DFMFOODS, EQ,458.4,454.2,461.55,454.2,459.9,459.0,459.77,16547,76.08,1110, 9352, 56.52
2023-01-24,DFMFOODS, EQ,459.0,458.2,475.0,456.0,456.9,457.45,460.85,25191,116.09,1558, 10904, 43.29
2023-01-25,DFMFOODS, EQ,457.45,460.1,461.5,456.0, 458.10,459.15,459.26,16111,73.99,1352, 6096, 37.84
2023-01-27,DFMFOODS, EQ,459.15,459.75,460.4,456.0, 456.90,456.75,458.83,17935,82.29,2195, 11282, 62.90
