DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,DIXON, EQ,3904.6,3927.0,3960.0,3889.55, 3891.00,3897.3,3911.77,90036,3522.0,15681, 33750, 37.49
2023-01-03,DIXON, EQ,3897.3,3894.0,3929.0,3876.0, 3925.00,3922.15,3908.9,87251,3410.56,9861, 36476, 41.81
2023-01-04,DIXON, EQ,3922.15,3920.0,3938.4,3855.6, 3861.00,3864.05,3895.17,122473,4770.53,15468, 48243, 39.39
2023-01-05,DIXON, EQ,3864.05,3877.0,3897.8,3791.1,3829.0,3838.6,3832.71,95221,3649.54,15379, 26436, 27.76
2023-01-06,DIXON, EQ,3838.6,3830.0,3843.55,3785.05,3825.0,3817.45,3815.31,90644,3458.35,12036, 18237, 20.12
2023-01-09,DIXON, EQ,3817.45,3836.55,3853.0,3765.0,3778.0,3774.05,3799.35,145564,5530.49,17556, 69663, 47.86
2023-01-10,DIXON, EQ,3774.05,3792.9,3808.0,3705.5,3741.0,3731.15,3735.67,121358,4533.54,16225, 47193, 38.89
2023-01-11,DIXON, EQ,3731.15,3748.0,3758.5,3697.6, 3708.90,3705.3,3722.84,92859,3456.99,10109, 33009, 35.55
2023-01-12,DIXON, EQ,3705.3,3720.0,3722.65,3634.35, 3659.85,3651.05,3661.69,169937,6222.56,18232, 88243, 51.93
2023-01-13,DIXON, EQ,3651.05,3659.95,3671.0,3603.05,3635.0,3626.55,3621.5,134883,4884.79,14700, 66584, 49.36
2023-01-16,DIXON, EQ,3626.55,3644.7,3658.0,3541.0, 3547.10,3547.65,3576.05,145572,5205.73,22164, 69951, 48.05
2023-01-17,DIXON, EQ,3547.65,3547.65,3582.9,3512.5,3564.0,3564.05,3547.24,131767,4674.09,20086, 44552, 33.81
2023-01-18,DIXON, EQ,3564.05,3581.85,3588.8,3505.0,3518.9,3516.75,3526.75,203661,7182.6,33767, 109228, 53.63
2023-01-19,DIXON, EQ,3516.75,3500.0,3557.05,3451.1, 3550.00,3545.25,3499.45,204072,7141.4,18710, 78806, 38.62
2023-01-20,DIXON, EQ,3545.25,3545.0,3574.25,3498.1,3531.0,3516.0,3528.68,134510,4746.43,17321, 49741, 36.98
2023-01-23,DIXON, EQ,3516.0,3533.6,3533.6,3425.0,3491.1,3495.05,3489.46,197301,6884.74,23073, 56763, 28.77
2023-01-24,DIXON, EQ,3495.05,3495.05,3568.95,3460.0,3474.0,3477.0,3509.32,250604,8794.49,27437, 92467, 36.90
2023-01-25,DIXON, EQ,3477.0,3477.0,3483.95,3355.0, 3365.00,3363.8,3402.48,228522,7775.41,30273, 87891, 38.46
2023-01-27,DIXON, EQ,3363.8,3135.0,3189.95,2631.0, 2728.00,2721.8,2771.98,4960069,137492.16,455589, 1822317, 36.74
2023-01-30,DIXON, EQ,2721.8,2740.0,2745.85,2553.0, 2699.90,2679.8,2644.44,1388999,36731.29,180748, 475182, 34.21
2023-01-31,DIXON, EQ,2679.8,2694.0,2799.95,2635.0,2679.0,2681.55,2718.71,1126760,30633.3,131083, 487413, 43.26
2023-02-01,DIXON, EQ,2681.55,2724.0,2860.0,2716.05, 2803.00,2806.6,2810.58,1641717,46141.76,129699, 340333, 20.73
2023-02-02,DIXON, EQ,2806.6,2800.0,2859.8,2741.15, 2765.00,2765.55,2800.33,610067,17083.89,69472, 137834, 22.59
2023-02-03,DIXON, EQ,2765.55,2770.95,2833.85,2668.05, 2751.00,2755.45,2732.68,413917,11311.01,58695, 86742, 20.96
2023-02-06,DIXON, EQ,2755.45,2759.8,2815.0,2742.15, 2781.95,2783.55,2775.06,227943,6325.56,33365, 39880, 17.50
2023-02-07,DIXON, EQ,2783.55,2797.5,2797.5,2691.1, 2706.00,2706.75,2721.69,567714,15451.42,66230, 254625, 44.85
2023-02-08,DIXON, EQ,2706.75,2737.05,2737.05,2675.4, 2705.00,2703.95,2701.44,342203,9244.4,49728, 103781, 30.33
2023-02-09,DIXON, EQ,2703.95,2700.0,2734.35,2641.05, 2694.40,2690.45,2680.14,394355,10569.26,53740, 148683, 37.70
2023-02-10,DIXON, EQ,2690.45,2699.95,2745.0,2661.6, 2704.90,2704.55,2707.08,306637,8300.91,45701, 110701, 36.10
2023-02-13,DIXON, EQ,2704.55,2717.0,2728.65,2622.05,2665.0,2665.5,2661.91,315713,8404.0,43762, 77186, 24.45
2023-02-14,DIXON, EQ,2665.5,2674.0,2710.0,2631.2,2690.9,2688.3,2687.69,336631,9047.59,43761, 85141, 25.29
2023-02-15,DIXON, EQ,2688.3,2685.0,2718.5,2651.2, 2702.00,2701.55,2693.51,226606,6103.66,30318, 63362, 27.96
2023-02-16,DIXON, EQ,2701.55,2715.1,2770.0,2690.0, 2722.35,2726.25,2731.46,598235,16340.53,51269, 287763, 48.10
2023-02-17,DIXON, EQ,2726.25,2720.0,2759.7,2696.0, 2732.35,2736.3,2729.67,243108,6636.05,24086, 66432, 27.33
2023-02-20,DIXON, EQ,2736.3,2732.35,2750.05,2695.0, 2703.55,2705.65,2721.11,193404,5262.74,18016, 39072, 20.20
2023-02-21,DIXON, EQ,2705.65,2712.0,2735.3,2695.0, 2723.00,2722.6,2718.37,191374,5202.26,16879, 64555, 33.73
2023-02-22,DIXON, EQ,2722.6,2711.0,2711.05,2636.2, 2640.00,2644.2,2661.83,270867,7210.01,23787, 107389, 39.65
2023-02-23,DIXON, EQ,2644.2,2644.0,2706.0,2581.2,2700.0,2688.15,2648.68,436346,11557.39,35268, 136912, 31.38
2023-02-24,DIXON, EQ,2688.15,2705.0,2809.4,2684.05, 2805.00,2796.95,2765.18,539202,14909.93,39128, 148345, 27.51
2023-02-27,DIXON, EQ,2796.95,2800.0,2800.05,2705.95, 2785.00,2778.85,2761.27,300700,8303.14,31991, 78444, 26.09
2023-02-28,DIXON, EQ,2778.85,2779.0,2904.0,2760.2, 2890.50,2890.65,2857.76,708324,20242.21,61040, 195530, 27.60
2023-03-01,DIXON, EQ,2890.65,2892.0,2994.25,2879.9, 2923.20,2929.9,2943.18,734196,21608.69,55605, 260059, 35.42
2023-03-02,DIXON, EQ,2929.9,2924.85,2989.8,2919.3, 2961.00,2949.55,2951.58,505745,14927.46,36884, 201851, 39.91
2023-03-03,DIXON, EQ,2949.55,2969.25,2993.75,2935.0, 2988.90,2977.85,2973.3,286611,8521.79,28282, 96602, 33.70
2023-03-06,DIXON, EQ,2977.85,2995.0,3052.8,2971.0, 2980.60,2988.1,3016.01,275545,8310.46,26878, 68633, 24.91
2023-03-08,DIXON, EQ,2988.1,2975.0,2980.05,2907.85, 2919.00,2917.15,2938.53,166197,4883.75,18856, 47644, 28.67
2023-03-09,DIXON, EQ,2917.15,2919.15,2937.8,2816.0, 2829.00,2821.65,2855.9,252164,7201.55,25289, 60599, 24.03
2023-03-10,DIXON, EQ,2821.65,2822.0,2895.0,2790.45, 2895.00,2886.9,2861.18,478656,13695.22,31413, 175115, 36.58
2023-03-13,DIXON, EQ,2886.9,2880.0,2934.0,2826.0, 2906.00,2885.65,2895.4,483555,14000.86,39882, 175036, 36.20
2023-03-14,DIXON, EQ,2885.65,2900.45,2900.45,2811.25, 2841.00,2853.0,2854.76,221530,6324.15,19369, 71143, 32.11
2023-03-15,DIXON, EQ,2853.0,2875.0,2878.25,2807.0, 2827.95,2828.25,2835.61,222399,6306.36,29142, 58680, 26.39
2023-03-16,DIXON, EQ,2828.25,2842.4,2900.0,2830.8, 2869.00,2868.05,2872.36,231087,6637.65,25565, 35652, 15.43
2023-03-17,DIXON, EQ,2868.05,2882.4,2907.65,2852.25, 2881.00,2886.8,2888.25,158129,4567.16,16602, 37648, 23.81
2023-03-20,DIXON, EQ,2886.8,2835.9,2934.1,2835.9,2920.0,2912.75,2881.28,199520,5748.73,21373, 52994, 26.56
2023-03-21,DIXON, EQ,2912.75,2912.1,2948.05,2895.0, 2901.00,2900.05,2918.11,182196,5316.67,15499, 45244, 24.83
2023-03-22,DIXON, EQ,2900.05,2900.05,2924.5,2865.05, 2882.10,2886.4,2891.8,425945,12317.47,30190, 258158, 60.61
2023-03-23,DIXON, EQ,2886.4,2891.0,2913.35,2852.05, 2900.55,2898.8,2895.15,167649,4853.68,16549, 55743, 33.25
2023-03-24,DIXON, EQ,2898.8,2900.0,2908.8,2844.0, 2887.00,2881.4,2877.72,188655,5428.96,24120, 79011, 41.88
2023-03-27,DIXON, EQ,2881.4,2881.45,2894.45,2788.15, 2800.00,2804.6,2842.74,201382,5724.76,20767, 68576, 34.05
