DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,DLF, EQ,375.0,376.05,382.65,374.55, 379.70,380.15,379.15,2924202,11087.1,30618, 633868, 21.68
2023-01-03,DLF, EQ,380.15,380.75,382.7,378.5, 379.95,380.05,380.64,2004850,7631.32,23685, 851950, 42.49
2023-01-04,DLF, EQ,380.05,380.4,381.5,368.6, 370.55,371.85,372.95,3815316,14229.41,47790, 1113261, 29.18
2023-01-05,DLF, EQ,371.85,372.7,374.6,368.65,372.9,372.75,371.63,2499525,9289.05,34657, 779593, 31.19
2023-01-06,DLF, EQ,372.75,373.9,374.3,367.55,368.7,369.75,370.9,2603968,9658.04,28979, 973104, 37.37
2023-01-09,DLF, EQ,369.75,373.0,376.0,370.1,374.5,373.95,373.76,1561902,5837.71,24573, 426477, 27.30
2023-01-10,DLF, EQ,373.95,373.9,374.7,368.2,372.75,373.05,372.37,2252881,8389.08,32368, 859740, 38.16
2023-01-11,DLF, EQ,373.05,373.0,375.5,371.05, 372.10,372.1,372.94,1681043,6269.34,23633, 491704, 29.25
2023-01-12,DLF, EQ,372.1,372.9,376.5,370.8, 376.30,374.9,373.67,2859266,10684.15,39585, 740747, 25.91
2023-01-13,DLF, EQ,374.9,376.0,379.3,372.6,378.0,377.05,376.14,2743616,10319.97,36537, 1058771, 38.59
2023-01-16,DLF, EQ,377.05,378.5,379.9,371.7, 373.00,373.75,374.61,1661685,6224.81,28726, 519738, 31.28
2023-01-17,DLF, EQ,373.75,373.95,375.9,369.05,375.0,375.4,373.32,1977186,7381.16,26660, 498880, 25.23
2023-01-18,DLF, EQ,375.4,376.0,377.15,373.15,376.05,376.4,375.71,1819111,6834.53,25832, 518849, 28.52
2023-01-19,DLF, EQ,376.4,375.0,376.5,372.65, 374.50,375.4,374.55,1980513,7417.96,37554, 768472, 38.80
2023-01-20,DLF, EQ,375.4,374.0,375.85,368.55,369.5,369.3,372.05,3988074,14837.51,41949, 1296236, 32.50
2023-01-23,DLF, EQ,369.3,371.15,371.7,367.5,368.3,369.55,369.5,2338790,8641.85,26470, 722237, 30.88
