DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,DNAMEDIA, EQ,3.5,3.5,3.55,3.4, 3.50,3.5,3.47,59853,2.08,171, 39485, 65.97
2023-01-03,DNAMEDIA, EQ,3.5,3.5,3.55,3.4, 3.45,3.45,3.48,62757,2.19,165, 42942, 68.43
2023-01-04,DNAMEDIA, EQ,3.45,3.45,3.5,3.35, 3.40,3.45,3.43,59084,2.02,110, 20827, 35.25
2023-01-05,DNAMEDIA, EQ,3.45,3.55,3.55,3.35,3.4,3.35,3.38,72916,2.47,129, 38385, 52.64
2023-01-06,DNAMEDIA, EQ,3.35,3.4,3.4,3.2,3.3,3.3,3.3,98311,3.24,130, 64262, 65.37
2023-01-09,DNAMEDIA, EQ,3.3,3.3,3.35,3.25,3.25,3.25,3.29,39852,1.31,98, 32039, 80.39
2023-01-10,DNAMEDIA, EQ,3.25,3.25,3.3,3.2,3.25,3.25,3.25,38317,1.24,65, 24900, 64.98
2023-01-11,DNAMEDIA, EQ,3.25,3.25,3.3,3.2, 3.25,3.2,3.21,46956,1.51,93, 36446, 77.62
2023-01-12,DNAMEDIA, EQ,3.2,3.3,3.3,3.15, 3.15,3.15,3.19,58601,1.87,133, 35989, 61.41
2023-01-13,DNAMEDIA, EQ,3.15,3.1,3.25,3.1,3.15,3.15,3.13,54994,1.72,94, 31629, 57.51
2023-01-16,DNAMEDIA, EQ,3.15,3.15,3.15,3.05, 3.10,3.1,3.1,37384,1.16,109, 24701, 66.07
2023-01-17,DNAMEDIA, EQ,3.1,3.15,3.15,3.0,3.1,3.1,3.08,34521,1.06,77, 30028, 86.98
2023-01-18,DNAMEDIA, EQ,3.1,3.2,3.2,3.0,3.1,3.1,3.07,79184,2.43,109, 46182, 58.32
