DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,DODLA, EQ,505.7,515.75,515.75,495.35, 505.00,504.05,505.1,17025,85.99,1064, 10093, 59.28
2023-01-03,DODLA, EQ,504.05,496.95,507.05,496.95, 503.90,505.1,504.96,5488,27.71,834, 3359, 61.21
2023-01-04,DODLA, EQ,505.1,507.9,507.9,501.6, 505.50,503.55,503.41,7859,39.56,1961, 5552, 70.65
2023-01-05,DODLA, EQ,503.55,503.9,510.95,502.0,505.0,506.25,506.66,6668,33.78,1118, 3741, 56.10
2023-01-06,DODLA, EQ,506.25,501.5,508.5,462.9,504.4,487.85,490.58,30210,148.2,3118, 15433, 51.09
2023-01-09,DODLA, EQ,487.85,490.15,508.45,488.9,499.5,492.55,497.98,45499,226.57,9024, 25587, 56.24
2023-01-10,DODLA, EQ,492.55,498.95,502.35,493.0,498.0,497.85,498.18,27708,138.03,1767, 23110, 83.41
2023-01-11,DODLA, EQ,497.85,499.9,504.15,496.3, 503.40,502.2,500.87,6286,31.48,1418, 3548, 56.44
2023-01-12,DODLA, EQ,502.2,502.3,505.5,497.0, 497.00,500.95,501.8,13030,65.39,2367, 7892, 60.57
2023-01-13,DODLA, EQ,500.95,504.0,507.1,498.6,506.0,506.05,504.98,7896,39.87,832, 5948, 75.33
2023-01-16,DODLA, EQ,506.05,510.0,514.65,505.0, 505.50,510.1,510.24,10663,54.41,1404, 7922, 74.29
2023-01-17,DODLA, EQ,510.1,512.0,521.45,508.0,508.9,512.4,515.02,28160,145.03,2574, 16360, 58.10
2023-01-18,DODLA, EQ,512.4,512.9,512.9,503.0,507.0,505.55,506.58,6414,32.49,1985, 3629, 56.58
2023-01-19,DODLA, EQ,505.55,502.95,508.75,501.1, 505.00,504.85,504.5,6989,35.26,978, 4642, 66.42
2023-01-20,DODLA, EQ,504.85,501.15,510.05,500.0,502.5,502.2,503.79,10620,53.5,2695, 5803, 54.64
2023-01-23,DODLA, EQ,502.2,500.3,508.35,497.25,508.35,505.25,503.91,14570,73.42,1556, 6739, 46.25
2023-01-24,DODLA, EQ,505.25,510.0,510.0,501.0,507.9,505.45,504.9,8780,44.33,2239, 5153, 58.69
2023-01-25,DODLA, EQ,505.45,500.25,508.7,500.0, 505.00,504.85,504.05,13224,66.66,3025, 7123, 53.86
2023-01-27,DODLA, EQ,504.85,509.0,509.0,499.25, 505.00,503.8,502.86,12469,62.7,2030, 7737, 62.05
2023-01-30,DODLA, EQ,503.8,499.0,508.0,498.6, 500.00,501.7,501.44,8544,42.84,1629, 5488, 64.23
2023-01-31,DODLA, EQ,501.7,505.95,505.95,498.05,502.2,502.1,501.52,5265,26.41,1694, 2524, 47.94
2023-02-01,DODLA, EQ,502.1,503.05,515.0,497.65, 504.90,504.45,504.77,23566,118.95,4284, 11422, 48.47
2023-02-02,DODLA, EQ,504.45,500.0,509.95,495.05, 508.00,504.3,503.02,9229,46.42,2153, 4968, 53.83
2023-02-03,DODLA, EQ,504.3,514.0,514.0,493.55, 504.00,500.8,502.39,13115,65.89,2704, 5668, 43.22
2023-02-06,DODLA, EQ,500.8,501.0,504.35,495.5, 504.30,501.55,500.5,8997,45.03,2292, 4883, 54.27
2023-02-07,DODLA, EQ,501.55,509.0,509.0,500.3, 506.80,505.45,504.73,8188,41.33,2177, 5036, 61.50
2023-02-08,DODLA, EQ,505.45,508.8,508.8,498.55, 501.50,500.55,502.01,15505,77.84,2018, 10193, 65.74
2023-02-09,DODLA, EQ,500.55,500.55,503.8,484.85, 495.00,490.25,493.72,22866,112.89,1603, 13990, 61.18
2023-02-10,DODLA, EQ,490.25,502.2,502.2,494.45, 499.00,498.65,498.75,5094,25.41,862, 2826, 55.48
2023-02-13,DODLA, EQ,498.65,505.0,505.0,496.15,500.7,500.2,500.13,8774,43.88,1432, 5577, 63.56
2023-02-14,DODLA, EQ,500.2,498.6,502.0,493.0,497.7,494.3,496.3,8080,40.1,1444, 3960, 49.01
2023-02-15,DODLA, EQ,494.3,502.8,502.8,492.25, 497.00,494.7,495.76,5924,29.37,975, 3225, 54.44
2023-02-16,DODLA, EQ,494.7,498.95,503.0,495.1, 496.95,496.4,497.66,6296,31.33,1383, 3558, 56.51
2023-02-17,DODLA, EQ,496.4,492.55,497.45,491.0, 493.75,494.1,493.95,3975,19.63,1246, 2219, 55.82
2023-02-20,DODLA, EQ,494.1,491.0,496.55,490.0, 494.60,492.9,492.33,9906,48.77,1653, 6588, 66.51
2023-02-21,DODLA, EQ,492.9,493.15,495.95,489.0, 493.00,491.6,491.64,3462,17.02,1321, 1603, 46.30
2023-02-22,DODLA, EQ,491.6,490.0,495.0,486.4, 486.55,489.5,490.32,7878,38.63,2605, 4103, 52.08
2023-02-23,DODLA, EQ,489.5,489.45,492.75,485.65,490.0,488.5,489.11,5524,27.02,2223, 2344, 42.43
2023-02-24,DODLA, EQ,488.5,488.3,496.0,482.0, 491.65,489.35,488.72,4983,24.35,1031, 2451, 49.19
2023-02-27,DODLA, EQ,489.35,485.0,494.4,484.0, 489.95,488.8,487.51,11112,54.17,4045, 7905, 71.14
2023-02-28,DODLA, EQ,488.8,489.05,489.45,480.0, 485.00,484.95,484.34,10276,49.77,2088, 6700, 65.20
2023-03-01,DODLA, EQ,484.95,483.45,492.0,480.0, 485.90,485.3,483.9,12569,60.82,3081, 5816, 46.27
2023-03-02,DODLA, EQ,485.3,482.55,490.95,476.15, 490.50,488.75,483.87,19017,92.02,4270, 9404, 49.45
2023-03-03,DODLA, EQ,488.75,490.0,492.0,486.5, 488.00,487.75,488.19,6505,31.76,1193, 3173, 48.78
2023-03-06,DODLA, EQ,487.75,494.0,496.0,479.05, 486.70,485.5,485.83,29852,145.03,6767, 17986, 60.25
2023-03-08,DODLA, EQ,485.5,489.9,489.9,481.1, 485.95,485.0,484.92,45471,220.5,1169, 42770, 94.06
2023-03-09,DODLA, EQ,485.0,489.7,500.0,482.0, 483.00,484.25,484.37,70306,340.54,1204, 65433, 93.07
2023-03-10,DODLA, EQ,484.25,489.0,489.0,478.0, 480.00,479.55,480.95,10622,51.09,1911, 6472, 60.93
2023-03-13,DODLA, EQ,479.55,481.9,481.9,462.5, 469.25,467.4,471.11,18928,89.17,2023, 13642, 72.07
2023-03-14,DODLA, EQ,467.4,474.4,479.7,462.0, 479.70,478.0,469.88,12576,59.09,1776, 7163, 56.96
2023-03-15,DODLA, EQ,478.0,482.75,482.75,470.0, 473.00,472.0,473.55,4402,20.85,1005, 2599, 59.04
2023-03-16,DODLA, EQ,472.0,476.0,476.0,456.05, 460.05,459.95,462.38,14492,67.01,1816, 7451, 51.41
2023-03-17,DODLA, EQ,459.95,462.2,468.0,452.0, 465.00,456.9,461.77,6394,29.53,1089, 3229, 50.50
2023-03-20,DODLA, EQ,456.9,474.15,474.2,431.2,443.3,441.9,448.22,8535,38.26,1803, 4589, 53.77
2023-03-21,DODLA, EQ,441.9,438.0,451.95,438.0, 450.70,448.8,446.5,8594,38.37,1585, 5974, 69.51
2023-03-22,DODLA, EQ,448.8,453.0,454.15,444.15, 450.00,448.3,449.56,7458,33.53,1075, 4516, 60.55
2023-03-23,DODLA, EQ,448.3,449.05,460.0,445.0, 448.50,450.25,450.79,10127,45.65,2095, 5715, 56.43
2023-03-24,DODLA, EQ,450.25,454.75,458.5,444.05, 447.90,447.2,452.35,18888,85.44,1905, 8117, 42.97
2023-03-27,DODLA, EQ,447.2,452.3,452.3,435.0, 445.00,441.0,439.32,22282,97.89,1918, 14917, 66.95
2023-03-28,DODLA, EQ,441.0,441.8,445.35,437.0, 439.95,440.95,441.17,8149,35.95,1192, 5460, 67.00
2023-03-29,DODLA, EQ,440.95,439.75,452.7,438.2, 450.90,450.25,443.86,21026,93.33,1187, 16184, 76.97
2023-03-31,DODLA, EQ,450.25,454.7,467.75,451.35, 465.00,463.75,458.15,17800,81.55,1157, 6622, 37.20
2023-04-03,DODLA, EQ,463.75,471.0,490.8,471.0, 485.20,488.75,481.26,35591,171.28,1720, 24172, 67.92
2023-04-05,DODLA, EQ,488.75,488.75,490.0,474.95, 481.10,483.8,480.57,10639,51.13,1364, 4452, 41.85
2023-04-06,DODLA, EQ,483.8,488.0,491.1,473.1, 480.30,480.4,483.21,8951,43.25,1546, 4191, 46.82
2023-04-10,DODLA, EQ,480.4,485.0,490.4,473.0, 485.40,484.15,483.5,15602,75.44,2409, 6351, 40.71
2023-04-11,DODLA, EQ,484.15,488.95,488.95,477.0, 477.65,480.15,482.35,8696,41.95,834, 5041, 57.97
2023-04-12,DODLA, EQ,480.15,484.0,484.0,472.2, 473.00,474.05,474.96,17468,82.97,3950, 11291, 64.64
2023-04-13,DODLA, EQ,474.05,477.0,480.7,465.4, 470.85,472.5,474.8,10529,49.99,1540, 4850, 46.06
2023-04-17,DODLA, EQ,472.5,474.6,482.4,470.0, 476.95,476.3,475.8,12053,57.35,3971, 5748, 47.69
2023-04-18,DODLA, EQ,476.3,480.45,485.05,474.6, 483.15,481.85,479.33,17537,84.06,2682, 11698, 66.70
2023-04-19,DODLA, EQ,481.85,479.3,484.9,475.1, 480.00,478.75,479.19,8904,42.67,3017, 4755, 53.40
2023-04-20,DODLA, EQ,478.75,475.1,498.0,475.1, 492.00,491.6,487.97,17434,85.07,1854, 12052, 69.13
2023-04-21,DODLA, EQ,491.6,491.8,492.8,478.1, 487.05,484.8,482.65,10010,48.31,3002, 4539, 45.34
2023-04-24,DODLA, EQ,484.8,489.55,489.55,477.0, 482.50,485.15,484.66,9319,45.17,1742, 3815, 40.94
2023-04-25,DODLA, EQ,485.15,484.85,484.85,478.75,484.15,482.05,481.5,3633,17.49,768, 1869, 51.45
2023-04-26,DODLA, EQ,482.05,486.8,486.8,477.0, 480.50,478.95,480.85,13487,64.85,5066, 8094, 60.01
2023-04-27,DODLA, EQ,478.95,482.05,493.9,482.05, 492.00,489.9,489.34,14183,69.4,3767, 10536, 74.29
2023-04-28,DODLA, EQ,489.9,493.95,500.0,489.45, 490.25,496.15,496.18,14803,73.45,1728, 8681, 58.64
2023-05-02,DODLA, EQ,496.15,499.9,518.55,495.1, 503.00,504.05,502.54,26719,134.27,3371, 13489, 50.48
2023-05-03,DODLA, EQ,504.05,504.0,504.0,490.0,495.3,497.95,496.75,11113,55.2,1951, 6076, 54.67
2023-05-04,DODLA, EQ,497.95,498.5,504.95,496.4, 504.00,502.1,501.11,9488,47.55,1710, 6284, 66.23
2023-05-05,DODLA, EQ,502.1,500.1,502.7,488.0, 497.00,494.65,494.91,13958,69.08,1348, 8531, 61.12
2023-05-08,DODLA, EQ,494.65,499.55,499.55,485.55, 492.80,492.65,490.84,8864,43.51,2763, 5547, 62.58
2023-05-09,DODLA, EQ,492.65,485.05,497.45,485.05,492.65,490.95,490.28,5565,27.28,1570, 2984, 53.62
2023-05-10,DODLA, EQ,490.95,495.0,496.4,486.1,492.0,491.65,491.24,6235,30.63,1248, 4517, 72.45
2023-05-11,DODLA, EQ,491.65,492.5,494.8,486.45, 493.00,491.55,491.01,14103,69.25,1782, 8382, 59.43
2023-05-12,DODLA, EQ,491.55,492.45,497.55,484.05, 490.20,488.8,489.43,12628,61.8,1665, 7149, 56.61
2023-05-15,DODLA, EQ,488.8,496.95,496.95,484.1, 489.80,489.35,489.68,17461,85.5,4035, 10352, 59.29
2023-05-16,DODLA, EQ,489.35,485.55,493.0,481.3,488.0,486.85,487.4,8165,39.8,1587, 4492, 55.02
2023-05-17,DODLA, EQ,486.85,491.5,495.0,482.0, 490.00,491.6,488.57,15527,75.86,2742, 7351, 47.34
2023-05-18,DODLA, EQ,491.6,491.05,503.0,490.1, 497.00,499.35,496.71,11798,58.6,943, 7569, 64.15
2023-05-19,DODLA, EQ,499.35,500.0,504.0,485.05,503.0,502.1,498.66,22411,111.75,1898, 13251, 59.13
2023-05-22,DODLA, EQ,502.1,488.0,504.0,474.55,504.0,502.7,492.9,32874,162.04,2502, 15701, 47.76
2023-05-23,DODLA, EQ,502.7,500.95,505.0,492.1, 500.10,500.55,500.13,10225,51.14,1348, 6040, 59.07
2023-05-24,DODLA, EQ,500.55,500.0,506.9,493.15, 500.00,500.65,499.9,33357,166.75,1754, 27996, 83.93
2023-05-25,DODLA, EQ,500.65,495.2,510.9,495.2, 505.00,507.55,501.79,43747,219.52,3749, 38106, 87.11
2023-05-26,DODLA, EQ,507.55,510.85,513.85,505.0,505.0,507.75,508.34,20482,104.12,1288, 17461, 85.25
2023-05-29,DODLA, EQ,507.75,493.0,512.85,493.0, 512.75,511.5,508.57,12677,64.47,1325, 9489, 74.85
2023-05-30,DODLA, EQ,511.5,513.9,520.0,507.0, 514.00,511.85,513.93,24002,123.35,3450, 16362, 68.17
2023-05-31,DODLA, EQ,511.85,511.85,518.2,510.0, 512.90,514.95,514.38,28762,147.95,2430, 24403, 84.84
2023-06-01,DODLA, EQ,514.95,513.0,521.85,510.75, 520.00,516.85,515.42,184817,952.59,4739, 173830, 94.06
2023-06-02,DODLA, EQ,516.85,519.95,564.0,519.95, 539.00,544.45,547.0,298271,1631.55,14310, 128397, 43.05
