DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,DREAMFOLKS, EQ,364.4,364.85,371.85,359.35, 368.80,368.4,366.99,115642,424.39,4886, 35468, 30.67
2023-01-03,DREAMFOLKS, EQ,368.4,370.0,374.5,366.6, 373.00,373.1,370.87,53082,196.87,2865, 25548, 48.13
2023-01-04,DREAMFOLKS, EQ,373.1,374.0,384.55,368.9, 380.00,380.1,377.83,115991,438.25,5269, 53943, 46.51
2023-01-05,DREAMFOLKS, EQ,380.1,384.0,384.25,373.85,379.8,378.2,378.62,54907,207.89,3579, 21859, 39.81
2023-01-06,DREAMFOLKS, EQ,378.2,384.0,384.0,374.3,376.05,377.45,377.98,64988,245.64,3718, 34058, 52.41
2023-01-09,DREAMFOLKS, EQ,377.45,382.8,387.0,380.8,385.5,385.05,385.01,81818,315.01,5539, 56238, 68.74
2023-01-10,DREAMFOLKS, EQ,385.05,385.0,393.7,375.6,381.95,378.95,383.73,81823,313.98,4427, 42638, 52.11
2023-01-11,DREAMFOLKS, EQ,378.95,383.0,383.0,378.0, 378.95,379.95,379.53,24068,91.35,1496, 12913, 53.65
2023-01-12,DREAMFOLKS, EQ,379.95,380.1,380.25,370.9, 373.85,372.05,375.43,42148,158.24,2349, 26304, 62.41
2023-01-13,DREAMFOLKS, EQ,372.05,380.0,380.0,370.8,373.65,373.95,373.77,103275,386.01,4423, 76638, 74.21
2023-01-16,DREAMFOLKS, EQ,373.95,374.4,375.0,371.0, 372.50,373.05,372.41,74202,276.34,4142, 53487, 72.08
2023-01-17,DREAMFOLKS, EQ,373.05,375.0,375.0,371.0,371.4,371.55,371.86,35221,130.97,3423, 18105, 51.40
2023-01-18,DREAMFOLKS, EQ,371.55,382.0,388.25,377.0,386.1,386.6,382.05,259123,989.98,16595, 120990, 46.69
2023-01-19,DREAMFOLKS, EQ,386.6,385.5,397.25,380.8, 392.95,392.45,390.08,115155,449.2,7815, 49492, 42.98
2023-01-20,DREAMFOLKS, EQ,392.45,393.05,417.8,392.65,406.9,408.05,407.91,429740,1752.95,19550, 176953, 41.18
2023-01-23,DREAMFOLKS, EQ,408.05,409.0,411.7,395.0,396.3,399.3,401.85,73546,295.55,3360, 36523, 49.66
2023-01-24,DREAMFOLKS, EQ,399.3,397.4,402.9,389.0,396.0,393.15,395.24,61174,241.79,3236, 32195, 52.63
2023-01-25,DREAMFOLKS, EQ,393.15,392.9,392.9,378.5, 383.95,383.2,383.25,64653,247.78,3785, 29337, 45.38
2023-01-27,DREAMFOLKS, EQ,383.2,389.95,389.95,368.95, 375.00,374.55,374.11,120627,451.28,4786, 69549, 57.66
2023-01-30,DREAMFOLKS, EQ,374.55,374.95,381.5,363.2, 364.05,364.55,367.91,112623,414.35,4892, 67215, 59.68
2023-01-31,DREAMFOLKS, EQ,364.55,370.0,385.0,368.0,381.4,380.1,378.6,97022,367.32,6370, 45739, 47.14
2023-02-01,DREAMFOLKS, EQ,380.1,391.5,391.55,360.0, 365.00,369.7,374.88,119377,447.52,6552, 59743, 50.05
2023-02-02,DREAMFOLKS, EQ,369.7,368.0,377.15,365.85, 366.50,367.75,371.05,61513,228.24,3513, 30679, 49.87
2023-02-03,DREAMFOLKS, EQ,367.75,370.0,375.05,361.7, 374.00,370.55,366.38,83215,304.88,3119, 46495, 55.87
2023-02-06,DREAMFOLKS, EQ,370.55,373.9,385.5,369.25, 382.00,381.15,376.47,83547,314.53,5926, 42990, 51.46
2023-02-07,DREAMFOLKS, EQ,381.15,382.0,386.4,373.05, 385.95,383.95,381.17,86826,330.96,5333, 38313, 44.13
2023-02-08,DREAMFOLKS, EQ,383.95,390.0,408.0,375.85, 399.60,399.35,397.49,479632,1906.49,16708, 154409, 32.19
2023-02-09,DREAMFOLKS, EQ,399.35,404.2,412.95,395.95, 404.00,403.95,405.0,395104,1600.17,13313, 164289, 41.58
2023-02-10,DREAMFOLKS, EQ,403.95,403.9,403.9,393.2, 397.80,397.15,397.57,124273,494.07,5678, 69875, 56.23
2023-02-13,DREAMFOLKS, EQ,397.15,401.4,401.4,386.0,393.0,391.15,391.91,175872,689.27,5836, 117902, 67.04
2023-02-14,DREAMFOLKS, EQ,391.15,394.3,394.3,379.6,386.25,387.5,386.28,152429,588.8,5790, 78607, 51.57
2023-02-15,DREAMFOLKS, EQ,387.5,389.0,399.9,384.25, 387.00,386.95,389.74,399394,1556.59,9196, 304178, 76.16
