DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,DSSL, EQ,352.95,355.55,356.45,349.0, 353.15,353.8,354.12,11497,40.71,1294, 6625, 57.62
2023-01-03,DSSL, EQ,353.8,349.0,356.0,348.05, 351.00,349.75,352.02,13036,45.89,1466, 6544, 50.20
2023-01-04,DSSL, EQ,349.75,348.0,354.7,348.0, 353.00,351.5,351.98,10735,37.79,1328, 5883, 54.80
2023-01-05,DSSL, EQ,351.5,354.0,362.0,344.0,350.0,348.85,355.44,28547,101.47,2551, 14391, 50.41
2023-01-06,DSSL, EQ,348.85,352.35,380.5,352.1,367.0,366.3,370.11,90302,334.22,5729, 34090, 37.75
2023-01-09,DSSL, EQ,366.3,380.95,382.0,362.45,365.95,363.6,372.88,27043,100.84,1518, 14621, 54.07
2023-01-10,DSSL, EQ,363.6,363.6,374.95,361.25,364.25,365.05,366.94,16584,60.85,1139, 7568, 45.63
2023-01-11,DSSL, EQ,365.05,368.0,378.95,367.0, 375.00,374.15,373.85,40383,150.97,2338, 20975, 51.94
2023-01-12,DSSL, EQ,374.15,374.15,411.4,374.15, 402.00,396.4,401.99,267994,1077.3,7545, 76910, 28.70
2023-01-13,DSSL, EQ,396.4,407.95,411.0,386.05,399.5,401.6,401.6,106645,428.28,4809, 39588, 37.12
2023-01-16,DSSL, EQ,401.6,403.0,440.8,402.95, 435.00,432.25,429.12,196989,845.32,7173, 66193, 33.60
2023-01-17,DSSL, EQ,432.25,441.75,441.8,408.0,411.0,411.35,424.19,86781,368.11,4106, 36610, 42.19
2023-01-18,DSSL, EQ,411.35,415.05,431.95,407.1,411.95,410.0,418.42,48252,201.9,3872, 15890, 32.93
2023-01-19,DSSL, EQ,410.0,411.9,416.35,403.8, 408.00,406.45,407.88,32947,134.38,2159, 15633, 47.45
2023-01-20,DSSL, EQ,406.45,409.95,438.0,406.45,437.0,433.65,427.37,133517,570.62,6389, 48410, 36.26
2023-01-23,DSSL, EQ,433.65,444.95,475.0,440.45,475.0,469.65,461.75,229132,1058.01,9368, 63521, 27.72
2023-01-24,DSSL, EQ,469.65,487.9,507.5,460.3,468.0,472.4,489.52,350691,1716.69,18445, 82733, 23.59
2023-01-25,DSSL, EQ,472.4,475.0,519.6,474.8, 519.60,510.35,498.23,314651,1567.67,13255, 91597, 29.11
2023-01-27,DSSL, EQ,510.35,528.45,535.85,503.0, 535.85,533.45,526.55,360534,1898.4,13495, 83607, 23.19
2023-01-30,DSSL, EQ,533.45,549.0,555.8,506.8, 506.80,506.8,528.61,78209,413.42,3312, 45210, 57.81
2023-01-31,DSSL, EQ,506.8,493.15,500.95,481.5,481.5,481.5,484.72,18755,90.91,616, 12716, 67.80
2023-02-01,DSSL, EQ,481.5,465.35,505.55,457.45, 474.00,471.5,482.23,165977,800.39,7397, 59676, 35.95
2023-02-02,DSSL, EQ,471.5,475.05,495.05,474.0, 495.05,494.05,489.99,62518,306.33,2588, 32000, 51.19
2023-02-03,DSSL, EQ,494.05,511.7,515.0,480.1, 501.95,499.3,499.48,60710,303.23,4175, 27063, 44.58
2023-02-06,DSSL, EQ,499.3,514.95,514.95,484.0, 484.00,490.3,498.71,34234,170.73,3529, 18501, 54.04
2023-02-07,DSSL, EQ,490.3,494.75,500.0,465.8, 470.15,469.95,473.62,65217,308.88,3867, 34218, 52.47
2023-02-08,DSSL, EQ,469.95,472.8,484.6,470.5, 474.10,474.3,478.45,23371,111.82,2230, 11707, 50.09
2023-02-09,DSSL, EQ,474.3,478.0,479.0,455.6, 465.50,466.45,464.02,34324,159.27,3100, 15853, 46.19
2023-02-10,DSSL, EQ,466.45,472.45,472.9,455.3, 464.60,463.25,463.15,19807,91.74,2027, 11799, 59.57
2023-02-13,DSSL, EQ,463.25,468.0,483.95,462.1,476.5,473.25,473.52,32041,151.72,2702, 15799, 49.31
2023-02-14,DSSL, EQ,473.25,482.0,482.05,449.6,449.6,449.6,460.12,51775,238.23,3053, 26863, 51.88
2023-02-15,DSSL, EQ,449.6,427.15,427.15,427.15, 427.15,427.15,427.15,9354,39.96,276, 8703, 93.04
2023-02-16,DSSL, EQ,427.15,411.1,424.1,405.8, 407.80,407.45,410.95,95320,391.72,4972, 47345, 49.67
2023-02-17,DSSL, EQ,407.45,398.05,407.0,387.1, 387.10,387.4,394.31,48015,189.33,2617, 27991, 58.30
2023-02-20,DSSL, EQ,387.4,382.0,406.75,380.0, 406.75,406.75,400.19,37301,149.27,1381, 20905, 56.04
2023-02-21,DSSL, EQ,406.75,414.65,426.95,405.0, 406.95,410.55,418.21,71240,297.93,3432, 33864, 47.54
2023-02-22,DSSL, EQ,410.55,405.05,405.7,396.25, 402.00,401.35,401.71,25272,101.52,2710, 13104, 51.85
2023-02-23,DSSL, EQ,401.35,408.0,408.8,381.5,386.0,384.9,389.0,27319,106.27,2291, 13283, 48.62
2023-02-24,DSSL, EQ,384.9,390.0,401.0,385.3, 391.80,392.8,394.37,17088,67.39,1933, 8204, 48.01
2023-02-27,DSSL, EQ,392.8,399.0,399.0,373.2, 373.20,373.2,376.46,26632,100.26,1357, 17791, 66.80
2023-02-28,DSSL, EQ,373.2,354.55,366.6,354.55, 354.55,354.55,356.21,43390,154.56,1506, 23064, 53.16
2023-03-01,DSSL, EQ,354.55,346.0,372.0,346.0, 353.50,353.95,360.35,38516,138.79,2913, 14725, 38.23
2023-03-02,DSSL, EQ,353.95,350.25,369.9,350.25, 368.00,367.7,361.45,31979,115.59,2615, 15827, 49.49
2023-03-03,DSSL, EQ,367.7,370.05,382.0,365.05, 382.00,377.15,374.3,28514,106.73,1964, 14961, 52.47
