DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,EASEMYTRIP, EQ,52.7,52.7,54.15,52.35, 53.40,53.6,53.5,9099420,4868.42,15544, 3291213, 36.17
2023-01-03,EASEMYTRIP, EQ,53.6,54.05,54.1,52.8, 53.00,53.15,53.32,5292282,2821.77,15067, 3160805, 59.72
2023-01-04,EASEMYTRIP, EQ,53.15,53.2,53.3,51.75, 51.85,51.85,52.13,4388286,2287.76,14474, 2736864, 62.37
2023-01-05,EASEMYTRIP, EQ,51.85,52.2,52.45,51.1,51.75,51.65,51.63,3289528,1698.32,11625, 1322506, 40.20
2023-01-06,EASEMYTRIP, EQ,51.65,51.95,52.8,51.45,52.4,52.45,52.09,3057399,1592.61,10340, 1312680, 42.93
2023-01-09,EASEMYTRIP, EQ,52.45,52.95,54.6,52.8,53.2,53.45,53.61,6903932,3701.17,17840, 2536195, 36.74
2023-01-10,EASEMYTRIP, EQ,53.45,53.2,53.8,52.35,52.8,52.7,53.19,4170027,2217.91,16844, 2566020, 61.53
2023-01-11,EASEMYTRIP, EQ,52.7,53.0,53.65,52.35, 52.55,52.5,52.81,3482291,1838.84,9088, 1505805, 43.24
2023-01-12,EASEMYTRIP, EQ,52.5,52.8,53.9,51.0, 52.60,52.5,52.48,19291986,10125.29,21366, 5000755, 25.92
2023-01-13,EASEMYTRIP, EQ,52.5,52.8,53.0,51.25,51.65,51.5,52.01,18292716,9513.87,39570, 3389002, 18.53
2023-01-16,EASEMYTRIP, EQ,51.5,52.05,56.25,52.05, 56.05,56.05,55.22,43673858,24116.31,144496, 13210944, 30.25
2023-01-17,EASEMYTRIP, EQ,56.05,56.0,56.35,54.45,55.7,56.0,55.69,21416399,11926.67,69707, 5320084, 24.84
2023-01-18,EASEMYTRIP, EQ,56.0,56.0,56.4,54.0,55.4,55.55,55.72,6905487,3847.96,18262, 2379269, 34.45
2023-01-19,EASEMYTRIP, EQ,55.55,55.45,55.45,54.45, 54.55,54.65,54.77,3176428,1739.8,8640, 1672177, 52.64
2023-01-20,EASEMYTRIP, EQ,54.65,54.85,56.25,54.7,54.9,55.15,55.36,6979975,3863.82,28362, 2071968, 29.68
2023-01-23,EASEMYTRIP, EQ,55.15,55.6,55.8,54.0,54.2,54.3,54.96,6290568,3457.22,73811, 2056860, 32.70
2023-01-24,EASEMYTRIP, EQ,54.3,54.5,55.0,51.85,53.3,53.35,54.12,7112525,3849.09,19068, 3657842, 51.43
2023-01-25,EASEMYTRIP, EQ,53.35,53.35,53.7,50.85, 51.00,51.05,51.35,13362472,6862.22,46910, 7961943, 59.58
2023-01-27,EASEMYTRIP, EQ,51.05,51.55,51.8,48.4, 49.00,49.15,49.63,10803695,5361.67,33850, 5443440, 50.38
2023-01-30,EASEMYTRIP, EQ,49.15,50.0,53.4,49.9, 51.85,52.05,52.23,18256685,9535.53,38735, 3676526, 20.14
2023-01-31,EASEMYTRIP, EQ,52.05,52.4,52.6,51.25,51.95,52.0,51.8,6095621,3157.26,16362, 2531417, 41.53
2023-02-01,EASEMYTRIP, EQ,52.0,52.45,56.2,48.65, 49.80,50.05,53.05,35442146,18803.66,90554, 7948970, 22.43
2023-02-02,EASEMYTRIP, EQ,50.05,51.2,54.0,49.95, 50.20,50.2,51.46,15305142,7875.94,35633, 4096159, 26.76
2023-02-03,EASEMYTRIP, EQ,50.2,50.6,51.4,49.15, 50.35,50.55,50.35,7183605,3617.0,22313, 2837899, 39.51
2023-02-06,EASEMYTRIP, EQ,50.55,53.0,53.85,50.7, 51.60,52.05,52.53,24782088,13017.04,39821, 6514268, 26.29
2023-02-07,EASEMYTRIP, EQ,52.05,51.8,51.9,50.4, 50.95,50.75,51.0,6823629,3479.86,21069, 2851935, 41.79
2023-02-08,EASEMYTRIP, EQ,50.75,51.25,52.1,49.9, 50.10,50.15,50.73,11630027,5900.05,20827, 3965851, 34.10
2023-02-09,EASEMYTRIP, EQ,50.15,50.2,53.6,49.75, 52.80,52.95,52.27,34020357,17783.13,87443, 9384200, 27.58
2023-02-10,EASEMYTRIP, EQ,52.95,52.7,53.55,51.4, 51.65,51.55,52.42,5448567,2856.13,13620, 1950216, 35.79
2023-02-13,EASEMYTRIP, EQ,51.55,51.55,51.95,50.5,50.7,50.6,50.83,4937684,2509.6,18581, 2493282, 50.49
2023-02-14,EASEMYTRIP, EQ,50.6,50.8,51.25,49.9,50.0,50.5,50.56,7363067,3722.67,11395, 4992319, 67.80
2023-02-15,EASEMYTRIP, EQ,50.5,50.05,50.95,49.2, 49.60,49.6,49.95,14713323,7348.95,34061, 4596110, 31.24
2023-02-16,EASEMYTRIP, EQ,49.6,49.85,50.3,49.6, 49.70,49.8,49.88,6454394,3219.14,12897, 3707602, 57.44
2023-02-17,EASEMYTRIP, EQ,49.8,49.5,49.9,48.9, 49.30,49.05,49.26,4115657,2027.41,14372, 2690025, 65.36
2023-02-20,EASEMYTRIP, EQ,49.05,49.35,49.7,47.5, 47.90,47.75,48.44,4779998,2315.63,18288, 2840698, 59.43
2023-02-21,EASEMYTRIP, EQ,47.75,47.95,49.65,47.8, 48.20,48.45,48.61,7786602,3785.07,22078, 1922147, 24.69
2023-02-22,EASEMYTRIP, EQ,48.45,48.1,48.3,46.75, 46.90,47.0,47.26,5975699,2824.33,27928, 3202373, 53.59
2023-02-23,EASEMYTRIP, EQ,47.0,47.75,48.9,46.45,47.2,47.3,48.07,19418904,9334.72,72297, 2320057, 11.95
2023-02-24,EASEMYTRIP, EQ,47.3,47.55,48.3,46.85, 47.30,47.3,47.45,6007295,2850.3,12341, 1911031, 31.81
2023-02-27,EASEMYTRIP, EQ,47.3,47.45,47.5,45.95, 46.85,46.65,46.56,4812340,2240.82,33319, 1235656, 25.68
2023-02-28,EASEMYTRIP, EQ,46.65,46.5,47.45,45.9, 47.10,46.7,46.42,9800502,4549.26,26872, 2354827, 24.03
2023-03-01,EASEMYTRIP, EQ,46.7,46.95,49.15,46.95, 48.40,48.65,48.54,14421796,6999.99,28398, 3381808, 23.45
2023-03-02,EASEMYTRIP, EQ,48.65,48.5,52.1,48.35, 50.25,50.2,50.61,23842557,12066.21,97596, 6548419, 27.47
2023-03-03,EASEMYTRIP, EQ,50.2,50.5,51.3,49.4, 49.90,49.9,50.14,7918410,3970.58,16460, 4145213, 52.35
2023-03-06,EASEMYTRIP, EQ,49.9,50.35,50.8,49.6, 49.95,49.85,50.17,4037108,2025.51,20577, 1651878, 40.92
