DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,EBBETF0433, EQ,1005.34,1006.49,1006.98,1004.0, 1004.60,1004.86,1005.56,3783,38.04,72, 3406, 90.03
2023-01-03,EBBETF0433, EQ,1004.86,1004.86,1006.43,1004.7, 1006.22,1005.44,1005.51,17021,171.15,90, 16684, 98.02
2023-01-04,EBBETF0433, EQ,1005.44,1005.43,1006.99,1004.0, 1004.76,1004.75,1005.3,5341,53.69,73, 5147, 96.37
2023-01-05,EBBETF0433, EQ,1004.75,1005.99,1006.49,1004.77,1005.0,1005.14,1005.21,7482,75.21,86, 7042, 94.12
2023-01-06,EBBETF0433, EQ,1005.14,1006.49,1006.49,1005.11,1005.28,1005.59,1005.57,19967,200.78,90, 19528, 97.80
2023-01-09,EBBETF0433, EQ,1005.59,1005.99,1006.99,1005.16,1006.95,1006.49,1006.68,16467,165.77,76, 16284, 98.89
2023-01-10,EBBETF0433, EQ,1006.49,1006.25,1007.59,1005.01,1006.93,1005.79,1006.34,8735,87.9,67, 7505, 85.92
2023-01-11,EBBETF0433, EQ,1005.79,1006.79,1007.99,1005.1, 1005.55,1006.33,1006.53,6482,65.24,117, 5689, 87.77
2023-01-12,EBBETF0433, EQ,1006.33,1006.99,1007.0,1006.4, 1006.99,1006.88,1006.96,6591,66.37,40, 6545, 99.30
2023-01-13,EBBETF0433, EQ,1006.88,1006.88,1008.0,1006.11,1007.99,1007.94,1007.74,8090,81.53,81, 7509, 92.82
2023-01-16,EBBETF0433, EQ,1007.94,1008.0,1008.0,1005.25, 1006.59,1006.6,1006.51,4702,47.33,80, 4431, 94.24
2023-01-17,EBBETF0433, EQ,1006.6,1007.0,1007.98,1006.12,1006.4,1006.88,1006.95,3395,34.19,56, 2922, 86.07
2023-01-18,EBBETF0433, EQ,1006.88,1006.3,1007.99,1006.3,1006.62,1006.93,1007.0,6234,62.78,87, 5251, 84.23
2023-01-19,EBBETF0433, EQ,1006.93,1006.64,1007.7,1006.64, 1007.23,1007.42,1007.31,13917,140.19,74, 13827, 99.35
2023-01-20,EBBETF0433, EQ,1007.42,1007.25,1007.99,1005.51,1007.2,1007.25,1007.32,9421,94.9,91, 6687, 70.98
2023-01-23,EBBETF0433, EQ,1007.25,1007.25,1008.0,1005.5,1007.25,1007.25,1007.02,3687,37.13,66, 3102, 84.13
2023-01-24,EBBETF0433, EQ,1007.25,1006.51,1008.98,1006.0,1007.0,1006.8,1006.57,11881,119.59,93, 10910, 91.83
2023-01-25,EBBETF0433, EQ,1006.8,1006.56,1008.66,1006.56, 1006.80,1006.93,1006.92,6065,61.07,77, 5973, 98.48
