DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,ECLERX, EQ,1279.35,1281.0,1296.7,1270.0, 1284.20,1276.65,1281.93,16217,207.89,2084, 7872, 48.54
2023-01-03,ECLERX, EQ,1276.65,1278.0,1296.0,1276.95, 1279.90,1278.55,1282.79,15784,202.48,2086, 9379, 59.42
2023-01-04,ECLERX, EQ,1278.55,1278.0,1282.85,1269.8, 1274.20,1274.25,1273.53,19831,252.55,1993, 13464, 67.89
2023-01-05,ECLERX, EQ,1274.25,1285.0,1285.0,1265.0,1274.55,1275.0,1274.46,18589,236.91,2711, 13527, 72.77
2023-01-06,ECLERX, EQ,1275.0,1270.0,1279.0,1260.0,1272.9,1268.55,1268.68,13620,172.79,2902, 7118, 52.26
2023-01-09,ECLERX, EQ,1268.55,1275.2,1304.4,1261.0,1286.1,1293.6,1280.83,76438,979.04,7813, 37598, 49.19
2023-01-10,ECLERX, EQ,1293.6,1290.0,1345.0,1271.35,1340.0,1338.2,1314.25,37420,491.79,6078, 17370, 46.42
2023-01-11,ECLERX, EQ,1338.2,1336.0,1420.0,1320.8, 1390.15,1399.0,1392.54,261621,3643.17,23111, 40700, 15.56
2023-01-12,ECLERX, EQ,1399.0,1399.0,1414.95,1365.25, 1411.00,1408.9,1394.19,44857,625.39,6041, 16123, 35.94
2023-01-13,ECLERX, EQ,1408.9,1397.5,1415.0,1381.55,1401.0,1403.85,1399.3,25258,353.43,4839, 9533, 37.74
2023-01-16,ECLERX, EQ,1403.85,1403.8,1413.0,1384.0, 1410.00,1405.85,1400.8,33169,464.63,5616, 10077, 30.38
2023-01-17,ECLERX, EQ,1405.85,1419.9,1419.9,1383.0,1405.0,1402.05,1401.06,19217,269.24,2954, 6205, 32.29
2023-01-18,ECLERX, EQ,1402.05,1402.05,1430.95,1400.1,1417.2,1423.15,1418.87,20239,287.16,2727, 9932, 49.07
2023-01-19,ECLERX, EQ,1423.15,1417.2,1434.95,1403.15, 1430.50,1429.1,1424.85,17622,251.09,3726, 9475, 53.77
2023-01-20,ECLERX, EQ,1429.1,1436.6,1436.6,1391.0,1394.0,1398.7,1410.01,24782,349.43,2809, 16110, 65.01
2023-01-23,ECLERX, EQ,1398.7,1395.0,1397.75,1366.0,1385.5,1386.45,1379.82,19233,265.38,3189, 9148, 47.56
2023-01-24,ECLERX, EQ,1386.45,1393.7,1428.8,1390.05,1418.0,1414.3,1412.63,31900,450.63,3369, 16412, 51.45
2023-01-25,ECLERX, EQ,1414.3,1418.9,1440.0,1408.0, 1433.00,1431.9,1425.73,26738,381.21,3722, 16827, 62.93
2023-01-27,ECLERX, EQ,1431.9,1438.0,1444.8,1391.0, 1400.00,1406.85,1415.13,36543,517.13,7657, 19160, 52.43
2023-01-30,ECLERX, EQ,1406.85,1409.0,1444.95,1409.0, 1422.90,1422.6,1428.82,38435,549.17,6306, 19531, 50.82
2023-01-31,ECLERX, EQ,1422.6,1416.0,1479.4,1416.0,1446.0,1452.6,1449.21,37509,543.58,5622, 20367, 54.30
2023-02-01,ECLERX, EQ,1452.6,1460.0,1488.0,1451.65, 1460.00,1465.5,1470.54,120129,1766.55,4869, 94069, 78.31
2023-02-02,ECLERX, EQ,1465.5,1464.0,1482.05,1436.5, 1450.00,1452.75,1460.95,23749,346.96,4163, 11829, 49.81
2023-02-03,ECLERX, EQ,1452.75,1480.0,1532.0,1475.55, 1480.00,1495.9,1503.61,225495,3390.58,23700, 78974, 35.02
2023-02-06,ECLERX, EQ,1495.9,1505.0,1554.35,1482.2, 1500.00,1504.45,1520.14,113459,1724.73,11395, 68371, 60.26
2023-02-07,ECLERX, EQ,1504.45,1505.0,1527.95,1492.5, 1514.00,1512.45,1509.86,77487,1169.95,8236, 51312, 66.22
2023-02-08,ECLERX, EQ,1512.45,1519.9,1527.95,1480.25, 1480.30,1488.4,1506.79,78244,1178.98,9674, 52030, 66.50
2023-02-09,ECLERX, EQ,1488.4,1474.9,1505.0,1451.95, 1466.00,1470.15,1490.87,92588,1380.37,12210, 53221, 57.48
2023-02-10,ECLERX, EQ,1470.15,1461.0,1496.9,1459.45, 1475.25,1475.2,1476.43,47472,700.89,6393, 25376, 53.45
2023-02-13,ECLERX, EQ,1475.2,1490.5,1495.6,1462.3,1469.9,1479.4,1479.37,71490,1057.6,5971, 38117, 53.32
2023-02-14,ECLERX, EQ,1479.4,1487.8,1487.8,1461.25,1472.0,1474.25,1470.97,19417,285.62,1963, 12503, 64.39
2023-02-15,ECLERX, EQ,1474.25,1473.9,1474.9,1393.7, 1399.00,1405.95,1421.14,111834,1589.32,12590, 65690, 58.74
2023-02-16,ECLERX, EQ,1405.95,1417.8,1475.0,1405.95, 1465.00,1471.6,1446.57,58884,851.8,6918, 21335, 36.23
2023-02-17,ECLERX, EQ,1471.6,1475.95,1476.2,1445.7, 1446.05,1457.0,1467.81,27812,408.23,5011, 11518, 41.41
2023-02-20,ECLERX, EQ,1457.0,1457.0,1464.5,1421.05, 1435.00,1435.55,1436.43,59723,857.88,7599, 30808, 51.58
2023-02-21,ECLERX, EQ,1435.55,1448.2,1470.0,1416.45, 1458.00,1456.8,1436.49,16697,239.85,3678, 5522, 33.07
2023-02-22,ECLERX, EQ,1456.8,1449.0,1466.0,1424.25, 1459.00,1459.35,1450.22,29736,431.24,3964, 14454, 48.61
2023-02-23,ECLERX, EQ,1459.35,1459.0,1498.0,1435.0,1480.0,1484.4,1476.25,56215,829.87,6880, 22277, 39.63
2023-02-24,ECLERX, EQ,1484.4,1475.05,1509.9,1452.0, 1464.20,1463.0,1476.96,62406,921.71,7791, 37387, 59.91
2023-02-27,ECLERX, EQ,1463.0,1446.6,1446.6,1413.65, 1429.70,1424.55,1425.9,43342,618.01,6425, 23673, 54.62
2023-02-28,ECLERX, EQ,1424.55,1430.0,1444.0,1385.15, 1389.80,1394.8,1413.67,42472,600.41,6448, 23571, 55.50
2023-03-01,ECLERX, EQ,1394.8,1400.6,1424.0,1390.65, 1413.50,1410.8,1412.41,33462,472.62,9339, 17413, 52.04
2023-03-02,ECLERX, EQ,1410.8,1418.2,1452.95,1414.4, 1446.75,1446.4,1434.02,31590,453.01,7282, 18763, 59.40
2023-03-03,ECLERX, EQ,1446.4,1469.0,1469.0,1425.0, 1425.80,1430.65,1447.3,35225,509.81,8542, 17413, 49.43
2023-03-06,ECLERX, EQ,1430.65,1445.85,1468.8,1425.3, 1429.00,1434.65,1448.0,49260,713.29,8789, 26230, 53.25
2023-03-08,ECLERX, EQ,1434.65,1435.0,1448.0,1425.8, 1432.10,1442.1,1440.88,24368,351.11,3995, 14795, 60.71
2023-03-09,ECLERX, EQ,1442.1,1430.0,1444.0,1395.75, 1397.00,1397.65,1407.12,39365,553.91,5655, 19640, 49.89
2023-03-10,ECLERX, EQ,1397.65,1404.8,1521.0,1348.05, 1517.00,1484.85,1434.06,257973,3699.49,20490, 120286, 46.63
2023-03-13,ECLERX, EQ,1484.85,1495.0,1499.0,1420.0, 1422.25,1427.75,1443.65,83967,1212.19,9499, 45161, 53.78
2023-03-14,ECLERX, EQ,1427.75,1427.75,1434.0,1383.0, 1406.00,1409.3,1400.18,36133,505.93,5802, 13169, 36.45
2023-03-15,ECLERX, EQ,1409.3,1415.05,1429.0,1395.0, 1408.00,1412.15,1408.37,25866,364.29,3469, 12718, 49.17
2023-03-16,ECLERX, EQ,1412.15,1402.0,1407.95,1372.0, 1397.00,1388.2,1387.68,30441,422.43,5068, 14647, 48.12
2023-03-17,ECLERX, EQ,1388.2,1399.0,1400.0,1365.6, 1380.10,1378.75,1380.13,22466,310.06,4447, 11689, 52.03
2023-03-20,ECLERX, EQ,1378.75,1380.0,1399.0,1342.9,1352.0,1358.35,1371.06,50820,696.77,8305, 27264, 53.65
2023-03-21,ECLERX, EQ,1358.35,1369.0,1430.6,1339.9, 1376.10,1396.55,1386.59,141766,1965.71,11636, 58665, 41.38
2023-03-22,ECLERX, EQ,1396.55,1396.0,1405.0,1375.0, 1391.00,1386.05,1387.48,60742,842.78,3781, 47433, 78.09
2023-03-23,ECLERX, EQ,1386.05,1385.65,1386.15,1350.1, 1352.50,1355.2,1364.43,37793,515.66,5861, 21412, 56.66
2023-03-24,ECLERX, EQ,1355.2,1365.0,1365.0,1307.2, 1312.00,1321.35,1329.62,85026,1130.52,7263, 53065, 62.41
2023-03-27,ECLERX, EQ,1321.35,1329.9,1361.1,1327.15, 1335.00,1340.7,1342.55,90092,1209.53,6430, 59866, 66.45
2023-03-28,ECLERX, EQ,1340.7,1339.0,1358.0,1292.1, 1316.00,1309.3,1318.03,39788,524.42,6426, 19455, 48.90
2023-03-29,ECLERX, EQ,1309.3,1296.35,1313.0,1286.15, 1301.90,1298.8,1300.43,63841,830.21,7560, 39612, 62.05
2023-03-31,ECLERX, EQ,1298.8,1319.0,1324.0,1278.0, 1295.00,1290.4,1298.93,50269,652.96,9380, 26193, 52.11
2023-04-03,ECLERX, EQ,1290.4,1290.4,1317.3,1290.4, 1311.00,1303.6,1304.62,14173,184.9,2815, 5969, 42.12
2023-04-05,ECLERX, EQ,1303.6,1304.8,1363.35,1295.35, 1353.00,1354.4,1339.14,55409,742.0,7737, 25285, 45.63
2023-04-06,ECLERX, EQ,1354.4,1354.4,1358.9,1326.0, 1340.00,1341.0,1337.81,39902,533.81,6215, 21697, 54.38
2023-04-10,ECLERX, EQ,1341.0,1342.05,1374.0,1330.8, 1348.65,1348.15,1354.68,16856,228.35,3343, 9082, 53.88
2023-04-11,ECLERX, EQ,1348.15,1350.75,1360.0,1342.0, 1344.00,1344.7,1346.87,12499,168.35,1956, 8737, 69.90
2023-04-12,ECLERX, EQ,1344.7,1337.1,1359.95,1331.15, 1339.15,1342.5,1341.58,42694,572.77,7763, 32767, 76.75
2023-04-13,ECLERX, EQ,1342.5,1342.5,1350.0,1326.0, 1336.60,1338.2,1338.04,70060,937.43,13415, 55674, 79.47
2023-04-17,ECLERX, EQ,1338.2,1321.8,1333.05,1302.8, 1311.35,1314.6,1316.5,43735,575.77,12478, 24064, 55.02
2023-04-18,ECLERX, EQ,1314.6,1314.25,1315.05,1278.0, 1293.00,1288.6,1290.07,67369,869.11,9039, 43109, 63.99
2023-04-19,ECLERX, EQ,1288.6,1298.7,1330.0,1281.05, 1288.00,1288.25,1307.18,80349,1050.3,10916, 25184, 31.34
2023-04-20,ECLERX, EQ,1288.25,1289.0,1297.45,1272.0, 1281.20,1276.6,1281.22,36977,473.76,5435, 17196, 46.50
2023-04-21,ECLERX, EQ,1276.6,1286.3,1323.9,1282.55, 1318.20,1318.65,1310.25,87296,1143.8,10302, 31273, 35.82
2023-04-24,ECLERX, EQ,1318.65,1310.0,1348.5,1309.0, 1328.30,1329.0,1335.4,36604,488.81,5469, 14492, 39.59
2023-04-25,ECLERX, EQ,1329.0,1329.0,1333.0,1300.0,1311.9,1306.9,1310.86,191997,2516.8,3812, 179505, 93.49
2023-04-26,ECLERX, EQ,1306.9,1317.5,1360.0,1308.05, 1350.95,1346.4,1349.13,73429,990.65,10633, 27517, 37.47
2023-04-27,ECLERX, EQ,1346.4,1359.85,1359.85,1320.0, 1342.25,1340.65,1337.62,29390,393.13,3766, 14470, 49.23
2023-04-28,ECLERX, EQ,1340.65,1346.9,1360.75,1326.45, 1335.00,1355.5,1345.32,28037,377.19,3223, 14209, 50.68
2023-05-02,ECLERX, EQ,1355.5,1364.65,1383.85,1359.85, 1378.40,1374.25,1372.71,36592,502.3,5626, 19454, 53.16
2023-05-03,ECLERX, EQ,1374.25,1377.05,1395.0,1370.0,1371.35,1374.35,1382.82,33823,467.71,4540, 15604, 46.13
2023-05-04,ECLERX, EQ,1374.35,1370.1,1385.0,1365.25, 1382.70,1379.85,1373.25,19830,272.32,4439, 10461, 52.75
2023-05-05,ECLERX, EQ,1379.85,1400.0,1400.0,1370.05, 1392.90,1390.75,1383.88,25061,346.82,4511, 14772, 58.94
2023-05-08,ECLERX, EQ,1390.75,1390.75,1408.55,1385.3, 1395.00,1392.55,1394.68,12642,176.32,2895, 5879, 46.50
2023-05-09,ECLERX, EQ,1392.55,1392.75,1406.8,1351.0,1360.0,1354.25,1375.18,44766,615.61,9066, 27060, 60.45
2023-05-10,ECLERX, EQ,1354.25,1361.4,1361.4,1329.05,1361.4,1347.45,1343.56,27213,365.62,4526, 13861, 50.94
2023-05-11,ECLERX, EQ,1347.45,1349.1,1365.0,1339.95, 1342.45,1342.15,1349.01,24824,334.88,4920, 14831, 59.74
