DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,EMUDHRA, EQ,316.35,317.9,318.75,309.0, 311.00,310.85,312.0,82338,256.89,4066, 45069, 54.74
2023-01-03,EMUDHRA, EQ,310.85,312.0,314.0,309.0, 309.90,309.7,311.13,40588,126.28,3005, 24824, 61.16
2023-01-04,EMUDHRA, EQ,309.7,311.8,312.05,303.5, 305.00,305.7,306.71,98796,303.01,4452, 61989, 62.74
2023-01-05,EMUDHRA, EQ,305.7,308.85,308.85,299.9,303.95,303.75,303.38,97807,296.73,4569, 59178, 60.50
2023-01-06,EMUDHRA, EQ,303.75,307.95,311.2,302.0,305.05,305.4,305.96,88487,270.73,3971, 34643, 39.15
2023-01-09,EMUDHRA, EQ,305.4,308.9,309.4,303.3,305.0,305.15,306.23,55048,168.57,3145, 28256, 51.33
2023-01-10,EMUDHRA, EQ,305.15,306.75,307.0,302.0,304.75,304.25,304.63,32529,99.09,2302, 16736, 51.45
2023-01-11,EMUDHRA, EQ,304.25,306.0,306.95,301.0, 302.80,302.05,303.13,57290,173.66,3417, 34975, 61.05
2023-01-12,EMUDHRA, EQ,302.05,304.8,306.15,300.25, 301.60,301.4,302.5,42125,127.43,3149, 20393, 48.41
2023-01-13,EMUDHRA, EQ,301.4,302.6,303.9,300.0,300.3,300.75,301.13,40189,121.02,2314, 22225, 55.30
2023-01-16,EMUDHRA, EQ,300.75,301.3,304.95,300.85, 303.00,303.5,303.06,37730,114.35,2472, 18481, 48.98
2023-01-17,EMUDHRA, EQ,303.5,304.0,304.4,300.5,300.65,301.2,301.86,31337,94.59,1444, 18242, 58.21
2023-01-18,EMUDHRA, EQ,301.2,303.85,303.85,296.9,297.95,297.6,299.68,44797,134.25,2835, 24009, 53.60
2023-01-19,EMUDHRA, EQ,297.6,298.0,299.2,279.0, 280.00,280.8,286.54,202096,579.08,8432, 124158, 61.44
2023-01-20,EMUDHRA, EQ,280.8,283.0,283.0,270.0,272.9,271.45,274.49,304162,834.89,10056, 132848, 43.68
2023-01-23,EMUDHRA, EQ,271.45,272.95,293.7,272.95,287.2,288.15,287.25,399708,1148.17,13563, 81582, 20.41
2023-01-24,EMUDHRA, EQ,288.15,290.0,291.4,285.5,288.0,288.05,288.62,82758,238.86,3835, 36297, 43.86
