DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,ERIS, EQ,647.25,657.9,672.0,650.1, 664.00,664.65,664.16,153310,1018.23,6794, 106676, 69.58
2023-01-03,ERIS, EQ,664.65,668.0,669.5,657.05, 658.25,661.25,662.92,17267,114.47,1863, 11265, 65.24
2023-01-04,ERIS, EQ,661.25,664.8,664.8,645.75, 654.00,650.15,653.41,26714,174.55,4844, 13564, 50.77
2023-01-05,ERIS, EQ,650.15,654.4,658.55,647.0,647.0,649.8,650.65,25930,168.71,2972, 17003, 65.57
2023-01-06,ERIS, EQ,649.8,652.85,652.85,644.4,646.0,647.15,648.41,17135,111.11,3807, 7300, 42.60
2023-01-09,ERIS, EQ,647.15,650.0,653.45,644.0,644.05,647.2,647.72,13183,85.39,1551, 7668, 58.17
2023-01-10,ERIS, EQ,647.2,646.2,648.0,641.4,644.0,645.8,645.31,23868,154.02,3749, 14025, 58.76
2023-01-11,ERIS, EQ,645.8,645.8,648.5,635.5, 639.15,641.55,642.06,15722,100.94,2739, 7586, 48.25
2023-01-12,ERIS, EQ,641.55,644.0,644.0,637.45, 640.00,639.4,640.96,10114,64.83,1881, 4691, 46.38
2023-01-13,ERIS, EQ,639.4,640.15,653.0,637.05,640.7,642.35,645.82,40785,263.4,7786, 16187, 39.69
2023-01-16,ERIS, EQ,642.35,644.9,651.0,640.1, 651.00,648.55,644.47,15415,99.34,3022, 6316, 40.97
2023-01-17,ERIS, EQ,648.55,650.45,655.0,646.65,648.5,651.8,650.99,14791,96.29,3645, 5292, 35.78
2023-01-18,ERIS, EQ,651.8,651.0,662.0,625.4,631.8,632.5,643.52,109911,707.29,7136, 42348, 38.53
2023-01-19,ERIS, EQ,632.5,638.0,655.0,633.1, 654.00,644.1,639.63,33265,212.77,2960, 12026, 36.15
2023-01-20,ERIS, EQ,644.1,650.5,661.0,626.65,631.1,631.6,642.24,52652,338.15,7678, 27989, 53.16
2023-01-23,ERIS, EQ,631.6,631.6,638.05,631.6,634.1,635.3,634.83,12728,80.8,2030, 6050, 47.53
2023-01-24,ERIS, EQ,635.3,632.0,639.1,630.0,633.9,635.05,634.78,18271,115.98,2174, 9706, 53.12
2023-01-25,ERIS, EQ,635.05,632.0,636.0,623.05, 625.00,624.45,627.03,18545,116.28,1944, 12367, 66.69
2023-01-27,ERIS, EQ,624.45,627.6,650.95,616.25, 629.95,629.25,631.81,73746,465.93,6630, 35207, 47.74
2023-01-30,ERIS, EQ,629.25,630.0,632.4,605.75, 608.75,612.4,615.56,32870,202.33,4380, 19743, 60.06
2023-01-31,ERIS, EQ,612.4,619.95,622.0,607.55,610.0,610.7,612.08,21574,132.05,2999, 14254, 66.07
2023-02-01,ERIS, EQ,610.7,613.3,619.9,608.45, 609.10,612.85,615.42,13227,81.4,2578, 6681, 50.51
2023-02-02,ERIS, EQ,612.85,612.75,628.85,602.5, 628.00,625.55,617.09,41627,256.88,8535, 25577, 61.44
2023-02-03,ERIS, EQ,625.55,623.25,629.9,610.0, 620.00,625.2,621.62,26438,164.34,5764, 13701, 51.82
2023-02-06,ERIS, EQ,625.2,625.4,629.9,620.0, 629.90,628.4,625.88,13059,81.73,1894, 7398, 56.65
2023-02-07,ERIS, EQ,628.4,629.15,634.15,623.1, 630.10,632.25,629.98,20229,127.44,1428, 13273, 65.61
2023-02-08,ERIS, EQ,632.25,633.1,644.5,625.6, 644.30,642.7,637.67,42030,268.01,5425, 25977, 61.81
2023-02-09,ERIS, EQ,642.7,642.15,644.05,636.05, 638.00,637.9,640.01,10838,69.36,1659, 5688, 52.48
2023-02-10,ERIS, EQ,637.9,637.5,645.9,635.0, 641.50,643.1,642.58,18952,121.78,1559, 11189, 59.04
2023-02-13,ERIS, EQ,643.1,644.95,646.3,637.0,639.0,639.05,640.59,8383,53.7,1042, 5054, 60.29
2023-02-14,ERIS, EQ,639.05,642.0,643.1,635.35,638.0,638.9,639.89,14507,92.83,2347, 10308, 71.06
2023-02-15,ERIS, EQ,638.9,641.4,641.6,635.0, 639.85,639.4,638.02,8365,53.37,1062, 5440, 65.03
2023-02-16,ERIS, EQ,639.4,638.55,649.0,638.55, 645.00,645.25,644.87,34576,222.97,3392, 25853, 74.77
2023-02-17,ERIS, EQ,645.25,648.5,649.3,639.55, 644.40,645.85,645.89,8584,55.44,995, 3765, 43.86
2023-02-20,ERIS, EQ,645.85,640.55,648.05,635.55, 639.00,638.0,639.56,5936,37.96,841, 3268, 55.05
2023-02-21,ERIS, EQ,638.0,640.95,640.95,627.3, 632.10,634.2,632.47,16249,102.77,3446, 9625, 59.23
2023-02-22,ERIS, EQ,634.2,633.65,641.8,620.45, 641.80,626.45,627.57,36768,230.75,2373, 23447, 63.77
2023-02-23,ERIS, EQ,626.45,625.7,640.85,615.6,637.45,638.5,628.59,28520,179.27,3353, 15551, 54.53
2023-02-24,ERIS, EQ,638.5,635.0,659.85,626.45, 643.10,646.4,647.61,90656,587.1,7442, 60241, 66.45
2023-02-27,ERIS, EQ,646.4,649.0,649.0,632.05, 632.35,634.05,637.69,11771,75.06,1862, 3893, 33.07
2023-02-28,ERIS, EQ,634.05,634.3,640.6,630.0, 633.00,634.55,633.81,8623,54.65,1266, 4754, 55.13
2023-03-01,ERIS, EQ,634.55,633.5,640.1,627.45, 630.00,630.9,632.83,8478,53.65,1741, 4543, 53.59
2023-03-02,ERIS, EQ,630.9,634.0,634.0,626.1, 633.95,632.55,630.34,6285,39.62,1085, 2882, 45.86
2023-03-03,ERIS, EQ,632.55,630.0,639.15,623.3, 628.45,627.75,631.12,10556,66.62,1601, 4989, 47.26
2023-03-06,ERIS, EQ,627.75,630.9,633.9,624.0, 625.75,624.95,627.32,8232,51.64,1239, 4028, 48.93
2023-03-08,ERIS, EQ,624.95,621.0,627.7,620.05, 626.00,626.05,623.24,11108,69.23,3318, 6300, 56.72
2023-03-09,ERIS, EQ,626.05,629.2,632.05,618.0, 621.85,619.2,622.97,9895,61.64,2007, 5788, 58.49
2023-03-10,ERIS, EQ,619.2,618.3,622.95,608.15, 612.70,611.55,614.82,18063,111.05,2085, 13203, 73.09
2023-03-13,ERIS, EQ,611.55,611.95,615.15,603.75, 607.55,607.55,607.85,20780,126.31,5310, 15788, 75.98
2023-03-14,ERIS, EQ,607.55,607.95,626.5,593.05, 600.00,603.85,601.79,23695,142.59,6626, 13755, 58.05
2023-03-15,ERIS, EQ,603.85,604.0,606.9,587.0, 588.00,592.1,593.65,18858,111.95,2919, 12349, 65.48
2023-03-16,ERIS, EQ,592.1,593.0,595.05,579.8, 584.00,585.8,586.45,48174,282.52,10559, 30284, 62.86
2023-03-17,ERIS, EQ,585.8,588.75,605.6,551.3, 559.60,568.85,570.14,2253156,12846.07,55049, 1725830, 76.60
2023-03-20,ERIS, EQ,568.85,568.85,576.95,559.1,574.0,574.6,573.1,400428,2294.84,15787, 315696, 78.84
2023-03-21,ERIS, EQ,574.6,574.6,576.7,565.3, 568.00,567.95,570.12,33195,189.25,5345, 20342, 61.28
2023-03-22,ERIS, EQ,567.95,570.8,571.95,565.0, 567.00,568.4,568.51,58642,333.39,10854, 44842, 76.47
2023-03-23,ERIS, EQ,568.4,570.0,570.95,567.35, 570.95,568.55,569.16,38533,219.32,6375, 27352, 70.98
2023-03-24,ERIS, EQ,568.55,568.95,576.3,555.0, 570.65,572.9,572.34,168305,963.28,18799, 127280, 75.62
2023-03-27,ERIS, EQ,572.9,571.0,573.5,566.4, 567.00,569.65,570.54,38861,221.72,4520, 29937, 77.04
2023-03-28,ERIS, EQ,569.65,568.7,582.85,564.25, 580.50,573.4,569.19,26654,151.71,3408, 17418, 65.35
2023-03-29,ERIS, EQ,573.4,573.4,580.75,570.0, 570.00,574.45,574.86,267164,1535.81,17411, 227455, 85.14
2023-03-31,ERIS, EQ,574.45,576.45,576.45,566.3, 572.40,572.1,571.42,171164,978.07,10005, 148278, 86.63
2023-04-03,ERIS, EQ,572.1,576.45,583.0,575.0, 579.25,579.7,579.75,45126,261.62,6270, 26809, 59.41
2023-04-05,ERIS, EQ,579.7,585.0,588.0,580.05, 588.00,585.15,585.08,61822,361.71,4763, 45976, 74.37
2023-04-06,ERIS, EQ,585.15,581.0,597.9,580.75, 592.20,590.5,590.38,696252,4110.56,12435, 641864, 92.19
2023-04-10,ERIS, EQ,590.5,590.5,609.55,590.45, 600.95,602.0,603.28,47196,284.72,4140, 23231, 49.22
2023-04-11,ERIS, EQ,602.0,604.3,604.3,587.1, 587.60,588.35,591.81,60619,358.75,6478, 42075, 69.41
2023-04-12,ERIS, EQ,588.35,588.6,591.3,581.0, 588.95,585.05,584.34,54396,317.86,5229, 35733, 65.69
2023-04-13,ERIS, EQ,585.05,586.45,616.7,585.05, 596.70,597.05,594.66,547685,3256.84,7658, 494371, 90.27
2023-04-17,ERIS, EQ,597.05,597.65,618.0,597.05, 613.00,612.25,609.54,48368,294.82,3791, 21123, 43.67
2023-04-18,ERIS, EQ,612.25,612.75,625.0,612.3, 614.85,620.7,620.2,51932,322.08,4852, 25198, 48.52
2023-04-19,ERIS, EQ,620.7,622.15,627.35,612.65, 624.25,619.55,620.38,50353,312.38,4292, 25804, 51.25
2023-04-20,ERIS, EQ,619.55,620.0,624.0,613.0, 621.65,619.25,619.31,15855,98.19,3787, 9381, 59.17
2023-04-21,ERIS, EQ,619.25,621.2,621.2,602.0, 611.20,614.4,610.23,76820,468.78,6825, 49873, 64.92
2023-04-24,ERIS, EQ,614.4,611.1,616.4,602.0, 607.00,607.25,607.77,32876,199.81,5843, 17753, 54.00
2023-04-25,ERIS, EQ,607.25,607.05,611.6,603.5,610.7,609.5,607.83,18112,110.09,2496, 10844, 59.87
2023-04-26,ERIS, EQ,609.5,609.0,623.0,604.4, 619.75,617.05,615.92,35551,218.96,3995, 21069, 59.26
2023-04-27,ERIS, EQ,617.05,621.95,648.0,618.0, 628.00,631.15,628.65,103174,648.6,7032, 77382, 75.00
2023-04-28,ERIS, EQ,631.15,631.85,636.0,625.0, 625.35,631.25,629.64,31348,197.38,3267, 21085, 67.26
2023-05-02,ERIS, EQ,631.25,631.25,636.15,620.0, 623.00,623.4,626.07,36119,226.13,4110, 24051, 66.59
2023-05-03,ERIS, EQ,623.4,623.55,626.4,610.5,611.05,615.0,619.28,19342,119.78,2294, 10625, 54.93
2023-05-04,ERIS, EQ,615.0,618.1,625.0,612.8, 620.35,623.6,621.86,37181,231.21,4298, 21361, 57.45
2023-05-05,ERIS, EQ,623.6,623.6,631.95,618.75, 624.30,625.7,625.7,92145,576.55,6951, 67026, 72.74
2023-05-08,ERIS, EQ,625.7,625.7,633.7,625.0, 629.00,630.0,629.03,61667,387.9,10074, 39998, 64.86
2023-05-09,ERIS, EQ,630.0,625.1,633.0,623.05,627.0,626.95,627.28,74008,464.23,5349, 56528, 76.38
2023-05-10,ERIS, EQ,626.95,627.0,639.0,623.9,632.95,632.95,631.65,82879,523.51,7809, 41577, 50.17
2023-05-11,ERIS, EQ,632.95,634.2,639.9,630.6, 639.05,639.05,636.72,42510,270.67,3077, 33927, 79.81
2023-05-12,ERIS, EQ,639.05,638.95,638.95,629.5, 632.05,631.95,631.89,32801,207.27,3846, 24189, 73.74
2023-05-15,ERIS, EQ,631.95,627.0,635.15,627.0, 633.30,632.05,629.74,39045,245.88,1768, 32081, 82.16
2023-05-16,ERIS, EQ,632.05,637.95,637.95,628.0,629.7,630.0,631.44,33627,212.33,2539, 26077, 77.55
2023-05-17,ERIS, EQ,630.0,633.15,646.75,615.4, 638.00,636.65,629.84,231336,1457.05,8459, 61652, 26.65
2023-05-18,ERIS, EQ,636.65,635.0,635.0,628.0, 630.65,629.15,631.16,124203,783.92,1667, 117290, 94.43
2023-05-19,ERIS, EQ,629.15,628.95,632.2,616.0,620.4,621.45,622.52,45225,281.53,2280, 33103, 73.20
2023-05-22,ERIS, EQ,621.45,612.3,616.9,605.0,612.25,611.75,610.38,37770,230.54,3230, 26117, 69.15
2023-05-23,ERIS, EQ,611.75,611.8,622.25,610.6, 621.00,621.15,616.57,12632,77.89,1525, 5928, 46.93
2023-05-24,ERIS, EQ,621.15,623.0,623.0,618.25, 619.20,620.2,620.49,7164,44.45,1026, 4544, 63.43
2023-05-25,ERIS, EQ,620.2,615.25,624.2,615.25, 623.45,621.8,620.34,12211,75.75,1445, 6607, 54.11
2023-05-26,ERIS, EQ,621.8,622.0,630.0,617.5,626.55,629.25,625.37,14062,87.94,1491, 8102, 57.62
2023-05-29,ERIS, EQ,629.25,630.8,640.0,625.2, 638.00,636.5,635.2,44895,285.18,4518, 34093, 75.94
2023-05-30,ERIS, EQ,636.5,645.0,645.0,628.4, 629.00,630.9,632.84,28504,180.38,2810, 16992, 59.61
2023-05-31,ERIS, EQ,630.9,634.1,645.8,630.9, 643.50,641.7,638.71,36332,232.05,3616, 19890, 54.75
2023-06-01,ERIS, EQ,641.7,645.8,645.8,638.9, 643.00,640.55,641.09,12185,78.12,1771, 7388, 60.63
2023-06-02,ERIS, EQ,640.55,634.15,643.55,634.15, 639.00,638.2,638.52,14078,89.89,1638, 8951, 63.58
2023-06-05,ERIS, EQ,638.2,642.85,645.65,638.45, 640.90,642.15,642.15,21600,138.7,3147, 12565, 58.17
2023-06-06,ERIS, EQ,642.15,635.75,645.0,635.75,644.3,641.45,640.83,11506,73.73,1219, 7795, 67.75
2023-06-07,ERIS, EQ,641.45,645.45,657.85,641.3, 650.50,651.65,651.93,37696,245.75,3970, 23061, 61.18
2023-06-08,ERIS, EQ,651.65,656.0,656.0,640.0, 650.00,647.4,646.63,26795,173.27,2403, 18361, 68.52
2023-06-09,ERIS, EQ,647.4,648.05,649.95,644.15, 645.00,645.45,645.96,10097,65.22,1417, 5313, 52.62
2023-06-12,ERIS, EQ,645.45,653.55,675.85,644.5, 660.50,659.9,660.98,93341,616.97,10284, 47288, 50.66
2023-06-13,ERIS, EQ,659.9,659.9,667.95,656.0, 665.20,665.05,663.23,29902,198.32,4830, 20005, 66.90
2023-06-14,ERIS, EQ,665.05,665.0,668.4,651.35, 668.00,662.65,662.94,63012,417.73,6669, 47713, 75.72
2023-06-15,ERIS, EQ,662.65,662.0,665.45,649.0, 655.00,652.1,657.73,23273,153.07,4104, 15499, 66.60
2023-06-16,ERIS, EQ,652.1,655.4,662.95,650.45, 657.00,659.55,658.72,23885,157.34,3745, 12048, 50.44
2023-06-19,ERIS, EQ,659.55,659.55,685.0,653.4, 676.00,677.35,672.96,88799,597.58,8266, 43409, 48.88
2023-06-20,ERIS, EQ,677.35,688.0,688.0,670.05, 674.00,677.55,681.09,39636,269.96,2777, 23963, 60.46
2023-06-21,ERIS, EQ,677.55,677.9,677.9,655.55, 668.80,668.5,666.82,53764,358.51,4442, 36222, 67.37
2023-06-22,ERIS, EQ,668.5,668.5,673.4,667.0,669.9,668.0,669.64,17994,120.5,2330, 12596, 70.00
2023-06-23,ERIS, EQ,668.0,668.5,670.95,664.2, 664.20,665.45,666.2,18553,123.6,2462, 12333, 66.47
2023-06-26,ERIS, EQ,665.45,660.05,675.95,660.0, 665.75,666.6,669.68,36229,242.62,6509, 21961, 60.62
2023-06-27,ERIS, EQ,666.6,669.95,683.25,665.75, 678.00,679.3,674.56,32922,222.08,3613, 21177, 64.32
2023-06-28,ERIS, EQ,679.3,679.3,682.45,666.05, 676.10,675.7,675.36,24799,167.48,3547, 16366, 65.99
2023-06-30,ERIS, EQ,675.7,689.7,719.4,686.1, 701.55,698.9,705.58,348526,2459.13,16213, 89365, 25.64
2023-07-03,ERIS, EQ,698.9,702.75,707.85,682.85, 693.80,690.3,690.47,131404,907.3,15722, 74117, 56.40
2023-07-04,ERIS, EQ,690.3,695.55,699.0,683.1, 685.20,689.5,692.49,39526,273.72,5196, 20643, 52.23
2023-07-05,ERIS, EQ,689.5,694.55,703.5,685.2,699.0,697.85,694.65,41515,288.38,5871, 19546, 47.08
2023-07-06,ERIS, EQ,697.85,701.8,717.9,699.05,709.0,706.0,708.34,94184,667.14,9813, 51799, 55.00
2023-07-07,ERIS, EQ,706.0,720.9,734.3,715.05, 721.80,721.85,724.86,287579,2084.53,26390, 99566, 34.62
2023-07-10,ERIS, EQ,721.85,725.45,735.0,704.15,713.0,715.3,721.63,190890,1377.51,6904, 136421, 71.47
2023-07-11,ERIS, EQ,715.3,715.3,725.65,708.0, 715.00,714.65,716.96,396044,2839.5,10801, 350296, 88.45
2023-07-12,ERIS, EQ,714.65,718.25,718.25,693.0, 696.90,701.45,702.19,364199,2557.38,6703, 335131, 92.02
2023-07-13,ERIS, EQ,701.45,708.95,708.95,695.5, 700.00,700.35,702.15,143722,1009.15,3929, 117177, 81.53
2023-07-14,ERIS, EQ,700.35,700.35,717.0,695.05,714.0,714.55,712.71,49092,349.88,5640, 25899, 52.76
2023-07-17,ERIS, EQ,714.55,718.15,733.0,716.35,720.1,722.3,726.72,64140,466.12,5950, 35640, 55.57
2023-07-18,ERIS, EQ,722.3,720.1,733.2,714.0, 729.20,728.55,727.92,1065701,7757.48,5198, 970062, 91.03
2023-07-19,ERIS, EQ,728.55,735.0,744.3,731.25, 734.85,735.6,735.25,671787,4939.32,6707, 593671, 88.37
