DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-02-28,EXCEL, EQ,0.4,0.4,0.45,0.35, 0.35,0.4,0.4,6105262,24.41,1741, 3195497, 52.34
2023-03-01,EXCEL, EQ,0.4,0.4,0.45,0.35, 0.45,0.45,0.45,23869648,106.36,2146, 23605955, 98.90
2023-03-02,EXCEL, EQ,0.45,0.45,0.5,0.4, 0.40,0.45,0.45,13505548,60.89,2430, 12294169, 91.03
2023-03-03,EXCEL, EQ,0.45,0.45,0.45,0.4, 0.45,0.4,0.43,4395976,18.88,1557, 3131694, 71.24
2023-03-06,EXCEL, EQ,0.4,0.45,0.45,0.4, 0.45,0.45,0.43,3356115,14.42,1799, 3024125, 90.11
2023-03-08,EXCEL, EQ,0.45,0.4,0.45,0.4, 0.40,0.4,0.43,2695733,11.57,1722, 1490030, 55.27
2023-03-09,EXCEL, EQ,0.4,0.45,0.45,0.4, 0.40,0.4,0.43,2995724,12.87,1665, 2213378, 73.88
2023-03-10,EXCEL, EQ,0.4,0.4,0.45,0.35, 0.40,0.4,0.4,10017148,40.47,2739, 8179644, 81.66
2023-03-13,EXCEL, EQ,0.4,0.4,0.45,0.35, 0.35,0.4,0.4,5139811,20.4,2276, 4311344, 83.88
2023-03-14,EXCEL, EQ,0.4,0.35,0.4,0.35, 0.35,0.4,0.38,4596551,17.55,1669, 2370197, 51.56
2023-03-15,EXCEL, EQ,0.4,0.4,0.45,0.35, 0.40,0.4,0.4,9527274,38.01,1968, 4464860, 46.86
2023-03-16,EXCEL, EQ,0.4,0.4,0.45,0.4, 0.45,0.4,0.41,5617458,22.88,1899, 2811376, 50.05
2023-03-17,EXCEL, EQ,0.4,0.4,0.45,0.35, 0.40,0.45,0.41,4472202,18.38,1598, 3133497, 70.07
2023-03-20,EXCEL, EQ,0.45,0.45,0.45,0.4,0.45,0.4,0.4,16759373,67.49,2434, 6137022, 36.62
2023-03-21,EXCEL, EQ,0.4,0.45,0.45,0.4, 0.45,0.4,0.41,4055153,16.63,1709, 3398778, 83.81
2023-03-22,EXCEL, EQ,0.4,0.4,0.45,0.4, 0.45,0.4,0.41,4625829,18.83,1373, 2372054, 51.28
2023-03-23,EXCEL, EQ,0.4,0.4,0.45,0.35, 0.40,0.4,0.41,5483760,22.29,1776, 2967185, 54.11
2023-03-24,EXCEL, EQ,0.4,0.4,0.45,0.35, 0.40,0.4,0.39,5801599,22.75,1392, 3168586, 54.62
2023-03-27,EXCEL, EQ,0.4,0.4,0.4,0.35, 0.35,0.35,0.37,2331445,8.67,1333, 2277441, 97.68
2023-03-28,EXCEL, EQ,0.35,0.35,0.4,0.35, 0.40,0.4,0.38,2686416,10.1,1311, 1513992, 56.36
2023-03-29,EXCEL, EQ,0.4,0.4,0.4,0.35, 0.40,0.4,0.38,2493584,9.43,1338, 1207058, 48.41
2023-03-31,EXCEL, EQ,0.4,0.4,0.4,0.35, 0.40,0.4,0.38,2891422,10.95,1513, 2830812, 97.90
2023-04-03,EXCEL, EQ,0.4,0.4,0.4,0.35, 0.35,0.4,0.39,3985117,15.39,1668, 3768664, 94.57
2023-04-05,EXCEL, EQ,0.4,0.4,0.45,0.35, 0.40,0.4,0.4,13300671,53.56,2523, 8333354, 62.65
2023-04-06,EXCEL, EQ,0.4,0.45,0.45,0.4, 0.45,0.45,0.43,3003297,12.77,1516, 2742104, 91.30
2023-04-10,EXCEL, EQ,0.45,0.45,0.45,0.4, 0.45,0.4,0.42,3556806,15.04,1651, 3116586, 87.62
2023-04-11,EXCEL, EQ,0.4,0.45,0.45,0.4, 0.45,0.4,0.43,2182276,9.28,1095, 2090228, 95.78
2023-04-12,EXCEL, EQ,0.4,0.4,0.45,0.4, 0.45,0.4,0.42,3160532,13.37,1220, 2683873, 84.92
2023-04-13,EXCEL, EQ,0.4,0.45,0.45,0.4, 0.45,0.4,0.43,4168406,17.84,1175, 3216143, 77.16
2023-04-17,EXCEL, EQ,0.4,0.4,0.45,0.4, 0.45,0.4,0.42,3716060,15.46,1326, 3481608, 93.69
2023-04-18,EXCEL, EQ,0.4,0.4,0.45,0.4, 0.45,0.45,0.43,2907346,12.5,1268, 2574588, 88.55
2023-04-19,EXCEL, EQ,0.45,0.4,0.45,0.4, 0.45,0.4,0.42,3042516,12.65,1166, 2883464, 94.77
2023-04-20,EXCEL, EQ,0.4,0.4,0.45,0.4, 0.45,0.45,0.42,2941117,12.36,1073, 2540883, 86.39
2023-04-21,EXCEL, EQ,0.45,0.4,0.45,0.4, 0.45,0.4,0.42,2861368,11.93,1065, 2705399, 94.55
2023-04-24,EXCEL, EQ,0.4,0.45,0.45,0.4, 0.45,0.4,0.42,2729739,11.51,1362, 2145050, 78.58
2023-04-25,EXCEL, EQ,0.4,0.45,0.45,0.4,0.45,0.45,0.43,7499243,32.46,2280, 6747592, 89.98
2023-04-26,EXCEL, EQ,0.45,0.4,0.45,0.4, 0.45,0.4,0.43,3358722,14.33,1595, 1674751, 49.86
2023-04-27,EXCEL, EQ,0.4,0.45,0.45,0.4, 0.40,0.4,0.43,4165395,17.81,1474, 3967546, 95.25
2023-04-28,EXCEL, EQ,0.4,0.4,0.45,0.4, 0.40,0.45,0.42,5197991,22.04,1661, 4047467, 77.87
2023-05-02,EXCEL, EQ,0.45,0.45,0.45,0.4, 0.45,0.4,0.43,5171623,22.05,2045, 3839818, 74.25
2023-05-03,EXCEL, EQ,0.4,0.45,0.45,0.4,0.45,0.45,0.42,3452743,14.6,1568, 3038426, 88.00
2023-05-04,EXCEL, EQ,0.45,0.45,0.45,0.4, 0.45,0.45,0.42,4014013,17.04,1506, 2886650, 71.91
2023-05-05,EXCEL, EQ,0.45,0.45,0.45,0.4, 0.45,0.4,0.42,3082834,12.88,1338, 2808165, 91.09
2023-05-08,EXCEL, EQ,0.4,0.45,0.45,0.4, 0.45,0.4,0.42,5399040,22.9,1385, 3670932, 67.99
2023-05-09,EXCEL, EQ,0.4,0.45,0.45,0.4,0.45,0.45,0.42,3434156,14.57,1249, 2931290, 85.36
2023-05-10,EXCEL, EQ,0.45,0.45,0.45,0.4,0.45,0.4,0.42,3262174,13.71,1112, 1764631, 54.09
2023-05-11,EXCEL, EQ,0.4,0.4,0.45,0.4, 0.45,0.4,0.42,2153988,8.96,1069, 1348991, 62.63
2023-05-12,EXCEL, EQ,0.4,0.45,0.45,0.4, 0.45,0.4,0.42,2860636,12.12,1112, 2487303, 86.95
2023-05-15,EXCEL, EQ,0.4,0.4,0.45,0.4, 0.40,0.4,0.41,5153345,21.21,1232, 4957238, 96.19
2023-05-16,EXCEL, EQ,0.4,0.45,0.45,0.4,0.4,0.45,0.41,3992867,16.55,1082, 2483511, 62.20
2023-05-17,EXCEL, EQ,0.45,0.45,0.45,0.4, 0.40,0.4,0.42,2164057,9.03,1409, 1518280, 70.16
2023-05-18,EXCEL, EQ,0.4,0.4,0.45,0.35, 0.40,0.4,0.4,11677014,46.82,2004, 6008379, 51.45
2023-05-19,EXCEL, EQ,0.4,0.4,0.45,0.35,0.45,0.4,0.4,8357572,33.6,1744, 3873906, 46.35
2023-05-22,EXCEL, EQ,0.4,0.4,0.45,0.4,0.4,0.4,0.42,3758259,15.7,1454, 3004869, 79.95
2023-05-23,EXCEL, EQ,0.4,0.4,0.45,0.35, 0.45,0.4,0.4,9453949,37.38,1627, 5118539, 54.14
2023-05-24,EXCEL, EQ,0.4,0.35,0.45,0.35, 0.40,0.4,0.41,6290795,25.76,1674, 4382821, 69.67
2023-05-25,EXCEL, EQ,0.4,0.4,0.45,0.35, 0.35,0.4,0.41,3736965,15.18,1500, 3115717, 83.38
2023-05-26,EXCEL, EQ,0.4,0.4,0.4,0.35,0.35,0.4,0.39,2890865,11.15,1494, 2649467, 91.65
2023-05-29,EXCEL, EQ,0.4,0.4,0.45,0.35, 0.35,0.4,0.39,7720215,29.93,1562, 4581029, 59.34
2023-05-30,EXCEL, EQ,0.4,0.4,0.45,0.35, 0.40,0.4,0.4,4700885,18.59,1285, 2028112, 43.14
2023-05-31,EXCEL, EQ,0.4,0.4,0.4,0.35, 0.40,0.35,0.38,1226097,4.63,1409, 1146591, 93.52
2023-06-01,EXCEL, EQ,0.35,0.4,0.4,0.35, 0.40,0.4,0.39,2664849,10.36,1385, 2359208, 88.53
2023-06-02,EXCEL, EQ,0.4,0.4,0.4,0.35, 0.40,0.4,0.39,2385179,9.22,1338, 2278098, 95.51
2023-06-05,EXCEL, EQ,0.4,0.4,0.45,0.35, 0.40,0.4,0.4,7258826,28.84,1727, 3446553, 47.48
2023-06-06,EXCEL, EQ,0.4,0.4,0.45,0.35,0.4,0.35,0.4,3476080,13.81,1408, 2092187, 60.19
2023-06-07,EXCEL, EQ,0.35,0.4,0.4,0.35, 0.40,0.4,0.4,4281702,17.11,641, 2250624, 52.56
2023-06-08,EXCEL, EQ,0.4,0.4,0.45,0.4, 0.40,0.45,0.41,9328345,38.37,1617, 8855608, 94.93
2023-06-09,EXCEL, EQ,0.45,0.45,0.45,0.4, 0.45,0.4,0.42,4214325,17.88,1604, 2464307, 58.47
2023-06-12,EXCEL, EQ,0.4,0.4,0.45,0.35, 0.40,0.4,0.41,7728988,31.57,2118, 6128286, 79.29
2023-06-13,EXCEL, EQ,0.4,0.4,0.45,0.35, 0.45,0.4,0.41,5462025,22.24,1720, 4446500, 81.41
2023-06-14,EXCEL, EQ,0.4,0.4,0.45,0.4, 0.40,0.4,0.42,3606038,15.05,1796, 2983096, 82.73
2023-06-15,EXCEL, EQ,0.4,0.4,0.45,0.35, 0.40,0.4,0.4,7954119,32.19,2042, 5225359, 65.69
