DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,FILATEX, EQ,46.0,46.45,46.95,44.85, 45.70,45.7,45.68,262032,119.69,2625, 115014, 43.89
2023-01-03,FILATEX, EQ,45.7,45.6,46.4,45.4, 45.80,45.85,45.99,215294,99.02,1906, 111835, 51.95
2023-01-04,FILATEX, EQ,45.85,45.95,46.3,44.8, 45.50,45.2,45.55,196739,89.62,1856, 114544, 58.22
2023-01-05,FILATEX, EQ,45.2,45.2,45.85,44.0,44.3,44.15,44.54,279146,124.32,2360, 151129, 54.14
2023-01-06,FILATEX, EQ,44.15,44.35,44.5,43.0,43.4,43.05,43.46,404443,175.77,2467, 303677, 75.09
2023-01-09,FILATEX, EQ,43.05,45.25,47.95,44.05,47.2,47.05,46.98,3691478,1734.32,14252, 640733, 17.36
2023-01-10,FILATEX, EQ,47.05,46.3,48.5,45.5,47.7,47.5,46.57,881597,410.59,4362, 231179, 26.22
2023-01-11,FILATEX, EQ,47.5,47.6,48.25,47.0, 47.10,47.3,47.56,384529,182.88,2640, 147043, 38.24
2023-01-12,FILATEX, EQ,47.3,47.25,47.6,46.1, 46.50,46.35,46.66,207943,97.02,2035, 92671, 44.57
2023-01-13,FILATEX, EQ,46.35,46.65,46.9,46.3,46.4,46.45,46.54,176775,82.27,1585, 80165, 45.35
2023-01-16,FILATEX, EQ,46.45,46.75,46.75,45.75, 46.00,46.1,46.18,174142,80.41,1755, 92508, 53.12
2023-01-17,FILATEX, EQ,46.1,46.0,46.2,44.9,45.35,45.15,45.41,221546,100.6,1943, 146529, 66.14
2023-01-18,FILATEX, EQ,45.15,45.15,45.95,44.5,45.85,45.75,45.59,473852,216.02,2252, 132636, 27.99
2023-01-19,FILATEX, EQ,45.75,45.7,46.15,44.5, 44.80,44.8,45.21,198144,89.58,1664, 102136, 51.55
2023-01-20,FILATEX, EQ,44.8,45.05,45.1,42.7,43.85,43.4,43.71,491608,214.89,4429, 313035, 63.68
2023-01-23,FILATEX, EQ,43.4,44.05,45.2,43.4,43.8,43.65,44.13,340654,150.34,2827, 119745, 35.15
2023-01-24,FILATEX, EQ,43.65,44.4,44.4,43.1,43.55,43.45,43.68,161242,70.43,1707, 71746, 44.50
2023-01-25,FILATEX, EQ,43.45,43.05,43.9,43.0, 43.45,43.35,43.37,153350,66.5,1666, 73575, 47.98
2023-01-27,FILATEX, EQ,43.35,43.9,43.95,42.65, 43.95,43.55,43.07,387245,166.77,2104, 291290, 75.22
2023-01-30,FILATEX, EQ,43.55,43.95,43.95,42.75, 42.95,42.8,42.88,179222,76.85,1516, 112521, 62.78
2023-01-31,FILATEX, EQ,42.8,42.7,43.95,42.7,43.9,43.7,43.44,79318,34.46,1133, 35397, 44.63
2023-02-01,FILATEX, EQ,43.7,44.7,45.8,42.2, 43.00,42.8,43.74,182650,79.88,2322, 91743, 50.23
2023-02-02,FILATEX, EQ,42.8,42.8,43.5,42.15, 42.25,42.25,42.62,126187,53.78,1796, 69199, 54.84
2023-02-03,FILATEX, EQ,42.25,42.55,42.8,41.5, 41.80,41.8,41.88,235169,98.5,2198, 153964, 65.47
