DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,FINCABLES, EQ,547.0,550.0,560.0,543.0, 551.25,551.55,554.04,242421,1343.11,8929, 43433, 17.92
2023-01-03,FINCABLES, EQ,551.55,553.95,565.4,552.0, 560.00,560.85,561.21,367349,2061.58,18071, 170884, 46.52
2023-01-04,FINCABLES, EQ,560.85,560.85,563.25,541.0, 542.65,545.4,547.77,189623,1038.69,12446, 84973, 44.81
2023-01-05,FINCABLES, EQ,545.4,547.95,556.0,546.1,548.25,550.4,550.99,151838,836.62,7010, 62143, 40.93
2023-01-06,FINCABLES, EQ,550.4,552.4,552.45,532.15,542.8,542.95,539.45,188278,1015.67,11935, 73729, 39.16
2023-01-09,FINCABLES, EQ,542.95,549.85,557.0,537.2,539.95,539.7,542.78,302806,1643.56,8210, 195505, 64.56
2023-01-10,FINCABLES, EQ,539.7,543.0,543.0,527.0,530.25,530.3,533.92,90311,482.19,8143, 34174, 37.84
2023-01-11,FINCABLES, EQ,530.3,540.0,542.7,524.75, 536.70,536.25,536.72,202181,1085.16,11551, 75175, 37.18
2023-01-12,FINCABLES, EQ,536.25,538.0,546.55,530.5, 538.65,539.85,537.87,212486,1142.9,12771, 78762, 37.07
2023-01-13,FINCABLES, EQ,539.85,546.0,554.85,536.0,553.4,552.6,546.82,232141,1269.4,11778, 97797, 42.13
2023-01-16,FINCABLES, EQ,552.6,554.6,559.5,551.45, 557.60,556.2,555.59,129042,716.94,7782, 49512, 38.37
2023-01-17,FINCABLES, EQ,556.2,556.2,563.9,553.15,555.0,554.8,559.23,156372,874.47,9089, 60736, 38.84
2023-01-18,FINCABLES, EQ,554.8,559.0,564.85,549.8,557.0,559.3,561.61,135885,763.15,8341, 55175, 40.60
2023-01-19,FINCABLES, EQ,559.3,560.0,570.0,557.5, 569.00,568.55,565.82,191164,1081.64,8907, 102772, 53.76
2023-01-20,FINCABLES, EQ,568.55,570.4,573.4,553.65,557.2,556.85,561.7,122096,685.82,7791, 56766, 46.49
2023-01-23,FINCABLES, EQ,556.85,560.0,564.9,547.4,548.0,550.05,556.15,92656,515.31,5347, 31224, 33.70
2023-01-24,FINCABLES, EQ,550.05,553.95,553.95,538.65,541.05,541.55,546.08,63658,347.62,4152, 28631, 44.98
2023-01-25,FINCABLES, EQ,541.55,541.5,556.75,540.0, 543.00,543.4,546.38,143224,782.55,9574, 48317, 33.74
2023-01-27,FINCABLES, EQ,543.4,548.8,551.25,526.4, 543.00,541.8,540.3,118122,638.21,9095, 40144, 33.99
2023-01-30,FINCABLES, EQ,541.8,542.0,544.35,528.85, 533.00,535.7,534.3,111788,597.28,7885, 47206, 42.23
2023-01-31,FINCABLES, EQ,535.7,535.5,556.0,525.35,556.0,553.95,545.96,165995,906.27,12317, 73034, 44.00
2023-02-01,FINCABLES, EQ,553.95,556.0,567.6,532.0, 538.00,538.8,554.84,101118,561.05,8270, 40759, 40.31
2023-02-02,FINCABLES, EQ,538.8,538.8,564.4,538.05, 553.00,552.9,555.63,171371,952.19,13256, 41838, 24.41
2023-02-03,FINCABLES, EQ,552.9,552.9,559.5,535.05, 547.15,554.8,545.9,140467,766.81,11054, 49845, 35.49
