DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,FOSECOIND, EQ,1935.95,1912.0,1968.95,1900.0, 1930.00,1918.2,1923.61,1190,22.89,323, 686, 57.65
2023-01-03,FOSECOIND, EQ,1918.2,1946.95,1950.0,1902.05, 1942.75,1933.9,1934.1,1392,26.92,292, 558, 40.09
2023-01-04,FOSECOIND, EQ,1933.9,1947.0,1966.0,1905.4, 1930.00,1931.85,1933.54,808,15.62,345, 501, 62.00
2023-01-05,FOSECOIND, EQ,1931.85,1959.0,1959.0,1926.8,1932.5,1936.25,1940.14,335,6.5,128, 196, 58.51
2023-01-06,FOSECOIND, EQ,1936.25,1930.1,1952.35,1862.0,1870.0,1879.25,1915.82,1763,33.78,440, 833, 47.25
2023-01-09,FOSECOIND, EQ,1879.25,1877.55,1959.9,1877.55,1911.5,1922.45,1924.62,1920,36.95,414, 965, 50.26
2023-01-10,FOSECOIND, EQ,1922.45,1921.15,1934.95,1890.1,1934.95,1931.3,1918.64,1309,25.11,226, 512, 39.11
2023-01-11,FOSECOIND, EQ,1931.3,1935.0,1938.35,1917.0, 1918.00,1927.05,1924.53,458,8.81,133, 286, 62.45
2023-01-12,FOSECOIND, EQ,1927.05,1934.7,1947.9,1912.0, 1915.05,1922.8,1931.13,433,8.36,172, 238, 54.97
2023-01-13,FOSECOIND, EQ,1922.8,1907.0,1960.0,1907.0,1960.0,1943.8,1939.77,2304,44.69,423, 1316, 57.12
2023-01-16,FOSECOIND, EQ,1943.8,1979.0,1999.0,1944.05, 1996.00,1984.9,1967.52,1853,36.46,417, 1377, 74.31
2023-01-17,FOSECOIND, EQ,1984.9,2000.7,2019.0,1962.05,2019.0,1992.25,1983.03,1835,36.39,247, 811, 44.20
2023-01-18,FOSECOIND, EQ,1992.25,1992.25,2034.6,1991.0,2000.0,2010.55,2004.62,5679,113.84,813, 1795, 31.61
2023-01-19,FOSECOIND, EQ,2010.55,2011.4,2025.0,1996.05, 2010.00,2017.45,2014.75,1064,21.44,319, 665, 62.50
2023-01-20,FOSECOIND, EQ,2017.45,2007.05,2095.0,2007.05,2051.0,2048.9,2058.99,6809,140.2,785, 3266, 47.97
