DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,FUSION, EQ,364.2,367.15,376.95,364.25, 371.40,371.25,369.54,199599,737.61,7212, 46600, 23.35
2023-01-03,FUSION, EQ,371.25,371.4,398.0,371.4, 395.00,396.0,390.2,540995,2110.98,12837, 286225, 52.91
2023-01-04,FUSION, EQ,396.0,396.0,399.5,383.8, 392.00,393.15,392.11,471932,1850.5,19717, 266814, 56.54
2023-01-05,FUSION, EQ,393.15,392.0,394.9,381.25,386.0,388.35,390.16,371510,1449.5,5846, 279370, 75.20
2023-01-06,FUSION, EQ,388.35,390.2,394.5,376.9,385.0,385.25,387.38,187544,726.52,4636, 107648, 57.40
2023-01-09,FUSION, EQ,385.25,386.95,404.4,386.95,395.0,393.4,396.45,340898,1351.51,8861, 190353, 55.84
2023-01-10,FUSION, EQ,393.4,395.4,398.35,383.55,389.7,389.6,390.16,380514,1484.6,9066, 180064, 47.32
2023-01-11,FUSION, EQ,389.6,393.9,393.9,384.0, 385.25,386.7,388.81,336049,1306.6,7985, 222497, 66.21
2023-01-12,FUSION, EQ,386.7,387.0,391.4,377.7, 390.00,389.45,383.67,224874,862.77,5752, 131911, 58.66
2023-01-13,FUSION, EQ,389.45,386.15,396.1,386.15,391.25,391.15,390.13,194604,759.2,7716, 118541, 60.91
2023-01-16,FUSION, EQ,391.15,391.95,397.5,386.25, 388.00,389.65,392.4,121930,478.46,3477, 66017, 54.14
2023-01-17,FUSION, EQ,389.65,391.3,418.8,387.3,407.2,404.1,405.98,1183204,4803.58,22830, 538858, 45.54
2023-01-18,FUSION, EQ,404.1,406.95,421.9,402.75,409.7,409.6,411.02,926734,3809.05,17487, 598954, 64.63
2023-01-19,FUSION, EQ,409.6,408.95,416.5,401.6, 404.45,403.1,411.98,393360,1620.58,11466, 166168, 42.24
2023-01-20,FUSION, EQ,403.1,406.65,413.65,400.6,409.6,410.7,408.75,261728,1069.82,10084, 126888, 48.48
2023-01-23,FUSION, EQ,410.7,413.7,414.5,404.0,408.3,408.25,408.93,296842,1213.88,7200, 199871, 67.33
2023-01-24,FUSION, EQ,408.25,408.3,416.25,406.05,411.0,412.8,412.39,253670,1046.1,6958, 123876, 48.83
2023-01-25,FUSION, EQ,412.8,413.9,414.0,395.05, 400.10,403.0,404.23,306686,1239.71,8245, 151562, 49.42
2023-01-27,FUSION, EQ,403.0,401.2,404.45,372.3, 376.00,375.3,383.26,339041,1299.42,10795, 174182, 51.37
2023-01-30,FUSION, EQ,375.3,375.3,390.0,370.1, 377.20,375.45,379.4,159970,606.92,8260, 70086, 43.81
2023-01-31,FUSION, EQ,375.45,385.0,414.2,385.0,406.35,406.25,403.27,743633,2998.82,26614, 334843, 45.03
2023-02-01,FUSION, EQ,406.25,412.8,429.95,405.0, 411.00,412.15,418.74,955364,4000.52,32657, 481136, 50.36
2023-02-02,FUSION, EQ,412.15,414.75,421.0,406.0, 411.00,409.55,412.83,181202,748.06,6534, 90159, 49.76
2023-02-03,FUSION, EQ,409.55,411.6,418.05,396.0, 402.35,403.25,405.11,199426,807.89,9414, 74767, 37.49
2023-02-06,FUSION, EQ,403.25,401.25,426.95,401.1, 421.70,421.6,418.35,267548,1119.29,12831, 129631, 48.45
2023-02-07,FUSION, EQ,421.6,423.75,429.95,413.05, 414.00,415.15,419.71,194791,817.57,11167, 99882, 51.28
2023-02-08,FUSION, EQ,415.15,413.0,444.4,412.8, 434.10,434.0,432.9,657768,2847.51,22922, 362872, 55.17
2023-02-09,FUSION, EQ,434.0,435.6,436.8,420.8, 430.00,429.65,425.63,240002,1021.51,10964, 98492, 41.04
2023-02-10,FUSION, EQ,429.65,429.1,436.0,404.2, 416.40,415.25,418.85,506615,2121.95,23668, 259540, 51.23
2023-02-13,FUSION, EQ,415.25,429.0,429.0,405.0,410.0,409.95,411.6,327843,1349.41,13900, 149344, 45.55
2023-02-14,FUSION, EQ,409.95,410.0,412.6,396.7,404.0,401.6,400.54,318019,1273.8,12851, 196238, 61.71
2023-02-15,FUSION, EQ,401.6,400.0,428.05,398.15, 415.50,416.55,415.91,287780,1196.91,17248, 112678, 39.15
2023-02-16,FUSION, EQ,416.55,418.65,420.6,407.0, 414.00,413.9,411.57,163822,674.25,7524, 98606, 60.19
2023-02-17,FUSION, EQ,413.9,414.0,419.65,408.05, 415.00,416.3,414.58,124344,515.5,6309, 58602, 47.13
2023-02-20,FUSION, EQ,416.3,418.3,418.3,406.0, 408.90,410.0,409.0,102280,418.33,5758, 69227, 67.68
2023-02-21,FUSION, EQ,410.0,411.95,423.7,405.0, 415.50,417.15,414.84,191061,792.6,12903, 79410, 41.56
2023-02-22,FUSION, EQ,417.15,412.7,413.8,398.0, 401.70,400.85,402.64,184657,743.51,9864, 111927, 60.61
2023-02-23,FUSION, EQ,400.85,400.1,405.9,396.7,397.05,399.05,400.78,133401,534.64,7898, 77651, 58.21
2023-02-24,FUSION, EQ,399.05,400.9,412.9,400.9, 405.50,407.1,406.33,141020,573.0,6400, 66855, 47.41
2023-02-27,FUSION, EQ,407.1,407.1,407.1,384.8, 395.00,395.35,393.71,147686,581.45,7178, 77264, 52.32
2023-02-28,FUSION, EQ,395.35,395.35,403.75,388.0, 392.00,395.1,395.81,143717,568.85,7625, 68093, 47.38
2023-03-01,FUSION, EQ,395.1,395.9,404.7,395.9, 402.10,402.5,401.48,145711,585.0,6205, 106177, 72.87
2023-03-02,FUSION, EQ,402.5,402.3,407.0,400.0, 404.00,403.9,402.11,152248,612.2,3979, 108175, 71.05
2023-03-03,FUSION, EQ,403.9,405.05,411.1,400.05, 401.30,401.05,403.93,510243,2061.05,16264, 403569, 79.09
2023-03-06,FUSION, EQ,401.05,402.0,410.85,400.0, 401.00,401.95,405.61,198221,804.01,4729, 122611, 61.86
2023-03-08,FUSION, EQ,401.95,401.0,411.8,398.35, 410.00,409.2,406.5,99189,403.2,6116, 48468, 48.86
2023-03-09,FUSION, EQ,409.2,409.2,411.4,403.6, 405.00,405.8,405.83,158838,644.61,4949, 110595, 69.63
