DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,GAIL, EQ,96.05,96.5,96.8,95.5, 96.70,96.6,96.13,9433822,9068.56,44710, 4194865, 44.47
2023-01-03,GAIL, EQ,96.6,96.7,97.4,96.4, 96.90,96.8,96.91,6053619,5866.27,40216, 2483143, 41.02
2023-01-04,GAIL, EQ,96.8,97.1,97.6,95.15, 95.30,95.4,95.82,9398653,9005.38,47808, 5294106, 56.33
2023-01-05,GAIL, EQ,95.4,95.9,97.5,95.15,97.45,97.35,96.34,12382060,11928.6,49804, 7187380, 58.05
2023-01-06,GAIL, EQ,97.35,97.7,98.75,96.85,97.2,97.25,97.84,14032853,13729.98,48161, 6355212, 45.29
2023-01-09,GAIL, EQ,97.25,97.95,98.95,97.85,98.5,98.45,98.41,12464665,12266.39,39679, 7542287, 60.51
2023-01-10,GAIL, EQ,98.45,98.0,98.95,97.5,98.3,98.1,98.26,9211811,9051.97,30906, 5292431, 57.45
2023-01-11,GAIL, EQ,98.1,98.1,98.5,97.0, 97.40,97.3,97.43,9737047,9487.23,25702, 6043577, 62.07
2023-01-12,GAIL, EQ,97.3,97.5,97.8,96.7, 96.75,96.8,96.92,7831578,7590.05,25856, 4831292, 61.69
2023-01-13,GAIL, EQ,96.8,96.1,97.3,95.25,96.15,96.1,96.04,9641316,9259.95,26264, 5687755, 58.99
2023-01-16,GAIL, EQ,96.1,96.4,97.1,95.8, 97.00,96.9,96.37,4621698,4454.05,19240, 2458466, 53.19
2023-01-17,GAIL, EQ,96.9,96.95,97.7,96.75,97.4,97.45,97.31,7321828,7124.75,26019, 3843286, 52.49
2023-01-18,GAIL, EQ,97.45,97.45,97.8,96.9,97.2,97.25,97.28,9417195,9160.92,28074, 3959494, 42.05
2023-01-19,GAIL, EQ,97.25,97.75,97.9,96.75, 97.40,97.6,97.48,6384333,6223.18,29555, 3149048, 49.32
2023-01-20,GAIL, EQ,97.6,97.6,99.2,97.4,99.0,99.0,98.72,13615997,13441.9,45920, 7738530, 56.83
2023-01-23,GAIL, EQ,99.0,100.0,102.85,99.6,102.2,102.25,101.7,28390308,28872.35,94951, 10555918, 37.18
2023-01-24,GAIL, EQ,102.25,102.75,102.75,101.6,102.0,102.0,102.02,8583670,8757.4,31184, 3915139, 45.61
2023-01-25,GAIL, EQ,102.0,102.0,102.0,99.55, 101.25,100.9,100.74,12007717,12096.23,44629, 5897868, 49.12
2023-01-27,GAIL, EQ,100.9,101.7,102.65,97.9, 99.45,99.15,99.33,13064056,12976.15,47932, 6638755, 50.82
2023-01-30,GAIL, EQ,99.15,99.25,99.9,91.85, 94.70,94.95,95.83,29985336,28734.62,107145, 15576816, 51.95
2023-01-31,GAIL, EQ,94.95,94.0,97.8,94.0,95.5,95.15,95.99,24892166,23893.7,73178, 12934603, 51.96
2023-02-01,GAIL, EQ,95.15,95.5,98.0,95.0, 96.00,96.05,96.47,19042474,18370.73,55542, 10010188, 52.57
2023-02-02,GAIL, EQ,96.05,95.5,96.4,93.45, 94.00,93.9,94.64,17726153,16775.92,59013, 10603892, 59.82
2023-02-03,GAIL, EQ,93.9,94.25,94.3,91.05, 92.90,92.8,92.23,18191035,16777.5,102200, 9920879, 54.54
2023-02-06,GAIL, EQ,92.8,92.9,95.1,92.2, 94.90,94.85,93.81,14907237,13984.9,40942, 8753749, 58.72
2023-02-07,GAIL, EQ,94.85,95.0,96.25,94.5, 95.85,96.0,95.59,8686792,8303.71,43184, 3840785, 44.21
2023-02-08,GAIL, EQ,96.0,96.0,96.4,95.05, 95.90,95.8,95.77,5763070,5519.45,25597, 2608343, 45.26
2023-02-09,GAIL, EQ,95.8,96.3,96.3,94.7, 95.90,95.85,95.64,6065233,5800.74,18502, 3040134, 50.12
2023-02-10,GAIL, EQ,95.85,95.85,96.25,94.85, 96.05,95.85,95.48,9527603,9096.68,30610, 5456112, 57.27
2023-02-13,GAIL, EQ,95.85,95.85,96.5,95.35,95.8,95.75,95.79,5275322,5053.27,23271, 2238104, 42.43
2023-02-14,GAIL, EQ,95.75,95.8,96.05,94.3,95.3,95.4,95.03,7505908,7133.16,42799, 4180379, 55.69
2023-02-15,GAIL, EQ,95.4,95.3,95.65,94.5, 95.35,95.3,94.95,6887911,6540.03,27009, 4414416, 64.09
2023-02-16,GAIL, EQ,95.3,95.5,96.25,95.35, 95.90,95.95,95.88,5800257,5561.08,23576, 3142249, 54.17
2023-02-17,GAIL, EQ,95.95,95.75,96.85,95.25, 96.00,96.0,95.96,19937435,19131.59,28779, 14533723, 72.90
2023-02-20,GAIL, EQ,96.0,96.4,96.4,95.3, 95.65,95.7,95.84,12837565,12304.08,31358, 7753039, 60.39
2023-02-21,GAIL, EQ,95.7,96.35,96.35,95.05, 95.15,95.3,95.73,8240973,7889.0,30548, 5235180, 63.53
2023-02-22,GAIL, EQ,95.3,94.95,96.0,93.15, 95.55,95.55,94.6,9721273,9196.61,35875, 4666953, 48.01
2023-02-23,GAIL, EQ,95.55,97.05,99.15,96.25,98.15,98.05,97.74,38462809,37593.88,91544, 19645953, 51.08
2023-02-24,GAIL, EQ,98.05,98.5,103.95,98.25, 103.50,103.45,102.29,45176952,46209.65,157085, 16489795, 36.50
2023-02-27,GAIL, EQ,103.45,103.85,106.2,103.15, 104.30,104.15,104.66,27802826,29099.07,118508, 5767164, 20.74
2023-02-28,GAIL, EQ,104.15,104.15,104.2,102.3, 102.80,102.65,102.94,17617907,18136.58,61026, 10219810, 58.01
