DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,GAYAHWS, EQ,0.9,0.9,0.9,0.85, 0.90,0.85,0.88,302205,2.65,223, 142423, 47.13
2023-01-03,GAYAHWS, EQ,0.85,0.85,0.9,0.85, 0.90,0.85,0.87,284804,2.49,187, 141777, 49.78
2023-01-04,GAYAHWS, EQ,0.85,0.9,0.9,0.85, 0.90,0.85,0.88,144311,1.27,308, 57201, 39.64
2023-01-05,GAYAHWS, EQ,0.85,0.9,0.9,0.85,0.85,0.9,0.88,287980,2.55,318, 136399, 47.36
2023-01-06,GAYAHWS, EQ,0.9,0.9,0.9,0.85,0.9,0.9,0.86,374911,3.23,322, 371741, 99.15
2023-01-09,GAYAHWS, EQ,0.9,0.9,0.9,0.85,0.85,0.85,0.87,602190,5.24,374, 316198, 52.51
2023-01-10,GAYAHWS, EQ,0.85,0.85,0.9,0.85,0.9,0.9,0.88,197064,1.73,232, 73364, 37.23
2023-01-11,GAYAHWS, EQ,0.9,0.9,0.9,0.85, 0.85,0.85,0.88,268256,2.35,301, 250663, 93.44
2023-01-12,GAYAHWS, EQ,0.85,0.9,0.9,0.85, 0.90,0.85,0.87,173054,1.5,228, 104634, 60.46
2023-01-13,GAYAHWS, EQ,0.85,0.85,0.9,0.85,0.9,0.9,0.89,443046,3.95,281, 212544, 47.97
2023-01-16,GAYAHWS, EQ,0.9,0.9,0.9,0.85, 0.90,0.9,0.89,249194,2.21,335, 123752, 49.66
2023-01-17,GAYAHWS, EQ,0.9,0.9,0.9,0.85,0.85,0.9,0.87,331671,2.87,217, 214631, 64.71
2023-01-18,GAYAHWS, EQ,0.9,0.85,0.9,0.85,0.9,0.9,0.86,184970,1.6,222, 130725, 70.67
2023-01-19,GAYAHWS, EQ,0.9,0.9,0.9,0.85, 0.85,0.85,0.86,197422,1.7,197, 152836, 77.42
2023-01-20,GAYAHWS, EQ,0.85,0.9,0.9,0.85,0.9,0.85,0.87,177611,1.54,244, 106960, 60.22
2023-01-23,GAYAHWS, EQ,0.85,0.9,0.9,0.85,0.9,0.9,0.87,311042,2.71,368, 152873, 49.15
2023-01-24,GAYAHWS, EQ,0.9,0.9,0.9,0.85,0.85,0.9,0.87,205176,1.79,224, 118291, 57.65
2023-01-25,GAYAHWS, EQ,0.9,0.9,0.9,0.85, 0.90,0.9,0.87,522111,4.56,266, 403053, 77.20
2023-01-27,GAYAHWS, EQ,0.9,0.9,0.9,0.85, 0.90,0.85,0.87,325846,2.83,266, 204253, 62.68
2023-01-30,GAYAHWS, EQ,0.85,0.85,0.9,0.85, 0.90,0.85,0.87,154324,1.34,245, 78889, 51.12
