DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,GENESYS, EQ,454.7,461.15,472.0,460.0, 467.95,467.15,467.66,12807,59.89,407, 9878, 77.13
2023-01-03,GENESYS, EQ,467.15,453.0,468.2,440.55, 445.80,443.9,454.09,17820,80.92,566, 12270, 68.86
2023-01-04,GENESYS, EQ,443.9,452.5,462.7,440.0, 443.60,444.9,450.62,17465,78.7,604, 6878, 39.38
2023-01-05,GENESYS, EQ,444.9,454.95,455.0,435.8,446.0,448.95,443.68,6358,28.21,290, 3834, 60.30
2023-01-06,GENESYS, EQ,448.95,447.1,451.0,424.95,431.95,429.3,437.55,8499,37.19,483, 4859, 57.17
2023-01-09,GENESYS, EQ,429.3,440.0,440.0,431.2,431.2,433.5,435.0,3473,15.11,296, 2388, 68.76
2023-01-10,GENESYS, EQ,433.5,435.1,435.1,425.95,433.95,433.05,430.71,5050,21.75,596, 2491, 49.33
2023-01-11,GENESYS, EQ,433.05,434.35,437.9,423.0, 424.00,429.7,430.69,6641,28.6,493, 4002, 60.26
2023-01-12,GENESYS, EQ,429.7,426.0,428.45,421.05, 425.50,424.7,424.86,2170,9.22,205, 1610, 74.19
2023-01-13,GENESYS, EQ,424.7,423.5,436.4,423.5,424.3,425.45,427.85,8158,34.9,385, 5692, 69.77
2023-01-16,GENESYS, EQ,425.45,426.0,436.45,424.5, 425.50,425.5,428.64,6435,27.58,329, 4408, 68.50
2023-01-17,GENESYS, EQ,425.5,430.05,432.4,425.3,429.8,429.05,429.43,2587,11.11,167, 1932, 74.68
2023-01-18,GENESYS, EQ,429.05,429.05,469.0,424.05,462.0,458.45,446.45,10718,47.85,518, 6230, 58.13
2023-01-19,GENESYS, EQ,458.45,460.1,478.8,458.45, 470.00,469.9,468.06,13532,63.34,606, 8856, 65.44
2023-01-20,GENESYS, EQ,469.9,480.45,480.45,464.85,465.5,469.2,474.92,5720,27.17,327, 3911, 68.37
2023-01-23,GENESYS, EQ,469.2,474.1,474.1,442.65,443.0,449.75,457.53,2860,13.09,258, 1585, 55.42
2023-01-24,GENESYS, EQ,449.75,452.15,453.1,434.05,437.0,437.55,442.53,5770,25.53,385, 3691, 63.97
2023-01-25,GENESYS, EQ,437.55,437.5,437.55,428.8, 430.60,430.9,431.44,4344,18.74,282, 2972, 68.42
2023-01-27,GENESYS, EQ,430.9,411.0,458.0,411.0, 457.00,420.45,420.9,14910,62.76,534, 11465, 76.89
2023-01-30,GENESYS, EQ,420.45,427.35,450.0,421.0, 450.00,444.5,434.85,4600,20.0,348, 2630, 57.17
2023-01-31,GENESYS, EQ,444.5,459.9,471.75,427.8,431.55,432.3,440.81,28114,123.93,930, 19961, 71.00
2023-02-01,GENESYS, EQ,432.3,426.65,443.9,408.5, 423.30,415.4,425.57,7015,29.85,595, 3952, 56.34
2023-02-02,GENESYS, EQ,415.4,416.35,416.95,373.9, 376.10,379.45,394.21,29081,114.64,1153, 19865, 68.31
2023-02-03,GENESYS, EQ,379.45,383.9,385.9,371.1, 379.85,376.65,379.87,8195,31.13,581, 5946, 72.56
2023-02-06,GENESYS, EQ,376.65,374.55,414.3,373.85, 414.30,412.3,410.55,30947,127.05,1202, 20348, 65.75
2023-02-07,GENESYS, EQ,412.3,400.0,429.7,392.6, 419.90,409.7,414.71,17848,74.02,1857, 7623, 42.71
2023-02-08,GENESYS, EQ,409.7,415.85,415.85,394.05, 403.25,403.25,404.36,10391,42.02,714, 7298, 70.23
2023-02-09,GENESYS, EQ,403.25,403.3,435.0,402.65, 431.00,424.35,422.24,31169,131.61,1276, 22270, 71.45
2023-02-10,GENESYS, EQ,424.35,428.6,431.85,421.65, 425.00,425.3,426.13,7606,32.41,476, 5293, 69.59
2023-02-13,GENESYS, EQ,425.3,431.4,460.0,411.05,442.05,457.1,447.16,39112,174.89,1588, 23048, 58.93
2023-02-14,GENESYS, EQ,457.1,456.9,471.0,440.1,463.0,463.5,461.72,39934,184.38,1575, 23805, 59.61
2023-02-15,GENESYS, EQ,463.5,465.5,472.8,435.0, 438.50,439.65,446.55,18532,82.75,997, 12912, 69.67
2023-02-16,GENESYS, EQ,439.65,446.3,449.3,418.6, 420.00,423.7,431.06,15557,67.06,918, 8885, 57.11
2023-02-17,GENESYS, EQ,423.7,424.0,437.0,402.1, 409.45,408.25,420.5,15432,64.89,893, 9245, 59.91
2023-02-20,GENESYS, EQ,408.25,410.3,424.3,410.0, 410.00,412.3,414.66,4594,19.05,311, 2739, 59.62
2023-02-21,GENESYS, EQ,412.3,410.0,419.95,402.2, 408.05,410.75,409.88,15747,64.54,588, 11165, 70.90
2023-02-22,GENESYS, EQ,410.75,405.05,409.6,383.05, 383.05,388.4,393.39,23118,90.94,1137, 14446, 62.49
2023-02-23,GENESYS, EQ,388.4,395.0,402.7,387.0,387.1,389.35,394.69,11769,46.45,803, 6430, 54.64
2023-02-24,GENESYS, EQ,389.35,401.25,408.0,388.05, 389.00,389.7,394.72,5985,23.62,401, 3794, 63.39
2023-02-27,GENESYS, EQ,389.7,389.7,389.7,374.0, 375.00,378.15,377.74,16228,61.3,615, 11197, 69.00
2023-02-28,GENESYS, EQ,378.15,385.8,401.85,381.0, 387.00,392.1,390.22,25647,100.08,744, 14611, 56.97
2023-03-01,GENESYS, EQ,392.1,396.6,403.95,386.3, 387.50,390.95,395.85,12616,49.94,681, 7924, 62.81
2023-03-02,GENESYS, EQ,390.95,380.0,400.0,380.0, 400.00,399.9,397.21,11887,47.22,484, 8422, 70.85
2023-03-03,GENESYS, EQ,399.9,385.0,426.3,385.0, 412.30,416.3,416.24,26160,108.89,1356, 16063, 61.40
2023-03-06,GENESYS, EQ,416.3,417.75,443.15,411.05, 432.70,429.3,422.0,80261,338.7,1203, 61994, 77.24
2023-03-08,GENESYS, EQ,429.3,424.9,427.35,407.6, 414.30,415.6,416.44,17606,73.32,553, 13270, 75.37
2023-03-09,GENESYS, EQ,415.6,412.0,419.2,390.0, 405.00,403.65,406.78,23213,94.43,717, 18118, 78.05
2023-03-10,GENESYS, EQ,403.65,400.05,407.9,397.15, 405.00,404.85,404.34,12739,51.51,467, 9681, 75.99
2023-03-13,GENESYS, EQ,404.85,414.0,420.0,386.65, 395.90,394.7,412.38,66021,272.26,879, 56976, 86.30
2023-03-14,GENESYS, EQ,394.7,395.0,408.45,395.0, 400.00,399.2,398.62,88170,351.46,942, 77181, 87.54
2023-03-15,GENESYS, EQ,399.2,403.95,405.0,388.0, 388.00,390.1,396.7,56857,225.55,935, 50829, 89.40
2023-03-16,GENESYS, EQ,390.1,390.0,394.9,379.25, 387.75,384.25,385.3,60842,234.43,947, 55202, 90.73
2023-03-17,GENESYS, EQ,384.25,376.7,392.45,376.7, 385.20,381.95,383.69,20755,79.63,1231, 11985, 57.75
2023-03-20,GENESYS, EQ,381.95,379.05,388.25,371.6,373.4,374.8,379.2,29840,113.15,730, 24228, 81.19
2023-03-21,GENESYS, EQ,374.8,380.4,380.4,358.35, 360.80,361.85,367.65,29426,108.18,1438, 19507, 66.29
2023-03-22,GENESYS, EQ,361.85,366.7,375.0,366.7, 373.00,373.7,373.21,28836,107.62,1333, 21653, 75.09
2023-03-23,GENESYS, EQ,373.7,379.3,379.6,361.45, 365.00,363.9,367.94,21814,80.26,812, 16698, 76.55
2023-03-24,GENESYS, EQ,363.9,364.95,378.8,351.25, 352.55,357.6,362.42,8554,31.0,617, 5353, 62.58
2023-03-27,GENESYS, EQ,357.6,357.55,370.0,351.1, 359.70,360.45,355.96,17380,61.87,1181, 11050, 63.58
2023-03-28,GENESYS, EQ,360.45,361.3,362.15,321.5, 327.35,332.65,338.75,41884,141.88,2003, 29678, 70.86
2023-03-29,GENESYS, EQ,332.65,339.0,352.0,308.3, 310.00,320.55,323.02,237657,767.68,2688, 218065, 91.76
2023-03-31,GENESYS, EQ,320.55,313.0,336.9,311.0, 325.15,328.85,323.0,94273,304.5,3213, 66953, 71.02
2023-04-03,GENESYS, EQ,328.85,337.7,337.7,324.4, 326.00,325.8,328.85,14480,47.62,1398, 7048, 48.67
2023-04-05,GENESYS, EQ,325.8,326.0,348.05,321.1, 334.55,334.75,338.66,24428,82.73,2126, 11669, 47.77
2023-04-06,GENESYS, EQ,334.75,338.3,347.0,333.1, 338.35,341.85,340.96,10611,36.18,931, 5683, 53.56
2023-04-10,GENESYS, EQ,341.85,347.0,347.0,325.05, 329.00,329.75,333.82,9613,32.09,602, 6548, 68.12
2023-04-11,GENESYS, EQ,329.75,329.75,336.45,326.75, 334.00,333.7,330.89,8682,28.73,720, 4537, 52.26
2023-04-12,GENESYS, EQ,333.7,331.35,335.95,311.85, 328.00,326.45,322.88,24856,80.25,1337, 12575, 50.59
2023-04-13,GENESYS, EQ,326.45,329.7,330.65,313.25, 320.00,316.0,319.77,24556,78.52,1460, 16243, 66.15
2023-04-17,GENESYS, EQ,316.0,320.75,321.9,306.0, 307.00,308.9,313.87,20004,62.79,1249, 11820, 59.09
2023-04-18,GENESYS, EQ,308.9,309.45,320.0,305.05, 310.45,306.7,313.89,16360,51.35,1023, 10530, 64.36
2023-04-19,GENESYS, EQ,306.7,308.6,319.9,307.0, 314.00,311.0,312.07,13641,42.57,792, 7944, 58.24
2023-04-20,GENESYS, EQ,311.0,311.0,316.25,299.3, 300.00,300.8,305.4,17241,52.65,874, 13410, 77.78
2023-04-21,GENESYS, EQ,300.8,312.0,312.2,296.45, 299.10,298.65,300.3,12385,37.19,963, 7533, 60.82
2023-04-24,GENESYS, EQ,298.65,312.9,312.9,294.7, 300.00,298.8,300.03,14325,42.98,1080, 8730, 60.94
2023-04-25,GENESYS, EQ,298.8,303.3,303.7,293.5,295.2,295.4,296.69,9330,27.68,696, 6743, 72.27
2023-04-26,GENESYS, EQ,295.4,291.4,299.45,283.45, 292.50,290.5,290.42,30156,87.58,1458, 20015, 66.37
2023-04-27,GENESYS, EQ,290.5,290.5,300.95,290.0, 293.15,295.75,297.25,26589,79.04,933, 17985, 67.64
2023-04-28,GENESYS, EQ,295.75,295.75,304.7,291.05, 297.00,293.7,297.08,21514,63.91,963, 11278, 52.42
2023-05-02,GENESYS, EQ,293.7,293.7,303.35,293.7, 297.20,299.35,299.67,30953,92.76,1006, 23121, 74.70
2023-05-03,GENESYS, EQ,299.35,304.8,304.8,293.6,294.1,295.0,297.31,12719,37.82,680, 7725, 60.74
2023-05-04,GENESYS, EQ,295.0,294.95,344.0,293.85, 333.00,331.4,321.11,90164,289.53,2799, 47314, 52.48
2023-05-05,GENESYS, EQ,331.4,355.0,368.85,331.25, 340.00,339.2,351.21,201408,707.36,8620, 46889, 23.28
2023-05-08,GENESYS, EQ,339.2,342.45,344.0,318.1, 327.00,325.05,329.72,26671,87.94,1644, 13085, 49.06
2023-05-09,GENESYS, EQ,325.05,325.05,339.0,317.9,326.5,323.1,325.27,46032,149.73,1873, 27263, 59.23
2023-05-10,GENESYS, EQ,323.1,323.1,330.4,318.1,327.0,327.85,326.71,16798,54.88,1113, 10370, 61.73
2023-05-11,GENESYS, EQ,327.85,327.85,335.85,319.9, 323.00,322.7,325.05,9698,31.52,955, 5095, 52.54
2023-05-12,GENESYS, EQ,322.7,322.7,326.3,316.0, 316.00,319.9,320.66,16679,53.48,663, 11011, 66.02
2023-05-15,GENESYS, EQ,319.9,322.5,324.0,313.9, 316.00,316.0,318.51,15643,49.82,731, 11495, 73.48
2023-05-16,GENESYS, EQ,316.0,324.0,325.35,312.6,319.0,317.8,320.15,13423,42.97,655, 7632, 56.86
2023-05-17,GENESYS, EQ,317.8,318.2,359.5,310.5, 345.00,344.45,332.86,241741,804.65,4322, 165953, 68.65
2023-05-18,GENESYS, EQ,344.45,349.7,369.0,341.65, 346.50,346.5,356.93,85327,304.56,3607, 41518, 48.66
2023-05-19,GENESYS, EQ,346.5,346.5,355.0,336.0,349.75,349.0,347.15,33331,115.71,1539, 19593, 58.78
2023-05-22,GENESYS, EQ,349.0,350.0,370.0,342.9,357.0,353.1,360.31,112530,405.46,3415, 66188, 58.82
2023-05-23,GENESYS, EQ,353.1,358.4,359.15,339.45, 347.90,344.7,347.42,27492,95.51,1552, 16321, 59.37
2023-05-24,GENESYS, EQ,344.7,347.0,375.25,342.2, 365.50,365.8,363.47,55729,202.56,2825, 23672, 42.48
2023-05-25,GENESYS, EQ,365.8,370.0,395.0,344.15, 354.50,355.75,374.68,180034,674.54,8149, 80306, 44.61
2023-05-26,GENESYS, EQ,355.75,359.0,365.0,347.35,354.5,353.95,355.58,30471,108.35,2015, 15720, 51.59
2023-05-29,GENESYS, EQ,353.95,359.25,362.95,346.5, 348.85,349.35,352.01,18205,64.08,832, 10147, 55.74
2023-05-30,GENESYS, EQ,349.35,349.2,354.45,338.9, 345.90,348.15,345.6,25709,88.85,1282, 17613, 68.51
2023-05-31,GENESYS, EQ,348.15,331.1,341.0,325.05, 333.00,331.4,332.84,44226,147.2,2664, 25265, 57.13
2023-06-01,GENESYS, EQ,331.4,339.7,340.75,324.05, 333.00,330.55,329.24,30149,99.26,2517, 13907, 46.13
2023-06-02,GENESYS, EQ,330.55,333.85,336.95,323.95, 325.35,326.6,330.84,30269,100.14,1431, 20454, 67.57
2023-06-05,GENESYS, EQ,326.6,334.0,343.0,322.05, 332.00,332.95,329.99,41163,135.83,1711, 21983, 53.40
2023-06-06,GENESYS, EQ,332.95,327.95,336.0,327.95,331.75,330.55,332.05,58336,193.7,1700, 38765, 66.45
2023-06-07,GENESYS, EQ,330.55,334.15,354.65,328.75, 344.00,343.7,342.32,1002574,3432.03,16041, 304358, 30.36
2023-06-08,GENESYS, EQ,343.7,345.65,348.3,330.5, 333.10,333.45,338.39,112041,379.14,3894, 66010, 58.92
2023-06-09,GENESYS, EQ,333.45,336.45,336.45,325.05, 329.00,327.95,328.99,58008,190.84,2720, 33468, 57.70
2023-06-12,GENESYS, EQ,327.95,332.0,332.95,317.0, 320.00,319.3,322.27,78328,252.42,3160, 47945, 61.21
2023-06-13,GENESYS, EQ,319.3,322.0,323.85,315.5, 319.00,318.35,319.21,34818,111.14,2066, 20458, 58.76
2023-06-14,GENESYS, EQ,318.35,320.4,324.55,317.05, 317.75,318.8,320.35,17219,55.16,1390, 9699, 56.33
2023-06-15,GENESYS, EQ,318.8,322.0,332.45,320.1, 321.30,324.55,326.87,59539,194.62,2816, 32472, 54.54
2023-06-16,GENESYS, EQ,324.55,327.0,333.0,317.65, 325.00,322.5,323.02,29742,96.07,1912, 17563, 59.05
2023-06-19,GENESYS, EQ,322.5,322.5,329.55,318.45, 319.00,319.2,322.27,33192,106.97,1784, 22208, 66.91
2023-06-20,GENESYS, EQ,319.2,319.2,327.5,319.15, 320.30,321.75,322.99,17655,57.02,1599, 9783, 55.41
