DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,GESHIP, EQ,670.9,670.9,684.85,669.4, 676.00,676.35,677.67,126813,859.37,7227, 60802, 47.95
2023-01-03,GESHIP, EQ,676.35,679.0,683.4,660.0, 662.00,661.9,667.11,182373,1216.64,9443, 103789, 56.91
2023-01-04,GESHIP, EQ,661.9,662.0,677.4,661.9, 662.05,664.45,667.82,274619,1833.96,16414, 129527, 47.17
2023-01-05,GESHIP, EQ,664.45,667.75,667.75,643.5,649.8,649.55,651.92,234770,1530.52,20472, 155409, 66.20
2023-01-06,GESHIP, EQ,649.55,650.0,655.45,640.5,646.0,647.9,647.42,145356,941.07,9292, 76455, 52.60
2023-01-09,GESHIP, EQ,647.9,651.15,656.4,642.5,644.65,646.6,649.66,238949,1552.36,21160, 141520, 59.23
2023-01-10,GESHIP, EQ,646.6,647.9,667.85,635.55,658.5,659.65,654.47,307857,2014.82,21587, 127589, 41.44
2023-01-11,GESHIP, EQ,659.65,662.0,665.55,639.35, 644.05,647.65,650.62,150704,980.51,13113, 58413, 38.76
2023-01-12,GESHIP, EQ,647.65,649.9,650.2,633.6, 641.00,642.5,640.85,141115,904.33,9319, 66198, 46.91
2023-01-13,GESHIP, EQ,642.5,641.0,645.75,616.0,622.25,622.25,623.64,245257,1529.51,16593, 101975, 41.58
2023-01-16,GESHIP, EQ,622.25,617.5,638.5,617.5, 624.90,625.7,629.24,173689,1092.91,10659, 46853, 26.98
2023-01-17,GESHIP, EQ,625.7,628.65,637.6,618.0,632.4,635.05,630.34,187769,1183.59,8271, 83493, 44.47
2023-01-18,GESHIP, EQ,635.05,630.1,654.0,630.1,648.6,649.45,642.69,443429,2849.86,28617, 293574, 66.21
2023-01-19,GESHIP, EQ,649.45,650.0,656.95,642.5, 648.50,651.05,647.91,168706,1093.06,13335, 46721, 27.69
2023-01-20,GESHIP, EQ,651.05,654.35,654.55,629.0,631.0,633.1,638.41,181776,1160.48,9486, 51741, 28.46
2023-01-23,GESHIP, EQ,633.1,633.45,640.5,621.95,638.0,635.4,628.72,137360,863.62,9088, 50640, 36.87
2023-01-24,GESHIP, EQ,635.4,635.4,641.5,623.0,637.0,635.0,630.79,136035,858.1,9441, 30244, 22.23
2023-01-25,GESHIP, EQ,635.0,630.5,643.0,627.5, 635.00,632.6,631.27,163673,1033.22,9545, 96142, 58.74
2023-01-27,GESHIP, EQ,632.6,634.6,649.5,620.3, 623.55,626.95,628.55,120384,756.67,9611, 64965, 53.96
2023-01-30,GESHIP, EQ,626.95,623.85,629.95,611.0, 625.00,624.75,622.77,109270,680.5,11591, 56524, 51.73
2023-01-31,GESHIP, EQ,624.75,625.75,647.5,625.0,642.6,641.55,640.05,126528,809.85,11579, 72271, 57.12
2023-02-01,GESHIP, EQ,641.55,660.0,673.0,616.0, 632.55,629.7,652.23,876560,5717.16,41686, 314190, 35.84
2023-02-02,GESHIP, EQ,629.7,632.8,650.0,625.05, 640.00,638.9,640.15,192738,1233.82,18922, 77924, 40.43
2023-02-03,GESHIP, EQ,638.9,641.25,650.35,631.65, 641.00,643.6,641.2,115430,740.14,7397, 51709, 44.80
2023-02-06,GESHIP, EQ,643.6,644.95,648.5,604.7, 605.10,609.95,618.9,258606,1600.5,16765, 120163, 46.47
2023-02-07,GESHIP, EQ,609.95,609.95,628.6,609.95, 622.50,621.85,621.17,184649,1146.99,17078, 87107, 47.17
2023-02-08,GESHIP, EQ,621.85,622.4,643.8,609.1, 628.00,627.95,622.88,301409,1877.41,12463, 117331, 38.93
2023-02-09,GESHIP, EQ,627.95,625.0,638.25,614.0, 617.90,616.5,620.08,139909,867.55,7997, 62209, 44.46
2023-02-10,GESHIP, EQ,616.5,611.2,626.85,610.9, 619.75,619.6,619.87,114383,709.03,6638, 61860, 54.08
2023-02-13,GESHIP, EQ,619.6,604.4,613.55,560.2,568.8,569.15,576.82,774943,4469.99,35104, 345574, 44.59
2023-02-14,GESHIP, EQ,569.15,569.15,580.4,548.7,566.65,568.0,568.33,423397,2406.31,22050, 227849, 53.81
2023-02-15,GESHIP, EQ,568.0,571.0,576.85,557.75, 566.30,568.45,568.03,304445,1729.34,16833, 88531, 29.08
2023-02-16,GESHIP, EQ,568.45,565.85,578.0,559.25, 573.00,574.6,569.16,220675,1255.99,13680, 71617, 32.45
2023-02-17,GESHIP, EQ,574.6,570.15,591.0,569.55, 588.50,589.5,583.42,254341,1483.87,12066, 71348, 28.05
2023-02-20,GESHIP, EQ,589.5,589.0,602.0,577.5, 602.00,599.5,590.79,270963,1600.83,12396, 92625, 34.18
2023-02-21,GESHIP, EQ,599.5,602.5,602.7,582.1, 589.90,591.85,593.73,122902,729.71,11237, 43676, 35.54
2023-02-22,GESHIP, EQ,591.85,586.5,588.45,565.0, 571.80,569.55,572.71,255253,1461.86,16626, 80307, 31.46
2023-02-23,GESHIP, EQ,569.55,572.4,577.55,562.0,566.0,568.5,569.96,104903,597.91,7768, 45790, 43.65
2023-02-24,GESHIP, EQ,568.5,567.0,579.5,563.7, 573.70,573.8,571.39,107425,613.82,9382, 54403, 50.64
2023-02-27,GESHIP, EQ,573.8,573.5,578.35,550.0, 554.00,555.85,557.68,223187,1244.66,19202, 96956, 43.44
2023-02-28,GESHIP, EQ,555.85,550.8,568.9,541.6, 549.00,551.2,553.16,224207,1240.22,15544, 121632, 54.25
2023-03-01,GESHIP, EQ,551.2,545.3,577.0,532.25, 575.00,567.3,550.59,552621,3042.7,33210, 239565, 43.35
2023-03-02,GESHIP, EQ,567.3,565.0,612.0,559.85, 593.00,593.1,598.05,1247577,7461.11,48823, 248778, 19.94
2023-03-03,GESHIP, EQ,593.1,590.1,592.75,578.05, 580.05,579.8,583.45,399546,2331.17,13380, 169960, 42.54
2023-03-06,GESHIP, EQ,579.8,588.0,588.0,577.5, 581.00,582.45,581.54,148273,862.27,6994, 58119, 39.20
2023-03-08,GESHIP, EQ,582.45,577.2,610.0,575.15, 608.50,606.95,603.79,473219,2857.26,24695, 158217, 33.43
2023-03-09,GESHIP, EQ,606.95,610.0,626.75,605.3, 620.25,619.25,618.5,334785,2070.65,16003, 119160, 35.59
2023-03-10,GESHIP, EQ,619.25,613.05,615.0,595.1, 604.85,606.4,603.96,375548,2268.16,16841, 142242, 37.88
2023-03-13,GESHIP, EQ,606.4,599.1,599.1,575.3, 578.70,579.95,585.37,272669,1596.13,20033, 148982, 54.64
2023-03-14,GESHIP, EQ,579.95,571.05,593.0,566.0, 585.00,584.55,582.78,301228,1755.48,16942, 130718, 43.40
2023-03-15,GESHIP, EQ,584.55,587.5,597.0,583.7, 587.50,589.65,589.56,136966,807.49,7199, 73812, 53.89
2023-03-16,GESHIP, EQ,589.65,589.9,602.8,569.15, 591.10,591.15,588.34,504483,2968.07,21965, 320419, 63.51
2023-03-17,GESHIP, EQ,591.15,591.15,601.95,588.6, 595.00,594.9,595.42,220902,1315.29,13315, 163975, 74.23
2023-03-20,GESHIP, EQ,594.9,590.0,602.5,579.15,589.55,589.1,590.54,434239,2564.37,18273, 302897, 69.75
2023-03-21,GESHIP, EQ,589.1,591.65,609.6,590.0, 605.00,604.7,604.14,275816,1666.3,14735, 118476, 42.95
2023-03-22,GESHIP, EQ,604.7,609.5,617.05,603.2, 604.50,606.9,608.32,201644,1226.65,17132, 122383, 60.69
2023-03-23,GESHIP, EQ,606.9,601.55,609.55,599.15, 600.05,601.2,603.1,166808,1006.02,17114, 90285, 54.13
2023-03-24,GESHIP, EQ,601.2,604.2,631.0,601.25, 623.20,624.45,624.2,851282,5313.68,33102, 219113, 25.74
2023-03-27,GESHIP, EQ,624.45,624.45,640.15,624.45, 635.00,634.2,635.24,411563,2614.41,19215, 172327, 41.87
2023-03-28,GESHIP, EQ,634.2,635.0,644.0,610.45, 637.00,635.75,622.84,338129,2106.02,19088, 158620, 46.91
2023-03-29,GESHIP, EQ,635.75,630.0,655.0,628.75, 650.00,650.25,647.49,323475,2094.47,16370, 169889, 52.52
2023-03-31,GESHIP, EQ,650.25,650.6,659.9,635.9, 643.00,644.55,650.35,375898,2444.67,10630, 281112, 74.78
2023-04-03,GESHIP, EQ,644.55,651.9,654.9,644.3, 646.15,645.8,648.39,105700,685.35,7688, 49634, 46.96
2023-04-05,GESHIP, EQ,645.8,637.0,648.25,623.65, 636.50,638.2,635.17,298276,1894.55,17724, 146323, 49.06
2023-04-06,GESHIP, EQ,638.2,639.8,652.5,638.0, 645.05,646.55,647.79,366429,2373.7,16051, 280410, 76.53
2023-04-10,GESHIP, EQ,646.55,652.0,652.9,640.2, 645.00,644.7,645.76,133538,862.34,9076, 88442, 66.23
2023-04-11,GESHIP, EQ,644.7,647.85,666.0,640.15, 653.00,649.4,650.52,673142,4378.93,18555, 504164, 74.90
2023-04-12,GESHIP, EQ,649.4,652.0,658.05,643.0, 643.10,647.1,649.02,564239,3662.02,17919, 437532, 77.54
2023-04-13,GESHIP, EQ,647.1,645.05,655.9,642.5, 647.50,647.95,648.51,251924,1633.75,10146, 176801, 70.18
2023-04-17,GESHIP, EQ,647.95,646.75,659.9,642.35, 643.05,645.65,648.14,171688,1112.79,7853, 90427, 52.67
2023-04-18,GESHIP, EQ,645.65,649.85,661.0,625.55, 655.00,657.1,645.81,305086,1970.27,14305, 149677, 49.06
2023-04-19,GESHIP, EQ,657.1,657.45,668.0,640.0, 642.00,641.3,651.43,247711,1613.67,14005, 118687, 47.91
2023-04-20,GESHIP, EQ,641.3,645.0,653.15,643.05, 648.20,647.7,648.16,147401,955.39,10901, 86021, 58.36
2023-04-21,GESHIP, EQ,647.7,649.85,649.85,632.65, 637.50,639.45,640.53,77413,495.85,4229, 36673, 47.37
2023-04-24,GESHIP, EQ,639.45,640.0,648.8,635.1, 645.75,645.6,643.68,90148,580.27,8829, 41932, 46.51
2023-04-25,GESHIP, EQ,645.6,649.0,650.5,630.0,637.95,636.5,638.13,111536,711.74,6593, 46269, 41.48
2023-04-26,GESHIP, EQ,636.5,639.9,652.0,633.75, 651.00,649.1,644.0,142335,916.64,9556, 69316, 48.70
2023-04-27,GESHIP, EQ,649.1,649.1,679.3,647.6, 664.95,664.75,668.0,453390,3028.64,25600, 182490, 40.25
2023-04-28,GESHIP, EQ,664.75,664.0,679.5,660.3, 677.10,677.6,672.84,205998,1386.04,10967, 83253, 40.41
2023-05-02,GESHIP, EQ,677.6,690.0,690.05,665.55, 670.95,668.4,676.26,182371,1233.3,9502, 93089, 51.04
2023-05-03,GESHIP, EQ,668.4,670.95,677.65,665.55,665.55,669.25,670.58,143031,959.14,6639, 66311, 46.36
2023-05-04,GESHIP, EQ,669.25,670.0,677.95,660.95, 670.50,672.65,669.22,133485,893.31,7349, 56068, 42.00
2023-05-05,GESHIP, EQ,672.65,666.5,668.45,645.55, 656.00,655.6,655.71,249092,1633.32,9894, 109742, 44.06
2023-05-08,GESHIP, EQ,655.6,658.9,671.95,655.25, 664.00,667.7,665.84,135890,904.8,8694, 60624, 44.61
2023-05-09,GESHIP, EQ,667.7,669.4,672.8,650.0,652.95,651.95,657.93,99257,653.04,5850, 57031, 57.46
2023-05-10,GESHIP, EQ,651.95,656.0,684.0,655.0,680.0,680.45,673.28,305186,2054.76,14799, 136775, 44.82
2023-05-11,GESHIP, EQ,680.45,680.45,687.0,672.85, 680.05,680.3,680.3,139285,947.56,7740, 54688, 39.26
2023-05-12,GESHIP, EQ,680.3,681.8,682.0,665.55, 679.50,676.75,674.04,151328,1020.01,12615, 82621, 54.60
2023-05-15,GESHIP, EQ,676.75,703.2,732.8,690.0, 723.00,721.5,723.61,2407869,17423.63,55860, 541896, 22.51
2023-05-16,GESHIP, EQ,721.5,725.0,741.35,705.0,711.5,708.35,722.6,463140,3346.63,19336, 165386, 35.71
2023-05-17,GESHIP, EQ,708.35,708.0,711.2,702.5, 705.00,705.25,705.75,155607,1098.2,6548, 80294, 51.60
2023-05-18,GESHIP, EQ,705.25,709.0,714.0,681.55, 681.55,682.9,692.63,256131,1774.05,12436, 132032, 51.55
2023-05-19,GESHIP, EQ,682.9,684.95,692.0,676.1,682.7,681.0,681.77,128239,874.3,7368, 51547, 40.20
2023-05-22,GESHIP, EQ,681.0,682.0,684.25,661.55,670.0,669.7,669.73,206235,1381.23,13543, 119246, 57.82
2023-05-23,GESHIP, EQ,669.7,675.55,681.75,662.0, 679.40,678.65,672.08,273174,1835.93,15315, 122569, 44.87
2023-05-24,GESHIP, EQ,678.65,678.65,686.6,665.5, 672.65,670.75,673.31,267383,1800.31,14803, 168369, 62.97
2023-05-25,GESHIP, EQ,670.75,673.0,683.0,660.0, 675.00,676.5,674.37,206983,1395.83,17200, 104973, 50.72
2023-05-26,GESHIP, EQ,676.5,676.5,679.6,665.0,670.4,673.1,672.99,218986,1473.75,17229, 97228, 44.40
2023-05-29,GESHIP, EQ,673.1,676.45,686.8,666.95, 685.10,685.0,678.11,189993,1288.37,14839, 96797, 50.95
2023-05-30,GESHIP, EQ,685.0,688.0,693.0,678.9, 683.00,687.05,688.31,183276,1261.5,12026, 92882, 50.68
2023-05-31,GESHIP, EQ,687.05,685.95,695.2,676.0, 686.95,687.15,686.77,255466,1754.46,12049, 156007, 61.07
2023-06-01,GESHIP, EQ,687.15,690.0,694.5,677.3, 690.50,683.5,685.31,101470,695.39,6197, 50700, 49.97
2023-06-02,GESHIP, EQ,683.5,690.45,695.8,682.85, 685.50,686.8,686.98,68229,468.72,4077, 35100, 51.44
2023-06-05,GESHIP, EQ,686.8,690.0,719.9,677.5, 708.45,708.0,703.29,792767,5575.43,27148, 267774, 33.78
2023-06-06,GESHIP, EQ,708.0,711.0,724.05,702.5,711.05,710.95,713.79,521891,3725.2,24262, 227332, 43.56
2023-06-07,GESHIP, EQ,710.95,711.45,719.0,704.75, 713.00,713.5,712.7,214650,1529.82,15567, 118493, 55.20
2023-06-08,GESHIP, EQ,713.5,716.95,724.5,705.6, 716.50,715.7,713.55,231617,1652.7,15787, 114522, 49.44
2023-06-09,GESHIP, EQ,715.7,717.0,733.0,710.5, 722.90,721.15,724.02,291060,2107.34,14559, 131279, 45.10
2023-06-12,GESHIP, EQ,721.15,732.0,734.7,716.5, 722.50,724.55,726.51,297444,2160.96,14330, 110121, 37.02
