DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,GILLETTE, EQ,5033.2,5053.0,5053.0,4980.0, 5000.10,5005.85,5005.98,988,49.46,531, 534, 54.05
2023-01-03,GILLETTE, EQ,5005.85,5006.0,5050.0,4999.9, 5019.95,5015.15,5021.92,1001,50.27,350, 630, 62.94
2023-01-04,GILLETTE, EQ,5015.15,5015.15,5038.6,4995.1, 5001.00,5029.2,5015.68,1091,54.72,328, 783, 71.77
2023-01-05,GILLETTE, EQ,5029.2,5006.2,5056.0,5000.0,5019.95,5018.95,5019.83,1559,78.26,445, 1038, 66.58
2023-01-06,GILLETTE, EQ,5018.95,5007.0,5039.9,4983.0,4990.0,4996.55,5000.25,2936,146.81,539, 2231, 75.99
2023-01-09,GILLETTE, EQ,4996.55,4990.0,5015.0,4976.0,4981.9,4978.8,4989.01,920,45.9,338, 622, 67.61
2023-01-10,GILLETTE, EQ,4978.8,4981.35,5025.05,4960.05,4965.0,4966.6,4981.74,1578,78.61,433, 1251, 79.28
2023-01-11,GILLETTE, EQ,4966.6,4955.05,4989.0,4940.0, 4989.00,4977.35,4960.59,1171,58.09,451, 807, 68.92
2023-01-12,GILLETTE, EQ,4977.35,4960.0,4994.95,4905.95, 4930.00,4928.5,4942.42,1604,79.28,536, 1243, 77.49
2023-01-13,GILLETTE, EQ,4928.5,4922.35,5007.0,4922.35,5000.0,4983.85,4968.84,2178,108.22,665, 1415, 64.97
2023-01-16,GILLETTE, EQ,4983.85,4958.0,5021.95,4958.0, 4966.15,4990.2,4992.03,1762,87.96,610, 1252, 71.06
2023-01-17,GILLETTE, EQ,4990.2,4990.95,5003.75,4976.0,4984.0,4976.8,4981.77,560,27.9,213, 422, 75.36
2023-01-18,GILLETTE, EQ,4976.8,4976.85,5004.0,4955.0,4970.0,4960.65,4975.2,1309,65.13,466, 848, 64.78
2023-01-19,GILLETTE, EQ,4960.65,4960.0,4976.95,4935.1, 4943.00,4945.75,4949.16,1701,84.19,522, 1124, 66.08
2023-01-20,GILLETTE, EQ,4945.75,4986.9,4986.9,4926.75,4939.65,4934.85,4939.96,1536,75.88,474, 1090, 70.96
2023-01-23,GILLETTE, EQ,4934.85,4913.0,4945.45,4913.0,4932.0,4929.05,4928.02,516,25.43,265, 354, 68.60
2023-01-24,GILLETTE, EQ,4929.05,4945.35,4945.35,4918.0,4920.05,4935.65,4928.94,627,30.9,264, 434, 69.22
2023-01-25,GILLETTE, EQ,4935.65,4948.0,4950.0,4901.25, 4907.05,4914.25,4914.22,779,38.28,415, 393, 50.45
2023-01-27,GILLETTE, EQ,4914.25,4882.1,4919.95,4850.0, 4870.00,4869.95,4876.82,2165,105.58,966, 1561, 72.10
2023-01-30,GILLETTE, EQ,4869.95,4880.0,4916.9,4862.1, 4899.00,4893.05,4888.17,1204,58.85,519, 729, 60.55
2023-01-31,GILLETTE, EQ,4893.05,4917.0,4917.0,4870.0,4890.0,4890.35,4887.96,2535,123.91,1158, 1877, 74.04
2023-02-01,GILLETTE, EQ,4890.35,4900.0,4917.0,4855.35, 4877.00,4878.15,4884.23,2591,126.55,901, 1569, 60.56
2023-02-02,GILLETTE, EQ,4878.15,4980.0,4996.0,4844.05, 4987.70,4912.25,4892.71,4804,235.05,1440, 1531, 31.87
2023-02-03,GILLETTE, EQ,4912.25,4915.0,4967.95,4893.15, 4932.00,4927.3,4920.1,1172,57.66,666, 695, 59.30
2023-02-06,GILLETTE, EQ,4927.3,4927.3,4935.0,4907.85, 4916.10,4928.1,4925.47,1501,73.93,485, 1106, 73.68
2023-02-07,GILLETTE, EQ,4928.1,4948.0,4957.95,4893.2, 4904.00,4904.1,4907.21,2921,143.34,1081, 2234, 76.48
2023-02-08,GILLETTE, EQ,4904.1,4910.0,4950.0,4898.05, 4912.00,4916.9,4918.46,6906,339.67,1899, 5230, 75.73
2023-02-09,GILLETTE, EQ,4916.9,4912.0,4919.95,4891.0, 4892.00,4896.55,4902.29,1270,62.26,583, 914, 71.97
2023-02-10,GILLETTE, EQ,4896.55,4862.0,4973.0,4862.0, 4900.00,4906.4,4941.18,3626,179.17,1244, 2305, 63.57
2023-02-13,GILLETTE, EQ,4906.4,4900.0,4906.35,4819.0,4836.0,4834.2,4842.57,4019,194.62,1510, 2641, 65.71
2023-02-14,GILLETTE, EQ,4834.2,4850.9,4862.8,4813.0,4848.7,4827.15,4834.91,1639,79.24,704, 1207, 73.64
2023-02-15,GILLETTE, EQ,4827.15,4848.0,4848.0,4805.0, 4838.00,4822.75,4817.32,1776,85.56,773, 1219, 68.64
2023-02-16,GILLETTE, EQ,4822.75,4834.9,4869.7,4834.9, 4860.00,4853.75,4857.65,3075,149.37,829, 2270, 73.82
2023-02-17,GILLETTE, EQ,4853.75,4853.8,4863.3,4832.1, 4837.90,4841.9,4844.32,1185,57.41,497, 802, 67.68
2023-02-20,GILLETTE, EQ,4841.9,4835.0,4862.85,4805.0, 4824.95,4829.15,4832.01,3396,164.1,1223, 2356, 69.38
2023-02-21,GILLETTE, EQ,4829.15,4833.55,4850.95,4750.0, 4800.05,4777.7,4803.06,2692,129.3,915, 2074, 77.04
2023-02-22,GILLETTE, EQ,4777.7,4800.0,4829.8,4761.0, 4802.00,4799.9,4796.89,3767,180.7,1401, 2446, 64.93
2023-02-23,GILLETTE, EQ,4799.9,4804.7,4805.05,4771.0,4790.0,4776.6,4785.42,2076,99.35,819, 1549, 74.61
2023-02-24,GILLETTE, EQ,4776.6,4776.0,4820.0,4775.15, 4800.00,4799.8,4801.71,8448,405.65,2308, 6023, 71.29
2023-02-27,GILLETTE, EQ,4799.8,4780.0,4796.2,4748.0, 4777.00,4757.65,4759.17,1892,90.04,903, 1114, 58.88
2023-02-28,GILLETTE, EQ,4757.65,4779.8,4787.8,4598.0, 4601.00,4664.65,4712.2,6987,329.24,2122, 4723, 67.60
2023-03-01,GILLETTE, EQ,4664.65,4674.0,4680.0,4646.7, 4655.00,4654.75,4660.22,3814,177.74,1357, 2708, 71.00
2023-03-02,GILLETTE, EQ,4654.75,4675.0,4706.0,4650.1, 4697.00,4694.6,4688.69,2098,98.37,957, 1398, 66.63
2023-03-03,GILLETTE, EQ,4694.6,4718.3,4734.8,4678.8, 4700.00,4705.2,4706.9,3291,154.9,914, 2376, 72.20
2023-03-06,GILLETTE, EQ,4705.2,4708.0,4730.0,4695.0, 4695.00,4704.45,4707.75,1857,87.42,597, 1237, 66.61
2023-03-08,GILLETTE, EQ,4704.45,4690.0,4732.45,4590.0, 4636.40,4634.5,4642.89,9217,427.94,2840, 4948, 53.68
2023-03-09,GILLETTE, EQ,4634.5,4645.0,4666.15,4620.15, 4623.00,4623.2,4635.5,2452,113.66,837, 1833, 74.76
2023-03-10,GILLETTE, EQ,4623.2,4601.0,4624.95,4590.0, 4595.00,4593.95,4597.76,3414,156.97,1251, 2673, 78.30
2023-03-13,GILLETTE, EQ,4593.95,4670.0,4670.0,4531.05, 4576.00,4551.0,4569.37,7070,323.05,2080, 4481, 63.38
2023-03-14,GILLETTE, EQ,4551.0,4581.95,4581.95,4451.05, 4478.00,4461.1,4477.12,7823,350.24,2388, 5822, 74.42
2023-03-15,GILLETTE, EQ,4461.1,4471.0,4497.25,4423.0, 4444.00,4436.3,4445.74,5657,251.5,1721, 4152, 73.40
2023-03-16,GILLETTE, EQ,4436.3,4427.4,4427.8,4352.15, 4384.00,4382.65,4388.67,5026,220.57,1911, 3381, 67.27
