DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,GILT5YBEES, EQ,50.26,50.3,50.32,50.2, 50.26,50.24,50.24,385892,193.88,1172, 351819, 91.17
2023-01-03,GILT5YBEES, EQ,50.24,50.24,50.38,50.24, 50.29,50.33,50.32,126129,63.46,424, 82251, 65.21
2023-01-04,GILT5YBEES, EQ,50.33,50.39,50.39,50.29, 50.30,50.3,50.32,38404,19.33,245, 30579, 79.62
2023-01-05,GILT5YBEES, EQ,50.3,50.39,50.4,50.28,50.37,50.34,50.31,290508,146.17,979, 263811, 90.81
2023-01-06,GILT5YBEES, EQ,50.34,50.37,50.4,50.23,50.32,50.29,50.32,69386,34.92,330, 53055, 76.46
2023-01-09,GILT5YBEES, EQ,50.29,50.43,50.49,50.38,50.45,50.4,50.42,51301,25.86,239, 41354, 80.61
2023-01-10,GILT5YBEES, EQ,50.4,50.45,50.52,50.39,50.47,50.48,50.43,205953,103.86,854, 168068, 81.61
2023-01-11,GILT5YBEES, EQ,50.48,50.48,50.58,50.46, 50.51,50.52,50.5,68355,34.52,285, 57390, 83.96
2023-01-12,GILT5YBEES, EQ,50.52,50.6,50.62,50.51, 50.55,50.57,50.57,40730,20.6,215, 23806, 58.45
2023-01-13,GILT5YBEES, EQ,50.57,50.66,50.69,50.58,50.58,50.59,50.62,47158,23.87,215, 35763, 75.84
2023-01-16,GILT5YBEES, EQ,50.59,50.64,50.66,50.54, 50.60,50.56,50.58,179322,90.7,605, 161924, 90.30
2023-01-17,GILT5YBEES, EQ,50.56,50.6,50.6,50.5,50.55,50.54,50.54,60274,30.46,270, 41254, 68.44
2023-01-18,GILT5YBEES, EQ,50.54,50.57,50.65,50.55,50.59,50.58,50.59,25028,12.66,131, 18700, 74.72
2023-01-19,GILT5YBEES, EQ,50.58,50.69,50.8,50.66, 50.66,50.69,50.72,26053,13.21,126, 19960, 76.61
2023-01-20,GILT5YBEES, EQ,50.69,50.66,50.71,50.59,50.66,50.63,50.65,113918,57.69,388, 80476, 70.64
2023-01-23,GILT5YBEES, EQ,50.63,50.67,50.72,50.58,50.67,50.7,50.64,98494,49.87,331, 65016, 66.01
2023-01-24,GILT5YBEES, EQ,50.7,50.7,50.74,50.63,50.65,50.7,50.7,82860,42.01,162, 67013, 80.87
2023-01-25,GILT5YBEES, EQ,50.7,52.2,52.2,50.71, 50.81,50.8,50.76,64885,32.93,329, 34343, 52.93
2023-01-27,GILT5YBEES, EQ,50.8,50.68,50.79,50.61, 50.74,50.72,50.73,71372,36.21,276, 56550, 79.23
2023-01-30,GILT5YBEES, EQ,50.72,50.67,50.73,50.55, 50.55,50.62,50.67,38867,19.69,207, 22102, 56.87
2023-01-31,GILT5YBEES, EQ,50.62,50.62,50.69,50.57,50.63,50.62,50.62,27213,13.77,184, 17344, 63.73
2023-02-01,GILT5YBEES, EQ,50.62,50.7,50.93,50.54, 50.78,50.75,50.72,48513,24.61,426, 29552, 60.92
2023-02-02,GILT5YBEES, EQ,50.75,50.91,50.99,50.74, 50.77,50.81,50.87,40331,20.52,262, 31488, 78.07
2023-02-03,GILT5YBEES, EQ,50.81,52.3,52.3,50.79, 50.87,50.9,50.85,50060,25.46,250, 31834, 63.59
2023-02-06,GILT5YBEES, EQ,50.9,50.82,50.94,50.79, 50.88,50.89,50.88,67179,34.18,477, 49079, 73.06
2023-02-07,GILT5YBEES, EQ,50.89,52.4,52.4,50.79, 50.95,50.91,50.91,133898,68.16,262, 120610, 90.08
2023-02-08,GILT5YBEES, EQ,50.91,50.86,50.9,50.73, 50.79,50.8,50.82,47166,23.97,206, 38309, 81.22
2023-02-09,GILT5YBEES, EQ,50.8,50.74,50.79,50.72, 50.74,50.76,50.76,71782,36.44,136, 50995, 71.04
2023-02-10,GILT5YBEES, EQ,50.76,50.64,50.77,50.64, 50.73,50.72,50.73,51887,26.32,293, 47257, 91.08
2023-02-13,GILT5YBEES, EQ,50.72,52.25,52.25,50.6,50.67,50.68,50.71,64639,32.78,210, 51932, 80.34
2023-02-14,GILT5YBEES, EQ,50.68,49.15,50.69,49.15,50.69,50.65,50.64,48250,24.43,131, 45384, 94.06
2023-02-15,GILT5YBEES, EQ,50.65,50.63,50.72,50.6, 50.66,50.61,50.64,33969,17.2,220, 21034, 61.92
2023-02-16,GILT5YBEES, EQ,50.61,52.2,52.2,50.68, 50.77,50.74,50.73,68873,34.94,270, 53310, 77.40
2023-02-17,GILT5YBEES, EQ,50.74,50.68,50.73,50.66, 50.72,50.71,50.71,83353,42.27,266, 80777, 96.91
2023-02-20,GILT5YBEES, EQ,50.71,50.66,50.8,50.66, 50.76,50.75,50.76,197815,100.42,618, 189375, 95.73
2023-02-21,GILT5YBEES, EQ,50.75,50.71,50.77,50.66, 50.73,50.72,50.73,202130,102.55,413, 196692, 97.31
2023-02-22,GILT5YBEES, EQ,50.72,50.67,50.7,50.58, 50.63,50.66,50.67,218500,110.72,444, 188930, 86.47
