DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,GINNIFILA, EQ,32.75,33.35,33.35,32.55, 32.65,32.75,32.95,41818,13.78,329, 26759, 63.99
2023-01-03,GINNIFILA, EQ,32.75,33.35,34.6,32.6, 33.80,33.8,33.77,124760,42.13,772, 63470, 50.87
2023-01-04,GINNIFILA, EQ,33.8,34.35,34.35,32.85, 32.85,33.1,33.14,25642,8.5,306, 17976, 70.10
2023-01-05,GINNIFILA, EQ,33.1,32.6,33.55,32.6,32.85,32.9,32.87,19268,6.33,174, 13121, 68.10
2023-01-06,GINNIFILA, EQ,32.9,32.3,32.9,32.3,32.35,32.55,32.48,57921,18.81,417, 17404, 30.05
2023-01-09,GINNIFILA, EQ,32.55,33.0,33.0,32.15,32.35,32.45,32.5,30370,9.87,247, 20822, 68.56
2023-01-10,GINNIFILA, EQ,32.45,32.85,33.35,32.3,32.65,32.75,32.83,82563,27.11,397, 58460, 70.81
2023-01-11,GINNIFILA, EQ,32.75,33.0,33.15,32.35, 33.05,32.5,32.66,44753,14.62,363, 23867, 53.33
2023-01-12,GINNIFILA, EQ,32.5,32.9,33.4,32.3, 32.30,32.45,32.87,48241,15.86,517, 15444, 32.01
2023-01-13,GINNIFILA, EQ,32.45,32.45,32.7,32.4,32.7,32.45,32.55,15233,4.96,125, 10963, 71.97
2023-01-16,GINNIFILA, EQ,32.45,33.0,33.45,32.6, 32.65,32.8,32.99,30136,9.94,262, 12832, 42.58
2023-01-17,GINNIFILA, EQ,32.8,33.4,33.4,32.35,32.45,32.45,32.51,25487,8.29,163, 18952, 74.36
2023-01-18,GINNIFILA, EQ,32.45,33.05,35.7,32.15,35.45,34.9,34.23,182946,62.62,1054, 137474, 75.14
2023-01-19,GINNIFILA, EQ,34.9,37.0,37.85,34.75, 35.05,35.0,36.18,649549,234.99,4650, 242360, 37.31
2023-01-20,GINNIFILA, EQ,35.0,35.45,35.6,34.5,34.9,34.7,35.05,64666,22.67,505, 40638, 62.84
2023-01-23,GINNIFILA, EQ,34.7,34.95,34.95,33.3,33.3,33.35,33.85,37284,12.62,465, 22491, 60.32
2023-01-24,GINNIFILA, EQ,33.35,33.65,33.95,33.0,33.85,33.35,33.27,28540,9.49,323, 19753, 69.21
2023-01-25,GINNIFILA, EQ,33.35,32.65,33.8,32.3, 32.35,32.5,32.63,24870,8.11,299, 15137, 60.86
2023-01-27,GINNIFILA, EQ,32.5,32.6,32.6,30.85, 32.30,31.7,31.62,39487,12.48,468, 29919, 75.77
2023-01-30,GINNIFILA, EQ,31.7,31.3,32.25,31.2, 31.45,31.65,31.62,24144,7.64,251, 17370, 71.94
2023-01-31,GINNIFILA, EQ,31.65,31.9,32.0,31.3,31.8,31.9,31.69,40247,12.75,310, 31667, 78.68
2023-02-01,GINNIFILA, EQ,31.9,32.0,32.3,30.6, 31.10,30.95,31.45,56801,17.86,407, 36974, 65.09
2023-02-02,GINNIFILA, EQ,30.95,31.45,31.65,30.5, 30.75,31.05,31.04,53233,16.52,415, 36818, 69.16
2023-02-03,GINNIFILA, EQ,31.05,31.1,31.6,30.25, 30.35,30.4,30.42,57598,17.52,299, 50231, 87.21
2023-02-06,GINNIFILA, EQ,30.4,30.0,30.55,29.3, 30.20,30.05,30.01,48692,14.61,493, 28618, 58.77
2023-02-07,GINNIFILA, EQ,30.05,30.2,30.65,29.1, 29.20,29.25,29.48,63851,18.82,582, 40981, 64.18
2023-02-08,GINNIFILA, EQ,29.25,29.2,29.75,28.9, 28.90,29.0,29.07,45215,13.14,477, 29033, 64.21
2023-02-09,GINNIFILA, EQ,29.0,28.9,29.15,28.7, 28.80,28.85,28.9,21221,6.13,252, 14511, 68.38
2023-02-10,GINNIFILA, EQ,28.85,28.8,29.4,28.5, 29.40,29.1,28.99,36098,10.47,451, 22783, 63.11
2023-02-13,GINNIFILA, EQ,29.1,29.4,29.6,28.6,28.9,28.95,28.95,30637,8.87,355, 25485, 83.18
2023-02-14,GINNIFILA, EQ,28.95,29.0,29.6,28.5,28.9,28.7,28.91,20435,5.91,271, 12760, 62.44
2023-02-15,GINNIFILA, EQ,28.7,27.0,28.0,25.1, 25.80,25.95,26.27,182512,47.94,1711, 105195, 57.64
2023-02-16,GINNIFILA, EQ,25.95,25.95,26.85,25.8, 26.10,26.3,26.33,55892,14.72,689, 33790, 60.46
2023-02-17,GINNIFILA, EQ,26.3,26.1,26.7,25.55, 25.60,25.65,25.92,65355,16.94,878, 35879, 54.90
2023-02-20,GINNIFILA, EQ,25.65,26.2,26.3,25.2, 25.20,25.6,25.72,82254,21.15,654, 59213, 71.99
2023-02-21,GINNIFILA, EQ,25.6,25.4,25.8,24.9, 24.90,25.05,25.29,35268,8.92,471, 19741, 55.97
2023-02-22,GINNIFILA, EQ,25.05,24.9,25.0,22.5, 23.00,22.9,23.59,140159,33.06,1031, 105962, 75.60
2023-02-23,GINNIFILA, EQ,22.9,22.55,23.1,21.1,22.0,21.55,22.15,81730,18.11,890, 53950, 66.01
2023-02-24,GINNIFILA, EQ,21.55,21.95,21.95,20.05, 20.65,20.45,20.75,197679,41.03,1105, 151297, 76.54
2023-02-27,GINNIFILA, EQ,20.45,20.85,22.8,20.15, 21.80,21.9,22.06,167343,36.91,1432, 81809, 48.89
2023-02-28,GINNIFILA, EQ,21.9,22.35,23.95,21.55, 22.55,22.55,22.89,157301,36.0,1467, 70642, 44.91
2023-03-01,GINNIFILA, EQ,22.55,22.5,23.0,21.9, 22.80,22.85,22.58,61801,13.95,597, 40609, 65.71
2023-03-02,GINNIFILA, EQ,22.85,22.85,23.3,21.9, 22.25,22.25,22.49,67596,15.21,530, 45859, 67.84
2023-03-03,GINNIFILA, EQ,22.25,22.5,22.9,22.2, 22.50,22.55,22.48,50238,11.3,453, 36576, 72.81
2023-03-06,GINNIFILA, EQ,22.55,23.0,23.1,22.1, 22.60,22.65,22.73,52984,12.04,501, 39444, 74.45
2023-03-08,GINNIFILA, EQ,22.65,22.65,23.0,22.2, 22.95,22.8,22.74,39716,9.03,371, 30482, 76.75
2023-03-09,GINNIFILA, EQ,22.8,23.3,23.55,22.7, 23.00,22.95,23.21,53897,12.51,287, 44271, 82.14
2023-03-10,GINNIFILA, EQ,22.95,22.45,23.65,22.25, 23.35,23.0,22.75,43832,9.97,259, 35068, 80.01
2023-03-13,GINNIFILA, EQ,23.0,23.5,23.65,22.3, 22.50,22.4,22.64,61021,13.81,369, 45758, 74.99
2023-03-14,GINNIFILA, EQ,22.4,22.5,22.7,21.85, 22.15,22.2,22.28,23838,5.31,246, 19785, 83.00
2023-03-15,GINNIFILA, EQ,22.2,22.7,22.7,22.0, 22.40,22.35,22.41,28248,6.33,288, 13076, 46.29
2023-03-16,GINNIFILA, EQ,22.35,22.35,22.5,21.8, 21.80,21.95,22.04,38681,8.52,252, 27770, 71.79
2023-03-17,GINNIFILA, EQ,21.95,22.45,22.45,20.35, 21.35,21.45,21.32,57392,12.24,844, 36011, 62.75
2023-03-20,GINNIFILA, EQ,21.45,21.3,21.7,20.6,21.05,20.95,20.86,44534,9.29,669, 35766, 80.31
2023-03-21,GINNIFILA, EQ,20.95,21.45,21.5,20.75, 21.00,20.85,20.93,41159,8.62,491, 28375, 68.94
2023-03-22,GINNIFILA, EQ,20.85,21.0,21.35,20.1, 20.60,20.55,20.72,64552,13.37,584, 50843, 78.76
2023-03-23,GINNIFILA, EQ,20.55,20.65,21.55,20.05, 20.35,20.35,20.54,53162,10.92,302, 34325, 64.57
2023-03-24,GINNIFILA, EQ,20.35,20.15,20.85,19.6, 19.85,19.8,19.96,81269,16.22,405, 60885, 74.92
2023-03-27,GINNIFILA, EQ,19.8,20.0,20.0,17.7, 18.20,18.3,18.81,130218,24.5,769, 107919, 82.88
2023-03-28,GINNIFILA, EQ,18.3,18.5,18.7,17.5, 17.50,17.7,17.76,127697,22.68,605, 108005, 84.58
2023-03-29,GINNIFILA, EQ,17.7,17.7,18.85,17.7, 17.90,17.95,18.31,96602,17.69,702, 68808, 71.23
2023-03-31,GINNIFILA, EQ,17.95,18.35,18.8,16.05, 17.15,16.9,17.46,210624,36.77,1185, 129408, 61.44
