DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,GNFC, EQ,557.0,559.65,567.8,552.7, 562.20,562.75,561.41,822232,4616.08,20540, 187386, 22.79
2023-01-03,GNFC, EQ,562.75,564.95,570.2,557.0, 569.10,567.3,564.36,749974,4232.57,16013, 229137, 30.55
2023-01-04,GNFC, EQ,567.3,569.2,586.55,568.8, 577.00,580.5,578.89,3812743,22071.41,66545, 623255, 16.35
2023-01-05,GNFC, EQ,580.5,581.95,583.45,565.6,571.25,572.1,574.06,1548956,8892.01,30031, 454336, 29.33
2023-01-06,GNFC, EQ,572.1,573.25,590.35,570.0,588.1,587.6,582.92,2318389,13514.4,39584, 567944, 24.50
2023-01-09,GNFC, EQ,587.6,590.0,596.7,576.75,577.5,579.75,586.96,1899081,11146.82,31820, 359790, 18.95
2023-01-10,GNFC, EQ,579.75,576.95,586.4,570.0,581.45,575.95,578.69,1265991,7326.11,19762, 384785, 30.39
2023-01-11,GNFC, EQ,575.95,579.0,585.75,577.0, 579.00,581.25,581.78,652550,3796.43,11645, 146656, 22.47
2023-01-12,GNFC, EQ,581.25,581.0,584.7,571.1, 575.80,577.65,577.28,558927,3226.56,14362, 145619, 26.05
2023-01-13,GNFC, EQ,577.65,575.85,579.8,571.5,575.0,573.85,575.06,406451,2337.34,9575, 115437, 28.40
2023-01-16,GNFC, EQ,573.85,575.0,578.85,565.0, 566.50,567.2,570.55,451486,2575.97,8843, 155709, 34.49
2023-01-17,GNFC, EQ,567.2,564.95,574.9,559.25,574.2,573.15,568.13,572424,3252.1,13885, 187285, 32.72
2023-01-18,GNFC, EQ,573.15,570.55,576.65,564.0,565.8,566.85,570.94,366902,2094.8,9501, 136109, 37.10
2023-01-19,GNFC, EQ,566.85,562.95,568.0,557.0, 564.25,561.95,562.97,567120,3192.72,10694, 221941, 39.13
2023-01-20,GNFC, EQ,561.95,562.0,566.25,558.2,565.0,563.5,562.67,550495,3097.44,13072, 170399, 30.95
2023-01-23,GNFC, EQ,563.5,565.05,580.6,565.05,579.0,579.2,575.86,1365267,7861.99,26207, 402167, 29.46
2023-01-24,GNFC, EQ,579.2,582.0,582.75,572.1,573.9,574.35,578.3,430614,2490.23,12291, 97989, 22.76
2023-01-25,GNFC, EQ,574.35,574.45,575.5,547.75, 554.00,550.65,558.44,791042,4417.53,18714, 314949, 39.81
2023-01-27,GNFC, EQ,550.65,553.45,553.95,516.8, 528.55,527.6,530.03,1073885,5691.93,30479, 330830, 30.81
2023-01-30,GNFC, EQ,527.6,530.5,545.4,524.0, 528.75,527.65,533.56,733895,3915.75,25164, 211129, 28.77
2023-01-31,GNFC, EQ,527.65,528.55,553.4,526.0,550.05,550.4,543.92,1042353,5669.58,25161, 436684, 41.89
2023-02-01,GNFC, EQ,550.4,556.0,564.55,525.45, 534.00,536.0,551.08,1507822,8309.31,37033, 357525, 23.71
2023-02-02,GNFC, EQ,536.0,534.0,537.05,521.65, 525.00,524.05,528.46,676523,3575.17,29759, 249351, 36.86
2023-02-03,GNFC, EQ,524.05,526.1,529.9,499.4, 519.15,518.3,512.39,1095516,5613.33,27723, 308957, 28.20
2023-02-06,GNFC, EQ,518.3,517.95,536.1,514.0, 533.55,531.35,530.82,718478,3813.84,22431, 158805, 22.10
2023-02-07,GNFC, EQ,531.35,534.9,534.9,515.3, 521.00,520.15,521.23,758512,3953.57,19988, 237209, 31.27
2023-02-08,GNFC, EQ,520.15,518.0,542.15,511.45, 540.50,539.4,528.89,2022995,10699.35,53543, 416483, 20.59
2023-02-09,GNFC, EQ,539.4,542.0,542.25,528.4, 532.05,531.75,534.16,673851,3599.46,15439, 253594, 37.63
2023-02-10,GNFC, EQ,531.75,530.75,538.7,526.1, 537.00,536.2,534.79,404041,2160.79,12655, 131598, 32.57
2023-02-13,GNFC, EQ,536.2,536.2,538.3,523.75,528.2,528.5,529.77,474953,2516.16,20049, 152628, 32.14
2023-02-14,GNFC, EQ,528.5,528.0,534.0,520.7,528.55,529.45,528.2,498768,2634.47,15277, 96954, 19.44
2023-02-15,GNFC, EQ,529.45,529.0,538.0,527.5, 535.30,535.85,534.06,419138,2238.43,11262, 128810, 30.73
2023-02-16,GNFC, EQ,535.85,535.9,552.85,535.9, 550.00,550.15,546.34,957132,5229.17,21025, 336990, 35.21
2023-02-17,GNFC, EQ,550.15,550.0,550.05,540.65, 541.40,542.25,545.08,397684,2167.69,11846, 115241, 28.98
2023-02-20,GNFC, EQ,542.25,543.95,563.75,539.7, 553.05,554.0,556.23,1676103,9322.99,35992, 467044, 27.86
2023-02-21,GNFC, EQ,554.0,554.0,561.6,547.0, 547.70,548.25,553.59,556161,3078.88,17550, 160130, 28.79
2023-02-22,GNFC, EQ,548.25,547.45,547.45,532.0, 532.55,533.9,538.46,641400,3453.7,34921, 246803, 38.48
2023-02-23,GNFC, EQ,533.9,535.7,536.95,523.4,525.05,524.5,529.16,690566,3654.23,17372, 252615, 36.58
2023-02-24,GNFC, EQ,524.5,527.15,554.95,523.6, 554.00,551.7,544.16,2375191,12924.76,53592, 619997, 26.10
2023-02-27,GNFC, EQ,551.7,558.0,559.95,525.1, 530.20,530.55,537.34,2312738,12427.2,45566, 466279, 20.16
2023-02-28,GNFC, EQ,530.55,533.25,534.0,521.7, 526.70,525.7,526.49,875221,4607.94,20645, 245167, 28.01
2023-03-01,GNFC, EQ,525.7,526.95,546.6,521.05, 541.40,541.55,537.61,1047876,5633.51,27369, 262552, 25.06
2023-03-02,GNFC, EQ,541.55,541.0,550.8,537.2, 541.10,542.5,541.64,881185,4772.87,20686, 160022, 18.16
2023-03-03,GNFC, EQ,542.5,545.0,552.5,544.0, 545.95,546.6,548.53,634649,3481.27,14666, 187002, 29.47
2023-03-06,GNFC, EQ,546.6,551.85,561.95,548.0, 556.60,557.9,557.79,1412895,7881.04,33797, 302459, 21.41
2023-03-08,GNFC, EQ,557.9,554.95,574.2,548.9, 573.15,570.7,565.39,1234511,6979.86,28961, 363333, 29.43
2023-03-09,GNFC, EQ,570.7,573.9,578.0,555.0, 557.35,558.4,566.18,1530693,8666.48,29585, 370072, 24.18
2023-03-10,GNFC, EQ,558.4,550.95,552.0,542.0, 544.30,545.0,545.91,909017,4962.43,14373, 265760, 29.24
2023-03-13,GNFC, EQ,545.0,543.0,544.3,524.2, 533.55,530.95,534.27,972826,5197.56,18151, 262261, 26.96
2023-03-14,GNFC, EQ,530.95,532.0,537.45,525.0, 533.90,533.4,530.56,682083,3618.83,13845, 206037, 30.21
2023-03-15,GNFC, EQ,533.4,539.0,540.0,525.6, 529.30,528.45,531.96,456484,2428.32,9619, 163200, 35.75
2023-03-16,GNFC, EQ,528.45,529.0,531.85,513.1, 523.60,523.35,522.04,734246,3833.06,15454, 202149, 27.53
2023-03-17,GNFC, EQ,523.35,526.5,532.5,521.0, 525.10,527.1,526.93,579129,3051.6,12081, 200586, 34.64
2023-03-20,GNFC, EQ,527.1,525.1,527.55,515.5,524.0,523.55,521.97,598089,3121.85,13133, 171742, 28.72
2023-03-21,GNFC, EQ,523.55,526.2,539.85,522.7, 535.90,534.95,532.94,949358,5059.46,20386, 288509, 30.39
2023-03-22,GNFC, EQ,534.95,536.95,542.4,534.25, 535.50,535.75,537.27,454714,2443.02,15339, 135356, 29.77
2023-03-23,GNFC, EQ,535.75,532.2,538.25,525.0, 525.30,525.65,529.53,660784,3499.02,14569, 321294, 48.62
2023-03-24,GNFC, EQ,525.65,526.6,531.5,512.95, 514.00,514.7,521.73,588269,3069.16,16063, 200388, 34.06
2023-03-27,GNFC, EQ,514.7,517.3,517.3,497.55, 498.00,499.4,504.24,1015595,5121.03,27109, 321560, 31.66
2023-03-28,GNFC, EQ,499.4,499.45,501.0,484.45, 489.65,490.5,491.41,1018171,5003.41,26120, 262487, 25.78
2023-03-29,GNFC, EQ,490.5,490.9,496.0,486.6, 495.95,493.15,492.06,908870,4472.18,24291, 370008, 40.71
2023-03-31,GNFC, EQ,493.15,496.0,516.85,496.0, 509.50,509.35,509.99,1118444,5703.99,25201, 408685, 36.54
2023-04-03,GNFC, EQ,509.35,511.85,532.65,510.8, 527.95,527.1,524.82,1025416,5381.63,21502, 244881, 23.88
2023-04-05,GNFC, EQ,527.1,528.95,531.5,521.0, 529.00,528.8,526.44,429910,2263.21,11653, 104075, 24.21
2023-04-06,GNFC, EQ,528.8,528.05,531.95,524.2, 528.90,529.7,529.07,356455,1885.9,8706, 88809, 24.91
2023-04-10,GNFC, EQ,529.7,532.2,539.15,532.2, 535.45,534.6,536.12,541702,2904.16,15067, 141250, 26.08
2023-04-11,GNFC, EQ,534.6,537.1,538.45,530.55, 531.15,532.7,533.23,389331,2076.02,12375, 159290, 40.91
2023-04-12,GNFC, EQ,532.7,532.9,553.2,532.45, 546.00,546.35,545.0,1337282,7288.18,27471, 380693, 28.47
2023-04-13,GNFC, EQ,546.35,547.45,553.5,541.1, 547.00,545.9,547.53,755733,4137.84,16681, 182740, 24.18
2023-04-17,GNFC, EQ,545.9,543.5,553.4,541.55, 543.65,544.8,547.17,518114,2834.94,16483, 178285, 34.41
2023-04-18,GNFC, EQ,544.8,544.9,547.55,538.05, 542.30,542.65,542.69,527337,2861.83,14756, 189027, 35.85
2023-04-19,GNFC, EQ,542.65,544.8,544.95,531.9, 533.80,534.15,537.24,711133,3820.46,18790, 327525, 46.06
2023-04-20,GNFC, EQ,534.15,536.95,540.5,530.1, 533.00,531.7,535.3,815350,4364.55,16226, 175773, 21.56
2023-04-21,GNFC, EQ,531.7,532.7,534.3,522.0, 523.00,525.5,526.67,553343,2914.3,11844, 160127, 28.94
2023-04-24,GNFC, EQ,525.5,525.5,530.9,524.0, 526.70,526.45,527.9,576577,3043.74,9767, 81409, 14.12
2023-04-25,GNFC, EQ,526.45,527.0,534.15,522.7,530.85,531.0,529.43,517827,2741.51,12016, 137439, 26.54
2023-04-26,GNFC, EQ,531.0,552.2,595.0,542.7, 589.00,587.0,573.44,12865595,73776.75,158739, 1645053, 12.79
2023-04-27,GNFC, EQ,587.0,591.0,593.0,575.0, 577.00,578.4,581.35,3097086,18004.89,49006, 912211, 29.45
2023-04-28,GNFC, EQ,578.4,580.0,598.0,577.25, 587.00,588.5,588.89,2812486,16562.39,49298, 723293, 25.72
2023-05-02,GNFC, EQ,588.5,590.05,603.0,585.15, 597.40,597.15,595.9,1832733,10921.32,32428, 545505, 29.76
2023-05-03,GNFC, EQ,597.15,594.0,605.45,592.0,601.0,600.85,599.36,1480970,8876.3,36161, 370155, 24.99
2023-05-04,GNFC, EQ,600.85,602.7,604.0,589.8, 591.20,593.7,596.41,1744145,10402.17,34430, 614054, 35.21
2023-05-05,GNFC, EQ,593.7,592.0,602.0,589.1, 597.35,597.45,596.53,1356082,8089.47,25436, 577390, 42.58
2023-05-08,GNFC, EQ,597.45,599.5,604.9,596.65, 599.00,599.2,601.04,682599,4102.7,10780, 248639, 36.43
2023-05-09,GNFC, EQ,599.2,600.0,601.5,590.0,590.5,592.25,594.87,576422,3428.96,10664, 217759, 37.78
2023-05-10,GNFC, EQ,592.25,591.0,600.0,589.0,598.0,598.75,595.46,593860,3536.18,10126, 245592, 41.36
2023-05-11,GNFC, EQ,598.75,601.8,625.1,600.1, 625.00,623.4,616.63,3907310,24093.49,52830, 1403636, 35.92
2023-05-12,GNFC, EQ,623.4,624.85,643.0,618.35, 622.60,620.7,631.34,4138600,26128.8,67447, 834532, 20.16
2023-05-15,GNFC, EQ,620.7,623.85,637.0,617.1, 635.70,635.65,630.02,1520122,9577.02,24465, 475366, 31.27
2023-05-16,GNFC, EQ,635.65,639.2,653.55,638.05,646.75,648.1,647.58,2307709,14944.26,27820, 933014, 40.43
2023-05-17,GNFC, EQ,648.1,648.5,656.75,641.7, 653.30,654.75,652.36,1979160,12911.3,30643, 746125, 37.70
2023-05-18,GNFC, EQ,654.75,659.0,666.6,589.3, 596.15,602.35,621.91,6717914,41779.66,82414, 1656132, 24.65
2023-05-19,GNFC, EQ,602.35,595.5,602.0,581.2,590.9,590.6,589.6,3140460,18516.12,42504, 874721, 27.85
2023-05-22,GNFC, EQ,590.6,591.8,604.0,580.0,599.5,600.15,596.64,1227941,7326.38,18276, 382800, 31.17
2023-05-23,GNFC, EQ,600.15,602.95,606.0,592.5, 595.00,596.85,598.65,1365029,8171.72,20524, 542094, 39.71
2023-05-24,GNFC, EQ,596.85,591.1,602.0,591.1, 595.50,596.6,597.45,666845,3984.09,11826, 251210, 37.67
2023-05-25,GNFC, EQ,596.6,596.0,624.0,584.4, 611.00,603.7,597.63,1414585,8454.02,17806, 563477, 39.83
2023-05-26,GNFC, EQ,603.7,605.65,605.65,590.05,593.2,593.65,595.12,1176012,6998.66,20944, 416500, 35.42
2023-05-29,GNFC, EQ,593.65,595.4,604.8,593.95, 597.60,598.0,599.87,964296,5784.53,17848, 348227, 36.11
2023-05-30,GNFC, EQ,598.0,598.0,600.5,592.85, 595.45,595.5,595.6,358518,2135.34,8284, 131951, 36.80
2023-05-31,GNFC, EQ,595.5,595.45,597.45,585.5, 589.00,588.45,589.43,775336,4570.03,22016, 327727, 42.27
2023-06-01,GNFC, EQ,588.45,589.5,594.95,582.25, 582.30,583.1,589.1,827791,4876.51,15393, 315910, 38.16
2023-06-02,GNFC, EQ,583.1,587.0,587.65,581.3, 584.50,585.35,584.65,475039,2777.31,12251, 159355, 33.55
2023-06-05,GNFC, EQ,585.35,588.95,589.6,582.3, 583.50,582.95,584.84,461700,2700.23,15549, 207309, 44.90
2023-06-06,GNFC, EQ,582.95,582.0,587.0,576.65,585.05,584.6,582.14,546990,3184.24,13138, 177007, 32.36
2023-06-07,GNFC, EQ,584.6,587.0,591.55,584.0, 586.00,585.75,586.88,635893,3731.91,12662, 298454, 46.93
2023-06-08,GNFC, EQ,585.75,587.0,589.1,576.65, 577.40,577.7,581.42,653618,3800.25,15469, 292731, 44.79
2023-06-09,GNFC, EQ,577.7,580.0,580.5,564.0, 565.10,565.6,570.59,758831,4329.8,18721, 356078, 46.92
2023-06-12,GNFC, EQ,565.6,566.4,583.7,562.7, 579.50,579.0,575.69,985352,5672.54,20540, 328426, 33.33
2023-06-13,GNFC, EQ,579.0,580.7,582.5,574.55, 579.45,579.75,578.1,622805,3600.41,13673, 256681, 41.21
2023-06-14,GNFC, EQ,579.75,582.5,604.75,577.75, 593.70,594.05,596.28,2654183,15826.43,51710, 585015, 22.04
2023-06-15,GNFC, EQ,594.05,598.0,598.0,584.0, 585.90,585.9,589.21,869340,5122.25,16460, 341836, 39.32
2023-06-16,GNFC, EQ,585.9,587.15,597.0,584.9, 591.00,589.7,592.43,807941,4786.49,14911, 264963, 32.79
2023-06-19,GNFC, EQ,589.7,592.9,595.7,586.0, 588.30,588.45,590.26,446203,2633.78,11062, 134391, 30.12
2023-06-20,GNFC, EQ,588.45,588.5,594.6,584.6, 588.00,588.45,589.79,458969,2706.94,10969, 150305, 32.75
2023-06-21,GNFC, EQ,588.45,590.4,603.0,589.2, 599.50,600.0,596.53,1042470,6218.6,24756, 388519, 37.27
2023-06-22,GNFC, EQ,600.0,602.95,613.5,584.4,587.0,587.65,599.97,2624359,15745.32,49563, 712218, 27.14
2023-06-23,GNFC, EQ,587.65,589.5,589.7,572.0, 573.00,574.75,578.93,1055287,6109.42,19967, 438158, 41.52
2023-06-26,GNFC, EQ,574.75,576.0,580.0,570.7, 578.10,578.6,577.36,485572,2803.49,13834, 134092, 27.62
2023-06-27,GNFC, EQ,578.6,579.0,594.4,579.0, 586.00,585.1,587.61,867290,5096.31,18648, 250245, 28.85
2023-06-28,GNFC, EQ,585.1,588.15,593.2,584.0, 587.55,587.1,588.31,608326,3578.82,12261, 211597, 34.78
2023-06-30,GNFC, EQ,587.1,592.0,604.9,589.0, 598.75,599.15,598.68,1220613,7307.61,24863, 552899, 45.30
2023-07-03,GNFC, EQ,599.15,600.0,605.75,597.0, 601.30,601.3,601.9,659059,3966.9,14411, 244567, 37.11
2023-07-04,GNFC, EQ,601.3,601.3,603.85,590.4, 594.50,593.8,596.33,703312,4194.08,16701, 164193, 23.35
2023-07-05,GNFC, EQ,593.8,594.0,603.0,593.0,601.8,601.45,599.44,704569,4223.44,15006, 210773, 29.92
2023-07-06,GNFC, EQ,601.45,601.95,612.4,601.0,608.1,608.55,608.06,1564096,9510.58,33977, 537216, 34.35
2023-07-07,GNFC, EQ,608.55,611.5,615.5,593.1, 597.90,597.9,603.47,1545976,9329.48,28909, 504102, 32.61
2023-07-10,GNFC, EQ,597.9,600.0,607.4,592.0,594.35,595.35,597.33,561718,3355.3,12440, 174870, 31.13
2023-07-11,GNFC, EQ,595.35,596.0,602.75,590.25, 599.95,599.0,598.08,525314,3141.79,11088, 177858, 33.86
2023-07-12,GNFC, EQ,599.0,600.0,609.0,593.25, 601.50,604.2,601.57,790977,4758.31,19157, 231313, 29.24
2023-07-13,GNFC, EQ,604.2,604.95,605.55,585.0, 586.30,586.4,593.38,975149,5786.3,22353, 465168, 47.70
2023-07-14,GNFC, EQ,586.4,588.55,595.15,581.95,594.95,593.8,589.73,896421,5286.46,16170, 429432, 47.91
2023-07-17,GNFC, EQ,593.8,596.55,611.0,596.55,603.85,603.35,605.41,1765110,10686.09,28573, 679608, 38.50
2023-07-18,GNFC, EQ,603.35,605.95,607.9,593.0, 598.00,598.15,598.98,536065,3210.9,15790, 176818, 32.98
2023-07-19,GNFC, EQ,598.15,597.55,605.7,595.2, 597.30,597.0,599.15,608042,3643.11,18409, 247124, 40.64
