DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,GOLDIAM, EQ,135.05,135.85,137.85,133.8, 136.45,135.85,135.98,108390,147.39,2079, 50976, 47.03
2023-01-03,GOLDIAM, EQ,135.85,137.15,137.15,133.4, 135.20,134.3,135.16,85088,115.01,1971, 45014, 52.90
2023-01-04,GOLDIAM, EQ,134.3,134.5,136.9,132.45, 134.50,133.75,134.11,112251,150.54,2318, 61251, 54.57
2023-01-05,GOLDIAM, EQ,133.75,134.9,135.7,132.0,133.0,132.95,133.32,63047,84.05,1628, 33965, 53.87
2023-01-06,GOLDIAM, EQ,132.95,133.9,135.9,131.35,132.8,132.15,133.31,84872,113.14,2480, 42660, 50.26
2023-01-09,GOLDIAM, EQ,132.15,134.8,135.7,131.6,132.0,131.9,132.89,69451,92.29,1567, 40899, 58.89
2023-01-10,GOLDIAM, EQ,131.9,131.9,146.7,127.8,138.0,138.85,139.5,1407123,1963.0,20723, 495523, 35.22
2023-01-11,GOLDIAM, EQ,138.85,142.4,146.25,139.05, 144.65,144.55,143.3,1308234,1874.75,19532, 603987, 46.17
2023-01-12,GOLDIAM, EQ,144.55,147.0,167.9,146.4, 162.90,164.55,161.48,7517489,12139.04,66784, 1195198, 15.90
2023-01-13,GOLDIAM, EQ,164.55,163.85,173.9,162.25,164.5,165.6,169.03,3456019,5841.79,30822, 649784, 18.80
2023-01-16,GOLDIAM, EQ,165.6,165.0,167.1,159.2, 166.00,165.8,163.41,1167195,1907.34,13626, 339066, 29.05
2023-01-17,GOLDIAM, EQ,165.8,166.0,167.25,161.0,161.95,162.25,163.79,379428,621.47,5272, 153466, 40.45
2023-01-18,GOLDIAM, EQ,162.25,163.55,172.4,161.2,166.5,166.2,167.55,1109533,1859.0,13778, 314205, 28.32
2023-01-19,GOLDIAM, EQ,166.2,165.6,172.6,164.25, 168.70,169.4,169.71,744379,1263.26,9859, 250292, 33.62
2023-01-20,GOLDIAM, EQ,169.4,170.0,170.5,161.75,164.0,163.6,166.68,373185,622.02,6264, 166787, 44.69
2023-01-23,GOLDIAM, EQ,163.6,164.75,174.15,164.4,167.5,167.8,169.33,726900,1230.84,11001, 259098, 35.64
2023-01-24,GOLDIAM, EQ,167.8,168.45,170.95,161.15,164.7,163.7,165.66,485974,805.05,6228, 188581, 38.80
2023-01-25,GOLDIAM, EQ,163.7,164.7,167.45,161.4, 163.70,163.65,163.66,393168,643.47,5787, 122850, 31.25
2023-01-27,GOLDIAM, EQ,163.65,164.75,167.0,152.35, 155.60,155.45,158.17,559961,885.69,8766, 247816, 44.26
2023-01-30,GOLDIAM, EQ,155.45,155.55,160.1,152.75, 155.70,154.2,155.79,367135,571.97,6283, 107976, 29.41
2023-01-31,GOLDIAM, EQ,154.2,155.1,169.0,154.25,164.4,164.95,163.41,752898,1230.27,10164, 190248, 25.27
2023-02-01,GOLDIAM, EQ,164.95,166.0,179.0,162.4, 166.30,166.95,171.7,2299892,3949.02,29141, 610475, 26.54
2023-02-02,GOLDIAM, EQ,166.95,166.15,173.8,165.05, 172.10,172.45,170.35,902443,1537.31,14432, 291314, 32.28
2023-02-03,GOLDIAM, EQ,172.45,171.55,173.2,165.6, 168.00,167.5,168.49,492287,829.45,7619, 153458, 31.17
2023-02-06,GOLDIAM, EQ,167.5,167.9,172.0,165.15, 167.90,168.0,168.53,354205,596.96,5651, 142801, 40.32
2023-02-07,GOLDIAM, EQ,168.0,168.1,170.45,161.35, 163.80,164.3,166.4,316118,526.04,4237, 131628, 41.64
2023-02-08,GOLDIAM, EQ,164.3,163.9,168.0,158.0, 159.65,159.45,162.68,508876,827.84,6834, 232837, 45.76
2023-02-09,GOLDIAM, EQ,159.45,160.4,164.85,160.4, 163.40,162.4,162.46,269895,438.47,4289, 82084, 30.41
2023-02-10,GOLDIAM, EQ,162.4,162.95,164.8,148.0, 149.60,149.25,154.27,1014798,1565.49,14229, 408997, 40.30
2023-02-13,GOLDIAM, EQ,149.25,150.1,159.1,145.75,154.35,154.15,152.68,768002,1172.56,10209, 233332, 30.38
2023-02-14,GOLDIAM, EQ,154.15,155.5,155.95,149.75,151.65,151.05,151.92,299465,454.96,5090, 107164, 35.79
2023-02-15,GOLDIAM, EQ,151.05,151.2,161.0,150.05, 152.10,152.9,153.75,428356,658.59,7395, 89661, 20.93
2023-02-16,GOLDIAM, EQ,152.9,152.2,156.65,151.65, 153.30,153.4,154.36,354100,546.61,5526, 85048, 24.02
2023-02-17,GOLDIAM, EQ,153.4,152.8,155.9,152.0, 153.90,153.65,154.09,219742,338.61,3396, 71578, 32.57
2023-02-20,GOLDIAM, EQ,153.65,153.7,155.6,151.85, 152.70,152.7,153.51,198620,304.91,3115, 71604, 36.05
2023-02-21,GOLDIAM, EQ,152.7,153.1,154.2,151.5, 153.25,152.65,152.91,153534,234.77,2605, 64204, 41.82
2023-02-22,GOLDIAM, EQ,152.65,152.1,152.8,144.35, 146.30,145.95,147.94,321860,476.15,5689, 161712, 50.24
2023-02-23,GOLDIAM, EQ,145.95,146.85,148.75,145.4,146.0,145.8,146.64,133422,195.65,2725, 47140, 35.33
2023-02-24,GOLDIAM, EQ,145.8,146.3,148.5,142.6, 144.00,143.75,145.45,181425,263.87,3653, 79982, 44.09
2023-02-27,GOLDIAM, EQ,143.75,143.65,143.65,136.75, 138.50,138.2,139.42,327005,455.9,5818, 166661, 50.97
2023-02-28,GOLDIAM, EQ,138.2,138.95,140.95,136.0, 138.65,139.05,138.56,228316,316.36,3514, 104109, 45.60
2023-03-01,GOLDIAM, EQ,139.05,139.9,141.85,139.1, 141.00,140.45,140.62,179364,252.22,2720, 90306, 50.35
