DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,GRANULES, EQ,318.8,319.35,322.65,313.9, 320.50,320.25,318.33,618759,1969.7,11013, 150113, 24.26
2023-01-03,GRANULES, EQ,320.25,322.0,329.7,322.0, 326.80,326.45,326.12,1639299,5346.04,20629, 215443, 13.14
2023-01-04,GRANULES, EQ,326.45,328.0,328.9,321.55, 322.65,323.1,324.14,458664,1486.73,7772, 111767, 24.37
2023-01-05,GRANULES, EQ,323.1,324.3,327.8,320.75,325.65,326.15,325.04,508679,1653.41,9433, 190202, 37.39
2023-01-06,GRANULES, EQ,326.15,327.05,328.0,316.65,319.2,319.6,321.24,473890,1522.33,8775, 135166, 28.52
2023-01-09,GRANULES, EQ,319.6,322.0,329.35,317.3,327.1,327.35,324.15,599350,1942.8,14070, 197395, 32.93
2023-01-10,GRANULES, EQ,327.35,326.9,330.85,323.6,329.9,329.45,327.81,557878,1828.77,9744, 132347, 23.72
2023-01-11,GRANULES, EQ,329.45,330.0,335.35,327.55, 331.00,331.35,331.66,1109817,3680.85,16095, 343011, 30.91
2023-01-12,GRANULES, EQ,331.35,332.0,333.0,317.2, 318.80,318.05,322.24,1030251,3319.85,19008, 369412, 35.86
2023-01-13,GRANULES, EQ,318.05,319.9,321.0,312.6,318.3,318.35,316.64,666459,2110.3,13890, 130156, 19.53
2023-01-16,GRANULES, EQ,318.35,316.5,318.85,312.4, 314.90,314.55,314.58,666051,2095.27,11066, 186312, 27.97
2023-01-17,GRANULES, EQ,314.55,314.05,317.4,312.3,314.2,314.05,314.27,416097,1307.67,8705, 121309, 29.15
2023-01-18,GRANULES, EQ,314.05,314.9,316.0,311.0,312.9,313.2,312.94,642540,2010.73,9138, 280056, 43.59
2023-01-19,GRANULES, EQ,313.2,312.25,315.5,309.55, 311.75,311.4,311.15,513000,1596.22,6980, 228206, 44.48
2023-01-20,GRANULES, EQ,311.4,309.6,316.5,307.9,312.9,313.45,312.76,847373,2650.24,11472, 293869, 34.68
2023-01-23,GRANULES, EQ,313.45,313.95,315.05,309.75,312.0,312.15,312.64,623887,1950.52,13063, 200982, 32.21
2023-01-24,GRANULES, EQ,312.15,310.25,316.8,306.0,306.9,309.2,312.62,1826085,5708.62,24043, 245081, 13.42
2023-01-25,GRANULES, EQ,309.2,308.9,308.9,288.0, 289.45,288.9,292.38,2430714,7106.99,33582, 723905, 29.78
2023-01-27,GRANULES, EQ,288.9,289.0,292.4,278.6, 284.85,283.8,284.14,1376711,3911.77,26576, 450896, 32.75
2023-01-30,GRANULES, EQ,283.8,286.0,293.75,280.45, 291.75,291.35,289.67,1820856,5274.56,39900, 697660, 38.31
2023-01-31,GRANULES, EQ,291.35,294.3,297.5,292.0,295.95,295.65,295.15,803845,2372.54,23440, 398286, 49.55
2023-02-01,GRANULES, EQ,295.65,296.4,299.4,287.15, 292.80,291.5,293.77,740242,2174.58,14656, 320685, 43.32
2023-02-02,GRANULES, EQ,291.5,292.5,296.25,287.8, 290.25,288.6,290.76,1142240,3321.17,21446, 659193, 57.71
2023-02-03,GRANULES, EQ,288.6,290.05,293.65,286.3, 291.50,292.05,291.44,928424,2705.84,11909, 553772, 59.65
2023-02-06,GRANULES, EQ,292.05,291.8,297.85,287.0, 288.50,288.6,292.04,896484,2618.1,11141, 414719, 46.26
2023-02-07,GRANULES, EQ,288.6,288.7,289.7,282.4, 285.90,285.35,284.95,642950,1832.05,15383, 260650, 40.54
2023-02-08,GRANULES, EQ,285.35,285.9,292.0,284.05, 291.85,291.5,288.66,395140,1140.61,7369, 121564, 30.76
2023-02-09,GRANULES, EQ,291.5,289.2,292.9,285.95, 288.80,289.55,288.71,521581,1505.84,8046, 198540, 38.07
2023-02-10,GRANULES, EQ,289.55,287.35,292.9,286.75, 289.85,289.25,290.24,780385,2265.0,11779, 156228, 20.02
2023-02-13,GRANULES, EQ,289.25,290.0,291.0,283.35,285.45,285.65,286.45,504536,1445.26,7600, 190057, 37.67
2023-02-14,GRANULES, EQ,285.65,285.65,288.4,283.35,287.7,287.8,285.8,353487,1010.27,6332, 111997, 31.68
2023-02-15,GRANULES, EQ,287.8,287.7,290.95,285.55, 290.00,290.25,288.7,398051,1149.19,7782, 148932, 37.42
