DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,GRAUWEIL, EQ,88.05,89.35,89.95,87.7, 88.90,88.7,88.86,229376,203.82,2041, 102891, 44.86
2023-01-03,GRAUWEIL, EQ,88.7,88.95,89.65,87.0, 88.40,87.55,88.15,143188,126.22,1741, 71497, 49.93
2023-01-04,GRAUWEIL, EQ,87.55,88.75,88.75,85.6, 86.45,86.3,87.05,166807,145.21,2212, 84501, 50.66
2023-01-05,GRAUWEIL, EQ,86.3,86.9,87.9,86.0,87.5,87.05,86.77,110963,96.28,1499, 45531, 41.03
2023-01-06,GRAUWEIL, EQ,87.05,87.05,87.85,84.35,87.15,86.1,85.62,207659,177.8,2092, 87680, 42.22
2023-01-09,GRAUWEIL, EQ,86.1,87.4,87.9,84.6,85.15,84.9,86.03,231816,199.42,3044, 135861, 58.61
2023-01-10,GRAUWEIL, EQ,84.9,85.35,86.35,83.5,83.9,84.6,85.04,206031,175.21,3607, 89879, 43.62
2023-01-11,GRAUWEIL, EQ,84.6,85.0,86.5,83.2, 85.25,84.65,85.17,196230,167.12,3411, 82202, 41.89
2023-01-12,GRAUWEIL, EQ,84.65,86.45,86.5,84.5, 86.10,85.8,85.37,109311,93.32,1624, 51842, 47.43
2023-01-13,GRAUWEIL, EQ,85.8,86.65,86.8,84.05,84.75,84.9,84.83,162319,137.7,1802, 76672, 47.24
2023-01-16,GRAUWEIL, EQ,84.9,85.4,86.0,84.75, 85.40,85.2,85.39,126516,108.03,1481, 69082, 54.60
2023-01-17,GRAUWEIL, EQ,85.2,85.25,85.9,83.4,84.4,84.0,84.5,82988,70.12,1325, 51568, 62.14
2023-01-18,GRAUWEIL, EQ,84.0,84.55,84.9,83.15,83.9,83.75,83.81,85360,71.54,1445, 45236, 52.99
2023-01-19,GRAUWEIL, EQ,83.75,83.15,89.75,83.15, 88.60,88.6,87.94,829623,729.55,6311, 304506, 36.70
2023-01-20,GRAUWEIL, EQ,88.6,89.0,92.0,87.05,89.5,88.95,89.5,492071,440.38,6275, 201553, 40.96
2023-01-23,GRAUWEIL, EQ,88.95,89.4,89.4,85.05,85.6,85.9,86.5,220811,191.0,4303, 129085, 58.46
2023-01-24,GRAUWEIL, EQ,85.9,86.2,87.25,84.45,84.45,84.6,85.46,141741,121.13,1429, 89004, 62.79
2023-01-25,GRAUWEIL, EQ,84.6,85.85,85.85,82.75, 83.55,83.3,83.6,130120,108.78,2048, 74521, 57.27
2023-01-27,GRAUWEIL, EQ,83.3,83.95,84.05,80.9, 83.50,83.1,82.93,317030,262.9,4411, 180697, 57.00
2023-01-30,GRAUWEIL, EQ,83.1,83.1,84.55,82.7, 84.55,83.8,83.56,204049,170.5,2499, 100076, 49.05
2023-01-31,GRAUWEIL, EQ,83.8,84.4,88.0,83.8,87.75,87.7,87.01,481627,419.06,3501, 264494, 54.92
2023-02-01,GRAUWEIL, EQ,87.7,88.5,89.0,84.0, 84.50,85.2,87.56,342781,300.14,4052, 139797, 40.78
2023-02-02,GRAUWEIL, EQ,85.2,85.95,91.0,84.5, 90.50,90.3,89.67,764177,685.23,7419, 351803, 46.04
2023-02-03,GRAUWEIL, EQ,90.3,90.8,92.0,87.0, 88.90,88.6,89.21,386760,345.04,4957, 116279, 30.06
2023-02-06,GRAUWEIL, EQ,88.6,89.5,92.0,87.15, 90.80,91.1,90.08,250708,225.84,2852, 146145, 58.29
2023-02-07,GRAUWEIL, EQ,91.1,92.0,92.7,88.0, 89.30,88.95,89.73,224127,201.1,3201, 119993, 53.54
2023-02-08,GRAUWEIL, EQ,88.95,89.9,90.7,87.95, 89.90,88.95,89.41,123073,110.04,1952, 66348, 53.91
2023-02-09,GRAUWEIL, EQ,88.95,90.0,91.75,88.9, 91.00,91.0,90.97,279092,253.89,2699, 163025, 58.41
