DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,GREENPOWER, EQ,10.8,10.95,11.25,10.75, 10.90,10.95,11.01,8238265,906.83,7833, 3399185, 41.26
2023-01-03,GREENPOWER, EQ,10.95,11.0,11.85,10.85, 11.60,11.6,11.47,28830485,3307.39,17316, 11380559, 39.47
2023-01-04,GREENPOWER, EQ,11.6,11.7,12.4,11.3, 11.35,11.4,11.79,30696857,3617.89,18511, 11755291, 38.29
2023-01-05,GREENPOWER, EQ,11.4,11.6,11.95,11.2,11.4,11.35,11.46,15594256,1787.22,10447, 4902703, 31.44
2023-01-06,GREENPOWER, EQ,11.35,11.5,11.5,11.0,11.2,11.15,11.18,8954295,1000.65,7924, 3659234, 40.87
2023-01-09,GREENPOWER, EQ,11.15,11.4,11.5,11.1,11.2,11.15,11.24,7657300,860.83,5902, 2856747, 37.31
2023-01-10,GREENPOWER, EQ,11.15,11.15,11.75,10.75,11.4,11.45,11.28,12047631,1359.07,9022, 4958932, 41.16
2023-01-11,GREENPOWER, EQ,11.45,11.45,11.6,11.05, 11.10,11.15,11.32,5466772,618.64,5751, 2491321, 45.57
2023-01-12,GREENPOWER, EQ,11.15,11.15,11.3,10.9, 11.05,11.05,11.05,5599896,618.99,4652, 2239413, 39.99
2023-01-13,GREENPOWER, EQ,11.05,11.1,11.3,10.9,10.95,11.0,11.05,5587161,617.11,6948, 2023520, 36.22
2023-01-16,GREENPOWER, EQ,11.0,11.0,11.25,10.85, 10.95,10.9,11.01,5582141,614.35,6184, 2350542, 42.11
2023-01-17,GREENPOWER, EQ,10.9,10.95,11.1,10.8,10.95,10.95,10.97,4926047,540.56,4198, 2169712, 44.05
2023-01-18,GREENPOWER, EQ,10.95,10.95,11.05,10.65,10.75,10.75,10.84,4938978,535.15,5314, 2575233, 52.14
2023-01-19,GREENPOWER, EQ,10.75,10.75,10.85,10.45, 10.50,10.5,10.6,4701608,498.29,5534, 2329493, 49.55
2023-01-20,GREENPOWER, EQ,10.5,10.5,11.25,10.45,11.05,11.0,11.01,14789646,1627.9,10881, 5055449, 34.18
2023-01-23,GREENPOWER, EQ,11.0,11.05,11.1,10.7,10.9,10.8,10.85,4145016,449.54,5640, 1946434, 46.96
2023-01-24,GREENPOWER, EQ,10.8,10.8,11.3,10.55,11.15,11.15,10.99,13374136,1469.74,8009, 4268381, 31.92
