DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,GRINDWELL, EQ,1783.65,1791.2,1844.7,1783.65, 1838.50,1828.65,1812.83,116738,2116.26,11746, 83449, 71.48
2023-01-03,GRINDWELL, EQ,1828.65,1828.65,1860.15,1828.65, 1850.00,1847.2,1843.94,51122,942.66,4776, 33528, 65.58
2023-01-04,GRINDWELL, EQ,1847.2,1858.0,1899.7,1848.8, 1888.00,1894.45,1865.47,146969,2741.66,6941, 115690, 78.72
2023-01-05,GRINDWELL, EQ,1894.45,1904.8,1924.0,1872.05,1910.15,1919.8,1908.76,78814,1504.37,7955, 54329, 68.93
2023-01-06,GRINDWELL, EQ,1919.8,1920.0,1941.35,1906.4,1935.95,1936.15,1926.6,76393,1471.79,7291, 58187, 76.17
2023-01-09,GRINDWELL, EQ,1936.15,1945.8,1957.0,1908.0,1955.0,1950.85,1937.85,41986,813.62,9350, 22038, 52.49
2023-01-10,GRINDWELL, EQ,1950.85,1951.0,1959.95,1919.95,1925.05,1937.7,1945.78,44519,866.24,6836, 31499, 70.75
2023-01-11,GRINDWELL, EQ,1937.7,1940.0,1979.0,1927.6, 1930.00,1937.1,1961.27,36495,715.76,7425, 16345, 44.79
2023-01-12,GRINDWELL, EQ,1937.1,1946.75,1975.0,1925.05, 1960.10,1960.0,1959.74,27100,531.09,6422, 10331, 38.12
2023-01-13,GRINDWELL, EQ,1960.0,1971.05,1978.95,1927.2,1934.0,1936.1,1943.76,22636,439.99,4501, 11302, 49.93
2023-01-16,GRINDWELL, EQ,1936.1,1947.0,2000.0,1934.55, 1996.00,1989.45,1977.7,116753,2309.03,13070, 76790, 65.77
2023-01-17,GRINDWELL, EQ,1989.45,2000.0,2000.0,1950.0,1963.0,1963.7,1983.12,116343,2307.22,7634, 95317, 81.93
2023-01-18,GRINDWELL, EQ,1963.7,1973.55,1974.0,1930.0,1935.0,1940.3,1964.76,525180,10318.52,3718, 511557, 97.41
2023-01-19,GRINDWELL, EQ,1940.3,1940.0,1965.0,1925.55, 1957.00,1959.4,1948.06,18863,367.46,3687, 6756, 35.82
2023-01-20,GRINDWELL, EQ,1959.4,1969.7,1971.8,1925.0,1931.0,1936.4,1943.37,10396,202.03,3178, 4167, 40.08
2023-01-23,GRINDWELL, EQ,1936.4,1946.1,1951.0,1894.4,1930.0,1930.9,1931.21,33273,642.57,8517, 15999, 48.08
2023-01-24,GRINDWELL, EQ,1930.9,1936.0,2000.0,1924.1,1940.0,1945.15,1950.93,91432,1783.77,6704, 60282, 65.93
2023-01-25,GRINDWELL, EQ,1945.15,1947.55,1978.4,1930.0, 1960.00,1969.25,1955.45,14055,274.84,4063, 5835, 41.52
2023-01-27,GRINDWELL, EQ,1969.25,1978.4,2000.0,1924.0, 1945.00,1953.95,1940.01,27824,539.79,8156, 12426, 44.66
2023-01-30,GRINDWELL, EQ,1953.95,1959.65,1991.7,1934.9, 1938.00,1942.95,1958.19,64474,1262.52,9744, 41743, 64.74
2023-01-31,GRINDWELL, EQ,1942.95,1958.65,2001.0,1931.6,1995.0,1997.0,1991.49,89387,1780.14,8644, 60375, 67.54
2023-02-01,GRINDWELL, EQ,1997.0,1999.0,2000.0,1945.9, 2000.00,1986.9,1989.76,32773,652.1,5562, 20149, 61.48
2023-02-02,GRINDWELL, EQ,1986.9,1984.0,2000.0,1967.75, 1989.00,1980.2,1987.36,76495,1520.23,6985, 54660, 71.46
2023-02-03,GRINDWELL, EQ,1980.2,1992.95,2050.0,1975.0, 2029.00,2030.25,2010.56,194362,3907.76,17191, 136005, 69.98
