DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,GRMOVER, EQ,431.7,430.95,430.95,402.0, 413.85,410.6,410.65,149011,611.91,8799, 34491, 23.15
2023-01-03,GRMOVER, EQ,410.6,413.9,424.8,403.0, 413.00,417.8,414.21,98145,406.52,3056, 51134, 52.10
2023-01-04,GRMOVER, EQ,417.8,414.9,414.9,401.0, 403.95,404.4,405.63,30137,122.24,1254, 17150, 56.91
2023-01-05,GRMOVER, EQ,404.4,404.4,408.0,395.0,400.0,402.75,400.85,24910,99.85,1314, 11264, 45.22
2023-01-06,GRMOVER, EQ,402.75,404.0,405.5,391.4,397.0,395.35,395.95,89352,353.79,789, 81812, 91.56
2023-01-09,GRMOVER, EQ,395.35,403.5,413.8,391.0,397.9,395.2,395.14,269238,1063.86,1365, 124960, 46.41
2023-01-10,GRMOVER, EQ,395.2,397.55,397.55,387.05,390.0,390.9,392.39,15557,61.04,751, 8901, 57.22
2023-01-11,GRMOVER, EQ,390.9,391.6,394.45,380.05, 381.60,383.0,386.11,11604,44.8,1295, 5989, 51.61
2023-01-12,GRMOVER, EQ,383.0,384.0,390.0,380.15, 383.75,383.9,383.17,11834,45.34,2359, 4553, 38.47
2023-01-13,GRMOVER, EQ,383.9,390.0,390.05,375.05,376.0,377.35,380.49,15938,60.64,1946, 7025, 44.08
2023-01-16,GRMOVER, EQ,377.35,382.5,387.0,374.2, 377.55,378.4,380.07,18697,71.06,1590, 12082, 64.62
2023-01-17,GRMOVER, EQ,378.4,380.0,382.0,374.95,377.0,380.15,378.59,11488,43.49,1375, 4753, 41.37
2023-01-18,GRMOVER, EQ,380.15,376.85,384.8,376.0,376.5,379.9,380.14,33706,128.13,2420, 27929, 82.86
2023-01-19,GRMOVER, EQ,379.9,383.4,383.4,370.05, 371.55,372.05,375.73,17373,65.28,2344, 7985, 45.96
2023-01-20,GRMOVER, EQ,372.05,373.0,375.95,361.0,361.75,364.95,365.15,192119,701.53,1621, 119365, 62.13
2023-01-23,GRMOVER, EQ,364.95,362.05,369.8,362.0,363.5,362.7,364.48,8659,31.56,1352, 4854, 56.06
2023-01-24,GRMOVER, EQ,362.7,363.0,369.9,360.85,365.0,362.0,362.13,146928,532.07,528, 142462, 96.96
2023-01-25,GRMOVER, EQ,362.0,360.8,361.0,355.1, 357.90,356.95,357.04,95649,341.5,1006, 88277, 92.29
2023-01-27,GRMOVER, EQ,356.95,358.8,360.2,333.35, 348.85,345.85,349.17,129033,450.55,4731, 84374, 65.39
2023-01-30,GRMOVER, EQ,345.85,349.9,354.0,344.3, 346.55,346.2,346.54,53060,183.87,982, 48660, 91.71
2023-01-31,GRMOVER, EQ,346.2,342.15,358.0,342.15,351.2,348.9,350.11,10968,38.4,930, 6237, 56.87
2023-02-01,GRMOVER, EQ,348.9,348.9,356.95,340.4, 343.35,343.75,349.01,12839,44.81,876, 5972, 46.51
2023-02-02,GRMOVER, EQ,343.75,345.0,345.0,335.0, 336.00,337.6,339.86,10858,36.9,849, 6166, 56.79
2023-02-03,GRMOVER, EQ,337.6,337.3,347.9,327.05, 330.00,333.25,334.2,17135,57.27,923, 9868, 57.59
2023-02-06,GRMOVER, EQ,333.25,333.5,348.95,331.55, 340.35,343.7,342.21,20128,68.88,1217, 8919, 44.31
2023-02-07,GRMOVER, EQ,343.7,345.1,346.95,333.0, 338.00,336.0,340.24,10228,34.8,804, 5927, 57.95
2023-02-08,GRMOVER, EQ,336.0,338.4,339.0,324.65, 331.00,330.85,332.21,15060,50.03,1182, 10200, 67.73
2023-02-09,GRMOVER, EQ,330.85,334.5,338.0,329.45, 329.80,330.9,332.64,23373,77.75,1215, 19299, 82.57
2023-02-10,GRMOVER, EQ,330.9,331.0,331.95,316.3, 320.40,318.9,322.65,182678,589.41,1907, 85528, 46.82
2023-02-13,GRMOVER, EQ,318.9,320.0,320.0,305.0,307.0,307.0,313.59,86782,272.14,1909, 69721, 80.34
2023-02-14,GRMOVER, EQ,307.0,307.05,322.0,296.65,315.4,317.2,312.7,86932,271.83,5597, 38508, 44.30
2023-02-15,GRMOVER, EQ,317.2,312.45,315.0,303.4, 306.00,313.4,306.75,125968,386.41,2983, 105815, 84.00
2023-02-16,GRMOVER, EQ,313.4,315.0,315.0,303.7, 305.85,307.25,308.43,25111,77.45,2721, 12710, 50.62
2023-02-17,GRMOVER, EQ,307.25,306.9,311.95,301.2, 303.25,309.3,307.3,65002,199.75,5367, 34592, 53.22
2023-02-20,GRMOVER, EQ,309.3,309.3,314.75,303.0, 305.85,305.15,305.24,149083,455.06,1927, 86285, 57.88
2023-02-21,GRMOVER, EQ,305.15,308.2,309.95,299.0, 300.00,300.9,305.55,52862,161.52,1670, 43546, 82.38
2023-02-22,GRMOVER, EQ,300.9,304.85,308.45,297.0, 302.00,303.0,301.69,42533,128.32,3506, 25617, 60.23
2023-02-23,GRMOVER, EQ,303.0,303.0,303.0,297.0,299.0,298.75,300.07,10682,32.05,979, 6905, 64.64
2023-02-24,GRMOVER, EQ,298.75,301.75,301.95,290.0, 295.00,292.95,295.83,16842,49.82,2684, 10455, 62.08
2023-02-27,GRMOVER, EQ,292.95,292.95,292.95,281.0, 286.55,289.65,287.65,41928,120.61,4777, 15865, 37.84
2023-02-28,GRMOVER, EQ,289.65,294.0,315.9,289.25, 305.60,313.6,310.32,146560,454.8,3435, 82609, 56.37
2023-03-01,GRMOVER, EQ,313.6,308.95,309.0,297.1, 298.35,302.45,302.97,198908,602.63,4147, 21566, 10.84
2023-03-02,GRMOVER, EQ,302.45,299.0,309.9,299.0, 301.95,303.55,303.33,276818,839.67,3371, 15253, 5.51
2023-03-03,GRMOVER, EQ,303.55,305.8,314.95,303.2, 305.00,306.15,310.36,187549,582.08,4268, 27987, 14.92
2023-03-06,GRMOVER, EQ,306.15,308.5,315.15,304.0, 305.50,307.25,310.27,286652,889.39,4104, 157897, 55.08
2023-03-08,GRMOVER, EQ,307.25,309.7,309.7,290.55, 298.00,299.85,296.14,234581,694.69,5113, 47696, 20.33
2023-03-09,GRMOVER, EQ,299.85,301.0,301.0,281.0, 282.05,282.1,288.52,411125,1186.18,5614, 66680, 16.22
2023-03-10,GRMOVER, EQ,282.1,283.8,285.0,254.05, 260.55,261.1,270.17,450409,1216.86,9709, 145260, 32.25
2023-03-13,GRMOVER, EQ,261.1,268.0,268.0,211.95, 220.00,216.75,226.24,887949,2008.91,27061, 358355, 40.36
2023-03-14,GRMOVER, EQ,216.75,221.0,231.85,209.55, 220.00,220.25,219.6,467924,1027.58,10680, 175885, 37.59
2023-03-15,GRMOVER, EQ,220.25,226.5,239.9,221.3, 227.00,224.7,230.2,187489,431.6,4324, 92558, 49.37
2023-03-16,GRMOVER, EQ,224.7,232.7,232.7,215.0, 217.50,218.15,220.8,63682,140.61,2766, 31843, 50.00
2023-03-17,GRMOVER, EQ,218.15,221.0,224.25,210.1, 210.30,211.6,215.66,92351,199.16,3556, 56248, 60.91
2023-03-20,GRMOVER, EQ,211.6,215.3,215.3,200.5,203.0,203.1,205.1,40394,82.85,1963, 25753, 63.75
2023-03-21,GRMOVER, EQ,203.1,209.0,209.0,195.9, 202.50,198.0,199.85,131462,262.73,4012, 76780, 58.40
2023-03-22,GRMOVER, EQ,198.0,207.0,211.0,198.0, 199.15,200.35,203.03,104730,212.64,2547, 64612, 61.69
2023-03-23,GRMOVER, EQ,200.35,200.35,202.15,190.25, 193.25,194.55,196.76,65394,128.67,3029, 38465, 58.82
2023-03-24,GRMOVER, EQ,194.55,196.7,196.7,181.1, 188.35,191.25,185.99,172019,319.94,7340, 82394, 47.90
2023-03-27,GRMOVER, EQ,191.25,191.25,192.2,173.0, 174.00,175.45,180.61,126189,227.9,5001, 68948, 54.64
2023-03-28,GRMOVER, EQ,175.45,175.8,186.75,168.6, 170.50,171.35,174.63,392058,684.65,7153, 256597, 65.45
2023-03-29,GRMOVER, EQ,171.35,173.3,186.4,171.75, 186.40,181.7,177.28,101297,179.58,2065, 73134, 72.20
2023-03-31,GRMOVER, EQ,181.7,188.0,197.0,181.1, 184.15,183.45,185.77,216106,401.45,2787, 176087, 81.48
2023-04-03,GRMOVER, EQ,183.45,187.0,197.2,184.35, 195.00,196.3,190.6,144246,274.93,1856, 121095, 83.95
2023-04-05,GRMOVER, EQ,196.3,199.85,201.0,192.2, 194.85,194.0,195.25,60145,117.43,1442, 41536, 69.06
2023-04-06,GRMOVER, EQ,194.0,195.45,196.1,190.1, 194.00,193.0,193.53,23813,46.08,1067, 13871, 58.25
2023-04-10,GRMOVER, EQ,193.0,191.05,199.2,190.0, 195.80,196.9,194.94,54176,105.61,1763, 40834, 75.37
2023-04-11,GRMOVER, EQ,196.9,199.9,200.0,194.0, 198.50,196.75,196.02,17385,34.08,829, 11270, 64.83
2023-04-12,GRMOVER, EQ,196.75,196.75,204.5,194.05, 197.10,197.0,200.52,142043,284.83,3167, 81036, 57.05
2023-04-13,GRMOVER, EQ,197.0,198.0,203.75,190.0, 192.45,193.55,197.83,100411,198.65,2101, 61242, 60.99
2023-04-17,GRMOVER, EQ,193.55,192.75,192.9,181.25, 182.00,182.7,186.95,83208,155.56,2120, 48776, 58.62
2023-04-18,GRMOVER, EQ,182.7,183.7,183.7,175.0, 176.90,176.95,178.01,95470,169.95,2791, 52625, 55.12
2023-04-19,GRMOVER, EQ,176.95,176.95,180.9,172.55, 173.70,173.2,176.66,146092,258.08,2500, 99813, 68.32
2023-04-20,GRMOVER, EQ,173.2,175.3,180.0,173.3, 174.40,176.4,176.61,304068,537.0,2315, 262181, 86.22
2023-04-21,GRMOVER, EQ,176.4,178.9,178.9,164.75, 169.95,169.2,170.55,126303,215.41,4117, 82219, 65.10
2023-04-24,GRMOVER, EQ,169.2,173.5,177.4,168.3, 176.50,175.95,175.46,109494,192.12,1547, 87962, 80.33
2023-04-25,GRMOVER, EQ,175.95,178.7,181.8,170.55,180.0,178.75,173.23,157505,272.85,1740, 131388, 83.42
2023-04-26,GRMOVER, EQ,178.75,179.9,196.6,179.9, 193.00,192.85,191.49,241687,462.81,5466, 107569, 44.51
2023-04-27,GRMOVER, EQ,192.85,198.0,201.65,191.6, 197.00,196.45,196.61,65873,129.51,2128, 36656, 55.65
2023-04-28,GRMOVER, EQ,196.45,197.05,208.0,195.45, 204.55,202.9,204.15,195505,399.13,3589, 124904, 63.89
2023-05-02,GRMOVER, EQ,202.9,200.0,204.4,194.25, 195.00,195.15,198.85,80424,159.92,2102, 55675, 69.23
2023-05-03,GRMOVER, EQ,195.15,193.1,195.85,183.9,191.0,191.2,190.1,89221,169.61,2369, 51758, 58.01
2023-05-04,GRMOVER, EQ,191.2,193.45,193.45,185.2, 187.10,187.7,189.43,28112,53.25,972, 18740, 66.66
2023-05-05,GRMOVER, EQ,187.7,188.45,188.6,170.7, 184.50,183.5,180.74,81704,147.67,2273, 41477, 50.76
2023-05-08,GRMOVER, EQ,183.5,185.85,199.0,183.5, 193.70,194.55,194.13,89742,174.21,1939, 56983, 63.50
2023-05-09,GRMOVER, EQ,194.55,195.5,196.6,190.75,192.5,191.55,193.28,18171,35.12,680, 12154, 66.89
2023-05-10,GRMOVER, EQ,191.55,190.0,202.2,190.0,198.6,199.15,197.96,84002,166.29,2316, 50633, 60.28
2023-05-11,GRMOVER, EQ,199.15,203.5,205.1,198.05, 199.15,199.2,201.09,28663,57.64,1068, 19525, 68.12
