DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,GSCLCEMENT, EQ,37.4,37.95,38.65,37.25, 38.50,38.25,38.09,71341,27.18,685, 49666, 69.62
2023-01-03,GSCLCEMENT, EQ,38.25,38.7,38.75,37.8, 38.75,38.5,38.38,53245,20.43,645, 31845, 59.81
2023-01-04,GSCLCEMENT, EQ,38.5,38.3,39.85,38.15, 38.75,38.5,38.76,157472,61.04,1176, 64218, 40.78
2023-01-05,GSCLCEMENT, EQ,38.5,38.75,38.9,38.15,38.45,38.25,38.41,33197,12.75,422, 20632, 62.15
2023-01-06,GSCLCEMENT, EQ,38.25,38.3,38.9,37.6,37.6,37.85,38.07,56734,21.6,568, 31989, 56.38
2023-01-09,GSCLCEMENT, EQ,37.85,37.4,38.3,37.4,37.8,37.8,37.89,45493,17.24,460, 32538, 71.52
2023-01-10,GSCLCEMENT, EQ,37.8,37.7,38.35,36.85,37.55,37.7,37.8,52153,19.71,432, 23280, 44.64
2023-01-11,GSCLCEMENT, EQ,37.7,37.2,38.55,37.2, 37.85,37.85,37.93,33829,12.83,327, 23636, 69.87
2023-01-12,GSCLCEMENT, EQ,37.85,37.85,39.5,37.85, 38.25,38.55,38.81,122633,47.6,983, 59000, 48.11
2023-01-13,GSCLCEMENT, EQ,38.55,38.65,38.95,38.25,38.5,38.5,38.53,20679,7.97,382, 13350, 64.56
2023-01-16,GSCLCEMENT, EQ,38.5,38.5,38.95,37.9, 37.90,38.05,38.35,52218,20.02,474, 37236, 71.31
2023-01-17,GSCLCEMENT, EQ,38.05,38.15,38.7,37.5,37.5,37.75,38.14,58833,22.44,872, 27009, 45.91
2023-01-18,GSCLCEMENT, EQ,37.75,37.95,38.25,37.0,37.5,37.45,37.65,49223,18.53,464, 31316, 63.62
2023-01-19,GSCLCEMENT, EQ,37.45,37.6,37.95,37.1, 37.35,37.3,37.43,36977,13.84,493, 21329, 57.68
2023-01-20,GSCLCEMENT, EQ,37.3,37.3,37.95,37.0,37.2,37.15,37.28,33194,12.38,397, 21777, 65.61
2023-01-23,GSCLCEMENT, EQ,37.15,37.6,37.65,36.65,36.75,36.95,37.05,48103,17.82,532, 32923, 68.44
2023-01-24,GSCLCEMENT, EQ,36.95,36.95,37.95,36.75,36.8,36.8,37.26,44024,16.4,439, 30794, 69.95
2023-01-25,GSCLCEMENT, EQ,36.8,36.85,37.1,35.8, 36.15,36.2,36.38,47946,17.44,497, 36119, 75.33
2023-01-27,GSCLCEMENT, EQ,36.2,36.9,36.9,35.0, 35.70,35.45,35.51,47892,17.01,568, 31344, 65.45
2023-01-30,GSCLCEMENT, EQ,35.45,35.9,36.4,34.6, 35.20,35.15,35.42,31974,11.33,549, 18156, 56.78
2023-01-31,GSCLCEMENT, EQ,35.15,35.2,36.9,35.2,36.8,36.45,36.18,29307,10.6,419, 16152, 55.11
2023-02-01,GSCLCEMENT, EQ,36.45,36.95,37.0,35.1, 35.20,35.6,36.11,32594,11.77,404, 16909, 51.88
2023-02-02,GSCLCEMENT, EQ,35.6,35.6,36.0,35.1, 35.65,35.35,35.48,24939,8.85,768, 14263, 57.19
2023-02-03,GSCLCEMENT, EQ,35.35,35.8,35.8,34.0, 35.00,34.75,34.61,82144,28.43,769, 51323, 62.48
2023-02-06,GSCLCEMENT, EQ,34.75,34.75,34.9,34.45, 34.90,34.75,34.67,46721,16.2,398, 27226, 58.27
2023-02-07,GSCLCEMENT, EQ,34.75,35.0,35.0,34.25, 34.55,34.6,34.62,18852,6.53,341, 11251, 59.68
2023-02-08,GSCLCEMENT, EQ,34.6,35.25,36.3,34.9, 35.55,35.35,35.55,68924,24.5,651, 31357, 45.50
2023-02-09,GSCLCEMENT, EQ,35.35,35.55,35.65,34.9, 35.50,35.15,35.13,17154,6.03,367, 11303, 65.89
2023-02-10,GSCLCEMENT, EQ,35.15,35.4,35.65,35.2, 35.40,35.45,35.44,63870,22.64,745, 53774, 84.19
2023-02-13,GSCLCEMENT, EQ,35.45,35.8,35.95,35.05,35.35,35.3,35.42,32161,11.39,413, 19312, 60.05
2023-02-14,GSCLCEMENT, EQ,35.3,35.0,35.35,33.75,34.15,34.0,34.3,45732,15.69,621, 31611, 69.12
2023-02-15,GSCLCEMENT, EQ,34.0,34.65,35.3,33.5, 35.00,34.85,34.45,66366,22.86,1300, 30018, 45.23
2023-02-16,GSCLCEMENT, EQ,34.85,34.85,35.85,34.5, 34.85,34.8,35.05,72194,25.31,668, 45680, 63.27
2023-02-17,GSCLCEMENT, EQ,34.8,34.25,35.7,34.25, 35.00,34.85,35.12,72902,25.6,838, 32184, 44.15
2023-02-20,GSCLCEMENT, EQ,34.85,34.85,35.3,34.6, 34.60,34.7,34.93,30360,10.61,421, 18604, 61.28
2023-02-21,GSCLCEMENT, EQ,34.7,34.75,35.15,34.65, 35.00,34.8,34.91,23784,8.3,377, 15534, 65.31
2023-02-22,GSCLCEMENT, EQ,34.8,34.9,34.9,33.85, 33.95,34.05,34.12,42910,14.64,448, 26388, 61.50
2023-02-23,GSCLCEMENT, EQ,34.05,33.95,34.3,33.6,33.8,33.8,33.93,27147,9.21,310, 16172, 59.57
2023-02-24,GSCLCEMENT, EQ,33.8,33.8,34.0,33.0, 33.30,33.2,33.32,31338,10.44,458, 21765, 69.45
2023-02-27,GSCLCEMENT, EQ,33.2,33.65,33.65,32.8, 32.80,33.0,33.07,28804,9.53,321, 21424, 74.38
2023-02-28,GSCLCEMENT, EQ,33.0,33.15,34.45,32.1, 32.15,32.25,32.89,108795,35.79,1079, 50390, 46.32
2023-03-01,GSCLCEMENT, EQ,32.25,32.6,33.05,32.3, 32.75,32.65,32.74,26026,8.52,318, 15227, 58.51
2023-03-02,GSCLCEMENT, EQ,32.65,32.7,33.4,32.55, 32.75,32.95,32.84,32224,10.58,559, 19350, 60.05
2023-03-03,GSCLCEMENT, EQ,32.95,33.45,33.5,32.95, 33.50,33.3,33.22,42261,14.04,356, 27080, 64.08
2023-03-06,GSCLCEMENT, EQ,33.3,33.95,34.1,33.4, 34.05,34.0,33.86,40970,13.87,389, 25949, 63.34
2023-03-08,GSCLCEMENT, EQ,34.0,33.5,33.95,33.5, 33.65,33.75,33.76,42938,14.5,278, 36658, 85.37
2023-03-09,GSCLCEMENT, EQ,33.75,33.65,33.95,33.35, 33.90,33.6,33.62,48568,16.33,463, 33818, 69.63
2023-03-10,GSCLCEMENT, EQ,33.6,33.6,33.95,33.3, 33.70,33.7,33.64,19148,6.44,248, 13636, 71.21
2023-03-13,GSCLCEMENT, EQ,33.7,33.7,33.95,32.4, 32.80,32.7,33.09,43245,14.31,621, 31121, 71.96
2023-03-14,GSCLCEMENT, EQ,32.7,33.15,33.15,31.75, 31.75,31.85,32.17,33212,10.69,586, 26312, 79.22
2023-03-15,GSCLCEMENT, EQ,31.85,31.9,33.4,31.9, 32.45,32.55,32.74,97480,31.92,739, 72009, 73.87
2023-03-16,GSCLCEMENT, EQ,32.55,32.55,32.75,31.85, 32.55,32.15,32.14,47597,15.3,567, 31703, 66.61
2023-03-17,GSCLCEMENT, EQ,32.15,32.4,32.7,31.8, 32.45,32.35,32.36,38813,12.56,484, 25639, 66.06
2023-03-20,GSCLCEMENT, EQ,32.35,32.0,32.85,31.5,32.05,31.75,32.0,70389,22.52,651, 54692, 77.70
2023-03-21,GSCLCEMENT, EQ,31.75,32.15,32.15,31.55, 31.70,31.65,31.79,35323,11.23,492, 27167, 76.91
2023-03-22,GSCLCEMENT, EQ,31.65,32.0,32.85,31.45, 31.90,31.8,32.14,56251,18.08,601, 39992, 71.10
2023-03-23,GSCLCEMENT, EQ,31.8,31.9,32.25,31.3, 31.70,31.5,31.84,59309,18.88,438, 46967, 79.19
