DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,GTL, EQ,8.0,8.2,8.3,8.0, 8.25,8.2,8.15,289171,23.57,712, 183077, 63.31
2023-01-03,GTL, EQ,8.2,8.35,8.35,8.0, 8.10,8.1,8.13,539720,43.89,940, 348261, 64.53
2023-01-04,GTL, EQ,8.1,8.1,8.2,7.9, 7.90,7.95,8.01,579642,46.43,890, 287634, 49.62
2023-01-05,GTL, EQ,7.95,8.0,8.1,7.85,8.1,8.0,7.97,368462,29.38,677, 227971, 61.87
2023-01-06,GTL, EQ,8.0,8.1,8.1,7.85,7.95,7.95,7.94,236569,18.79,600, 130031, 54.97
2023-01-09,GTL, EQ,7.95,8.05,8.05,7.8,7.9,7.85,7.93,197361,15.65,754, 130962, 66.36
2023-01-10,GTL, EQ,7.85,8.0,8.0,7.7,7.85,7.8,7.84,342732,26.86,603, 187073, 54.58
2023-01-11,GTL, EQ,7.8,7.7,7.95,7.7, 7.80,7.8,7.85,331368,26.02,561, 201796, 60.90
2023-01-12,GTL, EQ,7.8,7.95,7.95,7.6, 7.75,7.7,7.73,286311,22.14,718, 141567, 49.45
2023-01-13,GTL, EQ,7.7,7.7,7.9,7.65,7.85,7.85,7.8,210594,16.43,450, 116390, 55.27
2023-01-16,GTL, EQ,7.85,7.85,7.95,7.7, 7.80,7.75,7.77,235878,18.33,864, 158117, 67.03
2023-01-17,GTL, EQ,7.75,7.9,7.95,7.65,7.7,7.7,7.73,411455,31.8,689, 231949, 56.37
2023-01-18,GTL, EQ,7.7,7.65,7.75,7.55,7.65,7.6,7.63,306005,23.34,813, 174426, 57.00
2023-01-19,GTL, EQ,7.6,7.65,7.85,7.55, 7.65,7.7,7.71,415292,32.02,640, 227385, 54.75
2023-01-20,GTL, EQ,7.7,7.65,7.75,7.65,7.7,7.7,7.7,129977,10.0,448, 96102, 73.94
2023-01-23,GTL, EQ,7.7,7.7,7.85,7.55,7.6,7.6,7.61,165644,12.61,752, 125410, 75.71
2023-01-24,GTL, EQ,7.6,7.8,7.8,7.55,7.55,7.55,7.59,193314,14.67,574, 105871, 54.77
2023-01-25,GTL, EQ,7.55,7.6,7.65,7.3, 7.40,7.35,7.4,511544,37.83,878, 322716, 63.09
2023-01-27,GTL, EQ,7.35,6.3,6.5,5.9, 5.90,5.9,5.96,1855731,110.69,2590, 1564949, 84.33
2023-01-30,GTL, EQ,5.9,4.75,5.3,4.75, 5.05,5.0,4.94,5124175,252.88,5044, 2049686, 40.00
2023-01-31,GTL, EQ,5.0,5.05,5.5,5.05,5.5,5.5,5.38,562502,30.27,665, 318547, 56.63
2023-02-01,GTL, EQ,5.5,5.9,6.05,5.9, 6.05,6.05,6.02,746027,44.95,804, 598890, 80.28
2023-02-02,GTL, EQ,6.05,6.3,6.65,5.85, 6.65,6.65,6.42,4079160,261.72,8670, 2501394, 61.32
2023-02-03,GTL, EQ,6.65,6.85,6.95,6.7, 6.95,6.9,6.91,1713850,118.39,2269, 939436, 54.81
2023-02-06,GTL, EQ,6.9,7.2,7.2,6.6, 6.70,6.75,6.9,1549498,106.93,1868, 634096, 40.92
2023-02-07,GTL, EQ,6.75,6.6,6.75,6.45, 6.45,6.45,6.49,540073,35.07,848, 347256, 64.30
2023-02-08,GTL, EQ,6.45,6.25,6.45,6.15, 6.15,6.15,6.2,1272101,78.89,1712, 644023, 50.63
2023-02-09,GTL, EQ,6.15,6.15,6.15,5.95, 6.10,6.0,6.04,760993,45.93,1462, 427654, 56.20
2023-02-10,GTL, EQ,6.0,5.9,6.3,5.9, 6.30,6.3,6.22,465442,28.96,504, 315335, 67.75
2023-02-13,GTL, EQ,6.3,6.4,6.6,6.1,6.15,6.15,6.38,1108835,70.72,1405, 590291, 53.24
2023-02-14,GTL, EQ,6.15,6.15,6.3,5.9,5.9,6.0,6.07,526194,31.93,950, 271122, 51.53
2023-02-15,GTL, EQ,6.0,5.95,6.2,5.9, 6.10,6.15,6.07,563827,34.21,871, 271234, 48.11
2023-02-16,GTL, EQ,6.15,6.3,6.3,6.05, 6.10,6.05,6.11,322009,19.68,666, 161200, 50.06
2023-02-17,GTL, EQ,6.05,6.15,6.2,6.0, 6.10,6.05,6.08,362400,22.03,640, 144551, 39.89
2023-02-20,GTL, EQ,6.05,6.1,6.15,5.9, 6.00,5.95,5.98,367351,21.98,664, 151165, 41.15
2023-02-21,GTL, EQ,5.95,6.05,6.05,5.7, 5.75,5.8,5.84,774061,45.23,940, 380900, 49.21
2023-02-22,GTL, EQ,5.8,5.8,5.85,5.7, 5.80,5.8,5.76,389979,22.46,810, 198104, 50.80
2023-02-23,GTL, EQ,5.8,5.85,5.9,5.65,5.7,5.7,5.76,396542,22.84,736, 145089, 36.59
2023-02-24,GTL, EQ,5.7,5.7,5.8,5.55, 5.65,5.6,5.65,355477,20.1,579, 172660, 48.57
2023-02-27,GTL, EQ,5.6,5.7,5.7,5.35, 5.40,5.4,5.45,453731,24.74,932, 174054, 38.36
2023-02-28,GTL, EQ,5.4,5.35,5.45,5.15, 5.20,5.2,5.26,673759,35.42,1100, 395235, 58.66
2023-03-01,GTL, EQ,5.2,5.25,5.45,5.15, 5.45,5.45,5.39,489092,26.36,596, 354718, 72.53
2023-03-02,GTL, EQ,5.45,5.55,5.7,5.5, 5.70,5.7,5.68,451072,25.62,609, 226337, 50.18
2023-03-03,GTL, EQ,5.7,5.85,5.85,5.55, 5.60,5.6,5.66,594017,33.64,1173, 362146, 60.97
2023-03-06,GTL, EQ,5.6,5.6,5.85,5.6, 5.70,5.7,5.76,646819,37.25,1010, 306753, 47.42
2023-03-08,GTL, EQ,5.7,5.65,5.75,5.65, 5.65,5.65,5.7,310605,17.7,496, 185960, 59.87
2023-03-09,GTL, EQ,5.65,5.75,5.75,5.6, 5.60,5.6,5.66,274032,15.51,529, 156285, 57.03
2023-03-10,GTL, EQ,5.6,5.6,5.65,5.55, 5.60,5.6,5.6,351287,19.68,856, 200445, 57.06
2023-03-13,GTL, EQ,5.6,5.6,5.65,5.35, 5.40,5.4,5.47,491677,26.92,710, 174214, 35.43
2023-03-14,GTL, EQ,5.4,5.45,5.5,5.25, 5.35,5.3,5.37,441631,23.73,626, 189681, 42.95
2023-03-15,GTL, EQ,5.3,5.35,5.35,5.15, 5.15,5.15,5.25,421395,22.12,635, 243442, 57.77
2023-03-16,GTL, EQ,5.15,5.15,5.35,5.05, 5.30,5.25,5.2,348609,18.13,630, 155429, 44.59
2023-03-17,GTL, EQ,5.25,5.35,5.45,5.1, 5.10,5.2,5.25,381217,20.0,685, 155479, 40.78
2023-03-20,GTL, EQ,5.2,5.0,5.25,5.0,5.15,5.1,5.13,219977,11.3,723, 138908, 63.15
2023-03-21,GTL, EQ,5.1,5.2,5.35,5.1, 5.15,5.2,5.19,759410,39.41,1059, 264934, 34.89
2023-03-22,GTL, EQ,5.2,5.25,5.35,5.15, 5.25,5.25,5.25,241334,12.66,626, 126226, 52.30
2023-03-23,GTL, EQ,5.25,5.2,5.3,5.05, 5.05,5.05,5.14,366973,18.86,550, 277063, 75.50
2023-03-24,GTL, EQ,5.05,5.05,5.1,4.95, 5.05,5.05,5.02,541726,27.17,973, 332696, 61.41
2023-03-27,GTL, EQ,5.05,5.1,5.1,4.8, 4.80,4.8,4.88,481107,23.48,990, 333117, 69.24
2023-03-28,GTL, EQ,4.8,4.8,5.0,4.75, 4.75,4.8,4.83,436483,21.09,763, 293393, 67.22
2023-03-29,GTL, EQ,4.8,4.85,4.85,4.7, 4.80,4.7,4.74,506711,24.04,946, 303421, 59.88
2023-03-31,GTL, EQ,4.7,4.8,4.9,4.7, 4.70,4.8,4.84,469477,22.71,568, 409369, 87.20
2023-04-03,GTL, EQ,4.8,4.95,5.0,4.85, 5.00,5.0,4.99,207778,10.37,308, 133347, 64.18
2023-04-05,GTL, EQ,5.0,5.2,5.25,5.15, 5.25,5.25,5.24,134093,7.03,282, 93969, 70.08
2023-04-06,GTL, EQ,5.25,5.4,5.5,5.4, 5.50,5.5,5.48,121103,6.64,203, 86799, 71.67
2023-04-10,GTL, EQ,5.5,5.7,5.75,5.3, 5.35,5.35,5.51,695435,38.28,1351, 359179, 51.65
2023-04-11,GTL, EQ,5.35,5.35,5.75,5.3, 5.70,5.6,5.47,625470,34.2,1000, 324235, 51.84
2023-04-12,GTL, EQ,5.6,5.75,5.75,5.5, 5.60,5.55,5.56,168529,9.37,506, 101420, 60.18
2023-04-13,GTL, EQ,5.55,5.6,5.6,5.4, 5.45,5.5,5.5,167381,9.21,400, 94344, 56.36
2023-04-17,GTL, EQ,5.5,5.5,5.5,5.25, 5.45,5.4,5.38,265731,14.29,516, 178700, 67.25
2023-04-18,GTL, EQ,5.4,5.5,5.8,5.5, 5.60,5.55,5.63,285505,16.07,649, 160829, 56.33
2023-04-19,GTL, EQ,5.55,5.5,5.65,5.5, 5.60,5.5,5.56,151885,8.45,799, 96709, 63.67
2023-04-20,GTL, EQ,5.5,5.55,5.7,5.45, 5.55,5.55,5.55,158675,8.81,325, 96847, 61.03
2023-04-21,GTL, EQ,5.55,5.55,5.6,5.4, 5.45,5.5,5.46,166983,9.11,572, 102822, 61.58
2023-04-24,GTL, EQ,5.5,5.5,5.55,5.35, 5.40,5.4,5.44,245995,13.38,512, 131171, 53.32
2023-04-25,GTL, EQ,5.4,5.45,5.55,5.35,5.5,5.45,5.47,204925,11.2,436, 136727, 66.72
2023-04-26,GTL, EQ,5.45,5.45,5.45,5.35, 5.45,5.45,5.41,127579,6.91,346, 69729, 54.66
2023-04-27,GTL, EQ,5.45,5.45,5.5,5.35, 5.45,5.45,5.42,123520,6.69,485, 87818, 71.10
2023-04-28,GTL, EQ,5.45,5.5,5.5,5.35, 5.45,5.4,5.41,236114,12.78,544, 128439, 54.40
2023-05-02,GTL, EQ,5.4,5.4,5.6,5.35, 5.40,5.4,5.43,338094,18.36,674, 225838, 66.80
2023-05-03,GTL, EQ,5.4,5.45,5.45,5.4,5.4,5.45,5.42,164834,8.93,576, 119710, 72.62
2023-05-04,GTL, EQ,5.45,5.45,5.5,5.4, 5.50,5.45,5.44,176687,9.62,509, 114656, 64.89
2023-05-05,GTL, EQ,5.45,5.6,5.7,5.45, 5.50,5.5,5.51,299053,16.49,534, 175952, 58.84
2023-05-08,GTL, EQ,5.5,5.7,5.7,5.4, 5.45,5.4,5.46,159334,8.7,458, 123544, 77.54
2023-05-09,GTL, EQ,5.4,5.45,5.5,5.3,5.35,5.4,5.4,162464,8.77,452, 104826, 64.52
2023-05-10,GTL, EQ,5.4,5.4,5.45,5.35,5.4,5.4,5.39,178063,9.6,442, 124360, 69.84
2023-05-11,GTL, EQ,5.4,5.4,5.4,5.2, 5.30,5.35,5.31,566519,30.09,745, 322791, 56.98
2023-05-12,GTL, EQ,5.35,5.35,5.5,5.3, 5.35,5.35,5.41,308318,16.68,486, 182008, 59.03
2023-05-15,GTL, EQ,5.35,5.4,5.6,5.3, 5.35,5.4,5.4,380788,20.55,458, 257564, 67.64
2023-05-16,GTL, EQ,5.4,5.4,5.45,5.35,5.4,5.35,5.39,133813,7.21,417, 78386, 58.58
2023-05-17,GTL, EQ,5.35,5.4,5.5,5.35, 5.45,5.4,5.45,284994,15.52,541, 194416, 68.22
2023-05-18,GTL, EQ,5.4,5.4,5.5,5.25, 5.30,5.3,5.34,340850,18.21,505, 235524, 69.10
2023-05-19,GTL, EQ,5.3,5.35,5.35,5.2,5.2,5.2,5.25,293442,15.41,551, 166320, 56.68
2023-05-22,GTL, EQ,5.2,5.2,5.25,5.1,5.2,5.15,5.18,230070,11.91,516, 173127, 75.25
2023-05-23,GTL, EQ,5.15,5.15,5.2,5.1, 5.20,5.2,5.17,205134,10.6,457, 140695, 68.59
2023-05-24,GTL, EQ,5.2,5.2,5.2,5.15, 5.20,5.15,5.17,155650,8.05,496, 118497, 76.13
2023-05-25,GTL, EQ,5.15,5.65,5.65,5.65, 5.65,5.65,5.65,542201,30.63,269, 468089, 86.33
2023-05-26,GTL, EQ,5.65,6.2,6.2,5.8,6.0,6.05,6.05,2716008,164.45,2487, 1230318, 45.30
2023-05-29,GTL, EQ,6.05,6.0,6.05,5.7, 5.75,5.8,5.83,776005,45.27,1069, 480340, 61.90
2023-05-30,GTL, EQ,5.8,5.75,5.85,5.65, 5.70,5.7,5.73,321496,18.41,608, 247500, 76.98
2023-05-31,GTL, EQ,5.7,5.65,5.7,5.5, 5.60,5.6,5.59,424953,23.75,670, 254734, 59.94
2023-06-01,GTL, EQ,5.6,5.65,5.8,5.6, 5.75,5.7,5.71,305296,17.44,593, 180400, 59.09
2023-06-02,GTL, EQ,5.7,5.8,5.85,5.65, 5.75,5.75,5.74,344364,19.78,512, 179903, 52.24
2023-06-05,GTL, EQ,5.75,5.8,5.95,5.75, 5.95,5.95,5.87,344499,20.23,627, 234182, 67.98
2023-06-06,GTL, EQ,5.95,6.0,6.0,5.85,5.95,5.9,5.91,287676,16.99,526, 191498, 66.57
2023-06-07,GTL, EQ,5.9,6.0,6.5,5.95, 6.25,6.25,6.27,1691859,106.03,1635, 797767, 47.15
2023-06-08,GTL, EQ,6.25,6.45,6.75,6.35, 6.45,6.45,6.56,1660268,108.99,1864, 893493, 53.82
2023-06-09,GTL, EQ,6.45,6.45,6.65,6.3, 6.40,6.4,6.47,675630,43.75,934, 343279, 50.81
2023-06-12,GTL, EQ,6.4,6.6,6.8,6.4, 6.45,6.45,6.57,998522,65.63,1132, 555127, 55.59
2023-06-13,GTL, EQ,6.45,6.7,6.7,6.4, 6.50,6.5,6.55,432853,28.37,781, 304297, 70.30
2023-06-14,GTL, EQ,6.5,6.6,6.65,6.4, 6.45,6.45,6.45,488968,31.56,831, 311920, 63.79
2023-06-15,GTL, EQ,6.45,6.45,6.45,5.85, 6.30,6.25,6.25,454218,28.38,900, 240358, 52.92
2023-06-16,GTL, EQ,6.25,6.25,6.5,6.2, 6.50,6.4,6.42,604559,38.84,691, 316916, 52.42
2023-06-19,GTL, EQ,6.4,6.45,6.5,6.25, 6.30,6.3,6.33,251534,15.92,526, 150649, 59.89
2023-06-20,GTL, EQ,6.3,6.2,6.35,6.1, 6.20,6.15,6.18,374008,23.12,591, 211319, 56.50
2023-06-21,GTL, EQ,6.15,6.2,6.35,6.15, 6.15,6.15,6.24,344199,21.48,740, 222371, 64.61
2023-06-22,GTL, EQ,6.15,6.25,6.3,6.1,6.2,6.2,6.17,278141,17.16,452, 175379, 63.05
2023-06-23,GTL, EQ,6.2,6.15,6.2,5.55, 5.95,5.95,5.89,923859,54.46,1081, 473294, 51.23
2023-06-26,GTL, EQ,5.95,6.1,6.1,5.9, 6.00,5.95,5.97,106614,6.37,458, 67657, 63.46
2023-06-27,GTL, EQ,5.95,5.95,6.15,5.95, 5.95,5.95,5.99,141748,8.49,512, 117961, 83.22
2023-06-28,GTL, EQ,5.95,6.0,6.2,5.75, 6.00,5.95,6.02,386603,23.25,781, 188056, 48.64
2023-06-30,GTL, EQ,5.95,5.95,6.05,5.85, 5.95,5.9,5.93,268741,15.95,773, 179125, 66.65
2023-07-03,GTL, EQ,5.9,5.95,7.05,5.9, 6.75,6.7,6.73,3237074,217.75,2989, 1776194, 54.87
2023-07-04,GTL, EQ,6.7,6.75,7.0,6.7, 6.80,6.8,6.88,1319767,90.77,1574, 800683, 60.67
2023-07-05,GTL, EQ,6.8,6.95,6.95,6.6,6.7,6.65,6.7,625862,41.93,980, 433109, 69.20
2023-07-06,GTL, EQ,6.65,6.7,6.75,6.55,6.65,6.6,6.64,454617,30.18,756, 252767, 55.60
2023-07-07,GTL, EQ,6.6,6.65,6.95,6.6, 6.85,6.8,6.78,861465,58.41,1038, 522871, 60.70
2023-07-10,GTL, EQ,6.8,6.95,7.3,6.8,7.1,7.05,7.11,1001285,71.19,1594, 632228, 63.14
2023-07-11,GTL, EQ,7.05,7.15,7.3,7.05, 7.30,7.2,7.17,775180,55.61,1198, 379009, 48.89
2023-07-12,GTL, EQ,7.2,7.25,7.75,7.2, 7.50,7.5,7.55,2033924,153.61,2641, 928054, 45.63
2023-07-13,GTL, EQ,7.5,7.65,7.8,6.9, 7.10,7.0,7.2,2375560,171.08,2208, 1138276, 47.92
2023-07-14,GTL, EQ,7.0,7.15,7.3,6.6,7.05,7.0,7.05,733718,51.71,1297, 372685, 50.79
2023-07-17,GTL, EQ,7.0,7.15,7.45,6.95,7.25,7.2,7.24,892602,64.62,1295, 439388, 49.23
2023-07-18,GTL, EQ,7.2,7.25,7.5,7.05, 7.10,7.15,7.2,813268,58.58,1019, 343542, 42.24
2023-07-19,GTL, EQ,7.15,7.15,7.25,7.0, 7.20,7.15,7.13,774045,55.16,961, 431840, 55.79
