DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,HARRMALAYA, EQ,136.05,137.0,138.7,136.0, 137.90,137.65,137.44,16572,22.78,557, 7122, 42.98
2023-01-03,HARRMALAYA, EQ,137.65,137.6,142.4,137.6, 141.30,141.05,140.64,45183,63.55,1190, 17939, 39.70
2023-01-04,HARRMALAYA, EQ,141.05,141.55,142.9,138.0, 138.95,138.6,140.15,33305,46.68,1107, 16692, 50.12
2023-01-05,HARRMALAYA, EQ,138.6,139.85,141.15,137.0,137.3,137.65,138.77,16006,22.21,609, 7216, 45.08
2023-01-06,HARRMALAYA, EQ,137.65,138.15,139.45,136.0,137.15,137.05,137.65,12538,17.26,498, 7560, 60.30
2023-01-09,HARRMALAYA, EQ,137.05,137.6,142.05,137.0,137.6,137.5,139.41,81068,113.02,1674, 23173, 28.58
2023-01-10,HARRMALAYA, EQ,137.5,138.0,138.95,134.35,135.5,135.35,136.12,26866,36.57,1051, 14069, 52.37
2023-01-11,HARRMALAYA, EQ,135.35,136.0,140.45,134.6, 138.00,137.95,137.94,82590,113.92,2689, 24489, 29.65
2023-01-12,HARRMALAYA, EQ,137.95,139.05,139.55,135.1, 136.10,135.65,136.91,20290,27.78,950, 9072, 44.71
2023-01-13,HARRMALAYA, EQ,135.65,136.85,137.0,135.9,136.7,136.3,136.4,10288,14.03,344, 5033, 48.92
2023-01-16,HARRMALAYA, EQ,136.3,135.6,136.8,135.1, 135.20,135.5,136.23,8407,11.45,212, 3655, 43.48
2023-01-17,HARRMALAYA, EQ,135.5,137.05,137.05,135.45,136.5,136.25,136.04,8536,11.61,264, 5426, 63.57
2023-01-18,HARRMALAYA, EQ,136.25,139.0,140.4,137.0,138.65,138.95,138.85,46470,64.52,999, 22036, 47.42
2023-01-19,HARRMALAYA, EQ,138.95,138.85,139.25,137.1, 137.10,137.25,138.17,9332,12.89,360, 5518, 59.13
2023-01-20,HARRMALAYA, EQ,137.25,138.3,138.4,137.15,137.25,137.7,137.81,9796,13.5,256, 5301, 54.11
2023-01-23,HARRMALAYA, EQ,137.7,137.85,138.5,135.75,137.05,137.25,137.2,8164,11.2,284, 5341, 65.42
2023-01-24,HARRMALAYA, EQ,137.25,136.4,137.9,135.9,137.0,136.35,136.52,7173,9.79,230, 4439, 61.88
2023-01-25,HARRMALAYA, EQ,136.35,138.4,138.4,132.75, 132.75,133.2,133.97,13618,18.24,482, 7652, 56.19
2023-01-27,HARRMALAYA, EQ,133.2,134.6,135.0,129.05, 130.50,130.9,131.48,18659,24.53,641, 12714, 68.14
2023-01-30,HARRMALAYA, EQ,130.9,130.65,134.45,129.95, 131.00,130.5,131.39,10139,13.32,461, 5529, 54.53
2023-01-31,HARRMALAYA, EQ,130.5,131.05,133.0,129.6,132.15,132.05,131.84,9276,12.23,345, 5468, 58.95
2023-02-01,HARRMALAYA, EQ,132.05,134.0,139.9,132.1, 136.45,136.05,136.25,36533,49.78,1074, 20040, 54.85
2023-02-02,HARRMALAYA, EQ,136.05,135.85,137.2,134.25, 136.20,135.6,135.6,12183,16.52,383, 7265, 59.63
2023-02-03,HARRMALAYA, EQ,135.6,136.2,137.1,133.25, 134.00,134.0,134.37,16889,22.69,379, 11071, 65.55
2023-02-06,HARRMALAYA, EQ,134.0,134.1,135.2,132.5, 133.30,132.9,133.23,7842,10.45,352, 5442, 69.40
2023-02-07,HARRMALAYA, EQ,132.9,133.1,136.0,132.65, 134.75,134.7,134.77,25541,34.42,419, 18976, 74.30
2023-02-08,HARRMALAYA, EQ,134.7,134.7,137.75,133.8, 135.20,135.85,135.13,13572,18.34,330, 8923, 65.75
2023-02-09,HARRMALAYA, EQ,135.85,136.25,137.3,134.0, 134.35,135.25,135.99,11207,15.24,396, 7088, 63.25
2023-02-10,HARRMALAYA, EQ,135.25,135.2,136.15,133.0, 133.40,133.55,134.38,17927,24.09,348, 13920, 77.65
2023-02-13,HARRMALAYA, EQ,133.55,133.55,134.95,130.0,131.0,130.8,132.75,15845,21.03,643, 7338, 46.31
2023-02-14,HARRMALAYA, EQ,130.8,129.6,132.55,129.25,129.25,129.6,130.21,12803,16.67,330, 8182, 63.91
2023-02-15,HARRMALAYA, EQ,129.6,129.25,132.25,126.55, 127.95,127.65,128.73,16212,20.87,609, 10702, 66.01
