DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,HECPROJECT, EQ,57.55,60.4,60.4,60.4, 60.40,60.4,60.4,8461,5.11,58, 8460, 99.99
2023-01-03,HECPROJECT, EQ,60.4,63.4,63.4,57.4, 57.40,57.4,59.7,203786,121.66,599, 112658, 55.28
2023-01-04,HECPROJECT, EQ,57.4,54.65,54.65,54.55, 54.55,54.55,54.56,7255,3.96,71, 7255, 100.00
2023-01-05,HECPROJECT, EQ,54.55,51.85,51.85,51.85,51.85,51.85,51.85,1761,0.91,37, 1761, 100.00
2023-01-06,HECPROJECT, EQ,51.85,49.8,54.4,49.3,49.65,49.35,49.65,165275,82.07,751, 85896, 51.97
2023-01-09,HECPROJECT, EQ,49.35,49.35,49.35,46.9,46.9,46.9,47.04,14604,6.87,114, 14367, 98.38
2023-01-10,HECPROJECT, EQ,46.9,44.6,44.6,44.55,44.55,44.55,44.55,2967,1.32,59, 2967, 100.00
2023-01-11,HECPROJECT, EQ,44.55,42.35,45.7,42.35, 42.35,42.35,43.38,36488,15.83,417, 22223, 60.90
2023-02-28,HECPROJECT, EQ,30.5,31.45,31.6,29.05, 30.00,30.0,30.64,3386,1.04,47, 2077, 61.34
2023-03-01,HECPROJECT, EQ,30.0,30.05,30.65,28.9, 30.65,30.6,30.23,1288,0.39,28, 1233, 95.73
2023-03-02,HECPROJECT, EQ,30.6,30.65,31.0,30.1, 31.00,30.85,30.79,276,0.08,15, 221, 80.07
2023-03-03,HECPROJECT, EQ,30.85,31.0,31.7,29.7, 29.70,29.9,30.15,3340,1.01,42, 3152, 94.37
2023-03-06,HECPROJECT, EQ,29.9,30.8,31.35,29.2, 30.50,30.45,30.41,6319,1.92,107, 3494, 55.29
2023-03-08,HECPROJECT, EQ,30.45,29.65,31.1,29.6, 31.10,30.35,30.01,1671,0.5,30, 1330, 79.59
2023-03-09,HECPROJECT, EQ,30.35,30.4,30.4,29.7, 29.70,29.7,29.82,372,0.11,15, 304, 81.72
2023-03-10,HECPROJECT, EQ,29.7,29.95,30.85,29.95, 30.00,30.2,30.48,630,0.19,15, 331, 52.54
2023-03-13,HECPROJECT, EQ,30.2,29.55,29.9,29.55, 29.60,29.85,29.79,146,0.04,11, 73, 50.00
2023-03-14,HECPROJECT, EQ,29.85,29.95,30.3,29.7, 30.30,29.95,29.98,933,0.28,13, 907, 97.21
2023-03-15,HECPROJECT, EQ,29.95,30.5,31.4,28.65, 30.15,30.15,30.61,6030,1.85,89, 4254, 70.55
2023-03-16,HECPROJECT, EQ,30.15,30.75,31.05,28.7, 29.70,30.65,29.19,4374,1.28,50, 3415, 78.07
2023-03-17,HECPROJECT, EQ,30.65,30.15,31.2,29.85, 30.05,30.05,30.64,6194,1.9,65, 2537, 40.96
2023-03-20,HECPROJECT, EQ,30.05,29.3,31.0,29.3,30.6,30.7,30.65,2500,0.77,41, 1950, 78.00
2023-03-21,HECPROJECT, EQ,30.7,30.65,32.2,30.1, 31.70,32.0,31.33,7965,2.5,62, 6092, 76.48
2023-03-22,HECPROJECT, EQ,32.0,32.95,32.95,31.2, 32.20,32.05,32.18,755,0.24,30, 571, 75.63
2023-03-23,HECPROJECT, EQ,32.05,32.45,32.45,32.45, 32.45,32.45,32.45,39,0.01,2, 39, 100.00
2023-03-24,HECPROJECT, EQ,32.45,31.05,31.05,30.85, 30.85,30.85,30.86,202,0.06,5, 202, 100.00
2023-03-27,HECPROJECT, EQ,30.85,29.5,32.0,29.4, 29.95,30.4,30.5,10355,3.16,96, 8252, 79.69
2023-03-28,HECPROJECT, EQ,30.4,30.3,31.3,29.5, 31.25,31.25,30.49,9544,2.91,36, 9311, 97.56
2023-03-29,HECPROJECT, EQ,31.25,30.7,31.2,30.1, 30.15,30.25,30.66,473,0.15,22, 359, 75.90
2023-03-31,HECPROJECT, EQ,30.25,29.3,31.65,29.05, 29.05,29.05,30.3,1739,0.53,46, 925, 53.19
2023-04-03,HECPROJECT, EQ,29.05,30.5,30.5,29.45, 30.50,30.5,30.3,1506,0.46,29, 1284, 85.26
2023-04-05,HECPROJECT, EQ,30.5,30.6,31.5,30.6, 31.50,31.45,31.19,714,0.22,28, 571, 79.97
2023-04-06,HECPROJECT, EQ,31.45,31.55,31.55,31.5, 31.50,31.5,31.53,4,0.0,3, 2, 50.00
2023-04-10,HECPROJECT, EQ,31.5,30.4,31.35,29.95, 29.95,29.95,30.06,2960,0.89,45, 2525, 85.30
2023-04-11,HECPROJECT, EQ,29.95,27.15,30.45,27.05, 29.55,29.55,28.5,3380,0.96,66, 1653, 48.91
2023-04-12,HECPROJECT, EQ,29.55,29.55,29.55,29.5, 29.55,29.55,29.54,35,0.01,3, 30, 85.71
