DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,HEIDELBERG, EQ,187.5,187.5,189.9,187.05, 189.00,188.15,188.53,131976,248.81,3766, 65366, 49.53
2023-01-03,HEIDELBERG, EQ,188.15,188.0,189.9,187.5, 189.40,189.0,188.57,102417,193.13,2838, 51027, 49.82
2023-01-04,HEIDELBERG, EQ,189.0,189.5,194.0,188.55, 189.00,189.35,191.53,530666,1016.38,9577, 242298, 45.66
2023-01-05,HEIDELBERG, EQ,189.35,189.1,190.25,187.2,188.9,188.85,188.75,102675,193.79,2833, 47562, 46.32
2023-01-06,HEIDELBERG, EQ,188.85,188.25,191.95,188.25,189.1,188.95,189.69,124791,236.71,3666, 49841, 39.94
2023-01-09,HEIDELBERG, EQ,188.95,190.0,191.6,188.9,189.5,189.35,190.35,77840,148.17,2472, 37253, 47.86
2023-01-10,HEIDELBERG, EQ,189.35,189.35,190.5,186.25,187.3,187.1,188.21,106388,200.24,2894, 57642, 54.18
2023-01-11,HEIDELBERG, EQ,187.1,186.8,188.4,185.5, 185.90,185.9,186.47,85478,159.39,2281, 46740, 54.68
2023-01-12,HEIDELBERG, EQ,185.9,186.8,188.7,185.35, 186.00,186.7,186.93,75980,142.03,2345, 31253, 41.13
2023-01-13,HEIDELBERG, EQ,186.7,187.2,187.9,185.6,186.0,186.7,186.96,59751,111.71,2344, 24327, 40.71
2023-01-16,HEIDELBERG, EQ,186.7,187.65,188.5,185.0, 186.00,186.05,186.93,81702,152.72,2593, 36106, 44.19
2023-01-17,HEIDELBERG, EQ,186.05,187.0,187.4,184.55,185.75,185.75,185.76,55825,103.7,1968, 30022, 53.78
2023-01-18,HEIDELBERG, EQ,185.75,185.5,187.45,185.5,187.1,187.1,186.75,41339,77.2,1361, 27225, 65.86
2023-01-19,HEIDELBERG, EQ,187.1,186.8,188.05,186.1, 187.85,187.5,187.06,40933,76.57,1634, 28521, 69.68
2023-01-20,HEIDELBERG, EQ,187.5,187.5,187.95,182.0,182.8,182.75,184.57,125153,230.99,3747, 76792, 61.36
2023-01-23,HEIDELBERG, EQ,182.75,183.5,184.85,181.25,181.5,182.8,182.39,95264,173.75,3674, 54610, 57.32
2023-01-24,HEIDELBERG, EQ,182.8,182.9,183.5,178.5,180.0,179.9,180.3,169067,304.83,5781, 79614, 47.09
2023-01-25,HEIDELBERG, EQ,179.9,180.1,180.8,174.05, 178.30,178.15,176.25,225104,396.75,6021, 127286, 56.55
2023-01-27,HEIDELBERG, EQ,178.15,178.0,178.9,166.15, 173.35,172.2,171.13,450073,770.19,12858, 211172, 46.92
2023-01-30,HEIDELBERG, EQ,172.2,173.15,177.65,172.15, 175.30,176.1,175.45,268604,471.27,8588, 142858, 53.19
2023-01-31,HEIDELBERG, EQ,176.1,176.95,177.9,173.8,175.0,175.35,175.69,185337,325.62,5571, 95082, 51.30
2023-02-01,HEIDELBERG, EQ,175.35,176.25,180.7,155.3, 163.00,164.8,167.82,588619,987.82,13424, 320462, 54.44
2023-02-02,HEIDELBERG, EQ,164.8,167.0,175.35,162.95, 168.00,168.0,169.92,483705,821.91,14121, 181761, 37.58
2023-02-03,HEIDELBERG, EQ,168.0,168.85,169.65,165.0, 168.35,168.15,167.52,192647,322.73,5486, 94289, 48.94
2023-02-06,HEIDELBERG, EQ,168.15,169.0,171.3,167.9, 170.00,170.4,169.72,164845,279.77,5108, 61943, 37.58
2023-02-07,HEIDELBERG, EQ,170.4,171.05,171.9,168.7, 169.60,169.75,170.23,154553,263.09,4930, 67394, 43.61
2023-02-08,HEIDELBERG, EQ,169.75,171.5,175.0,171.5, 174.90,174.15,173.28,199209,345.18,3785, 97429, 48.91
2023-02-09,HEIDELBERG, EQ,174.15,173.25,175.3,172.15, 174.00,173.8,173.7,105103,182.56,3467, 32408, 30.83
2023-02-10,HEIDELBERG, EQ,173.8,174.4,177.55,172.55, 175.90,175.65,175.64,165728,291.08,5179, 76520, 46.17
2023-02-13,HEIDELBERG, EQ,175.65,175.65,176.5,168.1,169.95,171.65,171.13,674033,1153.44,11761, 97414, 14.45
2023-02-14,HEIDELBERG, EQ,171.65,171.5,171.65,168.5,170.85,169.95,169.73,300603,510.22,5231, 164103, 54.59
