DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,HFCL, EQ,73.7,73.9,76.65,73.35, 75.75,75.6,74.79,6781121,5071.65,19255, 2462240, 36.31
2023-01-03,HFCL, EQ,75.6,76.3,77.65,76.2, 76.70,76.65,76.85,9292954,7141.49,25843, 3394765, 36.53
2023-01-04,HFCL, EQ,76.65,76.9,76.95,73.7, 74.60,74.45,74.79,6802146,5087.33,19369, 2982262, 43.84
2023-01-05,HFCL, EQ,74.45,74.85,75.0,73.4,74.7,74.4,74.2,5705596,4233.44,15635, 2194379, 38.46
2023-01-06,HFCL, EQ,74.4,74.45,74.75,71.9,72.75,72.75,73.18,6111673,4472.35,16386, 2984677, 48.84
2023-01-09,HFCL, EQ,72.75,73.5,73.95,72.0,72.25,72.3,72.9,4868817,3549.34,14224, 2383010, 48.94
2023-01-10,HFCL, EQ,72.3,72.75,73.7,71.9,72.5,72.35,72.62,6566480,4768.78,17954, 2217383, 33.77
2023-01-11,HFCL, EQ,72.35,72.65,73.7,72.2, 73.25,73.15,73.01,4405672,3216.75,12920, 1215136, 27.58
2023-01-12,HFCL, EQ,73.15,73.5,73.55,72.1, 72.45,72.4,72.68,3554357,2583.21,11425, 1499253, 42.18
2023-01-13,HFCL, EQ,72.4,72.75,73.95,72.25,73.45,73.65,73.07,4960291,3624.5,12812, 1963771, 39.59
2023-01-16,HFCL, EQ,73.65,73.9,74.25,72.6, 72.85,72.8,73.34,2990512,2193.15,11802, 1038920, 34.74
2023-01-17,HFCL, EQ,72.8,72.85,73.0,70.8,71.45,71.35,71.87,3699294,2658.63,13467, 1512895, 40.90
2023-01-18,HFCL, EQ,71.35,71.55,72.85,71.3,72.2,72.1,72.12,3419247,2465.91,11407, 948537, 27.74
2023-01-19,HFCL, EQ,72.1,71.6,72.4,71.5, 71.80,71.7,71.86,2851712,2049.2,10006, 1316650, 46.17
2023-01-20,HFCL, EQ,71.7,72.05,72.75,71.3,71.65,71.65,71.97,3040594,2188.25,10447, 1471576, 48.40
2023-01-23,HFCL, EQ,71.65,72.15,72.5,71.45,71.65,71.7,71.93,2673078,1922.67,11008, 1263027, 47.25
2023-01-24,HFCL, EQ,71.7,72.3,72.45,70.5,70.7,71.05,71.35,4053384,2892.04,15536, 1552030, 38.29
2023-01-25,HFCL, EQ,71.05,71.35,71.8,70.15, 70.60,70.5,70.75,2953755,2089.65,12608, 1086645, 36.79
2023-01-27,HFCL, EQ,70.5,70.9,71.0,67.2, 68.00,67.95,68.68,5224068,3587.8,21760, 2127084, 40.72
2023-01-30,HFCL, EQ,67.95,68.3,70.5,67.1, 67.50,67.7,68.51,6016462,4121.59,21225, 1794443, 29.83
2023-01-31,HFCL, EQ,67.7,68.0,69.8,67.8,69.7,69.3,68.96,4683005,3229.4,15175, 1664043, 35.53
2023-02-01,HFCL, EQ,69.3,70.0,71.5,66.75, 68.25,68.3,69.75,6310033,4401.36,23257, 2133992, 33.82
2023-02-02,HFCL, EQ,68.3,68.3,71.0,67.15, 68.95,69.05,68.98,8312507,5734.09,26379, 2963024, 35.65
2023-02-03,HFCL, EQ,69.05,69.4,69.65,66.65, 67.35,67.6,67.79,5377060,3645.17,18780, 1888280, 35.12
2023-02-06,HFCL, EQ,67.6,67.55,69.8,67.05, 68.70,68.85,68.27,5057426,3452.82,14857, 1909765, 37.76
2023-02-07,HFCL, EQ,68.85,69.2,69.2,67.5, 67.75,67.95,68.22,3393366,2314.91,13061, 1172274, 34.55
2023-02-08,HFCL, EQ,67.95,68.0,69.15,67.35, 68.00,67.9,68.02,3854973,2622.28,15195, 1419724, 36.83
